Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.519682,0.017952,0.207072,0.004992,0.047968,0.182017,0.002368,0.009024,0.000608,0.998915
0.417890,0.017760,0.204384,0.005440,0.048928,0.210465,0.002272,0.001312,0.000320,0.917187
0.416993,0.017920,0.203009,0.005024,0.049248,0.202593,0.002560,0.001504,0.000352,0.908131
0.416353,0.017696,0.203297,0.005344,0.048640,0.197921,0.002528,0.001408,0.000608,0.901635
0.415873,0.017856,0.202945,0.005024,0.049536,0.187040,0.002336,0.001088,0.000576,0.889314
0.431170,0.017760,0.202528,0.004896,0.049568,0.200449,0.002112,0.001120,0.000576,0.918467
0.415841,0.017216,0.202945,0.005280,0.048576,0.195329,0.002112,0.001120,0.000384,0.895939
0.416225,0.017472,0.203105,0.005120,0.048384,0.202401,0.002112,0.001152,0.000384,0.903363
0.416033,0.017408,0.202465,0.005280,0.048736,0.227520,0.002496,0.001408,0.000352,0.930626
0.416257,0.017472,0.202976,0.005088,0.048288,0.243713,0.002048,0.001216,0.000384,0.945314
0.415266,0.017536,0.202112,0.004800,0.047744,0.186017,0.002080,0.001280,0.000352,0.884739
0.415617,0.017664,0.202305,0.005088,0.047648,0.193313,0.002016,0.001088,0.000352,0.892163
0.433665,0.018336,0.202369,0.004928,0.048032,0.210496,0.002080,0.001120,0.000352,0.929986
0.415681,0.017568,0.202305,0.005216,0.049248,0.203520,0.002240,0.001440,0.000384,0.905282
0.415970,0.017696,0.202240,0.005312,0.049440,0.199713,0.002144,0.001120,0.000352,0.902435
0.416417,0.017696,0.203201,0.005184,0.049696,0.218113,0.002272,0.001216,0.000352,0.921571
0.415809,0.017376,0.202241,0.005280,0.047808,0.203809,0.002240,0.001184,0.000352,0.903459
0.416577,0.017696,0.202529,0.005216,0.049024,0.206336,0.002624,0.001216,0.000608,0.909282
0.415873,0.017568,0.202592,0.005024,0.048385,0.203072,0.002240,0.001504,0.000448,0.904866
0.433186,0.017600,0.202560,0.005312,0.049216,0.198689,0.002048,0.001216,0.000384,0.917091
0.415585,0.017632,0.202433,0.005056,0.048544,0.187105,0.002048,0.001152,0.000320,0.886819
0.415873,0.017696,0.202529,0.005248,0.048960,0.194656,0.002016,0.001120,0.000384,0.895554
0.415457,0.017664,0.225409,0.005152,0.048320,0.204672,0.001984,0.001472,0.000352,0.929122
0.415586,0.017472,0.202144,0.005312,0.047584,0.197729,0.002080,0.001248,0.000384,0.896579
0.415393,0.017376,0.202657,0.005312,0.048672,0.185665,0.002048,0.001056,0.000384,0.885315
0.415041,0.017248,0.202241,0.004800,0.048576,0.195744,0.001920,0.001056,0.000320,0.893826
0.441249,0.017440,0.202528,0.004864,0.047233,0.196608,0.002144,0.001216,0.000352,0.920290
0.415745,0.017473,0.202784,0.004832,0.046976,0.190209,0.001952,0.001216,0.000352,0.888259
0.414209,0.017568,0.202785,0.005248,0.047264,0.187872,0.001920,0.001344,0.000416,0.885954
0.415329,0.017408,0.201952,0.004800,0.065249,0.192384,0.002112,0.000992,0.000352,0.908386
0.416034,0.017664,0.202528,0.004768,0.046880,0.185345,0.001888,0.001024,0.000352,0.883107
0.414849,0.017440,0.202081,0.005024,0.046944,0.177664,0.001952,0.001056,0.000416,0.874370
0.414721,0.018016,0.202176,0.004832,0.046913,0.190208,0.001888,0.001152,0.000384,0.886946
0.432514,0.017696,0.202016,0.004832,0.047072,0.190305,0.001952,0.001088,0.000608,0.905059
0.414849,0.017504,0.202369,0.004832,0.046912,0.195232,0.001920,0.001184,0.000385,0.891843
0.415745,0.018016,0.202625,0.004800,0.046880,0.192288,0.001824,0.001088,0.000384,0.890594
0.415426,0.017408,0.202656,0.005024,0.046912,0.212865,0.002080,0.001376,0.000416,0.911235
0.415297,0.017856,0.202401,0.004992,0.047040,0.184673,0.002208,0.001184,0.000320,0.883171
0.415937,0.017280,0.202465,0.004832,0.047200,0.184512,0.002176,0.001024,0.000352,0.882946
0.414978,0.017376,0.201856,0.004800,0.047040,0.190209,0.001824,0.001376,0.000352,0.886563
0.433473,0.017664,0.202145,0.004832,0.046816,0.180481,0.001856,0.001184,0.000352,0.895235
0.415041,0.017664,0.202560,0.004928,0.046881,0.191872,0.001824,0.001280,0.000352,0.888706
0.415233,0.017729,0.201856,0.004864,0.046880,0.191873,0.001856,0.001184,0.000320,0.888099
0.415617,0.017408,0.202113,0.005312,0.046976,0.195393,0.001984,0.001248,0.000352,0.893795
0.420033,0.017792,0.206305,0.005312,0.046976,0.203968,0.002272,0.001344,0.000384,0.912098
0.415681,0.017472,0.204608,0.005024,0.046977,0.208608,0.002048,0.001344,0.000384,0.909090
0.415938,0.017248,0.203520,0.005216,0.046944,0.231713,0.002272,0.001120,0.000352,0.931907
0.436897,0.017601,0.202496,0.005280,0.046880,0.196513,0.002208,0.001312,0.000384,0.916771
0.416833,0.017696,0.203585,0.005376,0.047456,0.211361,0.002144,0.001152,0.000352,0.913411
0.416417,0.017664,0.202465,0.005280,0.046976,0.210080,0.002080,0.000992,0.000416,0.909026
0.416545,0.017600,0.202080,0.005344,0.046945,0.226144,0.002880,0.001248,0.000384,0.926178
0.415170,0.017728,0.201824,0.005248,0.047008,0.208481,0.002144,0.001184,0.000416,0.905891
0.415489,0.017536,0.202593,0.005280,0.047008,0.208385,0.001984,0.001056,0.000384,0.906275
0.415233,0.017440,0.202721,0.004832,0.046944,0.209472,0.002112,0.001024,0.000320,0.906883
0.430241,0.017632,0.202305,0.004864,0.047008,0.203840,0.001952,0.001120,0.000384,0.916322
0.418434,0.017664,0.202752,0.005248,0.047008,0.202689,0.002048,0.000992,0.000320,0.903843
0.416289,0.017632,0.201857,0.005248,0.046848,0.198145,0.001952,0.001024,0.000352,0.896739
0.415617,0.017728,0.201761,0.005248,0.047136,0.231233,0.002912,0.001088,0.000384,0.930691
0.416065,0.017664,0.201984,0.005121,0.047264,0.199808,0.002112,0.001280,0.000608,0.899330
0.415778,0.017696,0.202176,0.004832,0.046944,0.196737,0.002112,0.001088,0.000352,0.894371
0.415873,0.017728,0.202113,0.004800,0.046912,0.196897,0.002080,0.001056,0.000384,0.894403
0.434849,0.017760,0.202081,0.004768,0.046912,0.193728,0.002144,0.000992,0.000384,0.910466
0.415489,0.017600,0.202400,0.004800,0.047041,0.197184,0.002048,0.001056,0.000608,0.895170
0.415554,0.017632,0.202400,0.004864,0.046816,0.191745,0.002080,0.001056,0.000352,0.889731
0.415073,0.017568,0.202273,0.005248,0.047072,0.229665,0.002112,0.001120,0.000416,0.927747
0.415201,0.017504,0.202145,0.005216,0.047008,0.219712,0.002080,0.001088,0.000352,0.917186
0.416097,0.017504,0.203232,0.005120,0.046977,0.189568,0.001952,0.001056,0.000640,0.888930
0.414882,0.017280,0.202464,0.005312,0.046816,0.188865,0.002016,0.001088,0.000384,0.885795
0.436801,0.017824,0.202881,0.005344,0.047136,0.198337,0.002112,0.001120,0.000384,0.919619
0.415905,0.017312,0.202529,0.005024,0.046912,0.203360,0.002144,0.001280,0.000384,0.901698
0.416545,0.017440,0.202304,0.005152,0.046945,0.208800,0.002240,0.001408,0.000320,0.908034
0.415169,0.017825,0.202048,0.005312,0.046976,0.219553,0.002752,0.001088,0.000320,0.918403
0.415553,0.017760,0.202337,0.005056,0.047104,0.195777,0.002112,0.000992,0.000320,0.894179
0.415489,0.017504,0.202881,0.005216,0.046976,0.192128,0.002048,0.001184,0.000320,0.890434
