Layer[0],Layer[1],Layer[2],Layer[3],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.510050,0.017856,0.206496,0.005312,0.213537,0.000704,0.002208,0.001824,0.000576,0.967043
0.416866,0.017472,0.204736,0.005248,0.261249,0.000704,0.002432,0.001312,0.000576,0.918115
0.416769,0.017536,0.203873,0.005184,0.249537,0.000704,0.002176,0.001152,0.000576,0.905667
0.420449,0.017472,0.203297,0.005280,0.253824,0.000608,0.002400,0.001120,0.000544,0.912450
0.416290,0.017696,0.203136,0.005280,0.244513,0.000672,0.001920,0.000928,0.000352,0.897379
0.438113,0.017760,0.204609,0.005408,0.248609,0.000928,0.002496,0.001088,0.000544,0.928163
0.416321,0.017504,0.204033,0.005376,0.245280,0.000672,0.002080,0.000928,0.000608,0.899842
0.416610,0.017568,0.203712,0.005376,0.253473,0.000608,0.002272,0.001120,0.000320,0.908163
0.415809,0.017728,0.217825,0.005216,0.244225,0.000672,0.003168,0.001120,0.000256,0.912643
0.421057,0.017632,0.204929,0.005120,0.253760,0.000640,0.002080,0.001056,0.000352,0.913186
0.416194,0.017504,0.203392,0.005312,0.257729,0.000672,0.002240,0.001088,0.000416,0.911683
0.416321,0.017664,0.203137,0.005184,0.235809,0.000640,0.002176,0.001248,0.000352,0.890947
0.436673,0.017792,0.203297,0.005088,0.251488,0.000800,0.002272,0.001184,0.000352,0.926306
0.416258,0.017792,0.203264,0.005216,0.246913,0.000608,0.002048,0.001248,0.000352,0.900611
0.420289,0.017536,0.202945,0.005120,0.257313,0.000704,0.002272,0.001184,0.000416,0.915203
0.420513,0.017728,0.220385,0.005216,0.252896,0.000576,0.002112,0.001377,0.000320,0.928547
0.416865,0.017504,0.203040,0.005088,0.239841,0.000608,0.002240,0.001248,0.000384,0.895074
0.416641,0.017857,0.203520,0.005248,0.250337,0.000640,0.002112,0.001344,0.000384,0.905251
0.421697,0.017536,0.202753,0.005312,0.252257,0.000672,0.002112,0.001216,0.000352,0.911139
0.416097,0.017760,0.203072,0.005344,0.248320,0.000640,0.003168,0.001312,0.000352,0.903042
0.420738,0.017504,0.203232,0.005120,0.237313,0.000704,0.002240,0.001312,0.000384,0.895875
