Layer[0],Layer[1],Layer[9],Layer[10],classifier
0.538721,0.017952,8.115639,0.001120,8.680600
0.419234,0.017728,0.800898,0.000832,1.247620
0.421793,0.017344,0.749090,0.000832,1.194659
0.421665,0.017376,0.749539,0.000800,1.195332
0.420866,0.017472,0.772482,0.000672,1.217444
0.416481,0.017600,0.754498,0.000608,1.194819
0.415809,0.017216,0.750914,0.000672,1.189891
0.450530,0.017344,0.775650,0.000736,1.249668
0.416385,0.017248,0.751170,0.000576,1.190275
0.416289,0.017376,0.746530,0.000736,1.187299
0.439554,0.017472,0.756482,0.000704,1.220164
0.420097,0.017504,0.754146,0.000704,1.199555
0.421537,0.017472,0.775651,0.000768,1.221220
0.416386,0.017472,0.746786,0.000736,1.187140
0.418465,0.017312,0.745826,0.000672,1.187779
0.421377,0.017216,0.797635,0.000864,1.243332
0.415522,0.017376,0.755746,0.000832,1.194916
0.420769,0.017536,0.748418,0.000704,1.193347
0.441921,0.017728,0.749890,0.000864,1.215971
0.420258,0.017504,0.758338,0.000800,1.202532
0.420545,0.017248,0.757378,0.000832,1.201251
0.438049,0.017248,0.754658,0.000736,1.217635
0.416193,0.017601,0.756066,0.000736,1.195684
0.420513,0.017536,0.787778,0.000832,1.232515
0.421025,0.017600,0.750338,0.000640,1.194691
0.421217,0.017728,0.749635,0.000576,1.194340
0.420450,0.017408,0.788162,0.000640,1.232708
0.420545,0.017472,0.752002,0.000704,1.195907
0.420769,0.017504,0.754498,0.000672,1.198627
0.419586,0.017472,0.767458,0.001024,1.211716
0.419265,0.017664,0.758882,0.000640,1.202531
0.420513,0.017472,0.757634,0.000864,1.202339
0.437633,0.017505,0.759394,0.000640,1.221316
0.423617,0.017472,0.764738,0.000672,1.211747
0.419553,0.017280,0.741858,0.000704,1.184803
0.420193,0.017344,0.747939,0.000704,1.191108
0.421474,0.017184,0.740546,0.000672,1.185476
0.420673,0.017600,0.775298,0.000672,1.219683
0.416321,0.017248,0.750914,0.000704,1.190595
0.420289,0.017472,0.755043,0.000608,1.198756
0.415682,0.017632,0.772994,0.000672,1.213188
0.420545,0.017312,0.755586,0.000608,1.199491
0.420449,0.017632,0.751426,0.000576,1.195459
0.438754,0.017632,0.759266,0.000608,1.222052
0.422145,0.017376,0.765666,0.000640,1.211715
0.420641,0.017312,0.740930,0.000608,1.184835
0.438753,0.017345,0.757026,0.000672,1.219364
0.421153,0.017440,0.752994,0.000672,1.197347
0.415553,0.017248,0.755778,0.000928,1.194723
0.416225,0.017536,0.753090,0.000800,1.192611
0.420834,0.017472,0.754594,0.000704,1.200676
0.420385,0.017376,0.778754,0.000704,1.222147
0.462657,0.017472,0.742114,0.000704,1.228068
0.420578,0.017504,0.758018,0.000768,1.201828
0.421025,0.017408,0.771650,0.000864,1.216195
0.415457,0.017728,0.748194,0.000736,1.187075
0.420545,0.017505,0.757410,0.000736,1.201316
0.436513,0.017408,0.752034,0.000864,1.211907
0.420897,0.017760,0.769314,0.000768,1.216067
0.420833,0.017504,0.745635,0.000800,1.190116
0.416129,0.017504,0.746562,0.000608,1.186851
0.420449,0.017536,0.754818,0.000704,1.199139
0.420865,0.017408,0.775011,0.000832,1.220324
0.420802,0.017376,0.744034,0.000832,1.188100
0.415265,0.017376,0.753570,0.000800,1.192067
0.421921,0.017440,0.788643,0.000928,1.234820
0.416770,0.017568,0.756098,0.000864,1.196420
0.415713,0.017472,0.751266,0.000704,1.190083
0.438305,0.017472,0.765090,0.000768,1.227203
0.420098,0.017312,0.752674,0.000736,1.195716
0.416449,0.017280,0.760770,0.000704,1.201123
0.421281,0.017472,0.759778,0.000704,1.204419
0.420929,0.017505,0.754914,0.000704,1.199236
0.421345,0.017504,0.776290,0.000640,1.220963
0.420929,0.017472,0.750210,0.000672,1.194563
0.420161,0.017504,0.737218,0.000832,1.181155
0.420834,0.017856,0.761954,0.000768,1.207012
0.420353,0.017504,0.736930,0.000608,1.180227
0.421313,0.017504,0.742434,0.000608,1.186627
0.420129,0.017440,0.760770,0.000608,1.204451
0.415618,0.017536,0.755682,0.000704,1.195364
0.419457,0.017600,0.740770,0.000800,1.183555
0.434049,0.017376,0.740834,0.000640,1.198531
0.415425,0.017472,0.749379,0.000640,1.188068
0.415778,0.017248,0.730754,0.000640,1.169540
0.422433,0.017632,0.759170,0.000736,1.205891
0.420321,0.017280,0.753442,0.000672,1.196771
0.420481,0.017601,0.789986,0.000704,1.234212
0.420449,0.017344,0.755714,0.000640,1.199203
0.420609,0.017280,0.749858,0.000704,1.193507
0.420065,0.017281,0.774882,0.000672,1.220196
0.420513,0.017440,0.739714,0.000576,1.183587
0.414273,0.017504,0.756962,0.000672,1.194851
0.420481,0.017504,0.754370,0.000800,1.198115
0.419746,0.017632,0.740130,0.000640,1.182980
0.420929,0.017504,0.741090,0.000864,1.185443
0.436225,0.017728,0.760930,0.000768,1.221379
0.420545,0.017408,0.777987,0.000576,1.221828
0.415553,0.017536,0.733826,0.000576,1.172547
0.421089,0.017440,0.744194,0.000576,1.188131
0.420481,0.017344,0.737730,0.000640,1.181827
0.420321,0.017376,0.767491,0.000544,1.211364
0.420449,0.017248,0.750306,0.000800,1.193859
0.416865,0.017248,0.764546,0.000704,1.204291
0.420161,0.017408,0.782338,0.000640,1.225955
0.419906,0.017408,0.769890,0.000608,1.212804
0.420289,0.017344,0.729026,0.000864,1.172355
0.415841,0.017472,0.763810,0.000672,1.202819
0.420641,0.017184,0.737922,0.000608,1.181411
0.420802,0.017440,0.753826,0.000704,1.198532
0.437633,0.017536,0.748898,0.000736,1.210339
0.416001,0.017440,0.740226,0.000736,1.179363
0.420289,0.017600,0.745346,0.000705,1.189028
0.436674,0.017504,0.756802,0.000736,1.216932
0.420033,0.017472,0.748386,0.000800,1.191683
0.420129,0.017248,0.756450,0.000704,1.200867
0.421313,0.017536,0.761219,0.000640,1.206084
0.420641,0.017280,0.743426,0.000864,1.188419
0.420577,0.017312,0.776610,0.000736,1.220227
0.420385,0.017376,0.755298,0.000832,1.199812
0.415714,0.017696,0.756866,0.000672,1.196228
0.420417,0.017600,0.771778,0.000800,1.216163
0.420161,0.017312,0.755746,0.000704,1.199107
0.420482,0.017504,0.750210,0.000800,1.194180
0.438657,0.017312,0.757922,0.000832,1.220099
0.420769,0.017312,0.735106,0.000704,1.180291
0.417569,0.017473,0.742466,0.000704,1.184292
0.415969,0.017280,0.744802,0.000800,1.184643
0.420801,0.017920,0.772290,0.000832,1.217251
0.421601,0.017632,0.788579,0.000768,1.236964
0.420737,0.018016,0.757378,0.000800,1.202179
0.420513,0.017600,0.756450,0.000608,1.200995
0.420225,0.020961,0.766274,0.000768,1.213188
0.420545,0.017536,0.761794,0.000896,1.206627
0.419841,0.017440,0.752898,0.000736,1.196003
0.433185,0.017408,0.758723,0.000864,1.216740
0.419297,0.017536,0.742178,0.000672,1.185315
0.420129,0.017280,0.753058,0.000576,1.196675
0.435617,0.017440,0.787939,0.000672,1.246308
0.420385,0.017536,0.749186,0.000800,1.195907
0.420289,0.017344,0.772834,0.000640,1.216899
0.420545,0.017344,0.757603,0.000704,1.201476
0.420161,0.017472,0.752674,0.000576,1.196259
0.419841,0.017408,0.798210,0.000640,1.241763
0.420417,0.017312,0.740803,0.000672,1.184324
0.420450,0.017504,0.753602,0.000608,1.198308
0.467201,0.017280,0.771586,0.000800,1.262179
0.420577,0.017281,0.753058,0.000640,1.196964
0.415841,0.017440,0.756194,0.000640,1.195235
0.442849,0.017472,0.762562,0.000672,1.230211
0.420097,0.017344,0.753283,0.000640,1.196612
0.415489,0.017472,0.756866,0.000704,1.196099
0.420609,0.017568,0.754754,0.000672,1.199139
0.420641,0.017504,0.750371,0.000640,1.194468
0.415969,0.017344,0.762018,0.000608,1.201891
0.420225,0.017312,0.754018,0.000608,1.198115
0.420033,0.017728,0.753411,0.000704,1.196900
0.417505,0.017376,0.771714,0.000736,1.213219
0.420097,0.017504,0.738850,0.000864,1.182755
0.421313,0.017536,0.749474,0.000672,1.195171
0.433122,0.017280,0.753922,0.000640,1.209956
