Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.538882,0.017920,0.207200,0.004896,0.048161,0.173792,0.000800,0.002144,0.002080,0.000576,1.006307
0.417761,0.017600,0.203136,0.005312,0.047777,0.185728,0.000960,0.003040,0.001856,0.000352,0.891010
0.416577,0.017792,0.202849,0.004992,0.047776,0.180833,0.000736,0.002304,0.001376,0.000320,0.882243
0.416225,0.017440,0.202721,0.004896,0.048224,0.176928,0.000704,0.015008,0.001408,0.000384,0.889922
0.416033,0.017728,0.202304,0.004896,0.048896,0.202593,0.000768,0.002304,0.001184,0.000384,0.904322
0.416705,0.017472,0.203137,0.005312,0.048960,0.200801,0.000992,0.002112,0.001216,0.000384,0.904803
0.416385,0.017568,0.202145,0.005280,0.048864,0.189504,0.000704,0.002144,0.001376,0.000384,0.892451
0.429761,0.017344,0.202880,0.004961,0.049216,0.173280,0.000768,0.002208,0.001152,0.000384,0.888482
0.416257,0.017760,0.201953,0.005344,0.048352,0.187489,0.000864,0.002176,0.000960,0.000384,0.887971
0.415649,0.017760,0.202273,0.004896,0.048032,0.172320,0.000768,0.002112,0.001088,0.000384,0.871618
0.416738,0.017728,0.202432,0.004800,0.047776,0.197793,0.001024,0.005696,0.001088,0.000352,0.904003
0.417057,0.017632,0.202497,0.005280,0.049888,0.205537,0.001184,0.003360,0.001088,0.000384,0.911811
0.416097,0.017792,0.202625,0.005216,0.049760,0.180960,0.000768,0.001856,0.001056,0.000448,0.883362
0.416225,0.017440,0.202208,0.004768,0.048736,0.191905,0.000640,0.002080,0.001440,0.000320,0.891970
0.415905,0.017632,0.215585,0.005312,0.048640,0.210497,0.000736,0.002080,0.000928,0.000320,0.924707
0.415585,0.017632,0.201953,0.005280,0.048224,0.181408,0.000800,0.005408,0.000896,0.000384,0.884258
0.415778,0.017536,0.202240,0.005216,0.048064,0.202113,0.000800,0.001952,0.000896,0.000352,0.901603
0.415553,0.017696,0.202529,0.004864,0.048416,0.192353,0.000864,0.002624,0.000928,0.000384,0.893219
0.428129,0.017504,0.202209,0.005312,0.048352,0.173760,0.000800,0.001984,0.000928,0.000384,0.885474
0.415234,0.017696,0.202112,0.005248,0.047936,0.175457,0.000864,0.002752,0.001056,0.000352,0.875107
0.416993,0.017632,0.202305,0.005280,0.047968,0.192161,0.000672,0.002112,0.001024,0.000384,0.894755
0.415809,0.017504,0.202497,0.004864,0.049376,0.218080,0.000768,0.002080,0.000960,0.000384,0.919170
0.417442,0.017600,0.202144,0.005088,0.048448,0.172481,0.000736,0.001952,0.000960,0.000352,0.873475
0.416865,0.021088,0.203169,0.005280,0.048800,0.190816,0.000672,0.001856,0.000960,0.000288,0.896035
0.420513,0.017504,0.202016,0.005280,0.049249,0.207968,0.000640,0.001824,0.000960,0.000320,0.912674
