Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[9],Layer[10],classifier
0.520033,0.018240,0.206337,0.005184,0.047296,0.000576,0.179008,0.000864,0.985442
0.417825,0.017664,0.204001,0.005056,0.048000,0.000608,0.199008,0.000992,0.900162
0.421569,0.017920,0.202528,0.005280,0.048609,0.000544,0.203552,0.000768,0.907682
0.417634,0.017376,0.202848,0.005056,0.048256,0.000576,0.221601,0.000608,0.920803
0.416961,0.017376,0.203137,0.005056,0.048768,0.000544,0.203745,0.000736,0.904323
0.421761,0.017376,0.202529,0.005024,0.048800,0.000576,0.190752,0.000576,0.894115
0.416257,0.017312,0.202337,0.005056,0.048896,0.000576,0.186560,0.000544,0.883618
0.436738,0.017632,0.202336,0.005024,0.049505,0.000576,0.213216,0.000640,0.935299
0.415937,0.017344,0.202016,0.004864,0.048448,0.000544,0.198785,0.000640,0.895875
0.415137,0.017536,0.203937,0.004832,0.048448,0.000576,0.198433,0.000608,0.897411
0.417729,0.017344,0.204353,0.005024,0.048352,0.000608,0.212160,0.000768,0.914786
0.416001,0.017440,0.202689,0.004864,0.048608,0.000608,0.197888,0.000640,0.896642
0.416322,0.017568,0.202848,0.004832,0.047360,0.000576,0.199297,0.000640,0.897091
0.415969,0.017377,0.202848,0.004928,0.047584,0.000576,0.196353,0.000576,0.893539
0.431393,0.017504,0.202497,0.005184,0.047808,0.000608,0.206241,0.000896,0.919939
0.416577,0.017504,0.202529,0.005024,0.048608,0.000576,0.200128,0.000832,0.899554
0.415841,0.017408,0.202496,0.005088,0.048609,0.000576,0.197120,0.000544,0.895554
0.416066,0.017312,0.202144,0.005024,0.048960,0.000576,0.218561,0.000704,0.917027
0.416641,0.017536,0.202145,0.005024,0.048448,0.000608,0.231905,0.000704,0.930115
0.416097,0.017440,0.202177,0.005120,0.048352,0.000576,0.213601,0.000576,0.911203
0.418017,0.017472,0.202305,0.005056,0.048096,0.000608,0.213280,0.000640,0.912226
0.434849,0.017440,0.202401,0.005024,0.048320,0.000608,0.192960,0.000640,0.909602
0.416834,0.017600,0.202240,0.005024,0.048928,0.000544,0.202625,0.000672,0.901283
0.416033,0.017345,0.203136,0.005184,0.048480,0.000576,0.204097,0.000544,0.902531
0.416481,0.017728,0.222913,0.005280,0.049280,0.000608,0.208225,0.000736,0.929443
0.416353,0.017568,0.202273,0.005120,0.048864,0.000576,0.201280,0.000800,0.899842
0.415841,0.017376,0.201920,0.005248,0.048929,0.000640,0.202432,0.000672,0.900066
0.415650,0.017376,0.202304,0.005248,0.048192,0.000608,0.216897,0.000672,0.914243
