Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[9],Layer[10],classifier
0.534785,0.017792,0.205889,0.004896,0.048000,0.000768,0.014688,0.000352,0.180000,0.000896,1.015907
0.419329,0.017792,0.203361,0.004896,0.048544,0.000576,0.014624,0.000352,0.178433,0.000576,0.896611
0.417281,0.017824,0.203521,0.004864,0.048448,0.000576,0.014976,0.000384,0.193312,0.000672,0.909474
0.418305,0.017600,0.205281,0.004832,0.049568,0.000640,0.014752,0.000384,0.186784,0.000640,0.906978
0.434433,0.017536,0.202816,0.004864,0.049505,0.000576,0.014688,0.000416,0.178176,0.000736,0.911714
0.417314,0.017760,0.202080,0.004896,0.048544,0.000608,0.013984,0.000384,0.182209,0.000704,0.896835
0.416225,0.017632,0.202241,0.004864,0.048352,0.000576,0.014080,0.000352,0.187169,0.000544,0.900003
0.416769,0.017600,0.220321,0.005216,0.050752,0.000608,0.013984,0.000384,0.172929,0.000608,0.907107
0.417345,0.017600,0.203521,0.004928,0.049984,0.000576,0.014688,0.000384,0.186496,0.000736,0.904738
0.416225,0.017664,0.202464,0.004992,0.048545,0.000576,0.014048,0.000384,0.181248,0.000640,0.894722
0.416162,0.017888,0.203648,0.004864,0.049184,0.000576,0.013888,0.000384,0.190177,0.000576,0.904771
0.429441,0.017728,0.203009,0.004832,0.049088,0.000608,0.013568,0.000384,0.189345,0.000672,0.917699
0.416641,0.017888,0.202401,0.004832,0.048000,0.000608,0.013696,0.000384,0.185568,0.000608,0.898530
0.416289,0.017472,0.202017,0.004800,0.048608,0.000576,0.013568,0.000384,0.186016,0.000736,0.897922
0.416353,0.017248,0.220512,0.004960,0.048321,0.000608,0.013440,0.000384,0.181184,0.000544,0.912162
0.415906,0.017568,0.202272,0.004800,0.048256,0.000576,0.013472,0.000352,0.190049,0.000640,0.902275
0.416129,0.017760,0.202529,0.004800,0.048864,0.000640,0.013536,0.000320,0.179777,0.000608,0.892355
0.416033,0.017952,0.203265,0.004864,0.048608,0.000608,0.013504,0.000352,0.180288,0.000608,0.894338
0.417153,0.017792,0.203648,0.004864,0.049121,0.000608,0.013856,0.000448,0.194112,0.000736,0.911394
0.417506,0.017824,0.202912,0.004800,0.048608,0.000608,0.013984,0.000384,0.175393,0.000576,0.890307
0.416769,0.017504,0.202145,0.004864,0.048064,0.000608,0.014208,0.000352,0.179361,0.000576,0.891715
0.416481,0.017472,0.220417,0.005344,0.048928,0.000768,0.014208,0.000576,0.178689,0.000672,0.911555
0.415361,0.017536,0.202721,0.004864,0.049088,0.000608,0.013600,0.000384,0.169600,0.000576,0.881826
0.415649,0.017472,0.202464,0.004864,0.048672,0.000608,0.013569,0.000384,0.180000,0.000512,0.891970
0.416065,0.017472,0.202337,0.004800,0.048320,0.000608,0.013568,0.000320,0.183649,0.000608,0.895331
0.431201,0.017472,0.202209,0.004960,0.047520,0.000640,0.013600,0.000352,0.171041,0.000544,0.897155
0.416769,0.017760,0.202689,0.005056,0.047744,0.000864,0.013920,0.000320,0.198624,0.000896,0.913474
0.418081,0.017696,0.202720,0.004897,0.049152,0.000832,0.014112,0.000384,0.191488,0.000544,0.908514
0.416066,0.017728,0.222048,0.005344,0.047648,0.000833,0.013504,0.000384,0.178528,0.000544,0.910691
0.416577,0.017761,0.202368,0.005056,0.049696,0.000832,0.013536,0.000416,0.189057,0.000640,0.903107
0.415937,0.017504,0.202625,0.004832,0.048832,0.000864,0.013632,0.000352,0.178209,0.000672,0.891107
0.416065,0.017664,0.202401,0.004896,0.047552,0.000832,0.013472,0.000384,0.181824,0.000512,0.892962
0.416225,0.017568,0.203296,0.004800,0.047873,0.000864,0.013440,0.000352,0.181184,0.000576,0.893826
0.415906,0.017728,0.202816,0.004896,0.048448,0.000832,0.013536,0.000384,0.187489,0.000480,0.900643
0.416705,0.017600,0.204961,0.005024,0.048192,0.000576,0.013504,0.000352,0.182433,0.000608,0.897603
0.416257,0.017664,0.222849,0.004960,0.048352,0.000768,0.013504,0.000416,0.176929,0.000832,0.910467
0.414625,0.017568,0.202913,0.004864,0.049056,0.000608,0.013728,0.000352,0.190176,0.000672,0.902114
0.416865,0.017888,0.202176,0.005280,0.048225,0.000576,0.013504,0.000352,0.191680,0.000576,0.905794
0.416098,0.017696,0.202048,0.004864,0.047968,0.000576,0.013984,0.000320,0.182785,0.000576,0.894915
0.416353,0.017568,0.203713,0.004896,0.048064,0.000608,0.013536,0.000384,0.176161,0.000640,0.889571
0.415969,0.017440,0.202561,0.005056,0.048672,0.000896,0.013984,0.000320,0.179328,0.000608,0.892514
0.415777,0.017536,0.202177,0.004896,0.048320,0.000800,0.013888,0.000352,0.183264,0.000576,0.895458
0.415682,0.034688,0.202688,0.005376,0.048416,0.000640,0.013697,0.000384,0.184736,0.000544,0.915171
0.418017,0.017536,0.202081,0.005056,0.048544,0.000608,0.014112,0.000352,0.173089,0.000608,0.887555
0.416481,0.017568,0.202241,0.004832,0.050432,0.000864,0.013920,0.000384,0.181057,0.000480,0.895747
0.418113,0.017664,0.202209,0.004832,0.048640,0.000832,0.013600,0.000320,0.178176,0.000576,0.893250
0.415745,0.017824,0.202304,0.004832,0.048160,0.000608,0.013569,0.000352,0.186208,0.000512,0.897538
0.416705,0.017792,0.202465,0.004832,0.047616,0.000640,0.013536,0.000416,0.180097,0.000672,0.892611
0.416225,0.017696,0.202209,0.004928,0.047200,0.000608,0.013504,0.000384,0.182753,0.000768,0.894211
0.416033,0.017568,0.223521,0.005184,0.047040,0.000608,0.013472,0.000416,0.181312,0.000576,0.913538
0.415745,0.017472,0.202080,0.004864,0.046945,0.000800,0.013472,0.000384,0.178432,0.000640,0.888098
0.415425,0.017761,0.201952,0.004800,0.046944,0.000576,0.013472,0.000352,0.187073,0.000544,0.895939
0.415169,0.017888,0.202209,0.005248,0.046880,0.000608,0.013504,0.000384,0.180737,0.000576,0.890563
0.415073,0.017504,0.202401,0.004800,0.047392,0.000800,0.013408,0.000384,0.185120,0.000512,0.895202
0.415937,0.017376,0.202368,0.004800,0.046881,0.000640,0.013408,0.000416,0.178688,0.000544,0.888386
0.415714,0.018208,0.202080,0.004864,0.047360,0.000864,0.013440,0.000384,0.173569,0.000576,0.884771
0.416257,0.017728,0.217537,0.005056,0.047136,0.000608,0.013472,0.000416,0.169377,0.000640,0.895779
0.416481,0.017760,0.202113,0.004832,0.047232,0.000800,0.013536,0.000352,0.175200,0.000512,0.887330
0.415969,0.017504,0.201984,0.004864,0.046945,0.000832,0.013440,0.000384,0.181088,0.000512,0.891458
0.415874,0.017728,0.202080,0.004800,0.046944,0.000608,0.013408,0.000352,0.177057,0.000512,0.886851
0.415745,0.017504,0.202401,0.004864,0.046944,0.000608,0.013504,0.000352,0.218753,0.000544,0.928675
0.416001,0.017568,0.201889,0.004832,0.046912,0.000608,0.013376,0.000416,0.183521,0.000480,0.892803
0.417377,0.017568,0.202113,0.004864,0.046944,0.000608,0.013408,0.000384,0.175264,0.000544,0.886338
0.415778,0.017952,0.221440,0.005728,0.046976,0.000736,0.013537,0.000352,0.174272,0.000576,0.905219
0.415873,0.017953,0.202304,0.004800,0.047008,0.000576,0.013504,0.000352,0.167681,0.000512,0.877891
0.415905,0.017792,0.202145,0.004832,0.046848,0.000608,0.013472,0.000416,0.181984,0.000512,0.891714
0.416065,0.017696,0.202913,0.004832,0.046912,0.000576,0.013440,0.000384,0.180992,0.000704,0.892098
0.416545,0.017664,0.202176,0.004864,0.046976,0.000832,0.013569,0.000384,0.194528,0.000544,0.906114
0.416034,0.017920,0.202720,0.004832,0.046784,0.000800,0.013440,0.000384,0.181249,0.000672,0.892259
0.415329,0.017472,0.202241,0.004800,0.047136,0.000576,0.013504,0.000384,0.184225,0.000704,0.893475
0.415937,0.017280,0.223873,0.005024,0.046912,0.000608,0.013504,0.000352,0.176480,0.000704,0.908514
0.416001,0.017728,0.202144,0.004800,0.046881,0.000608,0.013408,0.000384,0.166208,0.000896,0.876546
0.416033,0.017441,0.202240,0.005056,0.046784,0.000832,0.013408,0.000384,0.174049,0.000480,0.884259
0.415809,0.017536,0.202209,0.004768,0.046880,0.000832,0.013472,0.000384,0.178817,0.000768,0.888931
0.416289,0.017792,0.202177,0.004832,0.046944,0.000576,0.013408,0.000352,0.173344,0.000544,0.883970
0.416097,0.017472,0.202592,0.004864,0.046881,0.000608,0.013504,0.000384,0.177056,0.000576,0.887554
0.417121,0.017537,0.202048,0.004800,0.046944,0.000800,0.013376,0.000352,0.169377,0.000512,0.880131
0.417665,0.017568,0.219073,0.005120,0.047168,0.000800,0.013536,0.000416,0.180321,0.000512,0.911075
0.417121,0.017824,0.202625,0.004832,0.047072,0.000608,0.013408,0.000384,0.172800,0.000640,0.885378
0.416513,0.017792,0.203136,0.004800,0.047521,0.000832,0.013408,0.000384,0.184256,0.000576,0.896450
0.416578,0.017728,0.202400,0.004768,0.047072,0.000832,0.013568,0.000352,0.178881,0.000544,0.889891
0.415969,0.017664,0.202113,0.004864,0.047008,0.000608,0.013504,0.000320,0.181249,0.000768,0.891651
