Layer[0],Layer[1],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.536289,0.017792,8.137047,0.005088,0.019200,0.000832,8.725336
0.417825,0.017536,0.768866,0.003808,0.001920,0.000544,1.218243
0.419457,0.017568,0.748546,0.003648,0.001472,0.000352,1.197731
0.417378,0.017600,0.788066,0.003488,0.001568,0.000384,1.234916
0.421249,0.017536,0.765347,0.003072,0.001312,0.000384,1.215684
0.421377,0.017312,0.753474,0.002624,0.001152,0.000384,1.202851
0.436513,0.017280,0.753794,0.002592,0.001120,0.000352,1.217859
0.421537,0.017568,0.753699,0.004128,0.001088,0.000384,1.204548
0.421377,0.017280,0.741666,0.002464,0.001056,0.000352,1.189827
0.421697,0.017472,0.738562,0.002624,0.001248,0.000416,1.188099
0.421761,0.017408,0.791523,0.002624,0.001120,0.000320,1.240868
0.424257,0.017952,0.776514,0.003552,0.001344,0.000416,1.230403
0.416641,0.017504,0.749666,0.002368,0.001184,0.000448,1.193379
0.416097,0.017792,0.746115,0.002720,0.001184,0.000384,1.190020
0.417025,0.017280,0.762018,0.003616,0.001120,0.000384,1.207523
0.421857,0.017312,0.744450,0.004224,0.001056,0.000384,1.194883
0.420737,0.017376,0.741954,0.002336,0.001120,0.000352,1.188899
0.438497,0.017440,0.747298,0.002368,0.001184,0.000320,1.212931
0.421634,0.017312,0.746082,0.002368,0.001184,0.000352,1.194116
0.421121,0.017280,0.741026,0.002112,0.001056,0.000384,1.188099
0.438785,0.017600,0.740066,0.002400,0.001184,0.000448,1.206179
0.421409,0.017281,0.745186,0.002240,0.001152,0.000416,1.193636
0.422177,0.017504,0.761570,0.005984,0.001120,0.000416,1.214819
0.420961,0.017312,0.726114,0.002752,0.001216,0.000320,1.174403
0.420833,0.017632,0.744258,0.002304,0.001056,0.000352,1.191939
0.420481,0.017696,0.768034,0.002496,0.000992,0.000352,1.216131
0.421154,0.017600,0.744482,0.002560,0.001088,0.000352,1.193028
0.421281,0.017472,0.764770,0.002496,0.000992,0.000320,1.212835
0.420577,0.017568,0.759010,0.003168,0.001184,0.000352,1.207587
0.416257,0.017216,0.735683,0.002592,0.001216,0.000320,1.178500
0.421377,0.017536,0.745666,0.002432,0.001088,0.000384,1.194147
0.438529,0.017536,0.742850,0.002528,0.000992,0.000352,1.208323
0.420641,0.017376,0.741186,0.002209,0.001024,0.000320,1.188004
0.421121,0.017856,0.740642,0.002208,0.001056,0.000352,1.188643
0.415650,0.017504,0.738818,0.002272,0.001056,0.000320,1.180996
0.420225,0.017472,0.739106,0.002720,0.001024,0.000352,1.186275
0.421089,0.017568,0.755234,0.002496,0.001568,0.000384,1.203875
0.421089,0.017280,0.739939,0.002272,0.001088,0.000352,1.187684
0.420769,0.017472,0.741538,0.002176,0.001056,0.000384,1.188803
0.416034,0.017504,0.764258,0.003072,0.001120,0.000352,1.208004
0.417217,0.020960,0.734530,0.002560,0.000960,0.000416,1.182691
0.417473,0.021088,0.726818,0.002432,0.000928,0.000384,1.174947
0.416481,0.017504,0.741186,0.002432,0.001184,0.000352,1.184355
0.415969,0.017536,0.758946,0.003552,0.001376,0.000416,1.202819
0.416737,0.017536,0.718339,0.003072,0.001088,0.000352,1.162692
0.429281,0.017664,0.764002,0.002272,0.000928,0.000288,1.219651
0.421058,0.017344,0.742786,0.002272,0.001056,0.000320,1.190628
0.421281,0.017344,0.744354,0.002720,0.001120,0.000384,1.192707
0.438817,0.017664,0.741698,0.002304,0.001088,0.000352,1.207331
0.421313,0.017408,0.734019,0.002848,0.001184,0.000352,1.183076
0.416353,0.017184,0.750978,0.002528,0.001056,0.000384,1.194531
0.415905,0.017344,0.743202,0.002368,0.001120,0.000416,1.185731
0.421441,0.017504,0.737538,0.002272,0.001088,0.000384,1.185827
0.421089,0.017344,0.751106,0.002208,0.001184,0.000352,1.198947
0.416610,0.017408,0.740450,0.003008,0.001120,0.000352,1.184228
0.416769,0.017312,0.738050,0.002368,0.001120,0.000352,1.181187
0.415746,0.017440,0.762818,0.003328,0.001184,0.000320,1.206500
0.420257,0.017440,0.734274,0.002432,0.001248,0.000288,1.181251
0.421153,0.017472,0.735970,0.002560,0.001184,0.000320,1.185027
0.435842,0.017568,0.746594,0.002400,0.001184,0.000384,1.209892
0.421281,0.017792,0.747682,0.002528,0.001280,0.000384,1.196387
0.417729,0.017408,0.746850,0.002880,0.001152,0.000352,1.191811
0.437633,0.017889,0.745282,0.002432,0.001024,0.000352,1.210116
0.417153,0.017536,0.739458,0.002272,0.001024,0.000384,1.182915
0.421409,0.017280,0.743714,0.003136,0.019232,0.000480,1.213411
0.417857,0.017281,0.748834,0.002112,0.001088,0.000352,1.192964
0.420321,0.017568,0.741250,0.002816,0.001088,0.000384,1.189155
0.420833,0.017216,0.768354,0.003264,0.001216,0.000384,1.217411
0.423265,0.017280,0.741603,0.002624,0.001248,0.000384,1.192548
0.418177,0.017536,0.743874,0.002816,0.001248,0.000608,1.190787
0.417633,0.017824,0.794754,0.002592,0.001216,0.000576,1.241123
0.419106,0.017568,0.751458,0.002688,0.001184,0.000576,1.198628
0.417153,0.017344,0.742530,0.002400,0.001216,0.000320,1.186819
0.438689,0.017856,0.739074,0.002432,0.001056,0.000384,1.205251
0.417537,0.017633,0.729698,0.002592,0.001088,0.000352,1.174756
0.416513,0.018016,0.732322,0.002400,0.001152,0.000320,1.176611
0.416673,0.017760,0.746498,0.002336,0.001120,0.000352,1.190659
0.420705,0.017440,0.743907,0.002592,0.001280,0.000352,1.192516
0.421313,0.017600,0.768962,0.002592,0.001312,0.000416,1.218723
0.422529,0.017440,0.739554,0.002464,0.001216,0.000416,1.190211
0.417154,0.017312,0.749154,0.002688,0.001312,0.000384,1.194948
0.420161,0.017312,0.762626,0.002656,0.001248,0.000320,1.210627
0.420513,0.018048,0.743938,0.002752,0.001344,0.000384,1.193251
0.421601,0.017632,0.785794,0.003360,0.001184,0.000384,1.242563
0.434049,0.017536,0.748994,0.002944,0.001184,0.000352,1.212515
0.416673,0.018369,0.749570,0.002848,0.001344,0.000384,1.195844
0.416353,0.017632,0.754594,0.002912,0.001184,0.000384,1.199107
0.416225,0.017760,0.739362,0.002464,0.001184,0.000384,1.183459
0.421666,0.017888,0.735970,0.002560,0.001184,0.000384,1.186756
0.416481,0.017632,0.770114,0.003008,0.001312,0.000416,1.216931
0.421153,0.017472,0.753602,0.002560,0.001248,0.000448,1.203747
0.420865,0.017344,0.750722,0.002592,0.001248,0.000416,1.199619
0.420737,0.017600,0.759363,0.002720,0.001152,0.000384,1.208548
0.419713,0.017408,0.735746,0.002432,0.001184,0.000352,1.182851
0.416001,0.017376,0.747426,0.002656,0.001184,0.000320,1.191267
0.437153,0.017537,0.753314,0.002720,0.001248,0.000352,1.218372
0.420289,0.017344,0.735298,0.002528,0.001248,0.000608,1.183619
0.420353,0.017344,0.751810,0.002592,0.001184,0.000384,1.199971
0.421282,0.017952,0.756322,0.003328,0.001312,0.000320,1.209796
0.422081,0.017504,0.746435,0.003168,0.001440,0.000384,1.197956
0.420897,0.017600,0.778146,0.002624,0.001344,0.000416,1.228611
0.421057,0.017568,0.751042,0.002688,0.001216,0.000608,1.200323
0.415586,0.017472,0.735714,0.002592,0.001216,0.000416,1.179268
0.420417,0.017344,0.759491,0.002720,0.001280,0.000416,1.208196
0.420833,0.017568,0.743042,0.002624,0.001248,0.000384,1.191779
0.420545,0.017408,0.748194,0.003008,0.001184,0.000320,1.196963
0.437857,0.017441,0.755074,0.002944,0.001184,0.000352,1.220900
0.420449,0.017504,0.740130,0.002464,0.001216,0.000320,1.188355
0.416321,0.017472,0.752802,0.002400,0.001280,0.000320,1.196739
0.420290,0.017440,0.744738,0.002592,0.001280,0.000384,1.193540
0.421153,0.017248,0.752706,0.002592,0.001280,0.000384,1.202051
0.416321,0.017536,0.768386,0.003072,0.001280,0.000608,1.213923
0.420385,0.017536,0.749794,0.002624,0.001216,0.000384,1.198115
0.420033,0.017376,0.750659,0.002656,0.001248,0.000384,1.198276
0.420129,0.017504,0.777378,0.002848,0.001152,0.000384,1.225795
0.416129,0.017376,0.750914,0.002656,0.001184,0.000352,1.194563
0.420162,0.017376,0.755714,0.002560,0.001184,0.000416,1.203620
0.432961,0.017248,0.758210,0.002624,0.001121,0.000352,1.219108
0.416353,0.017312,0.747874,0.002432,0.001248,0.000352,1.191907
0.420354,0.017408,0.762722,0.002688,0.001312,0.000416,1.211716
0.421217,0.017313,0.752802,0.002784,0.001376,0.000352,1.202948
0.420929,0.017536,0.756226,0.002720,0.001280,0.000384,1.205443
0.416321,0.017312,0.786562,0.002912,0.001280,0.000352,1.231171
0.416513,0.017600,0.736386,0.002688,0.001536,0.000320,1.181443
0.420577,0.017312,0.753795,0.002656,0.001280,0.000320,1.202276
0.416417,0.017792,0.760802,0.002912,0.001376,0.000384,1.205987
0.419553,0.017632,0.751234,0.002528,0.001280,0.000352,1.198531
0.416834,0.017568,0.752834,0.002496,0.001152,0.000576,1.197348
0.434017,0.017568,0.763459,0.002688,0.001216,0.000384,1.225572
0.421121,0.017696,0.758274,0.002720,0.001280,0.000576,1.208163
0.416353,0.017792,0.775362,0.002880,0.001248,0.000576,1.220643
0.416354,0.017504,0.751330,0.003072,0.001152,0.000352,1.195876
0.420577,0.017856,0.737922,0.002817,0.001248,0.000320,1.187524
0.416001,0.017504,0.763938,0.003008,0.001216,0.000608,1.208867
0.421409,0.017632,0.752066,0.002816,0.001248,0.000384,1.201827
0.415810,0.017504,0.756418,0.002624,0.001248,0.000576,1.200260
0.460449,0.017568,0.752803,0.002816,0.001184,0.000416,1.241412
0.420161,0.017312,0.753218,0.002720,0.001248,0.000384,1.201219
0.416321,0.017312,0.751554,0.002560,0.001184,0.000576,1.195747
0.431842,0.017408,0.765730,0.002816,0.001184,0.000576,1.227204
0.421057,0.017568,0.758338,0.002592,0.001248,0.000544,1.207652
0.416833,0.017312,0.784322,0.003072,0.001248,0.000384,1.229091
0.416353,0.017312,0.753762,0.002720,0.001216,0.000384,1.197923
0.417282,0.017280,0.748514,0.002464,0.001280,0.000416,1.193732
0.416513,0.017344,0.776066,0.002496,0.001216,0.000384,1.220643
0.417729,0.017184,0.741442,0.002880,0.001312,0.000384,1.187043
0.416226,0.017536,0.741538,0.002592,0.001248,0.000416,1.185956
0.433057,0.017632,0.766179,0.002592,0.001248,0.000576,1.227844
0.420193,0.017504,0.748962,0.002656,0.001248,0.000384,1.197155
0.420225,0.017728,0.755618,0.002592,0.001408,0.000352,1.205187
0.420033,0.017280,0.756002,0.003680,0.001376,0.000384,1.205347
0.421313,0.017793,0.754658,0.003616,0.001344,0.000576,1.205668
0.416353,0.017792,0.791714,0.003521,0.001280,0.000416,1.239460
0.420929,0.017600,0.760130,0.003712,0.001344,0.000352,1.210595
0.416705,0.017472,0.728002,0.003008,0.001376,0.000608,1.173379
0.420610,0.017664,0.795938,0.002976,0.001312,0.000608,1.245444
0.416353,0.017600,0.753891,0.002528,0.001344,0.000576,1.198404
0.416321,0.017536,0.753186,0.002752,0.001216,0.000320,1.197379
0.437089,0.017728,0.754306,0.002656,0.001280,0.000384,1.220899
