Layer[0],Layer[1],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.507617,0.017696,8.110583,0.015168,0.000448,0.001664,0.012800,0.000576,8.674936
0.439489,0.017600,0.737602,0.014784,0.000512,0.001664,0.001312,0.000384,1.221315
0.416898,0.017504,0.736290,0.016320,0.000448,0.001536,0.001152,0.000416,1.198020
0.416769,0.017472,0.742178,0.016480,0.000448,0.001472,0.001120,0.000384,1.203363
0.416225,0.017344,0.736770,0.016352,0.000480,0.001504,0.001088,0.000416,1.197187
0.416674,0.017696,0.742914,0.014784,0.000480,0.001600,0.001120,0.000416,1.201988
0.417057,0.017216,0.774403,0.016256,0.000416,0.001568,0.001024,0.000384,1.236228
0.416225,0.017216,0.739426,0.014624,0.000416,0.001632,0.001056,0.000416,1.197795
0.416321,0.017248,0.729218,0.015552,0.000448,0.001664,0.001056,0.000352,1.188355
0.416065,0.017440,0.758883,0.014496,0.000448,0.001536,0.000992,0.000384,1.217220
0.415873,0.017248,0.729378,0.016128,0.000448,0.001600,0.001024,0.000384,1.189091
0.415841,0.017344,0.728578,0.014208,0.000480,0.001504,0.001184,0.000352,1.186371
0.436321,0.017536,0.743811,0.014336,0.000480,0.001536,0.001184,0.000352,1.223236
0.416001,0.017312,0.730466,0.015776,0.000512,0.001504,0.001120,0.000384,1.189955
0.416481,0.017344,0.735202,0.015360,0.000512,0.001568,0.001152,0.000352,1.194435
0.416225,0.017281,0.749570,0.014464,0.000480,0.001504,0.000992,0.000384,1.207204
0.417249,0.017504,0.728834,0.014240,0.000448,0.001440,0.001120,0.000416,1.188547
0.415937,0.017312,0.745314,0.015744,0.000448,0.001472,0.001088,0.000384,1.204739
0.416257,0.017441,0.728834,0.014144,0.000416,0.001440,0.001056,0.000416,1.186692
0.415521,0.017280,0.729090,0.014080,0.000448,0.001472,0.001024,0.000416,1.186019
0.415873,0.017792,0.761794,0.014656,0.000512,0.001440,0.001152,0.000384,1.220355
0.416065,0.020800,0.736131,0.015872,0.000480,0.001472,0.001088,0.000416,1.198628
0.415969,0.017440,0.722754,0.015136,0.000480,0.001472,0.001056,0.000416,1.180771
0.416290,0.017248,0.752482,0.014368,0.000448,0.001440,0.001024,0.000352,1.210692
0.415681,0.017824,0.723458,0.015072,0.000448,0.001568,0.001121,0.000384,1.182084
