Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[10],classifier
0.523202,0.017536,0.205824,0.005152,0.069473,0.001024,0.154592,1.045667
0.420033,0.017408,0.203425,0.004800,0.048288,0.000768,0.134112,0.895490
0.422305,0.017728,0.203777,0.005184,0.048864,0.000928,0.145056,0.915682
0.421697,0.017600,0.203936,0.005056,0.048449,0.000960,0.156704,0.931330
0.423394,0.017728,0.203200,0.005088,0.048640,0.000896,0.140001,0.909859
0.421377,0.017632,0.202784,0.005088,0.049376,0.000768,0.138305,0.921059
0.420481,0.017760,0.204033,0.004800,0.048832,0.000640,0.134784,0.906947
0.436097,0.017504,0.202625,0.004832,0.049472,0.000608,0.129760,0.910562
0.416577,0.017760,0.202273,0.005024,0.049472,0.000832,0.160608,0.929858
0.416161,0.017600,0.203104,0.005217,0.048672,0.000800,0.153728,0.913570
0.415042,0.017536,0.203808,0.005280,0.047552,0.000800,0.194433,0.983427
0.420577,0.017312,0.202240,0.004992,0.047136,0.000800,0.148385,0.914530
0.420001,0.017377,0.202944,0.005120,0.047488,0.000768,0.154721,0.921475
0.420577,0.017536,0.203009,0.004864,0.047424,0.001024,0.141345,0.905475
0.440865,0.017312,0.202305,0.004960,0.047616,0.000832,0.147104,0.927427
0.419937,0.017344,0.202625,0.004864,0.047296,0.000800,0.137664,0.904962
0.415457,0.017568,0.204384,0.004800,0.047041,0.000768,0.141408,0.897154
0.422818,0.017632,0.227680,0.005344,0.048385,0.000896,0.182752,0.983811
0.421697,0.017632,0.202624,0.005088,0.048225,0.000864,0.159552,0.928418
0.417858,0.018048,0.202560,0.005056,0.047232,0.000800,0.135329,0.895203
0.420929,0.017696,0.202529,0.005056,0.047936,0.001088,0.149441,0.913763
0.417153,0.017632,0.204097,0.005056,0.048416,0.000864,0.138304,0.899715
0.422465,0.017824,0.202689,0.005280,0.048896,0.000864,0.159200,0.927042
0.423457,0.017696,0.202561,0.005120,0.048672,0.000832,0.150624,0.921826
0.435361,0.017472,0.202048,0.005280,0.048929,0.000832,0.154112,0.937506
0.416354,0.017824,0.202400,0.004832,0.048320,0.000832,0.151585,0.913283
0.421793,0.017600,0.202657,0.005024,0.048416,0.000800,0.151457,0.919267
0.422561,0.017536,0.202497,0.005024,0.048192,0.000832,0.174465,0.953731
0.417313,0.017696,0.202593,0.005152,0.047936,0.000832,0.149472,0.910627
0.421249,0.017536,0.203009,0.005024,0.048512,0.000832,0.150464,0.917570
0.423713,0.017600,0.202560,0.005280,0.047616,0.000864,0.149665,0.923106
0.434402,0.017760,0.202912,0.004992,0.048608,0.000800,0.151361,0.928163
0.417057,0.017792,0.203041,0.005280,0.048608,0.000832,0.152225,0.916963
0.422081,0.017632,0.203137,0.005248,0.048704,0.000864,0.149568,0.915619
0.419201,0.017568,0.203073,0.005216,0.066496,0.000896,0.153472,0.937986
0.416545,0.017696,0.203552,0.005056,0.049505,0.000832,0.156256,0.916098
0.420962,0.017632,0.204288,0.004992,0.048640,0.000832,0.149345,0.914435
0.416705,0.017568,0.203073,0.005120,0.048736,0.000832,0.152353,0.916355
0.430753,0.017792,0.204065,0.005280,0.048064,0.000800,0.149600,0.929571
0.420865,0.017568,0.202785,0.005248,0.048064,0.000864,0.150368,0.913730
0.420193,0.017504,0.202112,0.005120,0.047713,0.000832,0.149472,0.916994
0.416674,0.017824,0.220864,0.005216,0.047808,0.000832,0.150721,0.932259
0.417633,0.017537,0.203712,0.005088,0.048256,0.000864,0.158529,0.923555
0.419809,0.018048,0.202305,0.005120,0.048224,0.000864,0.150560,0.918659
0.419425,0.017824,0.202593,0.005344,0.047872,0.000800,0.145760,0.908162
0.421121,0.017568,0.203105,0.005088,0.048576,0.000864,0.149376,0.911426
0.420866,0.017760,0.202976,0.005088,0.047680,0.000832,0.148161,0.912675
0.415777,0.017601,0.203168,0.005344,0.048768,0.000832,0.152641,0.919779
0.421953,0.017792,0.221057,0.005376,0.047488,0.000832,0.150369,0.934403
