Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[10],classifier
0.516514,0.017504,0.205280,0.004896,0.048288,0.000768,0.014144,0.086625,0.958851
0.416450,0.017728,0.203136,0.005024,0.048160,0.000544,0.013632,0.117121,0.892579
0.416065,0.018016,0.205281,0.005216,0.068736,0.000576,0.013856,0.118529,0.926115
0.415777,0.017632,0.203745,0.005280,0.048832,0.000576,0.013568,0.112256,0.892738
0.415649,0.017856,0.204224,0.005024,0.048513,0.000768,0.013664,0.129600,0.905858
0.415298,0.017536,0.203200,0.004800,0.048960,0.000448,0.013856,0.104641,0.883267
0.430209,0.017696,0.202529,0.004768,0.047872,0.000576,0.013856,0.105504,0.891074
0.415329,0.017536,0.202528,0.005216,0.048001,0.000544,0.013408,0.141408,0.921666
0.415585,0.017184,0.202816,0.005024,0.047648,0.000512,0.013600,0.120385,0.896739
0.416385,0.017888,0.202337,0.005248,0.048736,0.000608,0.013664,0.121920,0.930563
0.415713,0.017280,0.202561,0.005312,0.048416,0.000544,0.013472,0.096000,0.864642
0.416610,0.018176,0.202080,0.005248,0.047488,0.000576,0.013408,0.109121,0.879107
0.415489,0.017760,0.202337,0.004800,0.046720,0.000512,0.013312,0.099232,0.876098
0.415041,0.017600,0.219072,0.005440,0.047169,0.000544,0.013312,0.128320,0.915874
0.415201,0.017889,0.202656,0.005280,0.048000,0.000576,0.013696,0.113601,0.890307
0.415809,0.017632,0.202241,0.004864,0.047968,0.000544,0.013344,0.102176,0.874402
0.415234,0.017216,0.202816,0.004864,0.047776,0.000576,0.013440,0.137473,0.906659
0.426401,0.017824,0.202081,0.004768,0.047744,0.000576,0.013376,0.099616,0.878691
0.415169,0.017760,0.202176,0.004769,0.047168,0.000576,0.013344,0.099872,0.869858
0.415073,0.017184,0.202593,0.005312,0.047840,0.000544,0.013440,0.111809,0.889251
0.415169,0.017216,0.202593,0.005280,0.047488,0.000544,0.013440,0.100928,0.895970
0.415041,0.017248,0.202272,0.005248,0.047360,0.000576,0.013409,0.120768,0.890530
0.415201,0.017376,0.201761,0.004832,0.047008,0.000576,0.013280,0.116416,0.887235
0.415489,0.017216,0.202113,0.005248,0.046720,0.000576,0.013344,0.106208,0.878850
0.415330,0.033792,0.202944,0.005312,0.048544,0.000576,0.013825,0.124576,0.920579
0.415745,0.017280,0.202497,0.004832,0.048128,0.000576,0.013408,0.112864,0.891779
0.415105,0.017408,0.202593,0.004896,0.047136,0.000576,0.013376,0.099776,0.866690
0.417442,0.017920,0.203712,0.005280,0.049312,0.000640,0.014208,0.121729,0.903779
0.416449,0.017856,0.202849,0.004896,0.049056,0.000800,0.013472,0.106624,0.881635
0.415713,0.017216,0.202529,0.004864,0.048256,0.000576,0.013472,0.111200,0.883970
0.415234,0.017120,0.202432,0.005152,0.048160,0.000608,0.013408,0.103233,0.880163
0.415297,0.017664,0.202241,0.004896,0.047104,0.000544,0.013280,0.109728,0.879682
0.415393,0.017344,0.202272,0.005280,0.046977,0.000544,0.013280,0.111712,0.885858
0.415361,0.017632,0.202337,0.004800,0.047104,0.000576,0.013344,0.112064,0.914723
0.415521,0.017184,0.202273,0.004768,0.048000,0.000608,0.013440,0.117984,0.891682
0.429474,0.017600,0.205792,0.005376,0.047713,0.000768,0.013408,0.110304,0.905795
0.416097,0.017376,0.202049,0.005248,0.047328,0.000544,0.013376,0.099328,0.874147
0.415233,0.017600,0.202177,0.005280,0.047104,0.000544,0.013344,0.102304,0.880962
0.415585,0.017761,0.202176,0.004768,0.046816,0.000576,0.013280,0.100961,0.874403
0.417089,0.017760,0.202113,0.005024,0.047296,0.000608,0.013408,0.110784,0.888002
0.415329,0.017568,0.202208,0.005248,0.047393,0.000576,0.013408,0.095520,0.864578
0.414529,0.018272,0.201857,0.004832,0.047648,0.000576,0.013312,0.100640,0.876163
0.415073,0.017632,0.202177,0.005024,0.046848,0.000576,0.013280,0.118624,0.890146
0.415042,0.017248,0.201984,0.004736,0.047104,0.000576,0.013408,0.117633,0.884131
0.415361,0.017664,0.202305,0.004864,0.048128,0.000608,0.013344,0.111808,0.887267
0.415713,0.017792,0.201856,0.005280,0.047201,0.000576,0.013312,0.101568,0.867554
0.424801,0.017632,0.202049,0.004864,0.047200,0.000576,0.013344,0.109601,0.886083
0.415393,0.017600,0.202081,0.005216,0.046976,0.000608,0.013376,0.119808,0.888386
0.415394,0.017440,0.201952,0.005248,0.046816,0.000576,0.013408,0.104801,0.872515
0.416417,0.017344,0.201825,0.004768,0.047392,0.000544,0.013376,0.104064,0.875235
0.429089,0.017952,0.201889,0.005056,0.047392,0.000608,0.013504,0.112032,0.898658
0.414882,0.017632,0.201824,0.005312,0.046688,0.000576,0.013312,0.093505,0.859427
0.414657,0.017152,0.202049,0.004832,0.046816,0.000576,0.013312,0.105472,0.875682
0.414913,0.017088,0.201984,0.005216,0.046753,0.000576,0.013344,0.138944,0.916834
0.415297,0.017696,0.202721,0.004800,0.047104,0.000608,0.013440,0.102433,0.872067
0.414849,0.017344,0.202337,0.004800,0.046976,0.000608,0.013376,0.094336,0.858466
0.415074,0.017408,0.201824,0.005408,0.046912,0.000576,0.013344,0.101633,0.869891
0.414721,0.017344,0.217153,0.004896,0.047008,0.000576,0.013280,0.123360,0.903714
0.414753,0.017376,0.202144,0.005280,0.047072,0.000576,0.013281,0.108736,0.875234
0.414913,0.017376,0.203713,0.004832,0.048032,0.000544,0.013344,0.107904,0.885155
0.414753,0.017312,0.201985,0.005312,0.047168,0.000576,0.013312,0.095776,0.864578
0.428386,0.017568,0.201952,0.004800,0.046720,0.000608,0.013376,0.101025,0.877859
0.414753,0.017152,0.201985,0.005248,0.046912,0.000544,0.013344,0.105056,0.874306
0.415074,0.017216,0.202784,0.004832,0.046784,0.000608,0.013344,0.115489,0.889219
0.414753,0.017376,0.202689,0.005280,0.047040,0.000608,0.013504,0.103520,0.893891
0.414913,0.017440,0.202720,0.004800,0.046913,0.000576,0.013312,0.098176,0.862082
0.417249,0.017664,0.202145,0.005312,0.047584,0.000768,0.013984,0.131361,0.903587
0.416129,0.017312,0.202753,0.004832,0.048192,0.000608,0.014144,0.109120,0.882211
0.415585,0.017504,0.215712,0.005121,0.047936,0.000576,0.013856,0.110144,0.894466
0.414689,0.017313,0.202240,0.004800,0.049120,0.000544,0.013440,0.096577,0.866435
0.414753,0.017184,0.201985,0.005280,0.048864,0.000576,0.013408,0.098432,0.866466
0.414690,0.017216,0.202304,0.005024,0.047296,0.000608,0.013280,0.118369,0.884835
0.430753,0.017472,0.202209,0.005248,0.047168,0.000608,0.013312,0.111872,0.903651
0.415457,0.017344,0.202240,0.004832,0.047073,0.000640,0.013280,0.106336,0.877090
0.415457,0.017344,0.202209,0.005344,0.047168,0.000576,0.013280,0.115681,0.893283
0.415297,0.017152,0.202401,0.004992,0.046912,0.000544,0.013312,0.105280,0.888770
0.414722,0.017728,0.202400,0.005024,0.046816,0.000576,0.013280,0.095585,0.858883
0.415393,0.017728,0.202657,0.004864,0.047008,0.000608,0.013312,0.105216,0.874498
0.415233,0.017216,0.202016,0.005248,0.047008,0.000576,0.013377,0.103264,0.869154
0.415457,0.017248,0.219137,0.005152,0.046880,0.000608,0.013344,0.097888,0.881123
0.414305,0.017280,0.202304,0.004832,0.046849,0.000544,0.013312,0.097376,0.859874
0.414881,0.017216,0.202017,0.005280,0.046656,0.000544,0.013280,0.140481,0.914051
0.414913,0.017600,0.202241,0.005280,0.046784,0.000544,0.013312,0.106208,0.872226
0.430401,0.017504,0.202528,0.004864,0.047681,0.000544,0.013472,0.109504,0.901122
0.415841,0.017472,0.203777,0.005216,0.047584,0.000544,0.013440,0.112193,0.887555
0.415521,0.017600,0.202273,0.005120,0.047936,0.000480,0.013440,0.101248,0.873730
0.415202,0.017504,0.202176,0.005024,0.047392,0.000512,0.013376,0.099745,0.864963
0.415137,0.017504,0.202241,0.004800,0.047264,0.000544,0.013344,0.100352,0.865026
0.415169,0.017216,0.202112,0.005312,0.047456,0.000576,0.013377,0.109248,0.880130
0.415233,0.017248,0.201857,0.005216,0.046912,0.000512,0.013376,0.103776,0.869187
0.416609,0.017408,0.223105,0.005088,0.046912,0.000576,0.013376,0.110976,0.909698
0.415042,0.017408,0.202080,0.004768,0.046816,0.000576,0.013376,0.107425,0.875459
0.415841,0.017440,0.207009,0.004928,0.046912,0.000608,0.013376,0.139456,0.919011
0.415937,0.017472,0.202561,0.004800,0.047808,0.000576,0.013472,0.124256,0.905218
