Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.510242,0.017920,0.205600,0.004864,0.047297,0.000608,0.013632,0.000384,0.001472,0.160544,0.000864,0.972419
0.416129,0.017504,0.203936,0.004865,0.047936,0.000608,0.013792,0.000384,0.001440,0.179840,0.000832,0.896258
0.416258,0.017248,0.204160,0.005024,0.048032,0.000640,0.013856,0.000384,0.001440,0.181217,0.000864,0.897859
0.436258,0.017376,0.203520,0.004864,0.048928,0.000608,0.014784,0.000320,0.001472,0.185889,0.000928,0.923363
0.416289,0.017504,0.202913,0.004832,0.048448,0.000544,0.014624,0.000384,0.001440,0.180737,0.000736,0.897475
0.415873,0.017408,0.203201,0.004800,0.049152,0.000608,0.014432,0.000352,0.001696,0.178336,0.000544,0.894754
0.416001,0.017536,0.203905,0.005248,0.049856,0.000544,0.035552,0.000480,0.002016,0.195520,0.000480,0.936994
0.417057,0.017504,0.202656,0.004768,0.049473,0.000608,0.014272,0.000384,0.001440,0.175616,0.000512,0.893186
0.415842,0.017280,0.202976,0.004896,0.049184,0.000576,0.014048,0.000352,0.001472,0.186785,0.000576,0.902563
0.415617,0.017184,0.203937,0.004832,0.048672,0.000576,0.013536,0.000416,0.001536,0.181825,0.000608,0.897379
0.434721,0.017600,0.202209,0.004864,0.048800,0.000576,0.013568,0.000384,0.001504,0.182881,0.000544,0.916355
0.416065,0.017312,0.202401,0.004800,0.048128,0.000576,0.013824,0.000384,0.001536,0.176832,0.000544,0.889922
0.415265,0.017568,0.202304,0.004832,0.047681,0.000576,0.013984,0.000384,0.001472,0.178048,0.000544,0.890466
0.415682,0.017344,0.218240,0.005088,0.047488,0.000608,0.013376,0.000384,0.001504,0.162785,0.000576,0.891043
0.415521,0.017472,0.202657,0.004864,0.047904,0.000608,0.013376,0.000352,0.001408,0.174689,0.000608,0.887043
0.415809,0.017216,0.202817,0.004832,0.047328,0.000608,0.013408,0.000416,0.001440,0.186080,0.000544,0.898210
0.415713,0.017344,0.202560,0.004832,0.047777,0.000576,0.013856,0.000416,0.001472,0.188480,0.000608,0.903842
0.431074,0.017344,0.202496,0.005248,0.049152,0.000576,0.013729,0.000416,0.001504,0.185696,0.000576,0.915555
0.415329,0.017345,0.203072,0.004832,0.047776,0.000544,0.013440,0.000352,0.001504,0.177025,0.000544,0.889891
0.415681,0.017536,0.203009,0.004928,0.047328,0.000576,0.013408,0.000320,0.001472,0.176737,0.000608,0.889283
0.415393,0.017248,0.223105,0.005088,0.050496,0.000576,0.013760,0.000352,0.001472,0.174752,0.000576,0.911042
0.415553,0.017312,0.202176,0.005280,0.047649,0.000544,0.014208,0.000608,0.001536,0.178752,0.000640,0.892290
0.416514,0.017536,0.202464,0.005280,0.047648,0.000608,0.013440,0.000352,0.001504,0.186049,0.000576,0.900003
0.416321,0.017312,0.202433,0.005056,0.047232,0.000608,0.013504,0.000384,0.001472,0.169665,0.000544,0.882243
0.436065,0.017760,0.202753,0.005312,0.047168,0.000768,0.013376,0.000384,0.001440,0.179104,0.000544,0.912578
0.415329,0.017280,0.202304,0.004832,0.047009,0.000608,0.013888,0.000352,0.001408,0.175488,0.000544,0.886402
0.416738,0.017472,0.202656,0.004928,0.047104,0.000608,0.013728,0.000384,0.001536,0.183553,0.000576,0.897507
0.416001,0.017216,0.220289,0.005216,0.047200,0.000576,0.013472,0.000352,0.001568,0.183265,0.000544,0.913539
0.416769,0.017536,0.202977,0.004864,0.047712,0.000544,0.013472,0.000384,0.001504,0.184928,0.000608,0.899106
0.417121,0.017408,0.202208,0.004800,0.047393,0.000992,0.013472,0.000384,0.001440,0.186464,0.000640,0.899842
0.416354,0.017472,0.202720,0.004832,0.047136,0.000608,0.013376,0.000352,0.001440,0.186625,0.000480,0.898755
0.428833,0.017312,0.202561,0.004832,0.047328,0.000800,0.013376,0.000384,0.001440,0.176929,0.000544,0.901379
0.416865,0.017408,0.202337,0.004832,0.046976,0.000576,0.013664,0.000352,0.001440,0.173920,0.000544,0.886402
0.415169,0.017440,0.202880,0.004768,0.047072,0.000576,0.013633,0.000416,0.001408,0.179104,0.000512,0.890114
0.415265,0.017312,0.202369,0.004864,0.047040,0.000576,0.029792,0.000448,0.001536,0.170689,0.000448,0.897891
