Layer[0],Layer[1],Layer[8],Layer[9],Layer[10],classifier
0.420545,0.017376,0.750499,0.001376,0.000416,1.195588
0.420449,0.017280,0.743683,0.001728,0.000512,1.191012
0.434786,0.017344,0.755970,0.001472,0.000416,1.217316
0.420514,0.017344,0.747970,0.001376,0.000416,1.193028
0.416994,0.017568,0.762082,0.001504,0.000416,1.204324
0.421537,0.017472,0.759970,0.001664,0.000512,1.208675
0.420929,0.017568,0.747426,0.001568,0.000416,1.194179
0.420737,0.017536,0.789058,0.001760,0.000512,1.236931
0.420609,0.017408,0.749186,0.001600,0.000480,1.195427
0.416065,0.017600,0.757730,0.001536,0.000384,1.199203
0.420161,0.017600,0.798594,0.001632,0.000448,1.244291
0.416833,0.017536,0.743458,0.001568,0.000480,1.185731
0.417505,0.017344,0.742786,0.001633,0.000448,1.185668
0.439713,0.017376,0.751811,0.001472,0.000480,1.217796
0.420193,0.017697,0.762274,0.001440,0.000448,1.208772
0.422370,0.017376,0.753986,0.001600,0.000384,1.201380
0.420642,0.017408,0.756130,0.001440,0.000448,1.201796
0.416705,0.017280,0.754082,0.001664,0.000384,1.195939
0.421505,0.017440,0.772866,0.001600,0.000384,1.219811
0.421569,0.017536,0.749474,0.001376,0.000480,1.196259
0.416129,0.017568,0.743298,0.001632,0.000512,1.185027
0.420545,0.017600,0.775874,0.001536,0.000352,1.221635
0.416353,0.017280,0.744194,0.001472,0.000480,1.185123
0.421249,0.020960,0.742754,0.001408,0.000416,1.192835
0.435777,0.017696,0.770786,0.001632,0.000416,1.232995
0.420353,0.017472,0.755842,0.001696,0.000480,1.203683
0.420801,0.017376,0.752706,0.001600,0.000448,1.199427
0.420545,0.017344,0.756643,0.001664,0.000448,1.203172
0.416449,0.017409,0.756482,0.001536,0.000416,1.198564
0.416290,0.017440,0.785986,0.001664,0.000512,1.228836
0.420545,0.017376,0.751970,0.001536,0.000448,1.199299
0.420577,0.017376,0.754274,0.001472,0.000384,1.199811
0.416993,0.017312,0.745954,0.001696,0.000480,1.188835
0.420609,0.017344,0.752450,0.001568,0.000416,1.198499
0.419489,0.017504,0.758402,0.001408,0.000416,1.204515
0.436609,0.017504,0.738434,0.001280,0.000384,1.200323
0.416385,0.017984,0.750690,0.001312,0.000384,1.192579
0.416097,0.017504,0.741570,0.001536,0.000448,1.183139
0.417249,0.017600,0.748386,0.001376,0.000448,1.191107
0.419681,0.017728,0.742722,0.001568,0.000416,1.188483
0.415489,0.017536,0.772034,0.001600,0.000352,1.213091
0.416705,0.017504,0.738594,0.001345,0.000384,1.180708
0.420705,0.017472,0.747171,0.001440,0.000352,1.193700
0.420481,0.017601,0.784066,0.001536,0.000384,1.229860
0.416226,0.017472,0.765346,0.001792,0.000480,1.209348
0.420673,0.017536,0.760066,0.001536,0.000448,1.206627
0.438721,0.017568,0.762658,0.001504,0.000416,1.227011
0.420673,0.017344,0.756226,0.001504,0.000352,1.201891
0.415745,0.017600,0.753602,0.001472,0.000384,1.194595
0.420641,0.017408,0.764546,0.001568,0.000416,1.210275
0.421153,0.017248,0.755010,0.001408,0.000384,1.200771
0.416065,0.017536,0.788163,0.001632,0.000448,1.231204
0.416962,0.017472,0.738402,0.001440,0.000416,1.180036
0.416450,0.017440,0.744290,0.001376,0.000448,1.185284
0.420098,0.017568,0.775618,0.001696,0.000512,1.223556
0.420353,0.017696,0.739394,0.001600,0.000480,1.185219
0.420577,0.017344,0.756642,0.001664,0.000512,1.204163
0.439841,0.017536,0.759714,0.001568,0.000480,1.224995
0.420513,0.017440,0.745922,0.001600,0.000544,1.191843
0.420993,0.017376,0.752514,0.001440,0.000416,1.198435
0.417025,0.017344,0.750690,0.001472,0.000480,1.193347
