Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
8.660415,0.258240,0.005472,0.047328,0.000576,0.013408,0.000416,0.001472,0.008384,0.000608,9.003647
1.183232,0.204928,0.005312,0.047744,0.000576,0.013376,0.000384,0.001408,0.000896,0.000544,1.465696
1.188288,0.203744,0.005888,0.048192,0.000576,0.013632,0.000384,0.001600,0.001056,0.000352,1.470784
1.223104,0.204896,0.006048,0.048704,0.000608,0.013600,0.000416,0.001568,0.000896,0.000384,1.508320
1.246336,0.204832,0.005632,0.048640,0.000608,0.013856,0.000608,0.001440,0.001088,0.000384,1.530208
1.208800,0.204896,0.005440,0.048672,0.000576,0.013760,0.000384,0.001440,0.000992,0.000352,1.492128
1.222624,0.204256,0.005600,0.048608,0.001056,0.013920,0.000384,0.001472,0.000992,0.000352,1.506240
1.179744,0.203904,0.005088,0.047840,0.000768,0.013504,0.000416,0.001440,0.000896,0.000384,1.460736
1.198944,0.203968,0.005120,0.047936,0.000768,0.013728,0.000416,0.001440,0.001120,0.000320,1.480096
1.199840,0.203680,0.005088,0.047456,0.000896,0.013600,0.000384,0.001440,0.001056,0.000384,1.480160
1.195616,0.203584,0.005568,0.048640,0.000832,0.013888,0.000416,0.001408,0.001376,0.000352,1.479392
1.231392,0.204224,0.005024,0.048160,0.000576,0.013632,0.000416,0.001536,0.000960,0.000352,1.513440
1.164736,0.203456,0.005088,0.047360,0.000576,0.013312,0.000416,0.001472,0.000960,0.000384,1.443936
1.218976,0.203840,0.005184,0.047104,0.000608,0.013600,0.000416,0.001472,0.000896,0.000384,1.498816
1.184928,0.202976,0.005664,0.047168,0.000608,0.013312,0.000416,0.001440,0.000960,0.000352,1.464064
1.190720,0.204288,0.005536,0.048192,0.000608,0.014272,0.000384,0.001440,0.001088,0.000352,1.473504
1.208992,0.204288,0.005568,0.048032,0.000768,0.013536,0.000512,0.001408,0.001024,0.000352,1.490432
1.190080,0.203872,0.005504,0.047328,0.001024,0.013376,0.000480,0.001376,0.000992,0.000352,1.471456
1.218079,0.207232,0.005536,0.047232,0.000832,0.013344,0.000448,0.001440,0.000960,0.000384,1.501535
1.206720,0.203904,0.005408,0.047232,0.001024,0.013472,0.000480,0.001504,0.000960,0.000352,1.487232
1.202208,0.203616,0.005504,0.047328,0.000832,0.013472,0.000416,0.001440,0.001024,0.000384,1.484064
1.217568,0.203456,0.005440,0.047680,0.000800,0.013440,0.000448,0.001504,0.001056,0.000416,1.498208
1.207360,0.203360,0.005472,0.065632,0.001152,0.013504,0.000384,0.001408,0.001120,0.000384,1.508864
1.196928,0.203488,0.005056,0.047008,0.000832,0.013376,0.000448,0.001440,0.000992,0.000352,1.475904
1.179904,0.203424,0.005088,0.047008,0.000832,0.013376,0.000416,0.001408,0.000960,0.000352,1.459904
1.250976,0.203520,0.005056,0.047168,0.001024,0.013696,0.000384,0.001440,0.000992,0.000384,1.531040
1.215872,0.203648,0.005376,0.047136,0.000544,0.013376,0.000448,0.001408,0.001024,0.000384,1.495904
1.206656,0.204864,0.005312,0.047072,0.000576,0.013376,0.000416,0.001376,0.000960,0.000352,1.487456
1.204576,0.203840,0.005536,0.047008,0.000576,0.013280,0.000416,0.001376,0.000960,0.000352,1.484288
1.173824,0.203520,0.005152,0.064608,0.000640,0.013440,0.000384,0.001472,0.001376,0.000352,1.471584
1.228512,0.205120,0.005024,0.047232,0.000608,0.013376,0.000416,0.001408,0.001440,0.000352,1.510656
1.202528,0.203392,0.004992,0.047424,0.000576,0.013344,0.000448,0.001472,0.000928,0.000384,1.481760
1.208800,0.203552,0.005056,0.047104,0.000640,0.013344,0.000416,0.001440,0.000960,0.000320,1.488096
1.205856,0.203936,0.005504,0.047104,0.000608,0.013344,0.000416,0.001376,0.000992,0.000384,1.485888
1.254080,0.203648,0.005152,0.047360,0.000640,0.013408,0.000416,0.001408,0.000928,0.000384,1.534016
1.207040,0.203552,0.005536,0.047008,0.000576,0.013312,0.000416,0.001408,0.001088,0.000384,1.486656
1.205568,0.222752,0.008960,0.047136,0.000832,0.013312,0.000448,0.001376,0.001024,0.000384,1.509408
1.177664,0.203488,0.005120,0.047104,0.001216,0.013440,0.000384,0.001440,0.001024,0.000352,1.457280
1.179712,0.203712,0.005056,0.047040,0.000992,0.013344,0.000416,0.001408,0.000864,0.000320,1.459008
1.206848,0.203456,0.005440,0.047136,0.000768,0.013696,0.000416,0.001472,0.001408,0.000352,1.487584
1.181952,0.204512,0.005440,0.047328,0.000608,0.013440,0.000384,0.001504,0.001216,0.000416,1.463232
1.207136,0.203936,0.005088,0.047200,0.000800,0.013344,0.000416,0.001376,0.001472,0.000384,1.487456
1.171456,0.203840,0.005568,0.047104,0.000768,0.013408,0.000416,0.001504,0.000960,0.000352,1.451840
1.195136,0.223776,0.005376,0.053120,0.000832,0.013952,0.000416,0.001440,0.001312,0.000352,1.502784
1.188352,0.203712,0.005536,0.047936,0.000768,0.013440,0.000416,0.001440,0.000960,0.000352,1.470144
1.212704,0.205120,0.005568,0.048192,0.000800,0.014080,0.000384,0.001792,0.001376,0.000608,1.497568
1.235968,0.203584,0.005024,0.048800,0.000800,0.013728,0.000384,0.001440,0.001120,0.000352,1.517696
1.209632,0.203520,0.005568,0.048320,0.000800,0.013472,0.000384,0.001440,0.001024,0.000384,1.491040
1.209408,0.204128,0.005056,0.048224,0.000768,0.013696,0.000448,0.001344,0.001088,0.000384,1.491040
1.195008,0.203328,0.005504,0.048064,0.000768,0.013440,0.000416,0.001408,0.001056,0.000384,1.475744
1.207712,0.221568,0.005088,0.047968,0.000800,0.013440,0.000384,0.001440,0.001056,0.000384,1.506624
1.179360,0.203104,0.005056,0.047232,0.000768,0.013344,0.000448,0.001408,0.000960,0.000384,1.458368
1.208448,0.203360,0.005024,0.047392,0.000800,0.013344,0.000416,0.001408,0.000960,0.000352,1.487488
1.229984,0.205184,0.005504,0.048384,0.000768,0.014560,0.000384,0.001504,0.001280,0.000608,1.515168
1.195200,0.204704,0.005344,0.050368,0.000608,0.014720,0.000416,0.001344,0.001088,0.000416,1.482496
1.228992,0.203648,0.005280,0.049568,0.000800,0.013696,0.000416,0.001376,0.001344,0.000352,1.512320
1.221600,0.203392,0.005536,0.047584,0.000800,0.013664,0.000416,0.001408,0.001344,0.000384,1.503872
1.268640,0.204192,0.005600,0.048032,0.000864,0.014048,0.000416,0.001440,0.001440,0.000416,1.552544
1.189504,0.204000,0.005536,0.048000,0.000832,0.014080,0.000384,0.001472,0.001376,0.000352,1.473056
1.203232,0.204320,0.005312,0.048928,0.000768,0.013824,0.000384,0.001472,0.001280,0.000352,1.486752
1.215552,0.203744,0.005344,0.048128,0.000832,0.013472,0.000384,0.001504,0.001056,0.000384,1.498432
1.185856,0.203744,0.005440,0.048640,0.000832,0.013376,0.000416,0.001440,0.001280,0.000384,1.468000
1.206656,0.203520,0.005088,0.049152,0.000800,0.013312,0.000416,0.001504,0.001056,0.000384,1.488288
1.198528,0.204800,0.005568,0.048480,0.000768,0.013376,0.000384,0.001696,0.001056,0.000352,1.482080
1.225472,0.203840,0.005568,0.048096,0.000800,0.013760,0.000416,0.001824,0.001088,0.000352,1.507904
