Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[8],Layer[9],Layer[10],classifier
0.515394,0.017696,0.206048,0.004864,0.048192,0.000800,0.014112,0.170401,0.002656,0.000608,0.989251
0.434978,0.017664,0.204928,0.004896,0.048321,0.000832,0.013696,0.190272,0.001920,0.000352,0.926403
0.416386,0.017760,0.203104,0.004896,0.048064,0.000992,0.013856,0.182753,0.001536,0.000384,0.898019
0.416865,0.017600,0.203425,0.004928,0.049440,0.000800,0.014496,0.180641,0.001312,0.000384,0.897123
0.417057,0.017728,0.202849,0.004864,0.050048,0.000768,0.014528,0.204353,0.001312,0.000384,0.921827
0.420609,0.017312,0.203329,0.004864,0.049088,0.000576,0.014464,0.178784,0.001824,0.000448,0.898338
0.415585,0.017376,0.202752,0.004864,0.049665,0.000832,0.014080,0.180160,0.001312,0.000416,0.894530
0.415970,0.017280,0.202400,0.004864,0.048992,0.000832,0.013760,0.177473,0.001248,0.000640,0.890755
0.431617,0.017376,0.204993,0.004832,0.048288,0.000608,0.013888,0.175649,0.001280,0.000384,0.906595
0.419937,0.017504,0.202689,0.004800,0.048416,0.000608,0.013760,0.178400,0.001280,0.000384,0.895746
0.420161,0.017696,0.202593,0.004832,0.047328,0.001024,0.013760,0.179392,0.001280,0.000384,0.896642
0.416226,0.017504,0.203424,0.004928,0.048384,0.000800,0.013888,0.206977,0.001504,0.000384,0.922147
0.420321,0.017537,0.202336,0.004864,0.048352,0.000800,0.013760,0.174401,0.001376,0.000448,0.891747
0.416193,0.017504,0.202433,0.004864,0.048288,0.000800,0.013696,0.177377,0.001344,0.000384,0.890595
0.420257,0.017344,0.202785,0.004896,0.048224,0.000768,0.013536,0.175584,0.001312,0.000448,0.893858
0.438081,0.017504,0.202656,0.004800,0.047905,0.000640,0.013760,0.178624,0.001280,0.000384,0.913442
0.416514,0.017408,0.202912,0.004832,0.048384,0.000608,0.013536,0.174561,0.001312,0.000416,0.888195
0.415553,0.017376,0.203489,0.004800,0.047808,0.000800,0.013696,0.176577,0.001312,0.000384,0.889219
0.420033,0.017472,0.203201,0.004864,0.047488,0.000800,0.013728,0.204224,0.001568,0.000416,0.921314
0.417601,0.017344,0.202528,0.004928,0.048417,0.000864,0.013696,0.173696,0.001280,0.000384,0.887650
0.419682,0.017504,0.202464,0.005248,0.048384,0.000800,0.013536,0.176289,0.001248,0.000384,0.893219
0.416129,0.017504,0.202817,0.004864,0.047328,0.000800,0.013568,0.183201,0.001344,0.000416,0.895907
0.437825,0.017344,0.202817,0.004832,0.048544,0.000800,0.013568,0.178177,0.001504,0.000384,0.913539
0.415649,0.017632,0.202177,0.004864,0.048160,0.000768,0.013760,0.173600,0.001440,0.000416,0.885634
0.415969,0.017664,0.202080,0.004832,0.049217,0.000800,0.013888,0.172704,0.001312,0.000416,0.886114
0.420418,0.017440,0.202656,0.004864,0.049728,0.000832,0.013600,0.194401,0.001216,0.000384,0.912995
0.415841,0.017600,0.202433,0.004928,0.048032,0.000768,0.014432,0.174881,0.001248,0.000384,0.888419
0.420033,0.017248,0.202433,0.004992,0.048128,0.000800,0.013920,0.174304,0.001312,0.000384,0.891042
0.415777,0.017344,0.202752,0.005152,0.048001,0.000800,0.013728,0.186272,0.001248,0.000416,0.898882
0.437698,0.017600,0.202816,0.004832,0.047968,0.000800,0.013537,0.179872,0.001184,0.000352,0.914691
0.420289,0.017376,0.202497,0.004864,0.047584,0.000832,0.013536,0.187361,0.001280,0.000448,0.904803
0.420577,0.017408,0.203169,0.004800,0.048032,0.000768,0.013472,0.186881,0.001312,0.000416,0.904739
0.415521,0.017536,0.202465,0.005344,0.067680,0.000800,0.013632,0.171392,0.001248,0.000416,0.903970
0.420769,0.017632,0.203200,0.005312,0.048001,0.000800,0.013664,0.181600,0.001408,0.000416,0.900386
0.420834,0.017472,0.203168,0.004864,0.049344,0.000832,0.013504,0.181185,0.001376,0.000416,0.900611
0.416385,0.017664,0.202401,0.004960,0.048736,0.000800,0.013472,0.186305,0.001344,0.000384,0.899843
0.437473,0.017760,0.202721,0.004832,0.048320,0.000800,0.013792,0.185537,0.001344,0.000416,0.920835
0.415521,0.017472,0.203105,0.005024,0.048320,0.000832,0.013696,0.177888,0.001312,0.000416,0.891170
0.420161,0.017568,0.202016,0.004832,0.048896,0.000736,0.013537,0.177600,0.001280,0.000416,0.894306
0.419969,0.017441,0.202464,0.004832,0.067392,0.000832,0.013664,0.183553,0.001312,0.000416,0.919523
0.416033,0.017472,0.202209,0.004832,0.048640,0.000800,0.013696,0.177729,0.001344,0.000416,0.891171
0.416321,0.017344,0.203073,0.004864,0.048000,0.000800,0.013696,0.177312,0.001408,0.000384,0.890722
0.415521,0.017376,0.202400,0.004833,0.048416,0.000800,0.013696,0.173056,0.001312,0.000384,0.885026
0.433890,0.017216,0.202272,0.004864,0.048384,0.000768,0.013504,0.175329,0.001280,0.000384,0.904995
0.415905,0.017344,0.203137,0.004864,0.048256,0.000768,0.013728,0.174689,0.001280,0.000416,0.887555
0.421793,0.017376,0.202081,0.004864,0.049280,0.000832,0.013504,0.182016,0.001568,0.000448,0.901123
0.419649,0.017472,0.221697,0.005312,0.047712,0.000640,0.013632,0.175104,0.001376,0.000352,0.910786
