Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[10],classifier
0.545090,0.017856,0.206912,0.004832,0.047552,0.000800,0.013537,0.000448,0.124768,1.030275
0.417441,0.018112,0.204992,0.004928,0.047649,0.000768,0.013792,0.000416,0.110944,0.891586
0.416546,0.017632,0.204416,0.005152,0.048672,0.000576,0.015072,0.000384,0.115201,0.894243
0.438145,0.017536,0.203105,0.004864,0.047616,0.000576,0.014304,0.000416,0.115585,0.909795
0.416641,0.017344,0.202913,0.004800,0.049376,0.000544,0.013888,0.000384,0.111552,0.897730
0.416449,0.017248,0.203424,0.004864,0.049921,0.000576,0.013984,0.000448,0.107360,0.887234
0.420513,0.017217,0.202848,0.004896,0.048672,0.000544,0.013728,0.000416,0.108993,0.892931
0.418465,0.017664,0.203361,0.004896,0.048832,0.000800,0.013824,0.000608,0.118688,0.901539
0.416225,0.017376,0.203329,0.004832,0.048864,0.000608,0.013856,0.000672,0.113280,0.887874
0.419905,0.017600,0.202624,0.004800,0.048480,0.000608,0.013761,0.000416,0.115648,0.894530
0.420641,0.017536,0.218721,0.005312,0.048224,0.000576,0.013504,0.000416,0.147361,0.943683
0.416001,0.017504,0.202753,0.005088,0.047648,0.000608,0.013856,0.000448,0.116352,0.889507
0.420289,0.017472,0.203041,0.004864,0.047616,0.000608,0.013568,0.000448,0.114624,0.894754
0.416257,0.017504,0.202720,0.004800,0.047841,0.000608,0.013824,0.000416,0.117568,0.893602
0.416482,0.017280,0.202400,0.005024,0.047872,0.000576,0.013568,0.000416,0.119361,0.895107
0.416097,0.017536,0.202561,0.004832,0.047584,0.000576,0.013664,0.000416,0.117984,0.891491
0.416193,0.017344,0.202689,0.004864,0.047264,0.000576,0.013504,0.000448,0.116160,0.889698
0.417089,0.017632,0.218048,0.005376,0.048289,0.000800,0.013984,0.000448,0.122720,0.916994
0.420642,0.017408,0.202624,0.004832,0.049568,0.000832,0.013856,0.000416,0.117057,0.903523
