Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[10],classifier
0.508225,0.017664,0.204929,0.004928,0.046848,0.000544,0.013376,0.000416,0.001472,0.122656,0.991234
0.434913,0.017632,0.204513,0.004896,0.048288,0.000576,0.013536,0.000384,0.001792,0.116192,0.914755
0.421153,0.017536,0.203937,0.004832,0.048288,0.000608,0.013920,0.000384,0.001568,0.116800,0.910850
0.416449,0.017408,0.203872,0.005280,0.050657,0.000576,0.014784,0.000416,0.001568,0.114592,0.900258
0.417858,0.017632,0.203488,0.004832,0.050016,0.000608,0.014176,0.000416,0.001536,0.131137,0.920195
0.414881,0.017857,0.203968,0.004896,0.048960,0.000576,0.014688,0.000384,0.001568,0.115649,0.894755
0.417409,0.017696,0.203297,0.004864,0.049696,0.000800,0.014688,0.000384,0.001536,0.124160,0.913027
0.416257,0.017504,0.203393,0.005248,0.050176,0.000832,0.014848,0.000384,0.001536,0.116480,0.902978
0.435521,0.017408,0.203521,0.004800,0.048320,0.000800,0.013888,0.000384,0.001568,0.112384,0.906146
0.416930,0.017440,0.203808,0.005216,0.048544,0.000608,0.013632,0.000352,0.001472,0.108417,0.890083
0.416385,0.017344,0.203233,0.004832,0.048704,0.000832,0.013664,0.000384,0.001440,0.116352,0.900355
0.416481,0.017568,0.203265,0.004896,0.048128,0.000832,0.013600,0.000384,0.001536,0.134944,0.917539
0.416673,0.017472,0.204289,0.005344,0.047968,0.000576,0.013440,0.000384,0.001472,0.108288,0.885954
0.416194,0.017344,0.204224,0.005248,0.047680,0.000576,0.013600,0.000352,0.001472,0.111041,0.887011
0.420929,0.017344,0.204801,0.004928,0.047232,0.000576,0.013536,0.000416,0.001504,0.112641,0.897443
0.453793,0.017600,0.204161,0.004800,0.048576,0.000576,0.014080,0.000608,0.001536,0.118624,0.936995
0.416897,0.017568,0.203841,0.004864,0.048480,0.000832,0.013824,0.000384,0.001472,0.109216,0.883394
0.416226,0.017440,0.203648,0.004864,0.047360,0.000832,0.013632,0.000352,0.001536,0.113089,0.896163
0.416257,0.017344,0.206017,0.004864,0.046976,0.000832,0.013600,0.000352,0.001536,0.129697,0.912291
0.415809,0.017568,0.203393,0.004832,0.047392,0.000608,0.013792,0.000384,0.001440,0.108992,0.885986
0.421025,0.017312,0.203360,0.004768,0.046913,0.001088,0.013536,0.000416,0.001408,0.105760,0.886946
0.416418,0.017312,0.203936,0.005280,0.047008,0.000800,0.013568,0.000384,0.001472,0.110849,0.887619
0.435009,0.017440,0.203297,0.004832,0.047136,0.000576,0.013536,0.000384,0.001504,0.111072,0.906115
0.420289,0.017504,0.204673,0.004896,0.046944,0.001024,0.013504,0.000384,0.001440,0.109280,0.888514
0.415745,0.017344,0.202880,0.004992,0.046849,0.000864,0.013504,0.000352,0.001408,0.113472,0.895266
0.417921,0.017504,0.203680,0.004832,0.047232,0.000864,0.013536,0.000352,0.001504,0.113313,0.895907
0.420769,0.017536,0.203713,0.004832,0.047200,0.000832,0.013504,0.000384,0.001504,0.112768,0.894947
0.416097,0.017376,0.203809,0.004800,0.047072,0.000800,0.013504,0.000384,0.001472,0.111008,0.888930
0.416417,0.017760,0.202752,0.004928,0.047361,0.000800,0.013472,0.000352,0.001536,0.110720,0.887266
0.433858,0.017664,0.204864,0.004896,0.046944,0.000832,0.013472,0.000384,0.001536,0.109217,0.905987
0.420289,0.017376,0.203553,0.005088,0.047200,0.000576,0.013472,0.000384,0.001504,0.104000,0.880130
0.420065,0.017344,0.203073,0.004832,0.047168,0.000800,0.013472,0.000384,0.001536,0.112672,0.893378
0.416738,0.017472,0.202848,0.004832,0.047456,0.000544,0.013440,0.000416,0.001472,0.112961,0.887907
0.416385,0.017568,0.203297,0.005024,0.047552,0.000608,0.013408,0.000416,0.001472,0.112800,0.891363
0.419905,0.017248,0.203521,0.004832,0.047200,0.000608,0.013472,0.000352,0.001536,0.110944,0.890786
0.416321,0.017600,0.206144,0.004896,0.047873,0.000544,0.013920,0.000384,0.001536,0.114784,0.892578
0.418178,0.017440,0.230336,0.005152,0.047232,0.000608,0.013536,0.000352,0.001568,0.118625,0.927555
0.420449,0.017216,0.203553,0.004832,0.046912,0.000608,0.013504,0.000384,0.001504,0.102528,0.882147
0.420769,0.017312,0.203809,0.004960,0.047168,0.000768,0.013472,0.000384,0.001536,0.111680,0.893666
0.420513,0.017504,0.202752,0.004896,0.046977,0.000576,0.013536,0.000352,0.001504,0.109440,0.893826
0.420801,0.017313,0.203264,0.004864,0.047008,0.000576,0.013504,0.000384,0.001536,0.111969,0.891267
0.420897,0.017344,0.203361,0.004896,0.046976,0.000576,0.013472,0.000416,0.001440,0.112032,0.892611
0.421441,0.017504,0.203393,0.004896,0.048960,0.000576,0.013568,0.000384,0.001696,0.112928,0.897474
0.420097,0.017312,0.222368,0.005088,0.047329,0.000576,0.013408,0.000384,0.001568,0.112352,0.911362
0.421121,0.017601,0.203744,0.004928,0.047392,0.000608,0.013472,0.000384,0.001504,0.110497,0.891875
0.417729,0.017760,0.204129,0.005056,0.047168,0.000608,0.013504,0.000384,0.001504,0.115872,0.895811
0.420865,0.017280,0.204417,0.004896,0.047104,0.000608,0.013600,0.000352,0.001568,0.109632,0.893538
0.432289,0.017536,0.203136,0.004864,0.047297,0.000832,0.013440,0.000384,0.001536,0.109152,0.901890
0.416641,0.017569,0.203488,0.004864,0.046912,0.000608,0.013472,0.000352,0.001472,0.107553,0.882691
0.420481,0.017376,0.203841,0.004928,0.046976,0.000576,0.013472,0.000384,0.001472,0.107072,0.883650
0.420865,0.017600,0.203392,0.020705,0.048608,0.000576,0.013408,0.000384,0.001600,0.110208,0.906114
0.415682,0.017632,0.203392,0.004864,0.047552,0.000576,0.013408,0.000352,0.001472,0.106305,0.884867
0.420481,0.017472,0.203809,0.005312,0.046912,0.000832,0.013472,0.000384,0.001504,0.108384,0.888963
0.419937,0.017504,0.204001,0.005056,0.046912,0.000576,0.013472,0.000416,0.001536,0.107424,0.887650
0.436898,0.017472,0.203488,0.005216,0.047360,0.000768,0.013601,0.000384,0.001472,0.107712,0.901475
0.417505,0.017632,0.206689,0.004864,0.047104,0.000608,0.013728,0.000352,0.001536,0.105601,0.886051
0.421537,0.017504,0.203393,0.004864,0.047040,0.000832,0.013536,0.000416,0.001504,0.107552,0.885986
0.420961,0.017344,0.203520,0.004864,0.047009,0.001088,0.013568,0.000416,0.001536,0.128704,0.916674
0.416194,0.017856,0.203712,0.004832,0.046944,0.000640,0.013472,0.000352,0.001536,0.105761,0.881443
0.416193,0.017344,0.203649,0.004864,0.046944,0.000864,0.013504,0.000416,0.001568,0.107744,0.881987
0.416033,0.017504,0.203681,0.004928,0.047104,0.000544,0.013472,0.000384,0.001472,0.106464,0.880514
0.431169,0.017408,0.203264,0.004864,0.047041,0.000608,0.013472,0.000384,0.001536,0.107936,0.901890
0.416449,0.017440,0.204257,0.004992,0.046976,0.000800,0.013504,0.000384,0.001568,0.106273,0.880451
0.422593,0.017536,0.203745,0.005312,0.046912,0.000832,0.013536,0.000384,0.001440,0.106880,0.888994
0.420705,0.017344,0.202784,0.005120,0.047489,0.000576,0.013472,0.000384,0.001408,0.106144,0.885634
0.417250,0.017600,0.204640,0.004896,0.046976,0.000832,0.013568,0.000416,0.001472,0.114401,0.893123
0.417089,0.017632,0.202145,0.005152,0.047360,0.000800,0.013568,0.000352,0.001504,0.101440,0.870883
0.416609,0.017376,0.204096,0.005248,0.047329,0.000800,0.013728,0.000384,0.001728,0.111264,0.889474
0.420386,0.017568,0.221504,0.005440,0.047200,0.000576,0.013664,0.000352,0.001600,0.113569,0.911171
0.420641,0.017696,0.203169,0.005280,0.047392,0.000800,0.013568,0.000384,0.001440,0.117344,0.904355
0.419969,0.017408,0.204001,0.005280,0.046912,0.001024,0.013664,0.000352,0.001440,0.124224,0.908770
0.416769,0.017568,0.203648,0.005281,0.046976,0.000576,0.013760,0.000384,0.001472,0.115968,0.898274
0.420738,0.017600,0.202528,0.004960,0.047136,0.000576,0.013856,0.000352,0.001504,0.115873,0.895971
0.415617,0.017632,0.202945,0.005056,0.047424,0.000576,0.013504,0.000416,0.001472,0.110753,0.885187
0.421345,0.017760,0.204481,0.004960,0.047264,0.000576,0.013568,0.000384,0.001536,0.117216,0.897411
0.416385,0.017472,0.220097,0.005504,0.047328,0.000608,0.013568,0.000384,0.001536,0.110816,0.902114
0.420801,0.017280,0.204000,0.005280,0.048992,0.000800,0.013473,0.000384,0.001568,0.110112,0.896226
0.421473,0.017409,0.203488,0.004864,0.047840,0.000736,0.013472,0.000416,0.001472,0.108993,0.890627
0.420545,0.017376,0.203457,0.004832,0.047328,0.000608,0.013504,0.000384,0.001472,0.109664,0.889859
0.421025,0.017376,0.203841,0.004864,0.047456,0.000576,0.013472,0.000352,0.001504,0.110592,0.889730
0.415714,0.017312,0.203520,0.004864,0.047296,0.001024,0.013920,0.000352,0.001440,0.109793,0.887171
0.416001,0.017760,0.202849,0.004832,0.046880,0.000608,0.013472,0.000384,0.001408,0.108576,0.888163
0.415937,0.017280,0.233825,0.005184,0.047200,0.000576,0.013440,0.000416,0.001472,0.109888,0.918595
0.420385,0.017440,0.202401,0.004896,0.046912,0.000608,0.013440,0.000384,0.001472,0.108032,0.884098
0.415874,0.017504,0.203424,0.004928,0.046912,0.000608,0.013440,0.000416,0.001472,0.110305,0.884003
0.416641,0.017568,0.203649,0.004864,0.047168,0.000576,0.013856,0.000384,0.001568,0.109344,0.883459
0.432641,0.017600,0.202817,0.004864,0.047072,0.000576,0.013568,0.000384,0.001504,0.102336,0.889602
0.417473,0.017568,0.202848,0.004832,0.046848,0.000576,0.013473,0.000352,0.001472,0.109120,0.885442
0.415873,0.017376,0.204481,0.004864,0.046880,0.000768,0.013376,0.000384,0.001440,0.104769,0.878115
0.415713,0.017504,0.203297,0.005056,0.064832,0.000672,0.013568,0.000384,0.001472,0.111840,0.905058
