Layer[0],Layer[9],Layer[10],classifier
0.419777,0.770754,0.000608,1.195939
0.418145,0.796354,0.000864,1.220803
0.439841,0.818658,0.000768,1.264835
0.425793,0.770210,0.000928,1.201763
0.425889,0.762530,0.000736,1.194179
0.419905,0.782818,0.000704,1.208963
0.420226,0.782434,0.000896,1.208452
0.425602,0.797154,0.000864,1.229412
0.420001,0.766947,0.000704,1.193188
0.420545,0.769602,0.000672,1.195715
0.425217,0.803906,0.000832,1.235523
0.425409,0.789730,0.000768,1.220931
0.415617,0.783490,0.001056,1.205091
0.440513,0.793570,0.000800,1.239971
0.419937,0.772994,0.000768,1.198371
0.420481,0.762082,0.000672,1.187779
0.419713,0.774018,0.000672,1.198691
0.425954,0.780098,0.000672,1.211268
0.426818,0.792034,0.000896,1.223940
0.425025,0.804803,0.000736,1.235876
0.419745,0.773283,0.000704,1.197828
0.420577,0.848547,0.000800,1.276388
0.420129,0.781411,0.001024,1.206564
0.425921,0.772387,0.000672,1.203364
0.430049,0.769954,0.000768,1.205411
0.425537,0.785186,0.000640,1.216323
0.416225,0.788194,0.000896,1.210179
0.425473,0.779490,0.000704,1.210147
0.420449,0.778978,0.000896,1.204675
0.425601,0.824546,0.000736,1.255523
0.420353,0.757858,0.000832,1.183363
0.420545,0.786882,0.000608,1.214563
0.425601,0.807746,0.000704,1.238243
0.426337,0.769026,0.000704,1.200995
0.424802,0.780098,0.000672,1.210404
0.441698,0.783682,0.000704,1.231236
0.420321,0.780035,0.000640,1.205764
0.420065,0.759171,0.000928,1.184964
0.419777,0.778210,0.000736,1.203459
0.425089,0.799042,0.000800,1.230051
0.425345,0.822563,0.000832,1.254084
0.420801,0.768418,0.000864,1.195907
0.425889,0.771874,0.000832,1.203651
0.425281,0.800706,0.000896,1.232291
0.425793,0.766658,0.000640,1.197891
0.425185,0.773858,0.000864,1.205443
0.438433,0.784130,0.000960,1.229219
0.420289,0.780994,0.000800,1.206627
0.416417,0.795330,0.000768,1.216835
0.420161,0.794626,0.000960,1.220707
0.420225,0.767746,0.000864,1.193379
0.425601,0.820034,0.000800,1.253091
0.421025,0.787266,0.000768,1.214179
0.425345,0.782530,0.000800,1.213987
0.420513,0.825762,0.000960,1.252035
0.425153,0.810466,0.001024,1.241923
0.425825,0.786978,0.000896,1.218403
0.440961,0.788610,0.000672,1.235395
0.425377,0.784258,0.000608,1.214467
0.416033,0.771458,0.000960,1.193283
0.420673,0.783714,0.000960,1.210627
0.425569,0.774658,0.000864,1.205923
0.425505,0.843074,0.000832,1.275171
0.420321,0.792770,0.000960,1.218787
0.425729,0.788066,0.000928,1.219683
0.424929,0.809442,0.000960,1.240804
0.416257,0.780418,0.000704,1.202467
0.420033,0.775746,0.000736,1.201059
0.441921,0.774050,0.000928,1.222787
0.420033,0.781859,0.000704,1.207428
0.420449,0.787619,0.000768,1.214980
0.425153,0.791875,0.000736,1.223460
0.416673,0.796195,0.000960,1.218308
0.420833,0.794275,0.000736,1.221572
0.420929,0.783203,0.000672,1.210404
0.417665,0.781635,0.000896,1.204612
0.419841,0.804355,0.000960,1.230340
0.415617,0.786210,0.000896,1.207396
0.415778,0.771810,0.000736,1.193572
0.442786,0.777250,0.000736,1.225668
0.425570,0.780898,0.000960,1.213252
0.420482,0.772130,0.000960,1.199012
0.425186,0.761666,0.000704,1.192932
0.425186,0.785602,0.000864,1.216516
0.415458,0.799234,0.000704,1.221252
0.425314,0.813090,0.000832,1.244964
0.425697,0.806786,0.000864,1.238115
0.425281,0.786146,0.000800,1.218019
0.420193,0.773538,0.000960,1.199523
0.425793,0.769986,0.000768,1.201603
0.442209,0.785282,0.000768,1.234339
0.426081,0.788834,0.001024,1.221923
0.420225,0.778338,0.000704,1.204067
0.420545,0.764994,0.000768,1.191235
0.416097,0.768034,0.000672,1.190339
0.420097,0.791874,0.000928,1.218691
0.427201,0.789538,0.000864,1.223651
0.426433,0.778050,0.000832,1.210691
0.421121,0.803138,0.000960,1.230243
0.425569,0.787619,0.000864,1.219300
0.425633,0.810115,0.000640,1.242628
0.444802,0.786882,0.000800,1.238340
0.425378,0.791330,0.000896,1.222628
0.425025,0.771650,0.000832,1.201891
0.420129,0.778818,0.000928,1.205443
0.420257,0.775170,0.000800,1.200995
0.425377,0.814434,0.000768,1.246147
0.417569,0.796514,0.000800,1.219747
0.425473,0.776610,0.000704,1.207555
0.421121,0.812194,0.000704,1.239011
0.425825,0.778754,0.000864,1.211683
0.420545,0.786530,0.000768,1.212547
0.443585,0.795874,0.000736,1.245476
0.420705,0.769474,0.000705,1.195620
0.421057,0.783651,0.000640,1.210244
0.416162,0.780642,0.000928,1.202660
0.420162,0.770082,0.000832,1.195716
0.420194,0.793954,0.000768,1.219780
0.415938,0.788802,0.000864,1.210020
0.425665,0.789666,0.000768,1.220419
0.420449,0.817282,0.000896,1.244963
0.419969,0.778690,0.000736,1.204003
0.420577,0.802818,0.000704,1.228611
0.437057,0.782242,0.000768,1.224611
0.420865,0.778530,0.000896,1.205219
0.420673,0.770658,0.000640,1.196675
0.424929,0.783618,0.000704,1.213827
0.425185,0.783651,0.000736,1.214340
0.420257,0.788867,0.000768,1.215108
0.426978,0.776770,0.000640,1.209348
0.425826,0.791490,0.000800,1.224260
0.422625,0.815682,0.000608,1.244515
0.426785,0.773218,0.000800,1.205955
0.425633,0.775266,0.000672,1.206467
0.441057,0.780354,0.000896,1.227747
0.425569,0.783778,0.000736,1.216099
0.416545,0.785699,0.000704,1.208324
0.420929,0.806371,0.000704,1.234020
0.415873,0.767170,0.000672,1.188867
0.420321,0.814402,0.000800,1.241891
0.425249,0.787650,0.000960,1.220611
0.420481,0.775458,0.001024,1.202563
0.425121,0.805794,0.000992,1.237987
0.420385,0.770243,0.000736,1.197412
0.420418,0.770850,0.000896,1.198596
0.442209,0.782274,0.000864,1.230627
0.416897,0.790210,0.000992,1.213699
0.424513,0.770914,0.000960,1.201155
0.416193,0.780866,0.001184,1.203107
0.420353,0.794627,0.000960,1.222116
0.425985,0.795042,0.000832,1.228900
0.420545,0.804354,0.000896,1.231395
0.420129,0.772162,0.000832,1.198435
0.420097,0.803266,0.000928,1.229827
0.425633,0.784610,0.000832,1.217059
0.417441,0.780387,0.000736,1.204516
0.428386,0.781474,0.000672,1.215812
0.420129,0.776834,0.000960,1.202947
0.416865,0.787170,0.000800,1.209987
0.420385,0.777634,0.000992,1.205091
0.427137,0.792610,0.000832,1.226179
0.425185,0.810371,0.000672,1.242084
0.420226,0.788578,0.000992,1.215492
0.417217,0.784738,0.000896,1.208579
0.439681,0.778818,0.000928,1.224643
0.425089,0.796354,0.000768,1.227043
0.415585,0.780322,0.000672,1.200836
0.425794,0.796002,0.000864,1.228100
