Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
1.739363,0.014944,0.000480,0.001504,0.001088,0.000416,1.763011
1.768611,0.015392,0.000512,0.001536,0.001024,0.000352,1.792323
1.712290,0.015488,0.000448,0.001568,0.000960,0.000384,1.736642
1.723075,0.014784,0.000448,0.001440,0.001472,0.000320,1.746595
1.722627,0.014816,0.000448,0.001440,0.001088,0.000416,1.747043
1.727714,0.014816,0.000480,0.001536,0.001024,0.000384,1.750882
1.711267,0.014592,0.000480,0.001440,0.001184,0.000352,1.734531
1.725795,0.014592,0.000448,0.001440,0.000992,0.000384,1.748867
1.716739,0.014592,0.000448,0.001440,0.000992,0.000384,1.739523
1.776067,0.014400,0.000480,0.001536,0.000960,0.000384,1.798659
1.714499,0.014560,0.000416,0.001440,0.001024,0.000384,1.737219
1.788835,0.014624,0.000480,0.001408,0.000960,0.000384,1.812483
1.707171,0.014208,0.000480,0.001408,0.000992,0.000384,1.729603
1.724419,0.014272,0.000512,0.001376,0.000992,0.000384,1.746915
1.708035,0.014624,0.000480,0.001472,0.001184,0.000352,1.732451
1.732163,0.014624,0.000544,0.001472,0.001056,0.000384,1.755235
1.711234,0.014400,0.000448,0.001408,0.000896,0.000384,1.733922
1.716162,0.014401,0.000480,0.001344,0.000960,0.000384,1.738467
1.742051,0.014368,0.000448,0.001440,0.000896,0.000384,1.764675
1.725091,0.014432,0.000512,0.001472,0.000960,0.000352,1.747779
1.737411,0.014176,0.000416,0.001440,0.001056,0.000352,1.759491
1.729794,0.014336,0.000480,0.001472,0.000928,0.000416,1.752130
1.710562,0.014304,0.000448,0.001440,0.000896,0.000352,1.732770
1.775619,0.015904,0.000512,0.001504,0.000928,0.000384,1.799683
1.720387,0.014944,0.000448,0.001536,0.001184,0.000352,1.744323
1.732323,0.016352,0.000512,0.001536,0.001088,0.000384,1.757443
1.742978,0.014272,0.000736,0.001408,0.001024,0.000352,1.765506
1.713667,0.014304,0.000480,0.001312,0.000992,0.000352,1.735971
1.727907,0.014400,0.000448,0.001408,0.000992,0.000352,1.750371
1.734083,0.014592,0.000448,0.001472,0.001024,0.000384,1.757283
1.723523,0.016384,0.000480,0.001408,0.000832,0.000384,1.747747
1.744514,0.016352,0.000448,0.001440,0.000800,0.000384,1.769058
1.747971,0.016128,0.000480,0.001408,0.000832,0.000352,1.772003
1.703587,0.014272,0.000480,0.001376,0.000800,0.000384,1.725827
1.745347,0.014720,0.000448,0.001408,0.001280,0.000416,1.768899
1.747683,0.015776,0.000512,0.001504,0.000896,0.000384,1.771555
1.697154,0.014144,0.000544,0.001440,0.000896,0.000384,1.719490
1.750307,0.014336,0.000448,0.001408,0.000960,0.000384,1.772419
1.709731,0.014432,0.000480,0.001440,0.000832,0.000384,1.732259
1.730402,0.014624,0.000480,0.001408,0.001088,0.000416,1.753634
1.742147,0.014656,0.000480,0.001472,0.000960,0.000384,1.765155
1.722115,0.014816,0.000448,0.001504,0.001024,0.000352,1.745539
1.708451,0.014432,0.000512,0.001472,0.000992,0.000384,1.731043
1.731075,0.014336,0.000576,0.001408,0.000992,0.000352,1.753571
1.719875,0.014880,0.000448,0.001440,0.001152,0.000352,1.743555
1.780867,0.016960,0.000416,0.001440,0.000992,0.000320,1.806179
1.780994,0.014496,0.000480,0.001408,0.000928,0.000416,1.803459
1.727682,0.014656,0.000512,0.001504,0.001152,0.000352,1.751458
1.711138,0.014816,0.000448,0.001504,0.001024,0.000352,1.734466
1.755042,0.015200,0.000512,0.001440,0.001152,0.000384,1.779042
1.749506,0.014912,0.000512,0.001568,0.001056,0.000352,1.773282
1.769378,0.014720,0.000512,0.001504,0.001024,0.000416,1.792834
1.743970,0.014720,0.000480,0.001440,0.001056,0.000384,1.767170
1.770306,0.014689,0.000480,0.001376,0.001216,0.000384,1.793731
1.732066,0.015104,0.000480,0.001536,0.001664,0.000384,1.757506
1.750562,0.014913,0.000480,0.001504,0.001184,0.000352,1.774307
1.719651,0.014464,0.000480,0.001472,0.001120,0.000416,1.743171
1.740355,0.014464,0.000448,0.001472,0.001120,0.000384,1.763619
1.744515,0.014464,0.000448,0.001504,0.001056,0.000384,1.767683
1.730147,0.014464,0.000512,0.001408,0.001632,0.000352,1.754467
1.725090,0.014816,0.000480,0.001472,0.001120,0.000384,1.749058
1.751395,0.014944,0.000704,0.001504,0.001216,0.000352,1.776291
1.718883,0.014752,0.000448,0.001440,0.001216,0.000416,1.743075
1.732355,0.015040,0.000512,0.001504,0.001120,0.000352,1.756803
1.723394,0.014688,0.000480,0.001504,0.001280,0.000352,1.747170
1.741283,0.014720,0.000512,0.001568,0.001088,0.000384,1.765091
1.718179,0.014528,0.000448,0.001472,0.001216,0.000384,1.741539
1.741794,0.014688,0.000512,0.001504,0.001216,0.000352,1.766082
1.722787,0.014624,0.000448,0.001536,0.001216,0.000384,1.746467
