Layer[0],Layer[10],classifier
0.421185,0.721090,1.213507
0.416385,0.708962,1.198564
0.416929,0.741282,1.240323
0.416609,0.701378,1.187459
0.416705,0.755906,1.248803
0.421665,0.702274,1.195075
0.444674,0.726690,1.250532
0.416385,0.758594,1.257283
0.416418,0.710370,1.195940
0.416225,0.701250,1.187683
0.436321,0.718562,1.228452
0.416897,0.716194,1.203875
0.421025,0.713826,1.226787
0.416546,0.714690,1.201508
0.416513,0.715010,1.204675
0.420545,0.734211,1.226244
0.416321,0.718946,1.207011
0.416833,0.716898,1.204675
0.435265,0.716322,1.220675
0.420737,0.713058,1.206627
0.416514,0.749858,1.238180
0.420513,0.716450,1.206083
0.420802,0.715938,1.209348
0.421057,0.734434,1.234723
0.421153,0.712034,1.202084
0.420737,0.710210,1.200579
0.421825,0.736546,1.241156
0.416641,0.714594,1.201379
0.416641,0.719810,1.206851
0.431810,0.752802,1.258020
0.416193,0.747362,1.239171
0.416610,0.715298,1.200580
0.420865,0.708578,1.197091
0.420417,0.739715,1.230820
0.420833,0.744450,1.246467
0.420993,0.718242,1.209156
0.417761,0.723746,1.212483
0.417281,0.778595,1.266404
0.416929,0.717762,1.204227
0.416385,0.711362,1.195684
0.437697,0.718242,1.224291
0.416353,0.710882,1.194627
0.420449,0.723490,1.215747
0.420577,0.737986,1.227875
0.415809,0.698498,1.183523
0.416257,0.729186,1.220803
0.415426,0.714146,1.205060
0.420897,0.717858,1.209795
0.433793,0.714658,1.221860
0.421313,0.713698,1.206051
0.417025,0.717026,1.204227
0.421281,0.726594,1.218787
0.416065,0.713474,1.200483
0.416513,0.735042,1.226115
0.415937,0.713666,1.199939
0.415233,0.713474,1.199331
0.416033,0.736738,1.226979
0.417218,0.752034,1.240292
0.421249,0.715138,1.207907
0.440162,0.716642,1.225508
0.420961,0.712322,1.202787
0.416290,0.701793,1.188516
0.420481,0.700706,1.190755
0.421153,0.742082,1.238532
0.415969,0.733410,1.221091
0.417857,0.703650,1.190948
0.415201,0.725090,1.214979
0.420385,0.764802,1.260740
0.420225,0.701730,1.192131
0.416097,0.714850,1.201700
0.433057,0.746626,1.254499
0.416193,0.715458,1.201732
0.421985,0.718338,1.211043
0.416385,0.711330,1.198692
0.420801,0.712546,1.205827
0.416641,0.761858,1.251812
0.420929,0.742658,1.234595
0.416737,0.701442,1.187172
0.417537,0.759938,1.248643
0.416609,0.736578,1.224548
0.421249,0.757538,1.247939
0.420610,0.711234,1.199588
0.419105,0.806594,1.302532
0.421793,0.745026,1.239299
0.421090,0.711618,1.203140
0.417057,0.755746,1.250627
0.421826,0.750626,1.243172
0.416609,0.736962,1.224003
0.421313,0.704994,1.195331
0.434113,0.717922,1.223971
0.417473,0.716130,1.204803
0.416961,0.764098,1.252100
0.421665,0.738338,1.232035
0.417121,0.714466,1.202084
0.421761,0.734402,1.235747
0.416354,0.712834,1.202948
0.416513,0.715298,1.203459
0.432834,0.713122,1.217924
0.417633,0.710274,1.196131
0.416449,0.702722,1.186468
0.420609,0.715714,1.204387
0.417217,0.712130,1.198692
0.421601,0.733666,1.227683
0.420833,0.739394,1.230468
0.416033,0.751938,1.239523
0.416225,0.762338,1.251299
0.421857,0.738306,1.237380
0.420833,0.715426,1.208675
0.440961,0.719842,1.234052
0.416833,0.712130,1.198307
0.422081,0.715170,1.207556
0.421569,0.683938,1.174403
0.417217,0.740034,1.226916
0.420769,0.728482,1.235331
0.415778,0.710594,1.198052
0.420513,0.717954,1.212963
0.417410,0.758338,1.261924
0.416129,0.713986,1.198787
0.416097,0.715266,1.205955
0.438049,0.741346,1.252100
0.415937,0.712706,1.198435
0.416129,0.756227,1.241444
0.420897,0.704866,1.196227
0.417122,0.713090,1.200036
0.420577,0.726434,1.217187
0.417090,0.723426,1.214308
0.421825,0.716834,1.209251
0.437889,0.722722,1.231459
0.421121,0.705314,1.194692
0.415969,0.711522,1.196163
0.420961,0.746147,1.242148
0.420289,0.745058,1.236515
0.420385,0.733890,1.230179
0.416897,0.743074,1.235076
0.420577,0.748194,1.240899
0.416162,0.734402,1.248996
0.416641,0.712514,1.200099
0.421217,0.711650,1.203651
0.433121,0.739426,1.242948
0.421409,0.717442,1.210051
0.415650,0.716130,1.224324
0.416001,0.710594,1.195139
0.420546,0.709442,1.198564
0.416769,0.733762,1.229059
0.421313,0.707906,1.197859
0.416961,0.723842,1.213412
0.420673,0.727906,1.215683
0.417025,0.715330,1.201604
0.420993,0.738498,1.230627
0.430082,0.716194,1.214564
0.416321,0.701730,1.187523
0.417409,0.712258,1.225795
0.416705,0.699394,1.183907
0.416705,0.713890,1.200259
0.420865,0.721954,1.218660
0.423425,0.760130,1.297635
0.417345,0.696386,1.183587
0.430273,0.717602,1.223107
0.415745,0.708866,1.196547
0.417121,0.716738,1.202883
0.428577,0.713634,1.220739
0.416097,0.710722,1.198819
0.416993,0.711650,1.199075
0.416577,0.711490,1.205379
0.418145,0.716450,1.211939
0.417441,0.773379,1.269380
0.417217,0.700386,1.185923
0.416641,0.732611,1.220228
0.416161,0.751394,1.245667
0.416258,0.689698,1.177764
0.416289,0.693826,1.177635
0.439841,0.683714,1.199428
0.415969,0.682370,1.166947
0.416289,0.682882,1.164131
0.436802,0.718594,1.225380
0.416129,0.694242,1.176707
0.416034,0.725122,1.206916
0.416961,0.713314,1.199299
0.416354,0.710593,1.193284
0.416001,0.692738,1.196547
0.415841,0.706722,1.187396
0.417057,0.706434,1.192803
0.416257,0.716322,1.211972
0.418081,0.702274,1.190339
0.418369,0.736962,1.225412
0.416769,0.734882,1.232195
0.420802,0.709122,1.198532
0.420705,0.708386,1.197795
0.435778,0.704546,1.211940
0.417985,0.700034,1.186275
0.415809,0.698882,1.182115
0.437217,0.703874,1.210723
0.415745,0.725506,1.206467
0.415201,0.705730,1.187139
0.418145,0.714754,1.201379
0.416673,0.702818,1.187299
0.422113,0.749410,1.244387
0.416513,0.697986,1.181252
0.416673,0.716194,1.208835
0.420833,0.724994,1.219780
0.416225,0.697762,1.180291
0.415585,0.706306,1.187908
0.441249,0.696450,1.208707
0.417250,0.731138,1.214468
0.417121,0.737474,1.224931
0.433153,0.732866,1.235299
0.416161,0.706082,1.191940
0.416769,0.707010,1.210403
0.416546,0.703073,1.187428
0.416481,0.705026,1.189795
0.415106,0.714114,1.201956
0.420321,0.700322,1.190019
0.415970,0.706498,1.189892
0.415937,0.731202,1.225731
0.415073,0.709506,1.194115
0.416129,0.748738,1.237412
0.436289,0.714466,1.220483
0.416385,0.714978,1.200579
0.416833,0.709698,1.194755
0.431905,0.741282,1.246179
0.415650,0.705057,1.189796
0.421121,0.759170,1.252259
0.416289,0.698626,1.182083
0.420577,0.703362,1.191299
0.417505,0.760930,1.259683
0.420418,0.707234,1.196772
0.417217,0.734338,1.220963
0.433793,0.718690,1.226499
0.421346,0.694209,1.184196
0.416673,0.707458,1.190211
0.434274,0.705698,1.207972
0.416833,0.740930,1.228035
0.415617,0.735906,1.220099
0.416834,0.709378,1.194244
0.419937,0.737250,1.227171
0.417185,0.735330,1.229603
0.417058,0.735650,1.225444
0.421121,0.708002,1.196995
0.420929,0.726658,1.222243
0.416482,0.709313,1.193220
0.416321,0.696578,1.177955
0.437506,0.706914,1.217604
0.420641,0.706434,1.195427
0.417249,0.712866,1.201315
0.416738,0.715650,1.200836
0.416289,0.700738,1.184675
0.416481,0.720642,1.207907
0.416225,0.733730,1.218916
0.420609,0.706530,1.194947
0.416098,0.729442,1.225796
0.421089,0.732642,1.231875
