Layer[0],Layer[10],classifier
0.416801,0.717634,1.205475
0.432097,0.701186,1.206499
0.420993,0.711234,1.202499
0.420994,0.712770,1.202724
0.415361,0.710978,1.197315
0.422145,0.742690,1.237155
0.420769,0.732962,1.226787
0.415553,0.736131,1.220932
0.416417,0.747650,1.234979
0.415297,0.743650,1.229891
0.416129,0.707682,1.194691
0.420513,0.709378,1.199972
0.436770,0.709250,1.217156
0.420673,0.714690,1.204387
0.416385,0.706722,1.193091
0.416257,0.705538,1.190307
0.416385,0.710978,1.198467
0.416129,0.728194,1.219364
0.420097,0.710146,1.201859
0.416033,0.699778,1.183171
0.416065,0.723906,1.217411
0.415873,0.708098,1.192707
0.420705,0.711106,1.201828
0.436898,0.709954,1.219300
0.420513,0.712642,1.208035
0.415969,0.713154,1.201123
0.432257,0.731426,1.238691
0.416353,0.736002,1.222852
0.415938,0.728162,1.225988
0.416225,0.709890,1.199651
0.416513,0.737218,1.226851
0.415713,0.729986,1.221284
0.420738,0.697921,1.188324
0.415874,0.708290,1.193956
0.415361,0.721026,1.207299
0.420673,0.707906,1.199139
0.416289,0.699682,1.186019
0.437121,0.709890,1.218404
0.416162,0.715682,1.205156
0.421217,0.713890,1.210051
0.417249,0.705218,1.195235
0.416801,0.711554,1.199620
0.416066,0.727170,1.216068
0.416257,0.695106,1.180771
0.416833,0.707394,1.193923
0.416161,0.764194,1.255331
0.420673,0.733698,1.226276
0.416257,0.732898,1.220803
0.433441,0.709218,1.213859
0.415937,0.710210,1.197411
0.415809,0.702530,1.189572
0.416002,0.713154,1.199556
0.415937,0.709282,1.195715
0.416769,0.718210,1.204835
0.416609,0.697634,1.183843
0.416641,0.707778,1.194756
0.416706,0.750978,1.242980
0.420033,0.737346,1.235235
0.415873,0.699202,1.185027
0.415585,0.767842,1.264004
0.420481,0.751618,1.243939
0.417313,0.739842,1.231203
0.423457,0.736930,1.231876
0.416033,0.699266,1.186819
0.417025,0.751298,1.247139
0.416353,0.708482,1.196579
0.415521,0.711650,1.199812
0.415362,0.725570,1.211524
0.416801,0.738466,1.227107
0.415777,0.711458,1.197731
0.417825,0.733634,1.222372
