Layer[0],Layer[1],Layer[2],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.513122,0.017792,0.207745,0.213312,0.014816,0.000672,0.001536,0.001728,0.000576,0.979235
0.417281,0.017728,0.203329,0.230977,0.015808,0.000480,0.001600,0.001248,0.000352,0.895939
0.416161,0.017121,0.202816,0.228769,0.014720,0.000480,0.001632,0.000992,0.000352,0.889443
0.428674,0.017696,0.203168,0.229217,0.014528,0.000448,0.001536,0.000960,0.000320,0.903907
0.416418,0.017568,0.202656,0.237761,0.015136,0.000448,0.001504,0.001024,0.000352,0.899587
0.416641,0.017920,0.204096,0.222081,0.014272,0.000480,0.001504,0.000960,0.000576,0.886050
0.416481,0.017184,0.202304,0.239649,0.014496,0.000480,0.001472,0.000960,0.000768,0.900066
0.415265,0.017792,0.202241,0.224480,0.014592,0.000448,0.001504,0.000992,0.000320,0.883458
0.415681,0.017696,0.202209,0.239136,0.014464,0.000480,0.001632,0.001024,0.000352,0.899778
0.416001,0.017344,0.202561,0.242112,0.014561,0.000448,0.001440,0.000928,0.000832,0.903171
0.431905,0.017568,0.202561,0.258113,0.017568,0.000448,0.001568,0.000960,0.000736,0.939043
0.415682,0.017536,0.202304,0.260801,0.014720,0.000480,0.001568,0.001056,0.000800,0.921187
0.415330,0.017696,0.202304,0.226145,0.014624,0.000448,0.001472,0.000992,0.000800,0.886467
0.417345,0.017312,0.202432,0.260353,0.014496,0.000480,0.001408,0.000928,0.000576,0.921474
0.415041,0.017824,0.202369,0.234432,0.014528,0.000480,0.001408,0.001024,0.000320,0.894978
0.416193,0.017504,0.202273,0.234816,0.014208,0.000480,0.001504,0.001344,0.000352,0.896322
0.415489,0.017472,0.202817,0.249057,0.014304,0.000416,0.001504,0.001088,0.000608,0.910211
0.427425,0.017760,0.202209,0.236929,0.014240,0.000384,0.001440,0.000864,0.000832,0.909123
0.415809,0.017409,0.202528,0.227905,0.014208,0.000384,0.001504,0.000896,0.000352,0.888387
0.415202,0.017536,0.202112,0.253121,0.014272,0.000448,0.001504,0.000800,0.000320,0.912195
0.416002,0.017792,0.201888,0.297889,0.016640,0.000416,0.001504,0.000960,0.000608,0.961219
0.415713,0.017440,0.201985,0.235456,0.014560,0.000416,0.001408,0.000960,0.000352,0.894242
0.415777,0.017728,0.202305,0.284512,0.014624,0.000448,0.001376,0.000992,0.000576,0.944258
0.415361,0.017664,0.202337,0.238657,0.014528,0.000448,0.001376,0.000928,0.000768,0.897987
0.445313,0.017792,0.202817,0.270177,0.014880,0.000416,0.001440,0.000832,0.000352,0.960035
0.416322,0.018176,0.202656,0.219361,0.014496,0.000416,0.001408,0.000832,0.000576,0.880323
0.414946,0.017440,0.202112,0.254049,0.014208,0.000416,0.001408,0.000800,0.000544,0.911907
0.414817,0.017504,0.202336,0.241409,0.014144,0.000384,0.001536,0.000864,0.000320,0.899010
0.415073,0.017280,0.202176,0.232609,0.014112,0.000416,0.001408,0.000800,0.000576,0.891362
0.415649,0.017728,0.202049,0.246624,0.014272,0.000352,0.001504,0.000832,0.000384,0.905474
0.415649,0.017472,0.202273,0.230432,0.014688,0.000384,0.001536,0.000960,0.000544,0.890882
0.415681,0.017504,0.217185,0.236608,0.014080,0.000384,0.001568,0.000864,0.000736,0.910722
0.414881,0.017184,0.202657,0.231872,0.014177,0.000416,0.001408,0.000832,0.000608,0.889795
0.415329,0.017472,0.202273,0.265793,0.014112,0.000448,0.001472,0.000928,0.000640,0.924131
0.415905,0.017248,0.202113,0.236225,0.014528,0.000448,0.001440,0.000960,0.000320,0.895555
0.426273,0.017761,0.202816,0.247137,0.014560,0.000448,0.001600,0.001024,0.000576,0.918435
0.415778,0.017984,0.202112,0.243073,0.014048,0.000480,0.001568,0.000800,0.000608,0.903363
0.417057,0.017472,0.202080,0.236545,0.014464,0.000480,0.001440,0.000960,0.000352,0.897250
0.416065,0.017248,0.220577,0.243904,0.014304,0.000448,0.001504,0.000960,0.000576,0.923170
0.416737,0.017632,0.202017,0.229728,0.014593,0.000448,0.001632,0.001152,0.000544,0.891363
0.416353,0.017312,0.202209,0.240993,0.014656,0.000480,0.001536,0.001056,0.000544,0.902979
0.416802,0.017248,0.202464,0.235713,0.014432,0.000480,0.001536,0.001088,0.000608,0.897347
0.431713,0.017408,0.202240,0.244033,0.014560,0.000512,0.001600,0.001088,0.000832,0.922018
0.418817,0.017280,0.202209,0.249696,0.014208,0.000448,0.001568,0.001056,0.000832,0.913026
0.416097,0.017376,0.202145,0.247041,0.015104,0.000640,0.001536,0.001088,0.000800,0.909379
0.415938,0.017280,0.223392,0.233921,0.014784,0.000480,0.001568,0.001056,0.000800,0.917763
0.415649,0.017280,0.202144,0.243905,0.014272,0.000896,0.001536,0.001056,0.000608,0.904706
0.416481,0.017504,0.202529,0.243840,0.014272,0.000672,0.001568,0.001152,0.000800,0.906050
0.415393,0.017280,0.202337,0.237825,0.014688,0.000896,0.001536,0.001120,0.000576,0.899427
0.415489,0.017696,0.202400,0.242913,0.014368,0.000704,0.001536,0.001120,0.000576,0.903619
0.416033,0.017600,0.202528,0.237153,0.014528,0.000736,0.001664,0.001120,0.000320,0.899234
0.415649,0.017504,0.202241,0.253344,0.014304,0.000544,0.001600,0.001024,0.000608,0.913794
0.434561,0.017504,0.202401,0.241825,0.014496,0.000512,0.001472,0.001056,0.000320,0.921155
0.415425,0.017664,0.202113,0.236577,0.014400,0.000704,0.001504,0.001088,0.000608,0.896867
0.415810,0.017312,0.201856,0.246177,0.014240,0.000704,0.001568,0.001120,0.000544,0.906531
0.415393,0.017504,0.202304,0.238593,0.014400,0.000480,0.001664,0.001056,0.000544,0.899362
0.416449,0.017536,0.202241,0.249440,0.014624,0.000672,0.001600,0.001152,0.000832,0.911618
0.416001,0.017760,0.202113,0.232736,0.014433,0.000704,0.001536,0.001120,0.000576,0.894115
0.415393,0.017312,0.202497,0.236865,0.014272,0.000928,0.001536,0.001088,0.000800,0.897827
0.431938,0.017472,0.202656,0.253089,0.014144,0.000416,0.001408,0.001088,0.000672,0.929699
0.416321,0.017536,0.202176,0.243105,0.014528,0.000640,0.001504,0.001120,0.000544,0.904802
0.416129,0.017504,0.202817,0.227328,0.014464,0.000928,0.001536,0.001088,0.000832,0.889346
0.416577,0.017696,0.202273,0.229568,0.029920,0.000736,0.001536,0.001152,0.000608,0.907426
0.415649,0.017568,0.202241,0.248609,0.014336,0.000416,0.001536,0.001056,0.000800,0.908899
0.415457,0.017537,0.202176,0.237729,0.014304,0.000672,0.001440,0.000992,0.000640,0.897667
0.415906,0.017408,0.202304,0.232673,0.014208,0.000480,0.001504,0.001088,0.000608,0.892867
0.434337,0.017504,0.202432,0.223169,0.014368,0.000480,0.001408,0.001056,0.000608,0.902434
0.415137,0.017280,0.202080,0.230881,0.014144,0.000448,0.001536,0.000992,0.000800,0.889922
0.415105,0.017184,0.202721,0.240864,0.014144,0.000480,0.001472,0.001056,0.000608,0.900386
0.418337,0.017600,0.202401,0.302753,0.015840,0.000704,0.001728,0.001280,0.000832,0.973859
