Layer[0],Layer[1],Layer[2],Layer[3],Layer[9],Layer[10],classifier
0.509410,0.018208,0.206528,0.005472,0.235489,0.001056,0.984547
0.419234,0.017632,0.204896,0.005312,0.268065,0.000832,0.922531
0.417825,0.017728,0.203745,0.005120,0.242273,0.000800,0.892931
0.416737,0.017760,0.202817,0.005248,0.235168,0.000768,0.884930
0.416706,0.017760,0.202944,0.005120,0.259297,0.000672,0.909123
0.416641,0.017632,0.203393,0.005344,0.256417,0.000736,0.905891
0.436033,0.018016,0.202689,0.005248,0.264033,0.000608,0.932835
0.416641,0.017696,0.202465,0.005280,0.270016,0.000544,0.919298
0.420770,0.017600,0.202240,0.005312,0.254881,0.000832,0.907843
0.416417,0.017376,0.202721,0.005280,0.253441,0.000928,0.903843
0.416705,0.017600,0.202817,0.005472,0.252865,0.000832,0.902403
0.420321,0.017856,0.202208,0.005280,0.240225,0.000672,0.892482
0.415361,0.017761,0.202944,0.005376,0.240513,0.000608,0.888323
0.438913,0.017696,0.203841,0.005408,0.278849,0.000928,0.953987
0.416993,0.017952,0.205313,0.005344,0.252160,0.000832,0.904770
0.416833,0.017888,0.202304,0.005248,0.253473,0.000704,0.902274
0.417217,0.017729,0.202656,0.005376,0.269953,0.000960,0.920003
0.416065,0.017888,0.203489,0.005344,0.252161,0.000704,0.901411
0.421601,0.017472,0.202721,0.005408,0.254144,0.000736,0.907970
0.416738,0.017728,0.202528,0.005312,0.253761,0.000704,0.903939
0.958115,0.017568,0.766466,0.005216,0.476833,0.001024,2.232166
0.416449,0.017697,0.202976,0.005280,0.258497,0.000640,0.907139
0.417217,0.032160,0.202945,0.005184,0.235584,0.000928,0.899906
0.416257,0.017664,0.202144,0.005408,0.252769,0.000640,0.900354
0.417793,0.017792,0.203137,0.005280,0.244929,0.000704,0.895299
0.416897,0.017568,0.203809,0.005440,0.261120,0.000672,0.911810
0.416993,0.017856,0.203424,0.005344,0.255937,0.000832,0.906178
0.416130,0.017664,0.202464,0.005408,0.265697,0.000800,0.914403
0.417089,0.017632,0.202625,0.005280,0.259745,0.000704,0.909187
0.421921,0.034944,0.203745,0.005312,0.272672,0.000672,0.946594
0.415777,0.017824,0.203488,0.005344,0.261441,0.000800,0.910914
0.416802,0.017600,0.202528,0.005312,0.262337,0.000640,0.911139
0.420193,0.017920,0.202593,0.005184,0.275265,0.000768,0.927971
0.420993,0.017792,0.202977,0.005248,0.239744,0.000704,0.893570
0.420417,0.018016,0.202976,0.005376,0.258785,0.000832,0.912162
0.421218,0.017472,0.203616,0.005280,0.255489,0.000608,0.909635
0.438145,0.017792,0.203553,0.005344,0.255841,0.000640,0.927619
0.420353,0.017376,0.203937,0.005344,0.254464,0.000672,0.908098
0.421858,0.017600,0.202624,0.005344,0.259425,0.000672,0.913155
0.417217,0.017632,0.202497,0.005312,0.295041,0.000672,0.945763
0.421953,0.017632,0.202881,0.005312,0.257121,0.000608,0.911331
0.417345,0.017600,0.203457,0.005376,0.253152,0.000640,0.903490
0.417410,0.017696,0.202112,0.005184,0.254977,0.000640,0.903843
0.437601,0.017888,0.202369,0.005280,0.273921,0.000640,0.943939
0.420897,0.017824,0.202305,0.005344,0.258369,0.000768,0.911683
0.416129,0.017536,0.202337,0.005120,0.255904,0.000800,0.903938
0.416642,0.017920,0.203296,0.005472,0.280833,0.000672,0.931395
0.416033,0.017761,0.202528,0.005312,0.256641,0.000800,0.905731
0.415713,0.017504,0.202913,0.005344,0.245025,0.000672,0.893251
0.421089,0.018048,0.202753,0.005376,0.267456,0.000768,0.924866
0.434305,0.017984,0.203008,0.005472,0.255969,0.000640,0.923458
0.416545,0.017728,0.202592,0.005344,0.259457,0.000672,0.908419
0.415745,0.017728,0.202497,0.005344,0.253345,0.000608,0.901059
0.416801,0.017664,0.221121,0.005248,0.256000,0.000672,0.924258
0.415649,0.017568,0.201888,0.005216,0.268513,0.000608,0.915426
0.420097,0.017601,0.205632,0.005312,0.249025,0.000736,0.904323
0.421825,0.017600,0.202625,0.005184,0.256033,0.000800,0.909795
0.419905,0.018016,0.203169,0.005280,0.257344,0.000704,0.910274
0.415873,0.017536,0.202528,0.005344,0.256737,0.000704,0.904450
0.415649,0.017633,0.202976,0.005344,0.255489,0.000704,0.904771
0.415809,0.017952,0.222529,0.005312,0.260289,0.000704,0.929475
0.416449,0.017376,0.202465,0.005312,0.257376,0.000704,0.905794
0.420609,0.017728,0.203456,0.005344,0.257953,0.000576,0.911810
0.415810,0.017920,0.202368,0.005344,0.251201,0.000736,0.899235
0.415873,0.017760,0.202497,0.005152,0.264897,0.000928,0.913731
0.420289,0.017824,0.203265,0.005312,0.260353,0.000704,0.913955
0.415521,0.017760,0.202625,0.005280,0.250528,0.000608,0.898306
0.438530,0.017856,0.202304,0.005376,0.242497,0.000640,0.913475
0.420961,0.017888,0.202529,0.005312,0.260001,0.000832,0.913731
0.421953,0.017568,0.203649,0.005472,0.276097,0.000768,0.931459
0.415809,0.017600,0.203169,0.005312,0.287520,0.000960,0.936354
0.420545,0.017920,0.202144,0.005184,0.260545,0.000640,0.913058
0.421122,0.017728,0.203136,0.005280,0.267105,0.000832,0.921123
0.420833,0.017792,0.202977,0.005280,0.261569,0.000736,0.914819
0.450721,0.017664,0.203489,0.005280,0.256000,0.000768,0.939875
0.415617,0.017792,0.202560,0.005248,0.255904,0.000640,0.904034
0.420354,0.017504,0.202720,0.005280,0.259265,0.000736,0.912707
0.420545,0.018048,0.203233,0.005280,0.307553,0.000768,0.961571
0.415713,0.017728,0.202945,0.005312,0.257057,0.000832,0.905987
0.415681,0.017568,0.203360,0.005344,0.242561,0.000736,0.891106
