Layer[0],Layer[1],Layer[2],Layer[3],Layer[10],classifier
0.553026,0.018016,0.206880,0.005056,0.210689,1.061699
0.418593,0.017600,0.203873,0.005088,0.204992,0.926562
0.417122,0.017728,0.202976,0.004960,0.205857,0.928067
0.417089,0.031424,0.203841,0.005056,0.180609,0.905283
0.416577,0.017344,0.202401,0.004896,0.183616,0.901634
0.416929,0.017888,0.203008,0.004800,0.216353,0.930914
0.416001,0.017280,0.202689,0.004832,0.178401,0.885507
0.417057,0.017312,0.202785,0.004832,0.168096,0.879554
0.416578,0.017536,0.202816,0.004800,0.182049,0.892931
0.416193,0.017344,0.203937,0.004896,0.177824,0.892643
0.416097,0.017888,0.217281,0.005216,0.189952,0.922722
0.416738,0.017536,0.202912,0.004800,0.205569,0.918435
0.421857,0.017536,0.203201,0.004864,0.193473,0.909859
0.416257,0.017600,0.202465,0.005056,0.183072,0.891842
0.428674,0.017536,0.202816,0.004864,0.205697,0.924771
0.416129,0.017504,0.202465,0.005056,0.179488,0.884259
0.421921,0.017600,0.202881,0.005120,0.187872,0.908130
0.422082,0.017376,0.202496,0.005120,0.196545,0.912195
0.422113,0.017760,0.203329,0.005024,0.180096,0.899235
0.416513,0.017536,0.202528,0.004833,0.196608,0.910114
0.416546,0.017728,0.202464,0.005152,0.198017,0.910243
0.434881,0.017888,0.203009,0.005056,0.206529,0.938339
0.416801,0.017600,0.202945,0.005120,0.194752,0.911267
0.416577,0.017824,0.202497,0.005024,0.205376,0.917986
0.421281,0.017632,0.202336,0.005056,0.225793,0.944258
0.416994,0.017600,0.202400,0.004928,0.190721,0.901027
0.420833,0.017760,0.202593,0.004992,0.207873,0.923299
0.421793,0.017600,0.202145,0.004896,0.203776,0.924259
0.421793,0.017824,0.202593,0.005088,0.203584,0.921346
0.415905,0.017568,0.202144,0.005088,0.202049,0.912194
0.419970,0.017632,0.202304,0.005056,0.187649,0.904579
0.420481,0.018016,0.221729,0.005248,0.198337,0.933027
0.421761,0.017664,0.202689,0.004800,0.208064,0.925762
0.415329,0.017664,0.202816,0.005312,0.203009,0.917986
0.420258,0.017824,0.202720,0.005088,0.200993,0.915587
0.418049,0.017632,0.202465,0.004896,0.200801,0.911203
0.415233,0.017824,0.202049,0.005184,0.200768,0.908418
0.418401,0.017952,0.202400,0.005057,0.202176,0.915266
