Layer[9],Layer[10],classifier
9.202229,0.001120,9.208181
1.785540,0.000896,1.790692
1.750563,0.000704,1.755267
1.772420,0.000736,1.777380
1.790436,0.000800,1.795044
1.786788,0.000896,1.791940
1.768324,0.000768,1.774084
1.771300,0.000704,1.775780
1.794436,0.000768,1.799204
1.730980,0.000672,1.735204
1.777284,0.000832,1.783332
1.758660,0.000704,1.762980
1.794180,0.000832,1.799844
1.759460,0.000736,1.763812
1.758308,0.000768,1.765284
1.769156,0.000736,1.774532
1.788196,0.000832,1.793188
1.733220,0.000704,1.738244
1.782084,0.000736,1.786628
1.734148,0.000768,1.738724
1.760324,0.000768,1.765092
1.733636,0.000832,1.737700
1.792165,0.000800,1.797829
1.748868,0.000704,1.753700
1.805572,0.000800,1.812260
1.772964,0.000800,1.778116
1.789636,0.000864,1.794244
1.734500,0.000832,1.740196
1.752868,0.000832,1.757860
1.766500,0.000800,1.772004
1.783140,0.000704,1.788132
1.761668,0.000768,1.767716
1.782788,0.000832,1.788100
1.744004,0.000640,1.748388
1.758692,0.000736,1.763524
1.768132,0.000704,1.773380
1.793924,0.000896,1.798949
1.766820,0.000768,1.771876
1.828100,0.001600,1.836868
1.790596,0.001120,1.798468
1.778212,0.000960,1.784100
1.748164,0.001024,1.753924
1.797028,0.001216,1.802500
1.760676,0.000992,1.766020
1.757028,0.001024,1.763012
1.773284,0.000992,1.778788
1.758244,0.000864,1.762884
1.769188,0.000768,1.774436
1.744676,0.000960,1.749284
1.775844,0.000800,1.781124
1.793668,0.001024,1.798500
1.728612,0.000960,1.734564
1.759396,0.000896,1.764036
1.744260,0.000832,1.749412
1.775940,0.000960,1.781156
1.759844,0.000832,1.765156
1.778020,0.000864,1.782916
1.762404,0.000896,1.767812
1.803492,0.000928,1.808324
1.764164,0.000736,1.769060
1.793124,0.001152,1.798180
1.764132,0.000800,1.769156
1.791652,0.000896,1.796580
1.740995,0.000704,1.746883
1.795524,0.000928,1.800389
1.771556,0.000864,1.777092
1.819588,0.000864,1.824740
1.766692,0.000896,1.772164
1.760708,0.000768,1.765668
1.766564,0.000864,1.771844
1.773252,0.000800,1.778308
1.766916,0.000672,1.772164
1.763524,0.000768,1.768580
1.748772,0.000896,1.755236
1.749923,0.000800,1.755203
1.744867,0.000896,1.767076
1.745508,0.000704,1.750180
1.784036,0.000800,1.789156
1.769060,0.000896,1.774468
1.765924,0.000864,1.771236
1.759940,0.000704,1.765060
1.754340,0.000736,1.758852
1.765732,0.000800,1.770532
1.768420,0.000800,1.773540
1.770084,0.000736,1.774660
1.779332,0.000928,1.784356
1.743652,0.000864,1.749284
1.760580,0.000864,1.765188
1.732740,0.000896,1.738020
1.800996,0.000832,1.806180
1.771428,0.000896,1.776868
1.797028,0.000960,1.801572
1.748228,0.000832,1.752996
1.773380,0.000896,1.778788
1.751203,0.000832,1.756835
1.759524,0.000704,1.764132
1.762308,0.000704,1.767300
1.791012,0.000896,1.796260
1.746660,0.000864,1.751460
1.790596,0.000864,1.795364
1.757476,0.000640,1.762276
1.784548,0.000704,1.789028
1.754244,0.000672,1.759332
1.768452,0.000832,1.773860
1.734852,0.000800,1.739940
1.783812,0.000768,1.788484
1.756900,0.000896,1.762436
1.794948,0.000832,1.799876
1.733220,0.000736,1.738436
1.805316,0.000896,1.810212
1.732196,0.000832,1.736548
1.749988,0.000896,1.755076
1.730372,0.000672,1.735652
1.755140,0.000736,1.760516
1.736292,0.000864,1.741412
1.760900,0.000864,1.765604
1.723876,0.000832,1.728580
1.757380,0.000800,1.761668
1.731012,0.000896,1.735940
1.786756,0.000864,1.791268
1.759588,0.000736,1.764164
1.818756,0.001024,1.827844
1.770404,0.000736,1.776996
1.786500,0.000896,1.791748
1.734692,0.000704,1.739812
1.776132,0.000896,1.780932
1.753924,0.000736,1.758212
1.783268,0.000736,1.787620
1.731780,0.000704,1.736164
1.781445,0.000896,1.786437
1.750532,0.000768,1.755396
1.768164,0.000864,1.772644
1.764004,0.000704,1.768772
1.759684,0.000704,1.764900
1.751044,0.000736,1.755268
