Layer[0],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.509473,8.083828,0.005728,0.047808,0.000800,0.013664,0.000384,0.001536,0.001537,0.000576,8.673910
0.416993,0.739874,0.005728,0.048928,0.001024,0.023776,0.000640,0.001536,0.001056,0.000576,1.248611
0.416641,0.715522,0.005728,0.049152,0.001024,0.013568,0.000608,0.001568,0.001120,0.000608,1.215235
0.416481,0.703618,0.005664,0.050496,0.000832,0.014592,0.000448,0.001792,0.001152,0.000608,1.203171
0.438977,0.699969,0.005696,0.050337,0.000832,0.014720,0.000608,0.001632,0.001152,0.000576,1.222723
0.415553,0.705090,0.005504,0.049696,0.000608,0.014464,0.000608,0.001632,0.001056,0.000576,1.202083
0.420514,0.716737,0.005344,0.048736,0.000832,0.014016,0.000384,0.001632,0.001088,0.000576,1.218340
0.415009,0.696578,0.005312,0.049344,0.000832,0.013792,0.000416,0.001568,0.001152,0.000384,1.191811
0.416385,0.713570,0.005408,0.049248,0.000800,0.014080,0.000416,0.001568,0.001120,0.000384,1.211459
0.420449,0.770818,0.005504,0.049856,0.000544,0.013952,0.000416,0.001472,0.001344,0.000384,1.273123
0.419681,0.732994,0.005504,0.048800,0.000800,0.013824,0.000384,0.001568,0.001024,0.000384,1.232643
0.416545,0.715234,0.009056,0.048416,0.000800,0.013760,0.000416,0.001600,0.001152,0.000640,1.215779
0.416641,0.728962,0.013632,0.048064,0.000800,0.014176,0.000480,0.001504,0.001056,0.000576,1.234659
0.416289,0.735778,0.005504,0.049184,0.000832,0.013760,0.000384,0.001504,0.001056,0.000608,1.232963
0.416193,0.716450,0.005472,0.049088,0.000800,0.013664,0.000576,0.001568,0.001056,0.000608,1.213891
0.438241,0.708450,0.005504,0.048704,0.000832,0.014240,0.000352,0.001536,0.001056,0.000544,1.227203
0.417761,0.745218,0.008736,0.049152,0.000832,0.013920,0.000384,0.001536,0.001120,0.000576,1.248035
0.415105,0.745730,0.006592,0.048096,0.000608,0.013600,0.000416,0.001504,0.001056,0.000608,1.241027
0.420578,0.713089,0.005472,0.048032,0.000608,0.013472,0.000416,0.001600,0.001184,0.000608,1.214276
0.422017,0.718786,0.005472,0.050240,0.000864,0.013984,0.000448,0.001504,0.001312,0.000608,1.222819
0.416737,0.731617,0.008705,0.048512,0.000768,0.014240,0.000416,0.001600,0.001088,0.000608,1.233443
0.421153,0.702594,0.005280,0.051328,0.000800,0.013856,0.000416,0.001504,0.001056,0.000640,1.206243
0.416289,0.704098,0.005376,0.049184,0.000608,0.014176,0.000384,0.001504,0.001056,0.000352,1.200643
0.436257,0.741410,0.009056,0.048960,0.000800,0.013632,0.000384,0.001632,0.001024,0.000608,1.261635
0.420929,0.713890,0.005600,0.047776,0.000832,0.013504,0.000416,0.001408,0.001120,0.000576,1.213667
0.416577,0.709250,0.005408,0.048288,0.000640,0.013568,0.000384,0.001568,0.001056,0.000384,1.204579
0.420353,0.716258,0.005312,0.047520,0.001056,0.013536,0.000416,0.001504,0.001120,0.000640,1.215427
0.417505,0.703777,0.009216,0.048384,0.000800,0.013953,0.000448,0.001824,0.001216,0.000832,1.206083
0.416641,0.738434,0.005536,0.050176,0.000800,0.014624,0.000416,0.001504,0.001312,0.000608,1.241891
0.421409,0.711938,0.005344,0.047936,0.000832,0.013536,0.000384,0.001440,0.001056,0.000384,1.211747
0.420449,0.708706,0.005440,0.049792,0.000832,0.013504,0.000416,0.001568,0.001056,0.000384,1.210019
0.433025,0.734210,0.005280,0.048256,0.000832,0.013568,0.000416,0.001568,0.001024,0.000384,1.246723
0.421153,0.701794,0.005504,0.047648,0.000800,0.013600,0.000384,0.001600,0.001024,0.000384,1.202947
0.421377,0.705122,0.005376,0.049664,0.000608,0.013568,0.000416,0.001568,0.001056,0.000640,1.206531
0.420737,0.707170,0.005440,0.047328,0.000640,0.013472,0.000416,0.001504,0.001024,0.000608,1.205891
0.416833,0.697410,0.005344,0.047552,0.001056,0.013440,0.000416,0.001568,0.001088,0.000832,1.193539
0.420417,0.751170,0.009024,0.047360,0.000768,0.013440,0.000416,0.001504,0.001440,0.000416,1.254083
0.422369,0.704961,0.005472,0.047520,0.000832,0.013504,0.000416,0.001568,0.001120,0.000352,1.205667
0.420321,0.696130,0.005376,0.047424,0.001024,0.013472,0.000416,0.001568,0.001088,0.000384,1.195715
0.420673,0.730850,0.005472,0.047808,0.000800,0.013984,0.000384,0.001472,0.001504,0.000352,1.231875
0.420193,0.728097,0.009185,0.047872,0.000800,0.013760,0.000416,0.001504,0.001216,0.000608,1.231779
0.421217,0.731714,0.009184,0.050400,0.000832,0.013504,0.000448,0.001505,0.001024,0.000832,1.238308
0.438433,0.702082,0.005312,0.047424,0.001024,0.013568,0.000416,0.001504,0.001152,0.000832,1.220163
0.420193,0.705378,0.005440,0.047392,0.000800,0.013504,0.000448,0.001504,0.001056,0.000576,1.204067
0.420034,0.702593,0.005504,0.064832,0.000896,0.013505,0.000416,0.001504,0.001024,0.000576,1.218852
0.421089,0.730658,0.005344,0.047424,0.000864,0.013536,0.000416,0.001536,0.001056,0.000448,1.230243
0.420417,0.729442,0.005600,0.047232,0.000800,0.013504,0.000416,0.001568,0.001056,0.000384,1.228035
0.416129,0.749313,0.005472,0.048641,0.000832,0.013472,0.000416,0.001536,0.001088,0.000832,1.245379
0.421153,0.709538,0.005472,0.049024,0.000832,0.013504,0.000416,0.001600,0.001024,0.000832,1.211715
0.420833,0.745090,0.005440,0.048000,0.000800,0.013440,0.000416,0.001568,0.001184,0.000832,1.245347
0.438049,0.737058,0.009056,0.048704,0.000608,0.013600,0.000576,0.001760,0.001056,0.000576,1.259459
