Layer[0],Layer[1],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.421537,0.017504,0.682914,0.048160,0.000640,0.013985,0.000352,0.001504,0.001184,0.000384,1.196260
0.416385,0.017408,0.670466,0.048288,0.000672,0.013920,0.000384,0.001536,0.001440,0.000320,1.179075
0.421345,0.017248,0.686914,0.048608,0.000640,0.013920,0.000416,0.001472,0.001472,0.000352,1.200547
0.416353,0.017344,0.707554,0.050688,0.000672,0.013984,0.000384,0.001632,0.001440,0.000384,1.218339
0.421698,0.017280,0.684962,0.048800,0.000576,0.013696,0.000416,0.001536,0.001120,0.000384,1.198756
0.416225,0.017696,0.686914,0.050528,0.000640,0.013856,0.000384,0.001568,0.001088,0.000352,1.197251
0.421857,0.017376,0.720194,0.048384,0.000640,0.013728,0.000384,0.001536,0.001536,0.000353,1.235556
0.422018,0.017504,0.671906,0.049440,0.001088,0.013696,0.000448,0.001632,0.001184,0.000384,1.187460
0.422241,0.017344,0.684578,0.049792,0.000672,0.013792,0.000416,0.001568,0.001600,0.000384,1.200355
0.442785,0.017792,0.728194,0.050017,0.000832,0.014048,0.000576,0.001632,0.001952,0.000544,1.269220
0.416737,0.017440,0.681250,0.049440,0.000864,0.014080,0.000384,0.001824,0.001056,0.000384,1.191171
0.417761,0.017760,0.681282,0.047936,0.000832,0.014048,0.000352,0.001600,0.001120,0.000416,1.190723
0.419137,0.017504,0.679170,0.048544,0.000832,0.013824,0.000384,0.001568,0.001376,0.000352,1.190339
0.416674,0.017440,0.681921,0.049697,0.000768,0.014048,0.000416,0.001504,0.001056,0.000320,1.191492
0.417633,0.017536,0.700290,0.051520,0.000800,0.013632,0.000384,0.001568,0.001184,0.000480,1.212707
0.423201,0.017568,0.673186,0.050112,0.000864,0.014368,0.000416,0.001568,0.001504,0.000576,1.190627
0.417633,0.018144,0.678338,0.047744,0.000896,0.013856,0.000416,0.001536,0.001344,0.000352,1.187331
0.422434,0.017472,0.697698,0.048256,0.000864,0.013504,0.000384,0.001440,0.001088,0.000352,1.211012
0.420417,0.017472,0.678754,0.047968,0.000800,0.013600,0.000352,0.001536,0.001088,0.000352,1.189507
0.416769,0.017664,0.677794,0.048960,0.000832,0.013472,0.000416,0.001536,0.001056,0.000352,1.186371
0.437793,0.017601,0.676193,0.048353,0.000832,0.013408,0.000448,0.001472,0.001056,0.000416,1.204804
0.420706,0.017664,0.682018,0.047712,0.000832,0.013760,0.000416,0.001472,0.001056,0.000352,1.193380
0.416929,0.017504,0.678818,0.047648,0.000864,0.013664,0.000480,0.001792,0.001600,0.000384,1.186947
0.441953,0.017408,0.688130,0.047776,0.000864,0.013664,0.000416,0.001472,0.001088,0.000352,1.221091
0.421186,0.017440,0.676161,0.047745,0.000832,0.013408,0.000384,0.001568,0.001024,0.000352,1.187844
0.418465,0.017696,0.688834,0.048544,0.000832,0.033920,0.000448,0.001536,0.001312,0.000384,1.220675
0.417121,0.017248,0.677890,0.049376,0.000928,0.013472,0.000384,0.001472,0.001024,0.000416,1.186371
0.420097,0.017569,0.675681,0.048289,0.000864,0.013376,0.000352,0.001536,0.001056,0.000384,1.186852
0.420577,0.017344,0.699522,0.048864,0.000832,0.013696,0.000384,0.001440,0.001088,0.000352,1.211491
0.419585,0.017440,0.681762,0.048288,0.000896,0.013408,0.000384,0.001504,0.001152,0.000416,1.191843
0.420097,0.017312,0.677698,0.048480,0.000800,0.013344,0.000416,0.001408,0.001088,0.000384,1.188835
0.420641,0.017472,0.706242,0.051072,0.000928,0.013376,0.000448,0.001408,0.000928,0.000352,1.220196
0.420321,0.017504,0.668962,0.047360,0.000832,0.013728,0.000352,0.001408,0.001024,0.000448,1.178883
0.419841,0.017536,0.681442,0.047808,0.000992,0.013440,0.000416,0.001408,0.001024,0.000384,1.191363
0.439937,0.017440,0.680802,0.047457,0.000864,0.013408,0.000416,0.001408,0.000992,0.000576,1.210980
0.420929,0.017792,0.681218,0.047744,0.000896,0.013568,0.000416,0.001632,0.001120,0.000384,1.193027
0.416577,0.017600,0.664706,0.047648,0.000864,0.014144,0.000384,0.001664,0.001056,0.000384,1.172195
0.421441,0.017472,0.671618,0.048544,0.001056,0.013600,0.000416,0.001728,0.001376,0.000384,1.184803
0.417249,0.017312,0.677634,0.048673,0.000864,0.013696,0.000480,0.001472,0.001376,0.000320,1.186148
0.416833,0.017472,0.695586,0.050400,0.000960,0.013760,0.000512,0.001504,0.001056,0.000352,1.205859
0.416321,0.017408,0.684226,0.047680,0.000896,0.013664,0.000416,0.001664,0.001056,0.000320,1.190595
0.420257,0.017632,0.674498,0.047552,0.000864,0.013472,0.000480,0.001568,0.001056,0.000352,1.185411
0.420641,0.017505,0.697601,0.050753,0.000864,0.013536,0.000448,0.001440,0.001024,0.000320,1.211780
0.421729,0.017472,0.684578,0.047616,0.000864,0.013600,0.000416,0.001536,0.001280,0.000352,1.196515
0.420545,0.017408,0.682978,0.047968,0.001056,0.013760,0.000448,0.001536,0.001056,0.000384,1.194435
0.422497,0.017920,0.705698,0.050689,0.001152,0.013536,0.000416,0.001568,0.000992,0.000416,1.222532
0.421281,0.017408,0.678850,0.048096,0.000832,0.013632,0.000384,0.001504,0.001024,0.000416,1.190595
0.416769,0.017408,0.677762,0.048128,0.000864,0.013376,0.000384,0.001472,0.001088,0.000320,1.184867
0.440769,0.017504,0.679202,0.047904,0.000832,0.013408,0.000448,0.001440,0.001088,0.000352,1.210179
0.421889,0.017601,0.679937,0.048577,0.000864,0.013632,0.000448,0.001472,0.001056,0.000352,1.193060
0.420161,0.017696,0.674274,0.047648,0.000864,0.013440,0.000480,0.001536,0.001088,0.000352,1.184611
0.422977,0.017344,0.675202,0.047456,0.000832,0.013536,0.000416,0.001472,0.001152,0.000320,1.188067
0.421729,0.017568,0.680578,0.047296,0.000832,0.013312,0.000416,0.001472,0.000992,0.000352,1.192195
0.421954,0.017408,0.711554,0.049600,0.001024,0.013568,0.000384,0.001376,0.001152,0.000352,1.225828
0.421153,0.017504,0.671426,0.047936,0.000896,0.013600,0.000416,0.001536,0.001152,0.000384,1.183747
0.422561,0.017504,0.691490,0.048352,0.000800,0.013728,0.000416,0.001600,0.001120,0.000384,1.206275
0.418498,0.017312,0.702850,0.048896,0.000832,0.013760,0.000416,0.001536,0.001024,0.000384,1.213188
0.417089,0.017568,0.677922,0.048832,0.000832,0.013696,0.000384,0.001472,0.001184,0.000416,1.186787
0.417089,0.017568,0.675234,0.048544,0.000832,0.013856,0.000416,0.001504,0.001056,0.000352,1.184067
0.417761,0.035744,0.672130,0.047840,0.000864,0.013601,0.000352,0.001440,0.001088,0.000416,1.198916
0.421058,0.017536,0.680354,0.049280,0.000832,0.013504,0.000384,0.001472,0.001216,0.000384,1.193508
0.421089,0.017568,0.667970,0.047840,0.000864,0.013632,0.000448,0.001472,0.000992,0.000416,1.180227
0.441121,0.017216,0.685986,0.047712,0.000896,0.013504,0.000448,0.001472,0.001056,0.000384,1.217507
0.421474,0.017440,0.676225,0.047425,0.000992,0.013472,0.000352,0.001472,0.001024,0.000384,1.188132
0.420481,0.017632,0.686978,0.050208,0.000832,0.013536,0.000384,0.001536,0.001184,0.000416,1.200611
0.417121,0.017696,0.683298,0.048160,0.001056,0.013376,0.000416,0.001504,0.001152,0.000384,1.192835
0.421793,0.018113,0.683937,0.048385,0.000896,0.014144,0.000448,0.001472,0.001088,0.000448,1.198020
0.420929,0.017664,0.706306,0.049856,0.001056,0.013600,0.000448,0.001472,0.001024,0.000352,1.220387
0.420321,0.017280,0.671650,0.048256,0.000928,0.013760,0.000416,0.001536,0.001184,0.000352,1.183459
0.423138,0.017856,0.691618,0.049408,0.000864,0.013760,0.000416,0.001504,0.001056,0.000416,1.207844
0.417185,0.017696,0.717986,0.051584,0.001120,0.013440,0.000448,0.001536,0.001088,0.000416,1.230627
0.416513,0.017728,0.683714,0.048000,0.000864,0.013729,0.000448,0.001600,0.001152,0.000416,1.191780
0.415873,0.017728,0.688290,0.048192,0.000864,0.013440,0.000384,0.001632,0.001120,0.000384,1.195363
0.437921,0.017696,0.684706,0.049152,0.000864,0.013408,0.000448,0.001408,0.000992,0.000384,1.214755
0.421377,0.017888,0.711010,0.048097,0.000960,0.013952,0.000448,0.001504,0.001056,0.000384,1.224292
0.421121,0.017728,0.691042,0.049248,0.000896,0.014048,0.000384,0.001472,0.001152,0.000384,1.206435
0.416897,0.018144,0.684066,0.048448,0.000992,0.014016,0.000416,0.001632,0.001472,0.000384,1.194083
0.422466,0.017440,0.684770,0.048416,0.000864,0.014240,0.000416,0.001568,0.001472,0.000384,1.199460
0.422081,0.017568,0.695362,0.048672,0.000832,0.013952,0.000384,0.001632,0.001184,0.000416,1.209859
0.420161,0.017408,0.683106,0.048000,0.000896,0.014272,0.000416,0.001600,0.001376,0.000352,1.195107
0.421314,0.017984,0.681313,0.048513,0.000864,0.014144,0.000416,0.001472,0.001056,0.000384,1.195044
0.421345,0.017184,0.685858,0.049536,0.000896,0.013792,0.000448,0.001536,0.000992,0.000384,1.199715
0.421857,0.017504,0.682210,0.048256,0.000896,0.013888,0.000416,0.001600,0.001088,0.000416,1.195971
0.421185,0.017601,0.683425,0.049025,0.001088,0.013792,0.000448,0.001664,0.001280,0.000384,1.197444
0.443297,0.017408,0.690786,0.048512,0.000864,0.013568,0.000384,0.001824,0.001152,0.000384,1.225827
0.417697,0.017824,0.690402,0.049568,0.000864,0.013792,0.000384,0.001600,0.001248,0.000384,1.202083
0.420802,0.017504,0.680226,0.047968,0.000832,0.013696,0.000352,0.001536,0.001056,0.000416,1.191844
