Layer[8],Layer[9],Layer[10],classifier
9.223539,0.014464,0.000512,9.243827
1.744996,0.002752,0.000416,1.753092
1.731012,0.002560,0.000352,1.739716
1.746084,0.001472,0.000288,1.752644
1.726212,0.001312,0.000288,1.732676
1.710404,0.001248,0.000416,1.716548
1.756100,0.001504,0.000352,1.763460
1.715428,0.001376,0.000384,1.720772
1.724036,0.001536,0.000384,1.729348
1.765188,0.001664,0.000480,1.772036
1.783908,0.001408,0.000416,1.791652
1.749636,0.001312,0.000384,1.755332
1.757475,0.001408,0.000416,1.763747
1.697923,0.001280,0.000320,1.703043
1.731203,0.001312,0.000416,1.738275
1.714787,0.001376,0.000288,1.720227
1.772195,0.001312,0.000352,1.778115
1.711907,0.001153,0.000320,1.717348
1.774148,0.001312,0.000384,1.779876
1.708004,0.001120,0.000320,1.712836
1.765347,0.001504,0.000480,1.771971
1.731235,0.001504,0.000384,1.737379
1.773828,0.001536,0.000416,1.779972
1.719204,0.001344,0.000288,1.724708
1.754308,0.001408,0.000384,1.760228
1.711683,0.001376,0.000320,1.718083
1.774244,0.001536,0.000448,1.780292
1.754532,0.001216,0.000352,1.759140
1.760323,0.001344,0.000416,1.765667
1.733860,0.001408,0.000448,1.740900
1.791428,0.001248,0.000352,1.796548
1.754564,0.001280,0.000384,1.761252
1.736100,0.001408,0.000352,1.741892
1.742307,0.001184,0.000352,1.747875
1.714468,0.001344,0.000352,1.719684
1.737348,0.001408,0.000384,1.742820
1.705219,0.001408,0.000288,1.710243
1.700036,0.001344,0.000352,1.705732
1.717763,0.001376,0.000352,1.723203
1.717764,0.001408,0.000288,1.723876
1.751747,0.001440,0.000384,1.757379
1.758436,0.001216,0.000384,1.763556
1.745699,0.001216,0.000416,1.750147
1.738916,0.001376,0.000384,1.744420
1.694051,0.001280,0.000320,1.698723
1.718532,0.001312,0.000416,1.723908
1.711396,0.001184,0.000320,1.716068
1.729124,0.001472,0.000320,1.734884
1.734979,0.001312,0.000256,1.740195
1.808708,0.001856,0.000448,1.816772
1.768484,0.001440,0.000384,1.774820
1.739268,0.001312,0.000288,1.744804
1.704227,0.001472,0.000384,1.710307
1.738468,0.001440,0.000352,1.744420
1.703427,0.001472,0.000352,1.709155
1.751428,0.001472,0.000320,1.757892
1.705124,0.001248,0.000256,1.710116
1.742211,0.001472,0.000384,1.748323
1.713252,0.001184,0.000320,1.718084
1.735780,0.001376,0.000416,1.742084
1.730180,0.001344,0.000416,1.735524
1.754243,0.001376,0.000320,1.760451
1.740547,0.001440,0.000352,1.746691
1.752548,0.001248,0.000352,1.757252
1.704068,0.001408,0.000352,1.709252
1.773572,0.001472,0.000448,1.779908
1.706563,0.001184,0.000288,1.711459
1.742819,0.001472,0.000384,1.748931
1.777219,0.001504,0.000416,1.784131
1.732835,0.001472,0.000384,1.739427
1.714851,0.001440,0.000288,1.720579
1.717508,0.001408,0.000384,1.723268
1.716676,0.001376,0.000352,1.722436
1.734628,0.001408,0.000352,1.740452
1.730148,0.001152,0.000288,1.735044
1.761508,0.001344,0.000384,1.766692
1.706532,0.001344,0.000288,1.712548
1.725380,0.001312,0.000352,1.731076
1.741924,0.001344,0.000352,1.746916
1.711876,0.001376,0.000384,1.717284
1.717924,0.001408,0.000480,1.724132
1.744964,0.001632,0.000416,1.751652
1.773348,0.001344,0.000384,1.779108
1.763780,0.001440,0.000384,1.769380
1.727396,0.001376,0.000416,1.733124
1.734787,0.001248,0.000352,1.740163
1.730851,0.001472,0.000384,1.736419
1.737924,0.001376,0.000384,1.743524
1.739012,0.001536,0.000416,1.746116
1.745924,0.001664,0.000384,1.752004
1.728995,0.001409,0.000384,1.734788
1.726724,0.001472,0.000384,1.732356
