Layer[0],Layer[1],Layer[2],Layer[3],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.507778,0.018112,0.207585,0.005024,0.215488,0.014624,0.000768,0.001568,0.002464,0.000672,0.983235
0.418561,0.017952,0.203777,0.005056,0.227616,0.015264,0.000672,0.001504,0.001280,0.000352,0.900482
0.443426,0.017856,0.203168,0.005088,0.221537,0.014944,0.000672,0.001568,0.001280,0.000576,0.918755
0.420545,0.020800,0.203489,0.005056,0.242273,0.015104,0.000448,0.001664,0.001024,0.000576,0.918179
0.420801,0.017504,0.203073,0.005120,0.237472,0.015296,0.000480,0.001632,0.001056,0.000352,0.910050
0.416193,0.017664,0.202592,0.004896,0.260993,0.016224,0.000480,0.001536,0.001056,0.000384,0.929698
0.415649,0.017953,0.202624,0.004832,0.237377,0.015392,0.000480,0.001600,0.001120,0.000384,0.904355
0.416417,0.017952,0.202657,0.004992,0.224320,0.015200,0.000480,0.001632,0.001088,0.000320,0.892482
0.415937,0.017696,0.202464,0.004896,0.258817,0.015072,0.000480,0.001600,0.001152,0.000416,0.925986
0.433122,0.017952,0.202336,0.005024,0.235521,0.015104,0.000512,0.001600,0.001088,0.000384,0.920995
0.416225,0.017952,0.202241,0.004864,0.238144,0.014881,0.000512,0.001472,0.001376,0.000416,0.905379
0.416769,0.017824,0.202880,0.004832,0.229153,0.014496,0.000512,0.001440,0.001632,0.000416,0.897506
0.414113,0.017920,0.202561,0.004864,0.262689,0.014688,0.000480,0.001504,0.001056,0.000384,0.927619
0.420385,0.017664,0.204545,0.004992,0.250112,0.014336,0.000480,0.001472,0.001664,0.000352,0.922370
0.419585,0.018016,0.202368,0.004800,0.246881,0.014432,0.000512,0.001440,0.001088,0.000384,0.916706
0.415265,0.017504,0.202177,0.004928,0.227873,0.014336,0.000512,0.001440,0.001664,0.000352,0.893827
0.431201,0.017856,0.202273,0.005056,0.242304,0.014400,0.000512,0.001472,0.001056,0.000352,0.923490
0.415778,0.017792,0.203040,0.005024,0.243873,0.014240,0.000448,0.001440,0.001120,0.000352,0.910531
0.415713,0.017952,0.202849,0.005056,0.254849,0.014528,0.000448,0.001536,0.001088,0.000352,0.921763
0.415713,0.018080,0.202145,0.005024,0.245088,0.014496,0.000544,0.001568,0.001120,0.000384,0.911650
0.416194,0.017568,0.202528,0.005088,0.232065,0.014400,0.000448,0.001632,0.001024,0.000352,0.898563
0.416385,0.017984,0.202337,0.004992,0.244385,0.014400,0.000512,0.001536,0.001728,0.000384,0.913219
0.416129,0.017760,0.202817,0.005056,0.240256,0.014304,0.000512,0.001440,0.001536,0.000320,0.907650
0.432482,0.017824,0.202400,0.004832,0.243969,0.014112,0.000512,0.001472,0.000992,0.000416,0.926659
0.415969,0.017568,0.202465,0.005024,0.232033,0.014496,0.000512,0.001536,0.001632,0.000384,0.898979
0.416001,0.017920,0.202945,0.004864,0.223904,0.014624,0.000480,0.001568,0.001216,0.000320,0.892066
0.420418,0.017344,0.221088,0.005344,0.263745,0.014272,0.000480,0.001600,0.001408,0.000384,0.954883
0.420001,0.017536,0.202369,0.005088,0.240161,0.015072,0.000448,0.001568,0.001056,0.000352,0.912515
0.420737,0.017728,0.202401,0.005056,0.243904,0.014497,0.000480,0.001600,0.001536,0.000384,0.916035
0.415841,0.017792,0.202368,0.005088,0.235969,0.014592,0.000512,0.001568,0.001632,0.000384,0.903586
0.420674,0.017664,0.203488,0.004896,0.223649,0.014816,0.000512,0.002080,0.001184,0.000352,0.896867
0.415873,0.018176,0.201953,0.004832,0.226720,0.014401,0.000448,0.001632,0.001568,0.000320,0.893507
0.420193,0.017984,0.202464,0.004768,0.228417,0.014432,0.000448,0.001472,0.001152,0.000320,0.899970
0.435522,0.017632,0.202688,0.004864,0.243809,0.014656,0.000480,0.001664,0.001152,0.000352,0.932195
0.420033,0.017760,0.202593,0.005056,0.223968,0.014369,0.000512,0.001472,0.001088,0.000352,0.894627
0.416417,0.017504,0.202496,0.005024,0.227297,0.014368,0.000512,0.001504,0.001088,0.000384,0.894178
0.420449,0.017728,0.202720,0.005056,0.241985,0.014400,0.000448,0.001472,0.001664,0.000352,0.913731
0.420801,0.017696,0.203073,0.005056,0.231713,0.014272,0.000448,0.001504,0.001760,0.000320,0.904867
0.416609,0.017856,0.202752,0.004897,0.241024,0.014688,0.000448,0.001536,0.001408,0.000544,0.910754
0.416930,0.017824,0.202592,0.004928,0.241377,0.014656,0.000512,0.001568,0.001088,0.000352,0.909603
0.434337,0.017728,0.202497,0.005056,0.233569,0.015616,0.000448,0.001504,0.001216,0.000416,0.920547
0.416257,0.017856,0.202305,0.005056,0.234880,0.014432,0.000512,0.001472,0.001632,0.000800,0.903234
0.420609,0.017664,0.202592,0.005056,0.236897,0.014688,0.000480,0.001568,0.001120,0.000576,0.908802
0.420513,0.017376,0.202497,0.005024,0.268417,0.014688,0.000512,0.001568,0.001408,0.000416,0.940099
0.416065,0.017504,0.202433,0.005024,0.226656,0.014464,0.000448,0.001504,0.001696,0.000352,0.893634
0.415841,0.017696,0.203264,0.005024,0.217665,0.014304,0.000544,0.001504,0.001248,0.000384,0.884578
0.420769,0.017696,0.202529,0.004928,0.220033,0.014592,0.000512,0.001568,0.001088,0.000352,0.891939
0.432161,0.017472,0.202529,0.005024,0.244128,0.014688,0.000480,0.001536,0.001248,0.000352,0.927490
0.420353,0.017824,0.202304,0.005024,0.236769,0.014688,0.000480,0.001472,0.001152,0.000352,0.908482
0.420321,0.017761,0.202336,0.005024,0.238113,0.014432,0.000480,0.001440,0.001120,0.000352,0.909763
0.420641,0.017504,0.222017,0.005088,0.253953,0.014720,0.000480,0.001472,0.001120,0.000384,0.945347
0.420865,0.017792,0.203457,0.004864,0.229664,0.014912,0.000544,0.001504,0.001120,0.000320,0.902498
0.416514,0.018016,0.202496,0.004832,0.232833,0.014400,0.000480,0.001568,0.001696,0.000320,0.900771
0.419905,0.017472,0.203329,0.004800,0.235233,0.014496,0.000512,0.001536,0.001120,0.000576,0.907043
0.416257,0.017664,0.202593,0.005056,0.234624,0.014592,0.000544,0.001536,0.001152,0.000768,0.902146
0.420130,0.017664,0.202944,0.005024,0.221153,0.014592,0.000448,0.001568,0.001184,0.000352,0.893219
0.420225,0.017728,0.202593,0.005056,0.223457,0.014720,0.000512,0.001536,0.001664,0.000416,0.895523
0.420225,0.017760,0.221985,0.005088,0.219360,0.014560,0.000480,0.001568,0.001152,0.000320,0.910594
0.416130,0.017760,0.202496,0.005056,0.240641,0.014688,0.000480,0.001536,0.001216,0.000416,0.908387
0.421761,0.017728,0.204577,0.005024,0.274945,0.016320,0.000672,0.001856,0.001664,0.000576,0.960003
0.418305,0.017632,0.203553,0.005280,0.255873,0.015968,0.000704,0.002080,0.001504,0.000384,0.929795
0.416705,0.017568,0.203137,0.004960,0.252192,0.015840,0.000768,0.001472,0.001376,0.000352,0.922946
0.422369,0.017632,0.202912,0.005057,0.251296,0.015776,0.000736,0.001632,0.001408,0.000384,0.928546
0.418849,0.017600,0.203616,0.005120,0.235585,0.015072,0.000736,0.001728,0.001632,0.000352,0.909058
0.434753,0.017729,0.202720,0.005088,0.235361,0.016320,0.000704,0.001856,0.001408,0.000384,0.924355
0.417281,0.017632,0.203137,0.005088,0.229088,0.015904,0.000705,0.001600,0.001472,0.000416,0.900099
0.416129,0.017472,0.203072,0.005024,0.231105,0.015360,0.000672,0.001472,0.001120,0.000416,0.899330
0.416769,0.017665,0.246240,0.005152,0.232801,0.015264,0.000736,0.001728,0.001504,0.000416,0.946531
0.416961,0.017536,0.203105,0.004800,0.247329,0.017056,0.000928,0.001920,0.001120,0.000576,0.919491
0.420289,0.017568,0.203009,0.004800,0.240192,0.015104,0.000448,0.001536,0.001600,0.000320,0.912802
0.417026,0.017632,0.203360,0.004832,0.251105,0.014944,0.000672,0.001568,0.001632,0.000384,0.920803
0.416097,0.017504,0.203105,0.004832,0.242625,0.014976,0.000480,0.001792,0.001152,0.000384,0.911587
0.417441,0.017952,0.203649,0.004800,0.226176,0.014496,0.000704,0.001600,0.001248,0.000352,0.896610
0.416577,0.017760,0.202880,0.004896,0.228961,0.014784,0.000512,0.001568,0.001632,0.000384,0.897794
0.438017,0.017792,0.202977,0.005280,0.234689,0.015040,0.000736,0.001536,0.001568,0.000384,0.925603
0.415969,0.017760,0.203361,0.005024,0.246112,0.014400,0.000704,0.001536,0.001632,0.000352,0.914466
0.421025,0.017696,0.202912,0.004832,0.230113,0.014528,0.000704,0.001472,0.001120,0.000416,0.902658
0.421281,0.017664,0.202401,0.005152,0.240897,0.014848,0.000672,0.001600,0.001376,0.000352,0.932419
0.418241,0.017536,0.203265,0.005024,0.228096,0.014720,0.000928,0.001568,0.001696,0.000992,0.900098
0.421089,0.020224,0.202720,0.005056,0.234785,0.014592,0.000800,0.001536,0.001632,0.000384,0.910306
0.420513,0.018048,0.203201,0.005056,0.233825,0.014752,0.000704,0.001504,0.001120,0.000384,0.906851
0.432385,0.017568,0.202977,0.005056,0.236288,0.015072,0.000768,0.001824,0.001184,0.000576,0.921058
0.416417,0.017568,0.203169,0.005024,0.247040,0.015200,0.000672,0.001600,0.001120,0.000608,0.916130
0.420002,0.017504,0.203168,0.005088,0.236865,0.014464,0.000704,0.001600,0.001440,0.000544,0.909251
0.420481,0.017600,0.202529,0.004992,0.254241,0.015072,0.000480,0.001792,0.001088,0.000384,0.927299
0.416193,0.017504,0.202945,0.004864,0.220640,0.015104,0.000672,0.001664,0.001472,0.000576,0.889090
0.415681,0.017824,0.202432,0.005088,0.226881,0.015616,0.000736,0.001632,0.001056,0.000352,0.894562
0.416225,0.017536,0.202625,0.005056,0.239777,0.014816,0.000704,0.001824,0.001376,0.000576,0.908867
0.433281,0.017952,0.202881,0.005056,0.233056,0.014976,0.000736,0.001632,0.001216,0.000384,0.918978
0.415489,0.017728,0.202976,0.005024,0.230849,0.015104,0.000704,0.001632,0.001120,0.000800,0.899138
0.416289,0.017696,0.203169,0.005024,0.232033,0.014784,0.000736,0.001568,0.001184,0.000384,0.900355
0.420737,0.017760,0.220001,0.005152,0.261920,0.014624,0.000640,0.001536,0.001024,0.000384,0.952163
0.416161,0.018048,0.202176,0.005056,0.228449,0.014368,0.000960,0.001600,0.001184,0.000384,0.896002
0.416833,0.017665,0.202496,0.004832,0.249569,0.015008,0.000736,0.001504,0.001088,0.000384,0.917891
0.415873,0.017632,0.203937,0.005152,0.232864,0.014688,0.000736,0.001568,0.001504,0.000384,0.902146
0.416225,0.017536,0.203232,0.004864,0.235617,0.014624,0.000896,0.001568,0.001632,0.000352,0.903906
0.416033,0.017760,0.202593,0.005056,0.238497,0.014912,0.000736,0.001632,0.001632,0.000384,0.906851
0.421249,0.017728,0.202049,0.005056,0.241056,0.014688,0.000448,0.001568,0.001152,0.000384,0.913666
0.444865,0.017568,0.202720,0.004993,0.240640,0.014880,0.000704,0.001472,0.001120,0.000384,0.937314
0.420546,0.017760,0.202560,0.005056,0.232577,0.014688,0.000448,0.001472,0.001216,0.000352,0.904451
0.420833,0.017728,0.202273,0.005088,0.246145,0.014752,0.000704,0.001504,0.001056,0.000352,0.918435
0.415873,0.017728,0.202113,0.004864,0.265792,0.014784,0.000512,0.001504,0.001120,0.000384,0.932418
0.416290,0.017472,0.202048,0.004864,0.248449,0.014592,0.000736,0.001600,0.001536,0.000352,0.915747
0.417345,0.017760,0.202657,0.005056,0.233153,0.014880,0.000704,0.001472,0.001216,0.000576,0.902403
0.416513,0.017600,0.202529,0.004864,0.244320,0.014496,0.000672,0.001472,0.001280,0.000384,0.911810
0.439490,0.017696,0.203136,0.005120,0.223905,0.014912,0.000416,0.001536,0.001088,0.000384,0.915523
0.417953,0.017536,0.202401,0.005120,0.243521,0.014464,0.000672,0.001472,0.001248,0.000384,0.912675
0.420833,0.017856,0.203137,0.005056,0.242080,0.015008,0.000448,0.001568,0.001184,0.000384,0.915458
0.416865,0.017728,0.202656,0.005056,0.271841,0.014816,0.000960,0.001536,0.001120,0.000352,0.941058
0.416609,0.017889,0.205664,0.004992,0.227137,0.014560,0.000704,0.001536,0.001696,0.000384,0.898723
0.420641,0.017728,0.202369,0.005056,0.236960,0.014688,0.000704,0.001504,0.001184,0.000384,0.908834
