Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[8],Layer[9],Layer[10],classifier
0.504129,0.017696,0.223841,0.004928,0.047744,0.000608,0.159489,0.013216,0.000608,0.981123
0.415553,0.017473,0.203424,0.005344,0.048736,0.000576,0.195169,0.001504,0.000640,0.895491
0.416097,0.017184,0.203073,0.004864,0.048448,0.000544,0.210369,0.001792,0.000608,0.910371
0.421057,0.017280,0.202465,0.004928,0.048672,0.000544,0.204736,0.001120,0.000576,0.908098
0.415457,0.017408,0.202400,0.004864,0.048513,0.000576,0.207456,0.001216,0.000800,0.905154
0.417730,0.017696,0.202720,0.005312,0.047456,0.000608,0.190401,0.001376,0.000384,0.890371
0.416353,0.017504,0.202625,0.004832,0.047328,0.000608,0.207745,0.001184,0.000320,0.905315
0.416833,0.017280,0.219553,0.005248,0.048800,0.000576,0.210624,0.001472,0.000416,0.928930
0.415105,0.017312,0.202560,0.004928,0.047681,0.000608,0.179456,0.001120,0.000352,0.875938
0.416609,0.017184,0.203009,0.004960,0.046848,0.000608,0.202689,0.001152,0.000384,0.900003
0.417569,0.017248,0.202689,0.004832,0.046816,0.000768,0.222465,0.001216,0.000352,0.921283
0.417409,0.017216,0.202785,0.004832,0.047104,0.000576,0.187840,0.001184,0.000352,0.886082
0.416066,0.017568,0.203232,0.004800,0.046944,0.000576,0.190305,0.001152,0.000320,0.887555
0.417473,0.017248,0.204193,0.004896,0.046976,0.000576,0.223585,0.001184,0.000384,0.923171
0.416513,0.017632,0.221057,0.004960,0.047392,0.000608,0.197121,0.001056,0.000320,0.914083
0.417217,0.017568,0.202593,0.004928,0.047072,0.000576,0.185440,0.001184,0.000352,0.883778
0.416610,0.017280,0.202624,0.005088,0.047936,0.000800,0.210977,0.001184,0.000640,0.910371
0.421505,0.017472,0.203073,0.004864,0.047328,0.000576,0.196769,0.001280,0.000352,0.899811
0.431137,0.017440,0.202849,0.004832,0.046976,0.000608,0.194592,0.001152,0.000288,0.906754
0.417089,0.017408,0.202496,0.004864,0.047265,0.000608,0.199808,0.001216,0.000288,0.898082
0.418657,0.017281,0.202912,0.004864,0.047552,0.000800,0.212801,0.001280,0.000320,0.913763
0.416961,0.017504,0.202657,0.005056,0.066880,0.000672,0.209249,0.001312,0.000416,0.927747
0.416257,0.017184,0.203201,0.004832,0.047264,0.000736,0.192352,0.001216,0.000384,0.890082
0.415970,0.017344,0.202400,0.004864,0.046880,0.000576,0.207841,0.001248,0.000416,0.904003
0.416417,0.017568,0.202657,0.004768,0.046912,0.000608,0.204769,0.001248,0.000384,0.902787
0.437537,0.017600,0.202593,0.004864,0.047008,0.000608,0.216385,0.001152,0.000384,0.935043
0.416417,0.017408,0.202433,0.005344,0.047808,0.000832,0.198208,0.001216,0.000608,0.897890
0.416353,0.017504,0.202624,0.005088,0.048928,0.000576,0.186369,0.001248,0.000672,0.886242
0.416577,0.017376,0.203201,0.004992,0.048448,0.000640,0.210305,0.001408,0.000384,0.928099
0.457793,0.017344,0.202561,0.005024,0.047424,0.000576,0.201153,0.001408,0.000352,0.940259
0.417377,0.017280,0.202689,0.004928,0.047456,0.000576,0.196928,0.001024,0.000352,0.895842
0.420353,0.017472,0.202560,0.004896,0.046945,0.000544,0.200512,0.001184,0.000416,0.901378
0.433570,0.017568,0.202624,0.004896,0.047008,0.000576,0.215361,0.001280,0.000416,0.930243
0.415905,0.017312,0.202817,0.004896,0.048320,0.000576,0.191265,0.001280,0.000416,0.889923
0.416673,0.017632,0.202497,0.005408,0.047392,0.000832,0.189792,0.001280,0.000576,0.888642
