Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
9.197323,0.001440,0.016320,0.000672,0.001568,0.002560,0.000640,9.227787
1.736482,0.001472,0.015873,0.000512,0.001632,0.001600,0.000576,1.764547
1.737122,0.001056,0.015329,0.000320,0.001632,0.001504,0.000384,1.763267
1.754083,0.000800,0.014880,0.000544,0.001600,0.001472,0.000416,1.779587
1.796803,0.001088,0.014688,0.000352,0.001792,0.001632,0.000576,1.825699
1.730914,0.000832,0.015872,0.000640,0.001568,0.001536,0.000640,1.758850
1.779202,0.000896,0.015264,0.000352,0.001664,0.001472,0.000384,1.805250
1.721282,0.000896,0.014944,0.000384,0.001632,0.001440,0.000576,1.746786
1.751746,0.001056,0.014624,0.000384,0.001600,0.001216,0.000384,1.777186
1.773602,0.000992,0.015136,0.000544,0.001568,0.001152,0.000416,1.800002
1.791714,0.000928,0.014976,0.000384,0.001600,0.001248,0.000384,1.820450
1.763074,0.000896,0.014912,0.000384,0.001600,0.001344,0.000416,1.788898
1.758371,0.001056,0.016640,0.000608,0.001632,0.001280,0.000416,1.787587
1.764770,0.000992,0.014720,0.000352,0.001632,0.001280,0.000416,1.790498
1.786594,0.001056,0.015872,0.000352,0.001536,0.001248,0.000384,1.813314
1.756610,0.001120,0.014528,0.000352,0.001664,0.001152,0.000416,1.781314
1.788931,0.000960,0.014528,0.000384,0.001600,0.001152,0.000448,1.813827
1.733890,0.000928,0.014624,0.000544,0.001536,0.001280,0.000352,1.758914
1.783010,0.001120,0.016480,0.000384,0.001568,0.001216,0.000416,1.811138
1.746978,0.000960,0.014272,0.000352,0.001568,0.001216,0.000384,1.771682
1.739010,0.000960,0.014528,0.000352,0.001504,0.001312,0.000352,1.764706
1.740290,0.000864,0.014496,0.000352,0.001536,0.001184,0.000352,1.765250
1.807490,0.000896,0.014368,0.000416,0.001600,0.001248,0.000384,1.832098
1.755810,0.000928,0.014529,0.000384,0.001568,0.001216,0.000352,1.780547
1.781986,0.001056,0.014528,0.000416,0.001536,0.001216,0.000384,1.806722
1.771874,0.000864,0.014656,0.000384,0.001504,0.001216,0.000416,1.796578
1.746754,0.000832,0.014240,0.000384,0.001600,0.001088,0.000384,1.771042
1.743298,0.000832,0.014048,0.000384,0.001536,0.001088,0.000352,1.767042
1.761474,0.000992,0.016096,0.000832,0.001472,0.001184,0.000384,1.788162
1.699266,0.000736,0.014176,0.000416,0.001504,0.001088,0.000384,1.722722
1.772546,0.000960,0.014528,0.000352,0.001536,0.001184,0.000384,1.797346
1.749250,0.000928,0.014816,0.000416,0.001568,0.001184,0.000384,1.774498
1.728322,0.000864,0.014368,0.000576,0.001440,0.001248,0.000352,1.752386
1.705058,0.000896,0.014432,0.000832,0.001472,0.001184,0.000352,1.729794
1.767330,0.001024,0.015520,0.000352,0.001440,0.001280,0.000384,1.793250
1.731810,0.000864,0.014208,0.000384,0.001536,0.001088,0.000416,1.755842
1.772802,0.000896,0.014273,0.000352,0.001536,0.001216,0.000384,1.797411
1.754114,0.000832,0.014176,0.000384,0.001568,0.001184,0.000384,1.778242
1.732514,0.000768,0.014272,0.000416,0.001472,0.001184,0.000384,1.756482
1.722498,0.000768,0.014208,0.000352,0.001504,0.001120,0.000416,1.746338
1.757795,0.000704,0.014304,0.000352,0.001632,0.001280,0.000384,1.782787
1.722210,0.000768,0.014560,0.000384,0.001472,0.001184,0.000352,1.746274
1.753314,0.000704,0.014208,0.000384,0.001536,0.000864,0.000352,1.776386
