Layer[0],Layer[1],Layer[2],Layer[8],Layer[9],Layer[10],classifier
0.516513,0.017984,0.207841,0.229569,0.011264,0.000832,0.991427
0.435073,0.017856,0.203265,0.277089,0.002016,0.000896,0.943427
0.422786,0.017632,0.202848,0.260961,0.001984,0.000640,0.912323
0.421057,0.017824,0.202497,0.277120,0.001984,0.000704,0.927234
0.421602,0.017760,0.202848,0.290529,0.001728,0.000672,0.942211
0.417153,0.017408,0.202209,0.246848,0.001536,0.000864,0.892002
0.416385,0.017408,0.202497,0.272385,0.001280,0.000608,0.915875
0.415393,0.017440,0.202688,0.265729,0.001280,0.000448,0.909154
0.431073,0.017472,0.202369,0.281537,0.001280,0.000320,0.940163
0.416610,0.017504,0.202656,0.266689,0.001280,0.000448,0.911459
0.419937,0.017728,0.202753,0.271264,0.001248,0.000640,0.918978
0.416001,0.017505,0.203072,0.284097,0.001312,0.000384,0.929123
0.415649,0.017568,0.203425,0.263680,0.001216,0.000480,0.910754
0.417185,0.017344,0.203905,0.267169,0.001408,0.000480,0.914339
0.422081,0.017312,0.202721,0.285504,0.001568,0.000448,0.936834
0.436642,0.017664,0.204608,0.285377,0.001376,0.000640,0.953123
0.418241,0.017344,0.202977,0.257825,0.001536,0.000704,0.904835
0.421761,0.017536,0.202720,0.282561,0.001376,0.000864,0.933378
0.421409,0.017537,0.223104,0.275873,0.001632,0.000640,0.946819
0.420705,0.017568,0.202497,0.255936,0.001280,0.000608,0.904578
0.416161,0.017569,0.202400,0.262849,0.001440,0.000416,0.907299
0.421537,0.017408,0.202497,0.259872,0.001248,0.000704,0.909346
0.417986,0.017728,0.203072,0.268161,0.001248,0.000704,0.916739
0.422433,0.017632,0.202241,0.270304,0.001536,0.000480,0.921346
0.421250,0.017728,0.202624,0.269825,0.001312,0.000512,0.919299
0.438977,0.017600,0.202529,0.262977,0.001440,0.000512,0.930275
0.420930,0.017696,0.202816,0.265665,0.001696,0.000480,0.915939
0.421825,0.017792,0.202657,0.257921,0.001408,0.000480,0.907779
0.419906,0.017952,0.202624,0.295937,0.001632,0.000512,0.944387
0.420289,0.017504,0.202849,0.272001,0.001600,0.000448,0.921027
0.420417,0.017408,0.202432,0.272961,0.001632,0.000480,0.921058
0.421281,0.017536,0.202561,0.260481,0.001536,0.000896,0.910179
0.440609,0.017600,0.202432,0.265185,0.001568,0.000704,0.936194
0.416513,0.017568,0.202529,0.264609,0.001664,0.000640,0.909827
0.420705,0.017888,0.202625,0.272672,0.001536,0.000704,0.922082
0.422209,0.017921,0.217472,0.269697,0.001472,0.000640,0.935939
0.421345,0.018272,0.202849,0.260192,0.001504,0.000672,0.910882
0.418306,0.017856,0.202720,0.270017,0.001408,0.000416,0.916707
0.416097,0.017728,0.202945,0.265088,0.001312,0.000448,0.909666
0.422466,0.017472,0.202496,0.256097,0.001888,0.000480,0.907011
0.421409,0.017472,0.202433,0.253056,0.001376,0.000416,0.902690
0.421377,0.017440,0.202177,0.272321,0.001440,0.000480,0.921059
0.440417,0.017696,0.203585,0.269408,0.001632,0.000448,0.940322
0.420610,0.017824,0.202304,0.274049,0.001568,0.000448,0.922851
0.420289,0.017824,0.202561,0.275617,0.001824,0.000416,0.924483
0.422114,0.017600,0.202848,0.297953,0.001632,0.000416,0.949539
0.421761,0.017408,0.202721,0.269121,0.001632,0.000448,0.919491
0.420481,0.017600,0.202240,0.272513,0.001536,0.000416,0.920994
0.422497,0.017312,0.202529,0.266113,0.001568,0.000416,0.917155
0.437217,0.018304,0.202304,0.275617,0.001440,0.000448,0.942146
0.416577,0.017632,0.202369,0.269985,0.001472,0.000416,0.914563
0.421985,0.017504,0.203297,0.269248,0.001600,0.000416,0.920482
0.419873,0.017696,0.220193,0.275489,0.001568,0.000416,0.942627
0.421409,0.017792,0.202657,0.270624,0.001952,0.000416,0.921090
0.420353,0.017409,0.202304,0.258977,0.001760,0.000416,0.907555
0.420865,0.017536,0.202241,0.271392,0.001504,0.000448,0.920354
0.421058,0.017440,0.202272,0.308385,0.001472,0.000416,0.957059
0.415777,0.017344,0.202689,0.275553,0.001472,0.000480,0.919395
0.421249,0.017504,0.202496,0.255809,0.001632,0.000416,0.905698
0.433697,0.017888,0.202593,0.269633,0.001504,0.000448,0.931747
0.421313,0.017728,0.202400,0.278113,0.001344,0.000416,0.928610
0.420225,0.017504,0.202529,0.270561,0.001920,0.000448,0.919715
0.421505,0.017472,0.202720,0.290721,0.001440,0.000416,0.941858
0.420929,0.017568,0.202465,0.266561,0.001408,0.000480,0.916227
0.421057,0.017536,0.202433,0.246592,0.001472,0.000512,0.895810
0.416385,0.017536,0.202337,0.262209,0.001792,0.000672,0.907363
0.436833,0.017408,0.203649,0.262880,0.001536,0.000640,0.929474
0.415681,0.017536,0.202241,0.275937,0.001728,0.000672,0.920579
0.415617,0.017536,0.202561,0.270016,0.001536,0.000736,0.914306
0.416865,0.017344,0.221121,0.268193,0.001728,0.000672,0.932515
0.420865,0.017312,0.202401,0.268736,0.001632,0.000704,0.917730
0.416130,0.017344,0.202432,0.261057,0.001472,0.000480,0.904899
0.417537,0.017760,0.202401,0.279456,0.001504,0.000736,0.926370
0.416034,0.017792,0.202272,0.262433,0.001696,0.000896,0.907235
0.420001,0.017792,0.202657,0.260224,0.001440,0.000512,0.909026
0.421026,0.017536,0.205280,0.267969,0.001408,0.000480,0.919459
0.421313,0.017664,0.220609,0.278081,0.001664,0.000512,0.947587
0.416130,0.017504,0.202816,0.260545,0.001600,0.000896,0.905507
0.416161,0.017568,0.202497,0.261729,0.001696,0.000672,0.906819
0.420898,0.017568,0.202912,0.297313,0.001664,0.000448,0.946851
0.416289,0.017504,0.202945,0.249025,0.001536,0.000448,0.894403
0.416289,0.017664,0.202304,0.265281,0.001376,0.000416,0.909378
0.421089,0.017472,0.202625,0.268257,0.001856,0.000512,0.919203
0.433985,0.017568,0.202400,0.260321,0.001312,0.000416,0.922722
0.420385,0.017472,0.202497,0.250337,0.001376,0.000448,0.898723
0.415905,0.017504,0.202464,0.268929,0.001344,0.000448,0.912610
0.420833,0.017728,0.202913,0.276129,0.001568,0.000512,0.927619
0.421409,0.018016,0.202272,0.262561,0.001408,0.000416,0.912322
0.422529,0.017472,0.202433,0.255905,0.001280,0.000416,0.906563
0.421057,0.017824,0.202624,0.269537,0.001568,0.000416,0.918946
0.437409,0.017952,0.202657,0.283745,0.001632,0.000480,0.949827
0.416641,0.017568,0.202561,0.269984,0.001760,0.000448,0.915042
0.420225,0.017440,0.202529,0.272673,0.001568,0.000480,0.922179
0.420801,0.017632,0.221505,0.272512,0.001536,0.000608,0.942370
0.421665,0.017601,0.202496,0.257409,0.001504,0.000512,0.907203
0.420289,0.017440,0.202657,0.272640,0.001696,0.000544,0.923042
0.420386,0.017728,0.203008,0.268513,0.001408,0.000512,0.918211
0.420257,0.017376,0.202305,0.269664,0.001536,0.000480,0.918115
0.419970,0.017536,0.202400,0.269377,0.001408,0.000704,0.917283
0.420929,0.017504,0.202433,0.262305,0.001440,0.000704,0.911363
0.448994,0.017536,0.202656,0.274913,0.001504,0.000416,0.952675
0.419969,0.017440,0.202273,0.275201,0.001536,0.000448,0.923331
0.420673,0.017344,0.203232,0.270753,0.001408,0.000640,0.920610
0.420161,0.017568,0.202305,0.286945,0.001472,0.000640,0.934819
0.420833,0.017792,0.202337,0.272192,0.001664,0.000416,0.921442
0.419841,0.017408,0.202273,0.258689,0.001472,0.000448,0.907331
0.420801,0.017504,0.202305,0.267200,0.001408,0.000640,0.916226
0.440417,0.017569,0.202400,0.257185,0.001376,0.000640,0.925635
0.417665,0.017600,0.203841,0.270880,0.001600,0.000576,0.918722
0.420769,0.017632,0.202624,0.255713,0.001408,0.000864,0.905251
0.420417,0.017568,0.202209,0.277824,0.001440,0.000608,0.927714
0.417186,0.018048,0.202368,0.278465,0.001600,0.000896,0.925347
0.421377,0.017568,0.202369,0.263105,0.001664,0.000512,0.913123
0.420770,0.017632,0.202176,0.276385,0.001600,0.000480,0.925315
0.416065,0.017760,0.202241,0.274401,0.001600,0.000480,0.919555
0.421089,0.017952,0.202304,0.276801,0.001664,0.000480,0.926658
0.420449,0.017440,0.202049,0.260993,0.001600,0.000672,0.909891
0.439585,0.017696,0.202593,0.268000,0.001696,0.000864,0.937282
0.420705,0.017824,0.202273,0.263393,0.001344,0.000480,0.912291
0.421729,0.018208,0.202625,0.270688,0.001440,0.000512,0.921474
0.416289,0.017537,0.202848,0.292385,0.001568,0.000416,0.937731
0.416801,0.017792,0.202017,0.256288,0.001408,0.000480,0.902114
0.416514,0.017536,0.202656,0.271745,0.001440,0.000448,0.917123
0.421729,0.017344,0.202305,0.248192,0.001408,0.000480,0.897346
0.439074,0.017344,0.204128,0.265025,0.001504,0.000640,0.933411
0.417441,0.017568,0.202273,0.264928,0.001728,0.000448,0.910018
0.420642,0.017312,0.202784,0.253569,0.001408,0.000480,0.902179
0.421153,0.017568,0.202369,0.289665,0.001408,0.000448,0.938659
0.420706,0.017344,0.202016,0.264577,0.001408,0.000448,0.912355
0.420705,0.017696,0.202337,0.259809,0.001408,0.000480,0.908547
0.421826,0.017632,0.202144,0.261537,0.001440,0.000448,0.910883
0.434849,0.017664,0.202497,0.264705,0.001440,0.000416,0.928259
0.417314,0.017536,0.203648,0.261793,0.001504,0.000416,0.908515
0.420961,0.017600,0.203169,0.268737,0.001568,0.000416,0.918563
0.421729,0.017664,0.216288,0.267457,0.002016,0.000448,0.932386
0.421761,0.017376,0.202849,0.247969,0.001568,0.000480,0.898115
0.420001,0.017504,0.201984,0.274049,0.001504,0.000480,0.921730
0.420353,0.017568,0.202369,0.243777,0.001504,0.000480,0.892515
0.417057,0.017376,0.202464,0.268353,0.001472,0.000704,0.913570
0.420513,0.017760,0.202273,0.269249,0.001376,0.000896,0.918307
0.416385,0.017408,0.202272,0.260993,0.002112,0.000704,0.906050
0.440449,0.018016,0.203169,0.269921,0.001664,0.000896,0.941667
0.420833,0.017376,0.202336,0.250721,0.001504,0.000448,0.899266
0.420961,0.017664,0.202369,0.274497,0.001376,0.000896,0.923875
0.420321,0.017952,0.202976,0.266913,0.001280,0.000448,0.915682
0.416225,0.017536,0.201953,0.268545,0.001184,0.000704,0.911779
0.420417,0.017344,0.202528,0.267361,0.001280,0.000480,0.914978
0.417697,0.017664,0.202337,0.268225,0.001408,0.000800,0.913731
0.440129,0.017760,0.201984,0.252417,0.001248,0.000704,0.920354
0.420865,0.017504,0.202369,0.264289,0.001248,0.000448,0.912963
0.421634,0.017856,0.202112,0.268449,0.001216,0.000448,0.917251
0.420833,0.017600,0.202209,0.290209,0.001408,0.000640,0.939715
0.420801,0.017536,0.203072,0.267233,0.001920,0.000896,0.917122
0.420129,0.017312,0.202177,0.269345,0.001312,0.000448,0.916419
0.421889,0.017536,0.202240,0.251393,0.001344,0.000640,0.900706
0.437281,0.017760,0.202209,0.255457,0.001248,0.000480,0.920963
0.420514,0.017568,0.202208,0.263041,0.001248,0.000512,0.910979
0.417121,0.017280,0.202049,0.265056,0.001568,0.000512,0.909922
0.421218,0.017792,0.203008,0.272993,0.001536,0.000416,0.923043
0.417057,0.017600,0.202561,0.259712,0.001600,0.000448,0.905026
0.421954,0.017568,0.204224,0.268161,0.001504,0.000448,0.919843
0.416929,0.017824,0.202561,0.261952,0.001472,0.000480,0.908386
0.438338,0.017792,0.202112,0.273921,0.001632,0.000704,0.941123
0.419777,0.017760,0.202465,0.260256,0.001568,0.000480,0.908546
0.416706,0.017856,0.202176,0.270689,0.001536,0.000512,0.915779
0.421121,0.017696,0.220993,0.278145,0.002080,0.000448,0.946883
0.420386,0.017856,0.201952,0.269633,0.001568,0.000448,0.917795
0.420897,0.017920,0.202305,0.260289,0.001600,0.000480,0.909699
0.420354,0.017376,0.202208,0.273153,0.001440,0.000704,0.921283
0.422081,0.017600,0.202433,0.302657,0.001536,0.000512,0.953091
0.416673,0.017728,0.202240,0.257153,0.001376,0.000480,0.901538
0.423329,0.020960,0.203585,0.267233,0.001440,0.000512,0.924259
0.450113,0.017952,0.203297,0.265568,0.001440,0.000448,0.945762
0.420577,0.017377,0.202976,0.260961,0.001344,0.000448,0.909891
0.416321,0.017376,0.202721,0.268672,0.001344,0.000768,0.913986
0.420898,0.017344,0.202592,0.278977,0.001504,0.000480,0.927843
0.416897,0.017344,0.202753,0.264800,0.001376,0.000480,0.909602
0.420706,0.017504,0.202624,0.273889,0.001440,0.000416,0.922915
0.420705,0.017632,0.203073,0.260608,0.001504,0.000448,0.910306
0.436898,0.018048,0.202400,0.269665,0.001536,0.000448,0.936227
0.421793,0.017536,0.204769,0.264193,0.001504,0.000704,0.916547
0.420962,0.017760,0.202304,0.274753,0.001472,0.000480,0.924547
0.421409,0.017984,0.202241,0.284065,0.001504,0.000416,0.934147
0.421505,0.017888,0.202240,0.255841,0.001408,0.000448,0.905474
0.422209,0.017344,0.202113,0.259297,0.001344,0.000384,0.908771
0.416609,0.017504,0.202208,0.272353,0.001376,0.000448,0.916578
