Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[9],Layer[10],classifier
0.415425,0.017376,0.202561,0.004864,0.047328,0.000800,0.013376,0.157344,0.000544,0.865986
0.416129,0.017696,0.203744,0.005248,0.048128,0.000865,0.013568,0.172256,0.000512,0.887426
0.435777,0.017249,0.202784,0.004864,0.048576,0.000640,0.014048,0.173249,0.000480,0.904803
0.415713,0.017536,0.201921,0.004800,0.047136,0.000768,0.013440,0.173696,0.000512,0.882242
0.415425,0.017408,0.202176,0.005312,0.048705,0.000768,0.013600,0.172416,0.000608,0.882850
0.415330,0.017248,0.202304,0.005248,0.047360,0.000800,0.013536,0.192449,0.000672,0.901923
0.415905,0.017184,0.202465,0.004832,0.047232,0.000832,0.013408,0.183233,0.000480,0.891715
0.415905,0.017344,0.202625,0.004928,0.046944,0.000960,0.013344,0.176576,0.000544,0.885026
0.415106,0.017600,0.202112,0.004832,0.046816,0.000864,0.013344,0.180577,0.000544,0.887971
0.415745,0.032064,0.202241,0.004832,0.047072,0.000544,0.013440,0.163521,0.000576,0.886371
0.416161,0.017536,0.202400,0.004864,0.046881,0.000736,0.013408,0.164768,0.000672,0.873730
0.415073,0.017408,0.201889,0.004800,0.047232,0.000768,0.013440,0.160929,0.000480,0.868803
0.419841,0.017344,0.203105,0.004832,0.046912,0.000896,0.013344,0.180512,0.000608,0.894818
0.421697,0.017184,0.202337,0.004832,0.046944,0.000832,0.013376,0.169664,0.000512,0.884482
0.415490,0.017152,0.202208,0.004800,0.046816,0.001024,0.013408,0.183361,0.000608,0.890755
0.415809,0.017216,0.203361,0.004864,0.046976,0.001056,0.013376,0.202721,0.000544,0.912835
0.416097,0.017344,0.221025,0.004960,0.047200,0.000960,0.013408,0.191424,0.000736,0.919522
0.416609,0.017440,0.202368,0.004864,0.046944,0.000768,0.013473,0.154464,0.000672,0.864194
0.415137,0.017600,0.203201,0.004832,0.047008,0.000544,0.013344,0.177729,0.000480,0.886179
0.417313,0.017216,0.202625,0.004800,0.047104,0.000576,0.013408,0.190176,0.000480,0.899778
0.431617,0.017600,0.203168,0.004992,0.046785,0.000576,0.013312,0.212320,0.000608,0.937858
0.414593,0.017281,0.203584,0.004800,0.046880,0.000576,0.013376,0.192065,0.000576,0.899843
0.415233,0.017376,0.202113,0.004832,0.046880,0.000768,0.013376,0.224449,0.000512,0.931907
0.415873,0.017248,0.202305,0.004864,0.046848,0.001056,0.013376,0.193216,0.000512,0.901666
0.420098,0.017184,0.202400,0.004832,0.047072,0.000608,0.013377,0.175328,0.000480,0.887043
0.415937,0.017120,0.202433,0.004832,0.047328,0.000992,0.013376,0.167425,0.000576,0.877411
0.416161,0.017152,0.201985,0.004800,0.047008,0.000704,0.013312,0.189888,0.000480,0.897282
0.431586,0.017376,0.202112,0.004896,0.046976,0.000768,0.013377,0.192000,0.000576,0.916003
0.415425,0.017536,0.203264,0.004832,0.047136,0.000992,0.013472,0.180897,0.000544,0.890755
0.414849,0.017120,0.204065,0.004864,0.046848,0.000960,0.013408,0.168800,0.000480,0.877058
0.415649,0.017344,0.202240,0.004832,0.047169,0.000896,0.013376,0.175616,0.000512,0.883810
0.420322,0.017184,0.202720,0.004800,0.047008,0.000576,0.013312,0.169985,0.000544,0.882627
0.415681,0.017376,0.202273,0.004864,0.046880,0.000640,0.013376,0.168288,0.000544,0.876098
0.419521,0.017152,0.202528,0.004832,0.046881,0.000544,0.013408,0.171040,0.000544,0.882786
0.416321,0.017088,0.218881,0.004960,0.046944,0.000544,0.013344,0.192065,0.000512,0.916643
0.416674,0.017600,0.203744,0.004864,0.047648,0.000992,0.013472,0.182145,0.000608,0.896227
0.416226,0.017376,0.203072,0.004800,0.046944,0.000512,0.013344,0.181089,0.000576,0.890851
0.415330,0.017504,0.202496,0.004832,0.047392,0.000544,0.013376,0.186049,0.000512,0.894915
0.415842,0.017120,0.202656,0.004864,0.047200,0.000800,0.013440,0.178081,0.000480,0.887043
0.415202,0.017152,0.202592,0.004832,0.047040,0.000512,0.013664,0.202113,0.000544,0.910691
0.416258,0.017344,0.202048,0.004800,0.046944,0.000992,0.013440,0.177569,0.000544,0.886595
0.415458,0.017216,0.201984,0.004800,0.047392,0.000704,0.013440,0.179201,0.000480,0.887011
0.415106,0.017184,0.202368,0.004832,0.047136,0.000704,0.013440,0.171585,0.000480,0.878787
0.415362,0.017344,0.202304,0.004960,0.046912,0.000704,0.013344,0.192385,0.000480,0.899875
0.445634,0.017408,0.202112,0.004864,0.046880,0.000576,0.013408,0.208001,0.000608,0.946115
0.416226,0.017344,0.202432,0.004896,0.047168,0.000800,0.013408,0.179073,0.000512,0.889155
0.415074,0.017248,0.202400,0.004800,0.046944,0.001024,0.013408,0.180545,0.000512,0.888835
0.415874,0.017184,0.220640,0.004992,0.047168,0.000800,0.013345,0.185344,0.000480,0.912067
0.415362,0.017440,0.203072,0.004832,0.047328,0.000992,0.013344,0.187649,0.000704,0.897411
0.415681,0.017184,0.202112,0.004864,0.047488,0.000768,0.013377,0.171424,0.000608,0.880098
0.415713,0.017568,0.202528,0.004832,0.047104,0.000544,0.013441,0.194560,0.000544,0.903426
0.415010,0.017216,0.203136,0.004864,0.046976,0.000512,0.013376,0.170561,0.000512,0.878723
0.416322,0.017376,0.202688,0.004800,0.046912,0.000480,0.013440,0.189057,0.000480,0.897667
0.415458,0.017344,0.202368,0.004832,0.047232,0.000608,0.013376,0.173953,0.000512,0.881731
0.416418,0.017632,0.204320,0.004864,0.047328,0.000832,0.013824,0.180353,0.000608,0.894627
0.415425,0.017632,0.202688,0.004896,0.046945,0.001088,0.013440,0.184704,0.000640,0.894338
