Layer[0],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.506914,8.188949,0.001120,0.014784,0.000352,0.001440,0.011040,0.000672,8.733559
0.421569,0.779234,0.001088,0.015648,0.000352,0.001664,0.002368,0.000448,1.230403
0.418305,0.748514,0.000800,0.014624,0.000416,0.001984,0.001728,0.000384,1.193763
0.417185,0.787458,0.000832,0.015328,0.000384,0.001824,0.001152,0.000352,1.231267
0.416929,0.751042,0.000608,0.014464,0.000416,0.001792,0.001120,0.000352,1.193059
0.415873,0.757826,0.000992,0.014976,0.000352,0.001888,0.001120,0.000416,1.200355
0.415969,0.777410,0.000928,0.014336,0.000384,0.001472,0.001024,0.000352,1.218723
0.415681,0.763874,0.000768,0.014368,0.000800,0.001536,0.001120,0.000352,1.204291
0.415713,0.773762,0.000832,0.014336,0.000352,0.001504,0.000992,0.000352,1.213955
0.430113,0.780034,0.000768,0.014144,0.000320,0.001632,0.001152,0.000384,1.234275
0.415457,0.740802,0.000800,0.014176,0.000384,0.001472,0.000960,0.000384,1.179939
0.415649,0.785314,0.000896,0.014336,0.000352,0.001440,0.000960,0.000384,1.225091
0.415649,0.742850,0.000896,0.014272,0.000384,0.001472,0.000896,0.000384,1.183587
0.416161,0.756578,0.000768,0.014080,0.000384,0.001504,0.001152,0.000352,1.197187
0.416833,0.765282,0.000832,0.014016,0.000384,0.001472,0.000864,0.000416,1.206691
0.415553,0.758850,0.000800,0.014112,0.000384,0.001440,0.001120,0.000352,1.199491
0.416321,0.757858,0.000800,0.014080,0.000384,0.001504,0.001024,0.000416,1.199683
0.416001,0.759778,0.000800,0.014304,0.000384,0.001440,0.000960,0.000320,1.199907
0.415905,0.748546,0.000864,0.013984,0.000352,0.001472,0.000992,0.000352,1.187683
0.415681,0.758882,0.001184,0.014368,0.000384,0.001440,0.000960,0.000384,1.199107
0.415681,0.743906,0.000800,0.013888,0.000416,0.001504,0.000992,0.000416,1.182979
0.416065,0.753346,0.000768,0.014272,0.000352,0.001472,0.001120,0.000384,1.194083
