Layer[0],Layer[1],Layer[2],Layer[3],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.534850,0.017760,0.206080,0.005152,0.238913,0.002848,0.011648,0.000672,1.026851
0.417186,0.017504,0.204352,0.005280,0.238401,0.003040,0.001856,0.000384,0.895747
0.417089,0.017632,0.203201,0.004864,0.253601,0.002208,0.001408,0.000384,0.907203
0.420385,0.017440,0.202945,0.004928,0.262976,0.002336,0.001376,0.000384,0.919874
0.416898,0.017408,0.202528,0.004832,0.248001,0.002240,0.001152,0.000416,0.901283
0.420353,0.017760,0.202369,0.004896,0.270433,0.002336,0.001408,0.000416,0.927107
0.448641,0.017376,0.202625,0.004928,0.273569,0.002400,0.001536,0.000384,0.959555
0.416097,0.017408,0.202240,0.005024,0.267969,0.002272,0.001248,0.000384,0.919042
0.420226,0.018016,0.202784,0.005024,0.268961,0.002336,0.001184,0.000320,0.926883
0.420161,0.017344,0.202177,0.005280,0.285505,0.002368,0.001344,0.000384,0.941795
0.420737,0.017760,0.202625,0.005408,0.258113,0.002432,0.001216,0.000352,0.916099
0.420033,0.017856,0.202528,0.004992,0.260257,0.002336,0.001280,0.000416,0.916770
0.421122,0.017408,0.202240,0.005248,0.244033,0.003328,0.001664,0.000384,0.902147
0.431201,0.017248,0.203073,0.004800,0.264481,0.002272,0.001248,0.000352,0.931843
0.420065,0.017312,0.203361,0.004864,0.256960,0.002304,0.001344,0.000416,0.913570
0.420002,0.017312,0.202208,0.004896,0.247201,0.002304,0.001088,0.000384,0.902019
0.419969,0.017280,0.203745,0.005248,0.281185,0.002464,0.001248,0.000416,0.938435
0.415393,0.017344,0.202113,0.005184,0.241632,0.002464,0.001312,0.000352,0.893154
0.416065,0.017504,0.202464,0.004832,0.258465,0.002240,0.001376,0.000384,0.910594
0.416257,0.017760,0.203649,0.005280,0.258305,0.002400,0.001312,0.000416,0.913219
0.440769,0.017408,0.202561,0.004896,0.251201,0.003520,0.001408,0.000384,0.930115
0.416065,0.017312,0.203713,0.004992,0.250304,0.002304,0.000992,0.000352,0.902754
0.420066,0.017312,0.202848,0.004896,0.247745,0.002208,0.001088,0.000320,0.903299
0.415425,0.017216,0.204001,0.004832,0.278625,0.002816,0.001184,0.000448,0.931395
0.415745,0.017792,0.202273,0.004832,0.257920,0.002400,0.001056,0.000384,0.909122
0.415682,0.017280,0.202080,0.004800,0.251073,0.002208,0.001088,0.000352,0.901059
0.420097,0.017280,0.202433,0.005024,0.250593,0.002304,0.001120,0.000352,0.906051
0.433793,0.017280,0.202561,0.005280,0.271360,0.002304,0.001024,0.000352,0.940578
0.419969,0.017376,0.202304,0.004832,0.255937,0.002304,0.001056,0.000384,0.910626
0.416642,0.018016,0.202176,0.004896,0.263969,0.002528,0.001056,0.000384,0.917283
0.415553,0.017472,0.221025,0.005344,0.260769,0.002272,0.001024,0.000416,0.931939
0.420481,0.017440,0.202273,0.004832,0.273472,0.002208,0.000992,0.000384,0.928386
0.418657,0.017280,0.202208,0.004832,0.256225,0.002656,0.001152,0.000416,0.910178
0.415777,0.017441,0.202176,0.004864,0.253153,0.002304,0.001536,0.000384,0.904195
0.420097,0.017344,0.201921,0.005248,0.260897,0.002272,0.001120,0.000416,0.915939
0.416641,0.021088,0.202113,0.005344,0.262368,0.002304,0.001088,0.000352,0.917538
0.419874,0.017344,0.201952,0.005024,0.243457,0.002272,0.001024,0.000320,0.898467
0.420193,0.017248,0.222625,0.005312,0.261825,0.002464,0.001120,0.000320,0.938371
0.420097,0.017504,0.202529,0.004864,0.250240,0.002752,0.001056,0.000352,0.906498
0.417218,0.017568,0.202400,0.005216,0.250465,0.002496,0.001280,0.000352,0.904675
0.415457,0.017376,0.202305,0.004896,0.250657,0.002656,0.001024,0.000416,0.901475
0.419777,0.017504,0.202177,0.005024,0.256609,0.002432,0.001120,0.000352,0.911299
0.415841,0.017472,0.202336,0.005024,0.261825,0.002464,0.001184,0.000352,0.913026
0.420450,0.017376,0.202176,0.005216,0.252897,0.002368,0.001216,0.000384,0.908611
0.439297,0.017280,0.202401,0.004864,0.264193,0.002368,0.001248,0.000352,0.939587
0.420225,0.017824,0.202305,0.004960,0.273344,0.002528,0.000992,0.000384,0.929698
0.420129,0.017792,0.202880,0.005248,0.258913,0.002144,0.001088,0.000416,0.915586
0.416289,0.017504,0.202241,0.005312,0.288705,0.002368,0.001024,0.000384,0.940643
0.420225,0.017568,0.201857,0.005056,0.256865,0.002304,0.001024,0.000416,0.913379
0.416225,0.017472,0.202401,0.005248,0.246528,0.002400,0.001152,0.000416,0.899362
0.420417,0.017216,0.202688,0.005280,0.262465,0.002400,0.001088,0.000416,0.918882
0.437506,0.017408,0.202496,0.005280,0.274497,0.002432,0.000992,0.000416,0.948259
0.415425,0.017504,0.204225,0.005280,0.248417,0.002176,0.001088,0.000384,0.901027
0.416513,0.017792,0.202465,0.004864,0.274176,0.002528,0.001280,0.000352,0.926466
0.419938,0.017600,0.201952,0.004832,0.279169,0.002240,0.001120,0.000320,0.934211
0.416353,0.017408,0.202081,0.004800,0.264417,0.002240,0.001152,0.000352,0.915747
0.416865,0.017248,0.202369,0.005024,0.261376,0.002208,0.001088,0.000384,0.913186
0.420289,0.017536,0.202432,0.005184,0.246401,0.002304,0.001088,0.000352,0.902466
0.437281,0.017345,0.202240,0.004832,0.256929,0.002560,0.001632,0.000384,0.929859
0.418145,0.017760,0.204321,0.005088,0.240897,0.002944,0.001088,0.000384,0.898979
0.420769,0.017376,0.203265,0.005312,0.272288,0.002560,0.001088,0.000384,0.930050
0.416098,0.017760,0.215744,0.005248,0.262753,0.002432,0.001088,0.000384,0.928451
0.415777,0.017344,0.203073,0.004800,0.245313,0.002336,0.000992,0.000416,0.896387
0.415969,0.017312,0.202337,0.005312,0.261952,0.003296,0.001056,0.000416,0.914562
0.415937,0.017376,0.202240,0.004960,0.253569,0.003584,0.001120,0.000352,0.906242
0.414817,0.017280,0.202241,0.004896,0.251073,0.002240,0.001248,0.000352,0.900675
0.415233,0.017312,0.202625,0.004864,0.260032,0.002336,0.000960,0.000352,0.910114
0.420513,0.017312,0.202752,0.005248,0.261345,0.002304,0.001120,0.000384,0.917794
0.420513,0.017409,0.219904,0.005184,0.266081,0.002368,0.001120,0.000352,0.940387
0.418497,0.017536,0.202913,0.004896,0.259905,0.002688,0.001184,0.000416,0.916291
0.420577,0.017440,0.202849,0.004864,0.255264,0.002688,0.001056,0.000384,0.912162
0.415105,0.017536,0.202336,0.004864,0.259265,0.002368,0.001120,0.000384,0.909922
0.420642,0.017568,0.202624,0.004992,0.263905,0.002432,0.001024,0.000384,0.920387
0.416129,0.017248,0.202337,0.004832,0.251393,0.002304,0.001088,0.000352,0.902115
0.420385,0.017472,0.201825,0.004832,0.261344,0.002240,0.001120,0.000384,0.915650
0.433154,0.017472,0.202144,0.004832,0.265249,0.003328,0.001024,0.000384,0.934371
0.419809,0.017408,0.202785,0.004864,0.258785,0.002464,0.001024,0.000352,0.914083
0.420129,0.017248,0.202241,0.004768,0.246720,0.002336,0.001120,0.000352,0.901314
0.416321,0.017408,0.202368,0.005056,0.258721,0.003264,0.001152,0.000320,0.926082
0.420833,0.017313,0.203840,0.004800,0.259553,0.002432,0.001088,0.000352,0.917091
0.420545,0.017376,0.201953,0.005216,0.255329,0.002368,0.001024,0.000352,0.910691
0.420001,0.017472,0.202880,0.005056,0.261473,0.002496,0.001056,0.000576,0.917602
0.436354,0.017376,0.202080,0.004832,0.294401,0.002304,0.001248,0.000320,0.965699
0.419809,0.017280,0.202113,0.004896,0.246241,0.002240,0.001088,0.000352,0.901219
0.419905,0.017344,0.201985,0.004800,0.255296,0.002272,0.001024,0.000320,0.909314
0.416578,0.017376,0.202496,0.004800,0.289153,0.003392,0.001408,0.000384,0.942947
0.420609,0.017345,0.202304,0.004864,0.243617,0.002176,0.001152,0.000352,0.899203
0.419937,0.017504,0.202017,0.004896,0.251232,0.002304,0.001056,0.000352,0.906274
0.418305,0.017728,0.204288,0.005056,0.269825,0.002656,0.001152,0.000352,0.926754
0.440098,0.017536,0.203008,0.004800,0.275841,0.002464,0.001056,0.000352,0.952579
0.420513,0.017280,0.202369,0.004992,0.241121,0.002240,0.001024,0.000384,0.896803
0.420161,0.017280,0.202529,0.004896,0.254720,0.002304,0.001088,0.000320,0.910690
0.419425,0.017248,0.204800,0.004832,0.267233,0.002432,0.001280,0.000352,0.924514
0.420642,0.017440,0.202176,0.005056,0.249537,0.002304,0.001120,0.000352,0.905731
0.420929,0.017504,0.202817,0.004896,0.258145,0.002336,0.001024,0.000352,0.914915
0.417217,0.017344,0.202465,0.004832,0.259552,0.002336,0.001056,0.000352,0.911906
0.435426,0.017536,0.201920,0.004832,0.264769,0.002240,0.001248,0.000352,0.935843
0.420929,0.017920,0.202273,0.005312,0.261409,0.002272,0.001024,0.000352,0.917795
0.414753,0.018048,0.202529,0.004800,0.263360,0.002528,0.001056,0.000352,0.914435
0.420001,0.017536,0.222304,0.005280,0.262880,0.002528,0.000992,0.000352,0.938978
0.420290,0.017376,0.202080,0.005248,0.247361,0.002304,0.001408,0.000384,0.902979
0.419969,0.017472,0.202049,0.005248,0.265473,0.002208,0.001024,0.000384,0.920387
0.415009,0.017408,0.204897,0.005024,0.261888,0.002272,0.001056,0.000384,0.914786
0.415329,0.017344,0.202624,0.004800,0.261985,0.002368,0.000960,0.000352,0.913250
0.419809,0.017536,0.201889,0.004832,0.259233,0.003392,0.001120,0.000352,0.914787
0.420801,0.017312,0.202625,0.004864,0.243584,0.002272,0.000992,0.000320,0.899458
0.420545,0.017312,0.222689,0.004896,0.269984,0.002272,0.000960,0.000352,0.946818
0.415170,0.017504,0.202048,0.005088,0.256097,0.002272,0.001088,0.000352,0.906723
0.416065,0.017600,0.202817,0.005056,0.243681,0.002432,0.001088,0.000416,0.896771
0.420801,0.017408,0.202721,0.005248,0.260000,0.002304,0.001056,0.000384,0.916514
0.420321,0.017344,0.202176,0.005024,0.260129,0.002208,0.001056,0.000384,0.915298
0.420257,0.017537,0.202080,0.005216,0.259809,0.002368,0.001024,0.000320,0.915043
