Layer[0],Layer[1],Layer[2],Layer[9],Layer[10],classifier
0.511617,0.017696,0.207233,0.262145,0.001088,1.008259
0.418209,0.018176,0.203393,0.275137,0.000896,0.924355
0.417089,0.017792,0.203008,0.259905,0.000704,0.905026
0.417409,0.017664,0.203233,0.267713,0.000640,0.913891
0.427297,0.033184,0.203265,0.272448,0.000672,0.944514
0.427457,0.017600,0.203328,0.260289,0.000704,0.915843
0.426401,0.017760,0.203553,0.276000,0.000737,0.931395
0.426850,0.017536,0.203808,0.284161,0.000672,0.939907
0.426401,0.017696,0.203457,0.266977,0.000640,0.921091
0.425825,0.017600,0.203392,0.270881,0.000608,0.924898
0.426017,0.018240,0.203329,0.264129,0.000704,0.919331
0.434337,0.017440,0.202721,0.272192,0.000800,0.933858
0.425826,0.017888,0.202720,0.287521,0.000896,0.941539
0.426337,0.017792,0.202625,0.268577,0.000832,0.922467
0.426337,0.017632,0.219329,0.272832,0.000768,0.943618
0.426338,0.017888,0.202816,0.265505,0.000832,0.921731
0.420737,0.017568,0.203201,0.265857,0.000736,0.914563
0.425890,0.017696,0.203232,0.270785,0.000704,0.924803
0.421697,0.017600,0.202977,0.271265,0.000864,0.920739
0.425857,0.017536,0.202945,0.263104,0.000896,0.916002
0.420321,0.017568,0.202945,0.252865,0.000704,0.900579
0.420225,0.035904,0.202945,0.268928,0.000704,0.935362
0.420482,0.017600,0.202944,0.265985,0.000704,0.913955
0.425633,0.017568,0.202721,0.265345,0.000768,0.918371
0.425794,0.017568,0.203232,0.268033,0.000704,0.921283
0.425857,0.017600,0.202401,0.266145,0.000640,0.920515
0.420769,0.017760,0.202945,0.271264,0.000832,0.920834
0.425409,0.017537,0.202880,0.265025,0.000608,0.918019
0.437249,0.017792,0.202465,0.266176,0.000704,0.930626
0.425282,0.017632,0.202848,0.262849,0.000704,0.915555
0.425633,0.017600,0.203073,0.262209,0.000736,0.915555
0.425346,0.017568,0.202976,0.274593,0.000768,0.928099
0.421089,0.017728,0.202433,0.260449,0.000640,0.908451
0.425633,0.017632,0.202816,0.267681,0.000736,0.921250
0.415009,0.017472,0.202817,0.267041,0.000608,0.909027
0.442497,0.017600,0.202465,0.264256,0.000704,0.935426
0.420833,0.017345,0.202496,0.263265,0.000640,0.911235
0.425953,0.017696,0.202817,0.262144,0.000736,0.916386
