Layer[0],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.515585,8.174294,0.015584,0.000544,0.001824,0.019040,0.000672,8.735415
0.418561,0.770466,0.016576,0.000512,0.001664,0.001824,0.000576,1.219011
0.416929,0.765762,0.016224,0.000544,0.001664,0.001632,0.000576,1.209251
0.417761,0.790466,0.016064,0.000800,0.001600,0.001632,0.000608,1.235523
0.416481,0.763618,0.015808,0.000480,0.001664,0.001280,0.000352,1.205603
0.417537,0.770370,0.016224,0.000544,0.001728,0.001120,0.000576,1.214467
0.442081,0.793410,0.016480,0.000512,0.001536,0.001248,0.000608,1.263811
0.416257,0.764066,0.016000,0.000512,0.001632,0.001248,0.000608,1.207747
0.416737,0.831458,0.015232,0.000512,0.001504,0.001280,0.000576,1.273859
0.416609,0.762946,0.015456,0.000480,0.001568,0.001248,0.000416,1.205699
0.417121,0.822530,0.015520,0.000544,0.001568,0.001281,0.000384,1.266148
0.416993,0.792194,0.016257,0.000512,0.001600,0.001344,0.000416,1.236420
0.416257,0.788386,0.015296,0.000480,0.001537,0.001152,0.000384,1.229444
0.417313,0.762498,0.014976,0.000448,0.001504,0.001344,0.000352,1.204803
0.436545,0.796578,0.015393,0.000544,0.001472,0.001216,0.000576,1.258852
0.415937,0.758210,0.014272,0.000416,0.001472,0.001152,0.000384,1.198563
0.416129,0.790946,0.014944,0.000576,0.001472,0.001120,0.000576,1.231971
0.417153,0.785666,0.014272,0.000480,0.001536,0.001248,0.000608,1.227491
0.416769,0.765314,0.014240,0.000640,0.001632,0.001440,0.000608,1.206883
0.418241,0.795234,0.014656,0.000544,0.001504,0.001216,0.000608,1.238403
0.417729,0.768450,0.014592,0.000544,0.001568,0.001216,0.000384,1.211299
0.416161,0.768354,0.014752,0.000544,0.001696,0.001280,0.000608,1.210339
0.436481,0.765954,0.014976,0.000576,0.001472,0.001216,0.000384,1.228035
0.415713,0.752962,0.014400,0.000512,0.001536,0.001184,0.000352,1.192835
0.415937,0.756770,0.014176,0.000544,0.001568,0.001248,0.000352,1.196387
0.416705,0.778786,0.014304,0.000512,0.001536,0.001184,0.000416,1.219299
0.416481,0.758370,0.014240,0.000480,0.001568,0.001216,0.000352,1.198851
0.417857,0.779554,0.014336,0.000480,0.001536,0.001280,0.000416,1.222627
0.416801,0.753634,0.014112,0.000480,0.001600,0.001120,0.000320,1.194435
0.416193,0.755810,0.014144,0.000480,0.001504,0.001184,0.000384,1.195875
0.417793,0.810530,0.014304,0.000480,0.001472,0.001216,0.000576,1.252931
0.417953,0.751490,0.014208,0.000512,0.001536,0.001184,0.000576,1.193859
0.417601,0.762882,0.014464,0.000448,0.001536,0.001152,0.000384,1.204579
0.433953,0.756642,0.014848,0.000512,0.001568,0.001248,0.000384,1.215491
0.417761,0.764194,0.015360,0.000736,0.001600,0.001248,0.000576,1.208003
0.416513,0.758338,0.014304,0.000512,0.001504,0.001120,0.000416,1.199076
0.416354,0.756898,0.014336,0.000736,0.001600,0.001152,0.000384,1.197540
0.416545,0.760610,0.014112,0.000512,0.001568,0.001088,0.000352,1.200516
0.415714,0.783042,0.014272,0.000512,0.001440,0.001248,0.000384,1.222660
