Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.512033,0.018080,0.207169,0.004832,0.047808,0.000800,0.014048,0.000640,0.203905,0.002912,0.000608,1.021539
0.435009,0.018273,0.204640,0.004864,0.047872,0.000800,0.013472,0.000384,0.176609,0.002496,0.000352,0.913315
0.415937,0.017760,0.203393,0.004800,0.047872,0.000800,0.014080,0.000384,0.175393,0.002240,0.000352,0.892579
0.415809,0.017344,0.202977,0.004768,0.049344,0.000768,0.013888,0.000576,0.164576,0.001792,0.000256,0.879970
0.416546,0.017376,0.202592,0.004832,0.049696,0.000832,0.013760,0.000384,0.172929,0.001472,0.000416,0.888867
0.415233,0.017248,0.202401,0.004864,0.049600,0.000800,0.013600,0.000384,0.151713,0.001024,0.000320,0.864867
0.415041,0.017184,0.202337,0.004832,0.049536,0.000864,0.013856,0.000384,0.176160,0.001056,0.000320,0.888962
0.416033,0.020672,0.202624,0.004832,0.048992,0.000992,0.013984,0.000384,0.172129,0.000896,0.000384,0.889603
0.436065,0.017344,0.202689,0.004832,0.049536,0.000800,0.014624,0.000416,0.181441,0.001216,0.000416,0.918691
0.417025,0.017216,0.202241,0.004768,0.048800,0.000768,0.013856,0.000352,0.181184,0.001120,0.000416,0.895074
0.415585,0.017408,0.202208,0.004832,0.048513,0.000608,0.013568,0.000416,0.165152,0.001120,0.000448,0.877698
0.415585,0.017184,0.202209,0.004800,0.047904,0.000800,0.013440,0.000352,0.169665,0.001216,0.000384,0.880611
0.420737,0.017248,0.202593,0.004864,0.047744,0.000832,0.013536,0.000384,0.181312,0.001312,0.000384,0.900099
0.417025,0.017280,0.202561,0.004800,0.047936,0.001024,0.013408,0.000384,0.174560,0.001280,0.000416,0.888418
0.420514,0.017248,0.202752,0.004832,0.047712,0.000800,0.013408,0.000384,0.168129,0.001184,0.000352,0.884643
0.438593,0.019936,0.202433,0.004800,0.047680,0.000800,0.013440,0.000384,0.174145,0.001280,0.000384,0.911939
0.416193,0.017312,0.202497,0.004832,0.047968,0.000992,0.013440,0.000416,0.172928,0.001184,0.000352,0.885666
0.421217,0.017216,0.202176,0.004864,0.047585,0.000768,0.013440,0.000384,0.174400,0.001152,0.000352,0.890882
0.421281,0.017313,0.202816,0.004800,0.048064,0.000800,0.013536,0.000416,0.168833,0.001088,0.000384,0.887555
0.415841,0.017408,0.205825,0.004864,0.048352,0.000800,0.013472,0.000384,0.179425,0.001152,0.000352,0.895235
0.415521,0.017280,0.202273,0.004800,0.048064,0.000576,0.013408,0.000352,0.172640,0.001280,0.000384,0.883842
0.416546,0.017344,0.202976,0.004768,0.047936,0.000768,0.013408,0.000416,0.164353,0.001024,0.000384,0.877123
0.417281,0.017472,0.219649,0.005120,0.048800,0.001024,0.013792,0.000384,0.182273,0.001312,0.000352,0.916739
0.417505,0.017312,0.202273,0.004864,0.047552,0.001024,0.013504,0.000384,0.167872,0.001504,0.000416,0.881250
0.420066,0.017472,0.202208,0.004800,0.047456,0.000768,0.013472,0.000352,0.177953,0.000992,0.000352,0.892963
0.420065,0.017280,0.202337,0.004832,0.047104,0.001024,0.013472,0.000416,0.176033,0.001088,0.000352,0.891139
0.439201,0.017920,0.202273,0.004832,0.047072,0.000992,0.013440,0.000384,0.169632,0.001216,0.000448,0.905346
0.415745,0.017472,0.202048,0.004800,0.047649,0.001056,0.013568,0.000416,0.177472,0.001408,0.000384,0.889154
0.420289,0.017441,0.202464,0.004800,0.047840,0.000800,0.013792,0.000384,0.174849,0.001088,0.000352,0.892387
0.415201,0.017472,0.202177,0.004800,0.047456,0.000992,0.013504,0.000352,0.196801,0.001056,0.000320,0.907523
0.421409,0.017216,0.202881,0.004832,0.047008,0.000992,0.013408,0.000384,0.175168,0.001152,0.000352,0.892610
0.415106,0.017440,0.202560,0.004832,0.047232,0.000768,0.013440,0.000384,0.159905,0.001024,0.000352,0.870179
0.415841,0.017440,0.202273,0.004800,0.048384,0.000800,0.013728,0.000384,0.171008,0.001024,0.000288,0.884706
0.441953,0.017536,0.202464,0.004800,0.047457,0.000768,0.013696,0.000352,0.165120,0.000992,0.000320,0.903266
0.416033,0.017345,0.202560,0.004800,0.047680,0.000608,0.013472,0.000352,0.170881,0.001056,0.000416,0.882563
0.415905,0.017312,0.202465,0.004832,0.047680,0.001056,0.013440,0.000384,0.175424,0.001056,0.000288,0.886978
0.416193,0.017344,0.202784,0.004800,0.047841,0.001024,0.013408,0.000384,0.162784,0.001024,0.000288,0.875106
0.419426,0.017344,0.204128,0.004832,0.047936,0.000992,0.013504,0.000416,0.179265,0.001280,0.000352,0.897923
0.416257,0.017664,0.203137,0.004832,0.048288,0.001024,0.013536,0.000352,0.174305,0.001472,0.000416,0.889891
0.415969,0.017312,0.202177,0.004864,0.047712,0.000768,0.013472,0.000416,0.175712,0.001088,0.000416,0.887778
0.415521,0.035744,0.202337,0.004864,0.047264,0.001024,0.013472,0.000384,0.185216,0.001216,0.000384,0.915522
0.419970,0.017216,0.202624,0.004832,0.047264,0.000992,0.013408,0.000320,0.169025,0.001120,0.000384,0.884675
0.415233,0.017280,0.202337,0.005024,0.048480,0.000832,0.013472,0.000384,0.182145,0.001280,0.000416,0.896067
0.415457,0.017280,0.202369,0.004800,0.047392,0.000800,0.013376,0.000384,0.172256,0.001088,0.000352,0.883074
0.419585,0.017408,0.202112,0.004800,0.047105,0.000576,0.013408,0.000384,0.172672,0.001056,0.000352,0.886850
0.420162,0.017344,0.202336,0.004928,0.047744,0.000608,0.013440,0.000384,0.172193,0.001152,0.000384,0.888579
