Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[8],Layer[9],Layer[10],classifier
0.522370,0.018048,0.205664,0.004896,0.047168,0.167937,0.002560,0.000608,0.975971
0.418593,0.017536,0.204160,0.004864,0.048769,0.195552,0.001664,0.000832,0.898754
0.416802,0.017728,0.203360,0.004896,0.049088,0.200801,0.002016,0.000832,0.902371
0.416673,0.017504,0.203489,0.004864,0.049440,0.218593,0.001696,0.000832,0.919587
0.416321,0.017344,0.203489,0.004864,0.047808,0.197921,0.001920,0.000416,0.897155
0.416449,0.017536,0.204385,0.004800,0.048704,0.231040,0.001824,0.000416,0.932194
0.417057,0.017504,0.203552,0.004864,0.049473,0.201376,0.001888,0.000608,0.903426
0.433506,0.017408,0.203072,0.004896,0.049312,0.202849,0.001824,0.000384,0.920611
0.416353,0.017409,0.202976,0.004832,0.048704,0.195201,0.001568,0.000608,0.894467
0.417377,0.017600,0.202721,0.004832,0.047680,0.202049,0.001376,0.000448,0.901187
0.416289,0.017568,0.218881,0.005120,0.048160,0.197728,0.001440,0.000448,0.913186
0.416353,0.017440,0.202976,0.004864,0.048033,0.186016,0.001696,0.000640,0.885058
0.416418,0.017504,0.202944,0.004864,0.048096,0.206209,0.001344,0.000416,0.904803
0.415681,0.017408,0.202817,0.004768,0.048128,0.188801,0.001408,0.000448,0.886115
0.416065,0.017344,0.202689,0.004864,0.048992,0.194528,0.001408,0.000416,0.893026
0.416161,0.017408,0.202785,0.004864,0.048128,0.193696,0.001248,0.000416,0.892386
0.416354,0.017504,0.202912,0.004832,0.047840,0.208833,0.001856,0.000416,0.907907
0.416417,0.017472,0.219265,0.005120,0.049120,0.203585,0.001536,0.000576,0.921507
0.414945,0.017568,0.202913,0.004896,0.048544,0.202689,0.001376,0.000416,0.899875
0.416961,0.017536,0.202721,0.004832,0.049568,0.199392,0.001408,0.000640,0.899938
0.416417,0.017344,0.203136,0.004832,0.049345,0.198080,0.001216,0.000640,0.897698
0.416322,0.017408,0.202624,0.004896,0.048640,0.214721,0.001312,0.000640,0.913411
0.415937,0.017568,0.203073,0.004800,0.048736,0.196641,0.001280,0.000608,0.895427
0.417089,0.018080,0.202817,0.004960,0.048480,0.197664,0.001248,0.000448,0.897730
0.416001,0.017504,0.203040,0.004896,0.048097,0.210048,0.001376,0.000416,0.927586
0.416066,0.017408,0.203072,0.004832,0.047360,0.201473,0.001280,0.000448,0.898467
0.417569,0.017408,0.202401,0.005024,0.047488,0.203969,0.001440,0.000672,0.903811
0.416641,0.017376,0.203553,0.004832,0.049312,0.194272,0.001504,0.000640,0.894978
0.416641,0.017312,0.202593,0.004832,0.048224,0.203968,0.001728,0.000384,0.902882
0.416225,0.017344,0.202912,0.004896,0.049088,0.201760,0.001344,0.000640,0.900802
0.416289,0.017377,0.203552,0.004800,0.048608,0.188961,0.001408,0.000608,0.888355
0.432577,0.017408,0.202337,0.004832,0.048704,0.197761,0.001280,0.000576,0.912419
0.415617,0.017568,0.202689,0.004928,0.047584,0.191744,0.001408,0.000672,0.888930
0.416001,0.017344,0.202528,0.004896,0.047776,0.182977,0.001408,0.000608,0.880674
0.416033,0.017376,0.202561,0.004928,0.047232,0.192193,0.001312,0.000480,0.888963
0.415969,0.017344,0.202561,0.004896,0.046944,0.188929,0.001376,0.000416,0.885411
0.416225,0.017408,0.202305,0.004832,0.047136,0.203360,0.001440,0.000416,0.901250
0.416162,0.017344,0.202528,0.004864,0.049280,0.201345,0.001504,0.000448,0.900835
0.432514,0.017408,0.203296,0.004928,0.048224,0.196993,0.001408,0.000384,0.912163
0.416385,0.017344,0.202465,0.004864,0.047488,0.195905,0.001504,0.000416,0.893379
0.415809,0.017568,0.202529,0.004864,0.048608,0.189280,0.001440,0.000672,0.887522
0.415873,0.017440,0.203296,0.004896,0.048641,0.186816,0.001408,0.000416,0.886082
0.415713,0.017313,0.202496,0.004832,0.047840,0.199841,0.001408,0.000448,0.896643
0.415713,0.017376,0.203393,0.004896,0.046912,0.191009,0.001376,0.000416,0.888099
0.416449,0.017312,0.202849,0.004928,0.046848,0.194560,0.001344,0.000384,0.891586
0.433409,0.017440,0.202976,0.004832,0.047425,0.208544,0.001440,0.000640,0.924418
0.417058,0.017344,0.202752,0.004992,0.048160,0.200545,0.001440,0.000672,0.900451
0.416161,0.017312,0.203073,0.004896,0.048768,0.200353,0.001472,0.000640,0.899523
0.415937,0.017472,0.202593,0.004896,0.048192,0.229281,0.001568,0.000704,0.928227
0.416513,0.017536,0.202785,0.004832,0.048512,0.210304,0.001376,0.000640,0.909826
0.416257,0.017344,0.203008,0.004928,0.048224,0.198016,0.001344,0.000736,0.897026
0.416098,0.017216,0.202528,0.004864,0.049312,0.200801,0.001440,0.000640,0.900035
0.432737,0.017953,0.204128,0.005024,0.049376,0.197601,0.001440,0.000416,0.916131
0.415681,0.017248,0.202657,0.004960,0.048384,0.195361,0.001312,0.000416,0.892803
0.416001,0.017376,0.202785,0.004928,0.048928,0.200000,0.001344,0.000416,0.898530
0.417025,0.017344,0.202496,0.004864,0.068577,0.201344,0.001312,0.000640,0.921346
0.416386,0.017536,0.202720,0.004992,0.048384,0.204929,0.001344,0.000608,0.905795
0.416385,0.017312,0.202721,0.004928,0.049216,0.204641,0.001248,0.000416,0.904195
0.416193,0.017536,0.202657,0.004928,0.049408,0.203969,0.001440,0.000416,0.903811
0.430369,0.017440,0.202625,0.004896,0.048768,0.191712,0.001664,0.000416,0.904802
