Layer[0],Layer[1],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.420513,0.017536,0.734082,0.000800,0.002336,0.001056,0.000608,1.183683
0.416097,0.017440,0.739522,0.000704,0.002080,0.001184,0.000384,1.184323
0.420513,0.017504,0.778882,0.000768,0.003104,0.001216,0.000608,1.228964
0.420450,0.017504,0.749090,0.000672,0.001984,0.001024,0.000352,1.197156
0.420769,0.017472,0.750850,0.000704,0.002080,0.001024,0.000384,1.199171
0.415777,0.017504,0.769858,0.000768,0.002464,0.001184,0.000352,1.213987
0.420545,0.018144,0.744738,0.000736,0.001984,0.001056,0.000448,1.193091
0.420001,0.017344,0.733283,0.000736,0.002016,0.001056,0.000384,1.180708
0.436706,0.017376,0.764610,0.000800,0.002176,0.001024,0.000384,1.229316
0.420801,0.017280,0.738946,0.000704,0.002080,0.001024,0.000608,1.187619
0.420769,0.017568,0.737890,0.000736,0.002528,0.001184,0.000384,1.187011
0.416609,0.017440,0.754882,0.000736,0.002368,0.000960,0.000352,1.199427
0.415841,0.017472,0.744162,0.000672,0.002113,0.000768,0.000384,1.187492
0.416065,0.017632,0.770498,0.000800,0.002688,0.001088,0.000384,1.215748
0.416065,0.017536,0.746594,0.001120,0.002592,0.001280,0.000384,1.192195
0.415521,0.017888,0.768098,0.000800,0.002208,0.000960,0.000384,1.212163
0.416865,0.017536,0.786562,0.000896,0.002784,0.000928,0.000608,1.234147
0.416801,0.017312,0.747587,0.000896,0.002816,0.000992,0.000384,1.193124
0.415650,0.017568,0.745026,0.000896,0.003264,0.000928,0.000416,1.190116
0.416705,0.017760,0.754306,0.000864,0.002176,0.000928,0.000352,1.199235
0.416833,0.017568,0.739458,0.001024,0.003712,0.000960,0.000352,1.186307
0.417313,0.017600,0.736802,0.000960,0.002240,0.001024,0.000384,1.182499
0.430849,0.017568,0.767266,0.000864,0.003392,0.000992,0.000384,1.227683
0.415681,0.018176,0.746659,0.000928,0.003488,0.000928,0.000384,1.193060
0.416418,0.017472,0.748258,0.000928,0.002656,0.001120,0.000416,1.193988
0.429409,0.017472,0.769826,0.000864,0.002848,0.000960,0.000384,1.227779
0.416289,0.017856,0.736450,0.000960,0.003200,0.000928,0.000384,1.182819
0.415553,0.017632,0.743586,0.000800,0.003136,0.001248,0.000352,1.188131
0.421953,0.017472,0.753507,0.000864,0.003232,0.001344,0.000352,1.205476
0.416322,0.017600,0.729986,0.000768,0.003168,0.001184,0.000384,1.176068
0.417057,0.021376,0.757890,0.001024,0.003424,0.001120,0.000416,1.210627
0.416865,0.017472,0.731938,0.000832,0.003392,0.001056,0.000576,1.178723
0.416417,0.020960,0.741762,0.000960,0.003168,0.001056,0.000416,1.191523
0.420353,0.017760,0.772035,0.000928,0.002208,0.001056,0.000352,1.221156
0.417762,0.017440,0.739970,0.000896,0.003072,0.001120,0.000320,1.187140
0.415745,0.017440,0.744514,0.000928,0.003104,0.001248,0.000416,1.189699
0.434433,0.020768,0.757090,0.000800,0.002240,0.000928,0.000352,1.223011
0.415681,0.020864,0.769474,0.000672,0.002080,0.000896,0.000384,1.215684
0.420674,0.017344,0.742690,0.000736,0.001984,0.001152,0.000384,1.192260
0.429505,0.017568,0.752642,0.000832,0.002208,0.001280,0.000352,1.211267
0.421505,0.017504,0.741858,0.000768,0.002240,0.001152,0.000608,1.193763
0.421121,0.017729,0.777602,0.000864,0.002272,0.001184,0.000608,1.227972
0.417409,0.017728,0.757506,0.000800,0.002432,0.001248,0.000352,1.204291
0.416193,0.017664,0.756194,0.000832,0.002304,0.001312,0.000448,1.201667
0.420993,0.017632,0.771075,0.000864,0.002400,0.001088,0.000352,1.221220
0.420513,0.017568,0.721794,0.000800,0.002112,0.001184,0.000640,1.171075
0.420033,0.017760,0.748578,0.000800,0.002368,0.001184,0.000640,1.197891
