Layer[0],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.506209,8.156118,0.002624,0.002048,0.000576,8.674935
0.418849,0.787619,0.003072,0.001728,0.000576,1.221892
0.429761,0.760802,0.002496,0.000832,0.000352,1.199843
0.417409,0.751778,0.002176,0.000800,0.000352,1.177443
0.416385,0.741250,0.002272,0.000768,0.000320,1.165987
0.430113,0.767074,0.002208,0.000864,0.000320,1.205219
0.416193,0.784003,0.002112,0.000704,0.000320,1.208164
0.416097,0.757378,0.002080,0.000768,0.000384,1.181091
0.416097,0.790690,0.002560,0.001088,0.000320,1.216387
0.415617,0.777571,0.002304,0.000992,0.000320,1.201636
0.416385,0.799458,0.002240,0.000896,0.000320,1.224099
0.417953,0.764386,0.002464,0.001120,0.000384,1.192099
0.416962,0.756290,0.002400,0.000960,0.000384,1.181668
0.416449,0.783842,0.002560,0.001088,0.000352,1.208707
0.416449,0.763010,0.002336,0.000864,0.000352,1.187203
0.416258,0.761026,0.002560,0.000928,0.000352,1.186148
0.432257,0.762786,0.002400,0.001056,0.000320,1.203843
0.415713,0.736514,0.002272,0.000896,0.000288,1.160291
0.415009,0.741794,0.002464,0.000800,0.000352,1.164899
0.430177,0.747074,0.003648,0.000960,0.000320,1.186659
0.415906,0.738370,0.002336,0.000800,0.000288,1.162052
0.416417,0.773442,0.002496,0.001248,0.000384,1.199971
0.432257,0.793250,0.002560,0.000896,0.000416,1.233859
0.416225,0.748450,0.002176,0.001024,0.000384,1.172547
0.416289,0.752514,0.002432,0.000832,0.000288,1.177219
0.415969,0.755202,0.002240,0.000864,0.000320,1.178979
0.416353,0.753411,0.002240,0.000800,0.000320,1.177188
0.415777,0.793346,0.003296,0.000928,0.000352,1.218691
0.417633,0.765346,0.002144,0.000832,0.000288,1.190595
0.415969,0.771587,0.002240,0.000800,0.000352,1.195268
0.415361,0.788706,0.002240,0.000928,0.000288,1.212067
0.415841,0.760386,0.002496,0.001248,0.000352,1.185955
0.416130,0.796002,0.002464,0.000832,0.000416,1.220388
0.416129,0.755266,0.002144,0.000864,0.000352,1.179299
0.416385,0.774242,0.001984,0.000896,0.000384,1.198147
0.415425,0.746370,0.002336,0.000800,0.000384,1.169827
0.430145,0.760579,0.002016,0.000992,0.000384,1.198308
0.415841,0.737186,0.002112,0.000896,0.000384,1.161027
0.415713,0.731938,0.002144,0.000800,0.000352,1.155395
0.433345,0.778018,0.002336,0.000832,0.000384,1.219779
0.416641,0.767330,0.002336,0.001088,0.000384,1.193667
0.416353,0.752322,0.002304,0.000960,0.000288,1.177091
0.415585,0.751619,0.002240,0.000928,0.000320,1.175364
0.416833,0.767682,0.002208,0.001216,0.000384,1.194083
0.416257,0.766050,0.002496,0.000896,0.000320,1.190819
0.415713,0.754466,0.002368,0.000864,0.000288,1.178595
0.415841,0.751842,0.002400,0.000768,0.000256,1.175779
0.416257,0.917923,0.003328,0.001056,0.000416,1.344164
0.416065,0.741634,0.002336,0.000960,0.000384,1.166627
0.417697,0.751202,0.002272,0.000864,0.000416,1.176931
0.416673,0.774786,0.002368,0.001152,0.000352,1.201795
0.416290,0.755714,0.002144,0.000864,0.000352,1.180292
0.416353,0.746402,0.002368,0.000928,0.000288,1.171171
