Layer[0],Layer[1],Layer[10],classifier
0.536865,0.018048,8.055191,8.679064
0.418273,0.017632,0.700674,1.212099
0.416769,0.017664,0.687810,1.189924
0.416865,0.017728,0.690178,1.194403
0.416417,0.017632,0.689442,1.191172
0.417057,0.017568,0.704450,1.238179
0.417761,0.017473,0.683905,1.189892
0.416193,0.017664,0.667874,1.172035
0.417121,0.017632,0.685954,1.194915
0.416257,0.017664,0.712674,1.212387
0.416417,0.017600,0.681282,1.189155
0.416641,0.028608,0.686722,1.201187
0.417825,0.018048,0.685442,1.188483
0.416706,0.017856,0.679746,1.181156
0.428161,0.017568,0.697026,1.216547
0.416225,0.017473,0.689441,1.200324
0.415841,0.017632,0.690050,1.203043
0.417057,0.017185,0.674689,1.177476
0.415489,0.017696,0.692354,1.198627
0.416225,0.017408,0.687138,1.200708
0.416737,0.017920,0.689058,1.192131
0.416449,0.017696,0.682818,1.183300
0.416001,0.017472,0.707234,1.212419
0.416737,0.017696,0.681186,1.184835
0.416097,0.017536,0.693122,1.196515
0.416801,0.017760,0.702466,1.205219
0.416769,0.017536,0.684642,1.192003
0.415553,0.017504,0.662018,1.163139
0.431042,0.018080,0.689762,1.209156
0.415969,0.017312,0.679074,1.182083
0.415618,0.018368,0.692642,1.195012
0.433953,0.017600,0.696866,1.226211
0.415586,0.017504,0.679618,1.179876
0.415649,0.017568,0.688834,1.236515
0.417345,0.017824,0.702626,1.209987
0.417025,0.017888,0.700290,1.206596
0.417185,0.017920,0.716930,1.230083
0.414946,0.017664,0.693122,1.199140
0.415553,0.017504,0.689058,1.193603
0.416002,0.037024,0.693090,1.216196
0.415713,0.017536,0.677826,1.179203
0.415522,0.017600,0.683042,1.187492
0.432097,0.017728,0.687170,1.213667
0.416289,0.017760,0.685954,1.191043
0.414945,0.017824,0.679714,1.183363
0.415841,0.017632,0.687874,1.191171
0.415393,0.017600,0.704322,1.204995
0.416321,0.018048,0.707458,1.212292
0.416129,0.017536,0.675650,1.175043
0.416161,0.017504,0.687010,1.191107
0.415905,0.017664,0.708898,1.212675
0.415841,0.017696,0.681922,1.184099
0.416097,0.018016,0.689954,1.193955
0.451649,0.017696,0.688962,1.227331
0.416993,0.017760,0.687778,1.191300
0.416289,0.017472,0.688834,1.190435
0.434113,0.017473,0.687297,1.207684
0.417217,0.017600,0.682530,1.193123
0.416225,0.017920,0.690658,1.214020
0.415809,0.018016,0.690946,1.193283
0.416225,0.017921,0.690433,1.194884
0.415713,0.017760,0.707810,1.218403
0.416002,0.017856,0.686722,1.188548
0.416065,0.017600,0.691682,1.192867
0.415554,0.017824,0.692354,1.196804
0.415937,0.017472,0.684994,1.186755
0.416034,0.017792,0.683361,1.184644
0.434945,0.017952,0.687202,1.215203
0.415682,0.017888,0.672290,1.173956
0.415937,0.017600,0.687266,1.189475
0.432130,0.017664,0.693762,1.218724
0.416609,0.017856,0.690114,1.196515
0.415842,0.018080,0.692674,1.223524
0.416801,0.017696,0.688194,1.191843
0.415585,0.017984,0.685090,1.188163
0.416129,0.017696,0.707426,1.212516
0.418081,0.017856,0.690242,1.195107
0.415233,0.017600,0.685442,1.186467
0.415457,0.017696,0.719842,1.230723
0.415233,0.017825,0.691329,1.193156
0.416289,0.018016,0.692482,1.196419
0.434882,0.017760,0.677570,1.201284
0.415649,0.017568,0.683874,1.185603
0.415937,0.017569,0.689793,1.193348
0.416353,0.017440,0.683906,1.185795
0.416897,0.017537,0.673281,1.174948
0.416097,0.017792,0.702530,1.211811
0.416257,0.017504,0.688578,1.192644
0.415521,0.017728,0.687234,1.189603
0.415969,0.017536,0.701634,1.212420
0.415969,0.017600,0.692674,1.194147
0.415554,0.017632,0.688130,1.190916
0.416289,0.017664,0.699074,1.230403
0.417474,0.017600,0.687234,1.200228
0.415457,0.017536,0.684162,1.185859
0.433026,0.017824,0.691714,1.213316
0.415457,0.017504,0.685826,1.185795
0.416097,0.017504,0.687746,1.188387
0.415681,0.017568,0.711202,1.211907
0.415393,0.017536,0.682818,1.181571
0.415905,0.017728,0.694306,1.201763
0.416001,0.017568,0.675106,1.175587
0.415681,0.017440,0.686274,1.188131
0.415169,0.017728,0.706882,1.215363
0.416225,0.018240,0.691202,1.195972
0.416801,0.017632,0.686946,1.193347
0.414561,0.037376,0.693346,1.214244
0.416033,0.017536,0.686306,1.189187
0.416193,0.017792,0.687586,1.197348
0.432353,0.017888,0.690850,1.215587
0.415106,0.017664,0.688770,1.194180
0.416097,0.017952,0.690178,1.201955
0.415554,0.017696,0.690178,1.194884
0.415937,0.017504,0.686978,1.190275
0.416705,0.017664,0.706082,1.220067
0.415809,0.017568,0.683393,1.188548
0.417409,0.017888,0.686146,1.191715
0.417026,0.017920,0.723138,1.244740
0.416673,0.017792,0.696898,1.204164
0.416609,0.017600,0.687330,1.193283
0.432705,0.017953,0.699170,1.223588
0.416161,0.017856,0.693122,1.198691
0.416354,0.017792,0.688674,1.191684
0.415905,0.017728,0.694882,1.201123
0.417441,0.017696,0.684930,1.189187
0.415233,0.017472,0.699522,1.211300
0.416193,0.017696,0.685218,1.190947
0.417089,0.017601,0.690753,1.195908
0.416097,0.017696,0.711362,1.221923
0.416802,0.017568,0.678978,1.180164
0.416257,0.017632,0.699650,1.211203
0.432130,0.017632,0.693794,1.212932
0.416129,0.017568,0.688578,1.192611
0.416385,0.017600,0.687170,1.191491
0.416161,0.017792,0.716482,1.223076
0.414561,0.017696,0.675522,1.175651
0.415969,0.017664,0.710786,1.224164
0.416417,0.017472,0.692450,1.198147
0.415618,0.017664,0.682274,1.184804
0.416481,0.017440,0.704418,1.211715
0.416802,0.017696,0.690338,1.195812
0.416193,0.017792,0.662978,1.163779
0.416194,0.017728,0.688546,1.197732
0.418049,0.017824,0.691202,1.198851
0.416353,0.017856,0.689922,1.195299
0.430081,0.017824,0.669186,1.191043
0.416609,0.017536,0.689090,1.213123
0.415873,0.017600,0.688610,1.192771
0.415745,0.017376,0.685954,1.193379
0.416225,0.017536,0.698562,1.201443
0.415842,0.017760,0.712354,1.250308
0.415393,0.017504,0.663842,1.164419
0.416065,0.017760,0.690754,1.197732
0.416001,0.017728,0.711234,1.222723
0.416865,0.017664,0.687426,1.194115
0.416257,0.017536,0.673506,1.181603
0.415873,0.017504,0.704738,1.213443
0.416353,0.017760,0.681442,1.186627
0.415745,0.017632,0.690626,1.197187
0.428833,0.017696,0.694050,1.210371
0.415713,0.017504,0.715234,1.221795
0.417249,0.017664,0.697474,1.200036
0.431169,0.017632,0.712674,1.230499
0.416449,0.017536,0.695106,1.201316
