Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.529858,0.017760,8.065494,0.005632,0.048608,0.000832,0.013728,0.000416,0.001504,0.002752,0.000576,8.695832
0.417281,0.017856,0.698786,0.007392,0.047680,0.000800,0.014240,0.000576,0.001792,0.001952,0.000608,1.217923
0.417057,0.017504,0.680930,0.005344,0.048320,0.000832,0.014048,0.000416,0.001568,0.002048,0.000352,1.196931
0.417633,0.017345,0.715714,0.005152,0.049120,0.000832,0.014656,0.000416,0.001536,0.001568,0.000320,1.232932
0.416449,0.017312,0.683906,0.005312,0.050720,0.000864,0.014976,0.000512,0.001600,0.001312,0.000352,1.201539
0.416801,0.017536,0.691682,0.005312,0.049184,0.001024,0.013856,0.000448,0.001568,0.001280,0.000352,1.207747
0.436578,0.017568,0.665537,0.005184,0.048961,0.001056,0.013856,0.000384,0.001600,0.001120,0.000320,1.200484
0.416577,0.017248,0.692866,0.007744,0.049696,0.000832,0.014112,0.000416,0.001568,0.001184,0.000352,1.213891
0.415969,0.017376,0.675746,0.005344,0.049184,0.000608,0.014176,0.000512,0.001600,0.001632,0.000416,1.190947
0.432417,0.017408,0.682658,0.005216,0.049057,0.000640,0.013824,0.000416,0.001568,0.001120,0.000384,1.212644
0.415905,0.017344,0.682146,0.006688,0.048736,0.000672,0.013984,0.000512,0.001504,0.001120,0.000416,1.196995
0.415937,0.017312,0.709378,0.008736,0.049120,0.000576,0.013504,0.000416,0.001440,0.001056,0.000320,1.225955
0.416353,0.017472,0.685922,0.005120,0.048032,0.000864,0.013536,0.000416,0.001536,0.001089,0.000384,1.199012
0.416386,0.017568,0.677762,0.005280,0.048160,0.000832,0.013568,0.000416,0.001440,0.001056,0.000352,1.190724
0.416097,0.017888,0.700034,0.005184,0.048224,0.000864,0.013536,0.000416,0.001472,0.001152,0.000352,1.213219
0.416001,0.017632,0.678594,0.005088,0.047936,0.000832,0.013600,0.000384,0.001536,0.001152,0.000352,1.190819
0.416897,0.017472,0.680130,0.005536,0.048225,0.000800,0.013568,0.000448,0.001536,0.001216,0.000352,1.194724
0.433505,0.017728,0.688514,0.005280,0.047392,0.000832,0.013504,0.000416,0.001568,0.001088,0.000384,1.219971
0.416129,0.017216,0.683874,0.005120,0.048032,0.000768,0.013792,0.000448,0.001632,0.001184,0.000416,1.196387
0.415745,0.017856,0.683074,0.005152,0.052352,0.000608,0.013536,0.000448,0.001536,0.001376,0.000448,1.200035
0.432706,0.017376,0.684066,0.005312,0.048640,0.000640,0.013440,0.000448,0.001472,0.001024,0.000448,1.214212
0.416161,0.017472,0.674466,0.005184,0.047936,0.000608,0.013568,0.000448,0.001568,0.001152,0.000448,1.186435
0.415841,0.017312,0.675810,0.005248,0.065184,0.000832,0.013568,0.000480,0.001536,0.001088,0.000352,1.205219
0.415169,0.017504,0.696546,0.005152,0.047265,0.000576,0.013408,0.000448,0.001440,0.001024,0.000384,1.206564
0.415682,0.017536,0.681378,0.005056,0.050464,0.000544,0.013568,0.000448,0.001472,0.001120,0.000384,1.195940
0.415585,0.017280,0.696994,0.006816,0.048000,0.000640,0.013760,0.000448,0.001472,0.001056,0.000352,1.210147
0.415649,0.017600,0.679522,0.005088,0.049408,0.000832,0.013536,0.000448,0.001504,0.001152,0.000384,1.193027
0.416866,0.017728,0.686305,0.005088,0.048929,0.000576,0.013760,0.000416,0.001440,0.001152,0.000384,1.200612
0.415745,0.017536,0.717026,0.005120,0.049056,0.000608,0.014016,0.000416,0.001440,0.001088,0.000352,1.229379
0.416577,0.017408,0.690210,0.005056,0.049504,0.000608,0.013824,0.000448,0.001440,0.001056,0.000448,1.204067
0.415809,0.017440,0.677154,0.005184,0.049153,0.000640,0.013376,0.000384,0.001440,0.001152,0.000352,1.189668
0.430145,0.017568,0.677890,0.005184,0.050368,0.000640,0.013696,0.000416,0.001408,0.001056,0.000352,1.206179
0.416705,0.017472,0.678786,0.005120,0.049568,0.000608,0.013472,0.000448,0.001440,0.001024,0.000416,1.192291
0.415969,0.017184,0.685442,0.005120,0.048768,0.000608,0.013888,0.000416,0.001536,0.001088,0.000352,1.197539
0.415490,0.017856,0.687170,0.005024,0.048128,0.000832,0.013408,0.000416,0.001504,0.001088,0.000384,1.198980
0.415297,0.017216,0.682082,0.005024,0.049888,0.000608,0.013536,0.000416,0.001472,0.000992,0.000384,1.195075
0.415073,0.017760,0.709378,0.005184,0.049344,0.000608,0.013504,0.000480,0.001440,0.001088,0.000320,1.221859
0.416578,0.018016,0.688865,0.005249,0.048448,0.000608,0.013536,0.000416,0.001536,0.001056,0.000352,1.202596
0.415713,0.017280,0.679650,0.005280,0.049120,0.000608,0.013696,0.000384,0.001440,0.001120,0.000352,1.192579
0.415361,0.017536,0.732034,0.005312,0.049152,0.000608,0.013344,0.000416,0.001408,0.001152,0.000352,1.244707
0.416545,0.017121,0.669505,0.005088,0.048193,0.000608,0.013312,0.000416,0.001440,0.000960,0.000352,1.181412
0.415617,0.017824,0.683746,0.005152,0.048544,0.000896,0.013440,0.000416,0.001536,0.001056,0.000384,1.195843
0.431265,0.017760,0.678562,0.005248,0.048448,0.000608,0.013536,0.000480,0.001440,0.001152,0.000352,1.206563
0.415425,0.017248,0.670594,0.005056,0.050656,0.000832,0.013824,0.000448,0.001504,0.001024,0.000352,1.184355
0.415713,0.017408,0.670881,0.005056,0.048705,0.000800,0.013504,0.000480,0.001536,0.001120,0.000384,1.183268
0.430305,0.017344,0.679938,0.005184,0.048608,0.000640,0.013696,0.000416,0.001376,0.001088,0.000416,1.207331
0.416001,0.017952,0.676802,0.005248,0.049376,0.000864,0.013440,0.000448,0.001440,0.001024,0.000416,1.191459
0.415617,0.017344,0.679042,0.020544,0.052512,0.000608,0.013569,0.000416,0.001568,0.001088,0.000320,1.211268
0.415457,0.017760,0.678594,0.005152,0.049696,0.000576,0.013440,0.000416,0.001536,0.001184,0.000384,1.192131
0.415617,0.017952,0.680322,0.005056,0.048512,0.000832,0.013376,0.000480,0.001472,0.001024,0.000416,1.192163
0.415489,0.017632,0.701762,0.005216,0.050752,0.000608,0.013600,0.000480,0.001440,0.001216,0.000448,1.216387
0.415554,0.017600,0.671682,0.005280,0.048608,0.000576,0.013440,0.000416,0.001472,0.001056,0.000352,1.183460
0.415233,0.017536,0.660930,0.005248,0.048064,0.000608,0.013440,0.000416,0.001408,0.001120,0.000416,1.172035
0.415905,0.017760,0.712002,0.006592,0.047776,0.000608,0.013376,0.000416,0.001344,0.001088,0.000384,1.224547
0.415169,0.017280,0.662530,0.005216,0.047808,0.000576,0.013472,0.000448,0.001409,0.001056,0.000352,1.172996
0.416226,0.017248,0.675810,0.005152,0.053184,0.000864,0.013408,0.000448,0.001440,0.001056,0.000320,1.192196
0.448801,0.017344,0.687746,0.005280,0.047584,0.000832,0.013376,0.000416,0.001440,0.001088,0.000352,1.232899
0.415457,0.017536,0.678722,0.005408,0.047360,0.000608,0.013824,0.000416,0.001440,0.000960,0.000352,1.189411
0.415906,0.017696,0.664482,0.005216,0.047680,0.000608,0.013408,0.000416,0.001408,0.000960,0.000352,1.175300
0.415393,0.017728,0.672770,0.005152,0.047232,0.000832,0.013344,0.000448,0.001440,0.001024,0.000352,1.182979
0.415393,0.017728,0.669986,0.005088,0.047616,0.000832,0.013472,0.000480,0.001408,0.000992,0.000384,1.180995
0.415329,0.017440,0.708226,0.008224,0.047041,0.000800,0.013376,0.000448,0.001472,0.001248,0.000352,1.221284
0.415361,0.017536,0.671714,0.005088,0.052384,0.000800,0.013408,0.000448,0.001472,0.001120,0.000352,1.187043
0.415329,0.017536,0.677154,0.005216,0.047616,0.000800,0.013344,0.000480,0.001472,0.001088,0.000384,1.187459
0.415521,0.017376,0.700706,0.005248,0.047777,0.000608,0.013408,0.000480,0.001408,0.000960,0.000352,1.212164
0.416065,0.017312,0.687586,0.004992,0.047328,0.000864,0.013408,0.000448,0.001472,0.001024,0.000320,1.197891
0.435617,0.017504,0.702882,0.005120,0.047584,0.000672,0.013920,0.000448,0.001472,0.001120,0.000352,1.235235
0.435170,0.017440,0.668289,0.005120,0.049761,0.000576,0.013344,0.000448,0.001408,0.000992,0.000352,1.199812
0.415745,0.017504,0.679266,0.005152,0.048000,0.000832,0.013376,0.000416,0.001408,0.000960,0.000352,1.190147
0.415233,0.017440,0.682274,0.005216,0.048192,0.000608,0.013408,0.000480,0.001440,0.000992,0.000320,1.192995
0.429505,0.017856,0.687426,0.005312,0.047841,0.000608,0.013440,0.000416,0.001376,0.001088,0.000352,1.212676
0.415329,0.017696,0.673986,0.004992,0.048224,0.000640,0.013536,0.000480,0.001504,0.001024,0.000416,1.184931
0.415713,0.017696,0.686306,0.005312,0.064832,0.001088,0.013440,0.000416,0.001408,0.001120,0.000384,1.216067
0.415393,0.017568,0.685666,0.005216,0.047776,0.000768,0.013377,0.000416,0.001376,0.001120,0.000352,1.196036
0.414274,0.017280,0.670082,0.005120,0.047488,0.000576,0.013408,0.000416,0.001408,0.001216,0.000352,1.178628
0.416929,0.017344,0.712834,0.005152,0.047648,0.000800,0.013440,0.000416,0.001440,0.001056,0.000352,1.224995
0.416577,0.017440,0.677410,0.005248,0.048096,0.000640,0.013504,0.000480,0.001472,0.000992,0.000321,1.189604
0.415938,0.017984,0.670402,0.005152,0.049440,0.000576,0.013344,0.000416,0.001408,0.001120,0.000352,1.184164
0.415489,0.017760,0.696002,0.005216,0.049056,0.000544,0.013376,0.000384,0.001376,0.001024,0.000384,1.208643
0.415489,0.017504,0.669090,0.005184,0.050496,0.000832,0.013472,0.000416,0.001408,0.001184,0.000384,1.182467
0.415361,0.017505,0.683329,0.005216,0.048225,0.000576,0.013440,0.000384,0.001472,0.000896,0.000320,1.194116
0.433025,0.017920,0.667170,0.005280,0.047744,0.000576,0.013376,0.000416,0.001408,0.000992,0.000352,1.196387
0.415233,0.017824,0.676674,0.005120,0.047360,0.000832,0.013472,0.000448,0.001408,0.001184,0.000352,1.187043
0.415073,0.017792,0.689186,0.008448,0.047712,0.000640,0.013409,0.000416,0.001440,0.001056,0.000352,1.202820
0.415393,0.017312,0.687170,0.005216,0.047648,0.000832,0.013440,0.000384,0.001440,0.000992,0.000384,1.197539
0.415265,0.017472,0.706082,0.005696,0.047744,0.000608,0.013376,0.000416,0.001344,0.001088,0.000384,1.216771
0.415361,0.017728,0.737218,0.009889,0.047808,0.000608,0.013408,0.000480,0.001344,0.001024,0.000416,1.253028
0.416545,0.017664,0.681538,0.005248,0.047744,0.000608,0.013440,0.000448,0.001376,0.000960,0.000384,1.193059
0.415745,0.017792,0.667202,0.005088,0.047488,0.000640,0.013440,0.000448,0.001344,0.001120,0.000352,1.178083
0.415201,0.017312,0.713026,0.005216,0.047681,0.000832,0.013472,0.000448,0.001344,0.001088,0.000352,1.223972
0.415873,0.017344,0.682018,0.005184,0.047648,0.000608,0.013440,0.000416,0.001344,0.001024,0.000352,1.192547
0.416737,0.017536,0.665314,0.005088,0.047520,0.000832,0.013472,0.000416,0.001408,0.001088,0.000384,1.176995
0.416353,0.035105,0.713890,0.005184,0.047488,0.000608,0.013408,0.000416,0.001344,0.000992,0.000352,1.242660
0.415617,0.017504,0.677282,0.005152,0.047520,0.000640,0.013440,0.000416,0.001472,0.001120,0.000352,1.187523
0.415393,0.017984,0.688994,0.005120,0.047552,0.000832,0.013440,0.000416,0.001344,0.000960,0.000352,1.199523
