Layer[0],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.506018,8.086292,0.050080,0.000864,0.013632,0.000384,0.001536,0.002240,0.000832,8.669783
0.418977,0.716098,0.049280,0.000928,0.013664,0.000352,0.001760,0.001792,0.000640,1.211331
0.417121,0.717474,0.049152,0.000896,0.013568,0.000384,0.001696,0.001632,0.000384,1.209955
0.416546,0.776546,0.049824,0.000704,0.013760,0.000352,0.001536,0.001216,0.000608,1.269860
0.421249,0.723842,0.049952,0.000608,0.013760,0.000384,0.001664,0.001376,0.000640,1.221955
0.416641,0.702466,0.048672,0.000640,0.014112,0.000352,0.001536,0.001248,0.000608,1.194211
0.418177,0.764546,0.048992,0.000640,0.013729,0.000384,0.001504,0.001280,0.000384,1.257444
0.420513,0.715394,0.048832,0.000608,0.013728,0.000384,0.001568,0.001472,0.000416,1.210275
0.420033,0.717282,0.051104,0.000640,0.013568,0.000384,0.001600,0.001312,0.000416,1.213571
0.434849,0.714722,0.049088,0.000608,0.013632,0.000352,0.001440,0.001696,0.000352,1.224099
0.415873,0.706018,0.049248,0.000608,0.013600,0.000352,0.001504,0.001440,0.000352,1.196644
0.420545,0.745858,0.051360,0.000608,0.013632,0.000352,0.001600,0.001280,0.000352,1.243779
0.415873,0.701058,0.048672,0.000672,0.013568,0.000352,0.001504,0.001248,0.000416,1.190499
0.414721,0.711842,0.049088,0.000640,0.013568,0.000352,0.001632,0.001216,0.000384,1.200707
0.420929,0.738978,0.050529,0.000640,0.013632,0.000384,0.001536,0.001312,0.000608,1.236164
0.420513,0.702658,0.050272,0.000608,0.013568,0.000352,0.001536,0.001472,0.000832,1.199459
0.418561,0.709090,0.049120,0.000608,0.013600,0.000416,0.001568,0.001120,0.000416,1.201731
0.436129,0.745378,0.048929,0.000672,0.013504,0.000384,0.001472,0.001120,0.000416,1.255780
0.417505,0.771202,0.049120,0.000608,0.013472,0.000416,0.001568,0.001216,0.000384,1.262723
0.416481,0.710466,0.048960,0.000640,0.013504,0.000320,0.001504,0.001216,0.000384,1.202051
0.415617,0.709345,0.048929,0.000608,0.013568,0.000416,0.001472,0.001248,0.000832,1.200003
0.416289,0.725826,0.048256,0.000672,0.013568,0.000384,0.001440,0.001248,0.000416,1.215395
0.416481,0.741250,0.048672,0.000640,0.013568,0.000352,0.001504,0.001248,0.000640,1.232003
0.416929,0.713473,0.048737,0.000608,0.013632,0.000352,0.001888,0.001280,0.000352,1.204835
0.420257,0.709634,0.048800,0.000640,0.013920,0.000384,0.001632,0.001408,0.000608,1.205027
