Layer[7],Layer[8],Layer[9],Layer[10],classifier
9.195922,0.004256,0.002016,0.000864,9.208434
1.824643,0.003488,0.001792,0.000352,1.837155
1.734787,0.003136,0.001312,0.000448,1.745315
1.799427,0.003392,0.001376,0.000416,1.810179
1.727619,0.003840,0.001408,0.000384,1.738275
1.783395,0.004032,0.001472,0.000384,1.794883
1.781988,0.003584,0.001312,0.000384,1.793508
1.777412,0.003648,0.001504,0.000384,1.789828
1.772676,0.002944,0.001184,0.000352,1.782628
1.772067,0.003104,0.001248,0.000384,1.782115
1.735491,0.003168,0.001120,0.000448,1.745347
1.763907,0.003072,0.001248,0.000384,1.773123
1.745380,0.003328,0.001152,0.000384,1.756068
1.763236,0.003008,0.001280,0.000416,1.773316
1.736164,0.003008,0.001248,0.000416,1.745540
1.765635,0.002816,0.001248,0.000608,1.776227
1.738691,0.002784,0.001280,0.000384,1.747747
1.763620,0.002912,0.001184,0.000576,1.773476
1.735204,0.002848,0.001248,0.000384,1.744388
1.757699,0.003200,0.001280,0.000384,1.767939
1.718691,0.002944,0.001344,0.000352,1.728099
1.766116,0.003008,0.001248,0.000384,1.775876
1.742820,0.002944,0.001248,0.000416,1.752196
1.785443,0.003104,0.001216,0.000416,1.795203
1.735363,0.002784,0.001216,0.000384,1.744483
1.801028,0.002976,0.001216,0.000352,1.810788
1.742275,0.002912,0.001248,0.000416,1.751843
1.758116,0.002912,0.001312,0.000384,1.767812
1.754691,0.003296,0.001216,0.000352,1.764323
1.762980,0.002944,0.001248,0.000416,1.772516
1.720259,0.003072,0.001184,0.000384,1.729699
1.765092,0.003104,0.001216,0.000384,1.774916
1.740003,0.003200,0.001248,0.000416,1.749571
1.800388,0.003008,0.001280,0.000384,1.810340
1.747555,0.003008,0.001280,0.000416,1.756899
1.746020,0.003296,0.001344,0.000416,1.756420
1.770595,0.003200,0.001280,0.000352,1.780323
1.761315,0.002912,0.001184,0.000384,1.770691
1.760068,0.003264,0.001088,0.000608,1.770212
1.750915,0.003168,0.001120,0.000608,1.761315
1.734372,0.002816,0.001120,0.000608,1.743492
1.780036,0.003200,0.001088,0.000384,1.790468
1.756003,0.002816,0.001088,0.000352,1.765475
1.806116,0.002592,0.001120,0.000416,1.814820
1.749316,0.002688,0.001184,0.000384,1.758052
1.796035,0.002976,0.001152,0.000416,1.805635
1.732675,0.002624,0.001088,0.000416,1.741187
1.784132,0.002592,0.001152,0.000384,1.792804
1.734916,0.002592,0.001184,0.000416,1.743332
1.751620,0.002752,0.001152,0.000416,1.760324
1.731843,0.002688,0.001120,0.000352,1.740483
1.762595,0.003872,0.001152,0.000384,1.772963
