Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.416417,0.017536,0.202656,0.005280,0.047073,0.000608,0.187840,0.000672,0.001952,0.001088,0.000352,0.889282
0.416161,0.017601,0.201920,0.005280,0.047200,0.000608,0.190785,0.000672,0.002048,0.001216,0.000352,0.891427
0.416161,0.017376,0.222433,0.005312,0.046976,0.000576,0.183617,0.000768,0.001984,0.001056,0.000384,0.904643
0.415777,0.017408,0.202657,0.005024,0.047616,0.000576,0.185184,0.000736,0.001792,0.001056,0.000320,0.885922
0.415746,0.017376,0.202880,0.005056,0.047136,0.000608,0.236481,0.000704,0.001984,0.000960,0.000320,0.936579
0.416770,0.017344,0.202592,0.004736,0.047104,0.000608,0.186945,0.000704,0.001856,0.001024,0.000352,0.887523
0.416609,0.017664,0.203681,0.005312,0.048320,0.000576,0.199233,0.000768,0.002176,0.001088,0.000352,0.903875
0.416513,0.017504,0.202465,0.005280,0.049280,0.000544,0.199488,0.000768,0.003296,0.001120,0.000352,0.905026
0.416609,0.017696,0.203488,0.005152,0.048001,0.000608,0.191200,0.000736,0.002272,0.001152,0.000384,0.895074
0.416418,0.017664,0.221088,0.005280,0.049056,0.000576,0.187361,0.000576,0.001856,0.000992,0.000416,0.909251
0.415809,0.017120,0.202433,0.005088,0.047552,0.000576,0.191201,0.000608,0.001984,0.001024,0.000352,0.891171
0.416353,0.017568,0.202305,0.005024,0.047968,0.000576,0.205472,0.000704,0.002336,0.001184,0.000416,0.908578
0.416833,0.017568,0.202273,0.005248,0.049632,0.000608,0.200064,0.000704,0.002048,0.000992,0.000352,0.904066
0.416193,0.017504,0.202176,0.005120,0.049824,0.000608,0.194273,0.000800,0.002144,0.001056,0.000352,0.897986
0.417185,0.017633,0.202880,0.005056,0.049504,0.000576,0.186401,0.000672,0.002176,0.000960,0.000384,0.890883
0.416641,0.017504,0.202561,0.005056,0.048608,0.000576,0.194880,0.000672,0.001985,0.001120,0.000608,0.897987
0.416577,0.017440,0.220097,0.005184,0.048000,0.000544,0.181440,0.000640,0.001952,0.000992,0.000352,0.901410
0.415906,0.017536,0.202336,0.005056,0.047072,0.000576,0.192257,0.000576,0.001888,0.000992,0.000384,0.892035
0.415777,0.017280,0.202433,0.005248,0.047104,0.000640,0.191105,0.000672,0.002016,0.000992,0.000320,0.891875
0.416001,0.017184,0.202273,0.005024,0.046880,0.000608,0.193504,0.000736,0.002048,0.001088,0.000352,0.893538
0.415297,0.017312,0.203136,0.005217,0.046880,0.000576,0.190048,0.000576,0.001856,0.001152,0.000320,0.889730
0.416482,0.017472,0.202112,0.005280,0.046912,0.000544,0.191169,0.000576,0.002016,0.001152,0.000352,0.891459
0.416705,0.017472,0.202177,0.005248,0.046944,0.000544,0.191105,0.000640,0.001792,0.001120,0.000320,0.891715
0.416225,0.017344,0.216449,0.004960,0.047040,0.000544,0.201953,0.000832,0.003040,0.001120,0.000384,0.919075
0.415585,0.017312,0.202241,0.005120,0.047392,0.000576,0.193280,0.000768,0.002112,0.001056,0.000384,0.893762
0.415809,0.017632,0.202336,0.005024,0.047777,0.000576,0.195872,0.000704,0.002080,0.001120,0.000352,0.897474
0.416065,0.017409,0.202848,0.005056,0.047264,0.000608,0.189089,0.000640,0.002240,0.000992,0.000384,0.890531
0.415841,0.018176,0.202433,0.005024,0.049376,0.000608,0.184193,0.000640,0.001952,0.001056,0.000416,0.887363
0.415809,0.017536,0.202817,0.004992,0.048608,0.000608,0.191552,0.000672,0.002336,0.001056,0.000416,0.895042
0.416609,0.017664,0.202592,0.005248,0.048065,0.000544,0.193344,0.000704,0.002240,0.000992,0.000384,0.896130
0.415553,0.017505,0.219808,0.005216,0.047616,0.000544,0.194113,0.000672,0.001856,0.000992,0.000320,0.912323
0.415745,0.017440,0.202305,0.004864,0.047264,0.000576,0.214753,0.000608,0.001824,0.001024,0.000352,0.914179
0.416065,0.017408,0.202305,0.005248,0.047232,0.000640,0.185824,0.000768,0.002048,0.001056,0.000320,0.886530
0.415841,0.017280,0.203392,0.005280,0.047073,0.000608,0.183904,0.000608,0.002080,0.001024,0.000384,0.884834
0.415874,0.017216,0.202304,0.005056,0.047296,0.000640,0.183841,0.000608,0.001824,0.001152,0.000352,0.883907
0.415809,0.017408,0.202401,0.004864,0.047104,0.000544,0.189985,0.000672,0.001856,0.000992,0.000384,0.889539
0.416417,0.017760,0.203073,0.005248,0.047008,0.000576,0.192672,0.000672,0.001920,0.001024,0.000384,0.894370
0.415777,0.017696,0.222048,0.005184,0.047041,0.000576,0.183680,0.000672,0.001696,0.001184,0.000384,0.904066
0.417025,0.017600,0.202369,0.005216,0.047552,0.000576,0.202625,0.000800,0.002176,0.001056,0.000320,0.905603
0.416321,0.017280,0.202497,0.005120,0.047072,0.000608,0.184161,0.000704,0.001984,0.001120,0.000352,0.885155
0.416161,0.018144,0.202049,0.005216,0.046880,0.000608,0.186368,0.000640,0.001824,0.001088,0.000384,0.887042
0.416514,0.017472,0.202432,0.005184,0.046976,0.000608,0.186497,0.000640,0.001888,0.001120,0.000384,0.887363
0.416385,0.017216,0.202369,0.005408,0.047040,0.000576,0.190369,0.000704,0.002112,0.000960,0.000352,0.891011
0.415585,0.017312,0.202657,0.005248,0.046848,0.000576,0.196320,0.000640,0.001856,0.000960,0.000384,0.896194
0.415489,0.017472,0.223040,0.005121,0.046880,0.000576,0.181376,0.000544,0.002144,0.001056,0.000352,0.901954
0.415970,0.017504,0.202112,0.004832,0.046880,0.000544,0.187905,0.000640,0.002112,0.001024,0.000352,0.887363
0.415777,0.017472,0.202177,0.004832,0.046944,0.000544,0.183137,0.000608,0.001888,0.000960,0.000352,0.882179
0.416193,0.017280,0.202177,0.004832,0.047200,0.000512,0.185664,0.000640,0.001824,0.001056,0.000352,0.885570
0.434882,0.017472,0.202176,0.004832,0.046944,0.000576,0.186273,0.000736,0.002048,0.001056,0.000352,0.906819
0.416417,0.017408,0.202529,0.005280,0.046848,0.000608,0.200833,0.000608,0.002048,0.001088,0.000352,0.901667
0.416641,0.017216,0.202145,0.005216,0.046752,0.000608,0.189568,0.000800,0.002208,0.000992,0.000384,0.890018
0.416801,0.017280,0.201824,0.005025,0.066304,0.000704,0.188928,0.000736,0.001952,0.001056,0.000352,0.909378
0.416450,0.017408,0.201984,0.005024,0.046816,0.000576,0.191745,0.000704,0.001728,0.001120,0.000352,0.891203
0.415169,0.017184,0.202497,0.005248,0.047328,0.000576,0.196289,0.000640,0.001760,0.001152,0.000320,0.895619
0.415105,0.017504,0.202145,0.004864,0.046880,0.000576,0.194624,0.000736,0.002112,0.001152,0.000416,0.894210
0.428673,0.017312,0.202560,0.004800,0.046849,0.000576,0.184832,0.000640,0.001856,0.001088,0.000320,0.897186
0.416418,0.017216,0.202464,0.004832,0.046848,0.000576,0.196225,0.000640,0.001920,0.001024,0.000384,0.895939
0.417249,0.017504,0.202273,0.004800,0.046848,0.000608,0.196865,0.000672,0.001920,0.001024,0.000384,0.897955
0.415905,0.017280,0.201985,0.004864,0.046784,0.000576,0.210240,0.000736,0.001920,0.001120,0.000352,0.909634
0.415777,0.017728,0.202240,0.005056,0.046817,0.000544,0.183968,0.000608,0.001920,0.001120,0.000352,0.883586
0.415522,0.017472,0.202176,0.004864,0.047136,0.000640,0.192705,0.000608,0.001952,0.001152,0.000320,0.892323
0.416545,0.017472,0.202337,0.004832,0.046976,0.000576,0.191713,0.000672,0.001824,0.001120,0.000352,0.892035
0.435681,0.017504,0.202241,0.005248,0.047360,0.000608,0.191808,0.000640,0.001856,0.001088,0.000384,0.912482
0.427201,0.018112,0.209120,0.004928,0.047009,0.000544,0.238176,0.000640,0.002080,0.001120,0.000608,0.957794
0.416610,0.017312,0.203328,0.004864,0.046848,0.000640,0.188513,0.000672,0.001952,0.001056,0.000320,0.888867
0.416065,0.017248,0.203457,0.004928,0.046816,0.000544,0.223585,0.001024,0.002528,0.001216,0.000416,0.926211
0.416353,0.017248,0.202337,0.004896,0.046784,0.000544,0.187968,0.000736,0.001984,0.001120,0.000352,0.887458
0.417985,0.017632,0.202272,0.005312,0.047041,0.000608,0.190048,0.000576,0.002048,0.001120,0.000320,0.893122
