Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[10],classifier
0.535169,0.017472,0.206561,0.004896,0.047808,0.116288,0.997378
0.418209,0.017728,0.204161,0.004864,0.048192,0.138657,0.901347
0.416993,0.017312,0.203937,0.004896,0.048096,0.143936,0.916387
0.437345,0.017536,0.203873,0.004864,0.048672,0.143488,0.925954
0.416673,0.017664,0.203200,0.004832,0.049217,0.122752,0.879522
0.416481,0.021088,0.202881,0.004800,0.049760,0.141153,0.904355
0.415777,0.021024,0.202593,0.004896,0.048960,0.134016,0.896322
0.416001,0.017440,0.203040,0.004864,0.049377,0.134496,0.897282
0.416321,0.017536,0.203457,0.004864,0.048544,0.135265,0.892227
0.416673,0.017472,0.202273,0.004896,0.048128,0.146080,0.901250
0.421441,0.017728,0.217728,0.005057,0.047648,0.160576,0.943682
0.415842,0.017600,0.202208,0.004768,0.047808,0.145185,0.913923
0.416257,0.017472,0.202369,0.004832,0.048736,0.142785,0.907363
0.415937,0.017536,0.202049,0.004800,0.047680,0.131712,0.893218
0.416225,0.020768,0.202848,0.004832,0.048481,0.132896,0.896258
0.415649,0.017600,0.202817,0.004800,0.048544,0.129345,0.889219
0.415777,0.017312,0.202145,0.004800,0.048736,0.123840,0.882082
0.415553,0.017728,0.217696,0.005056,0.047969,0.125984,0.896578
0.415393,0.017760,0.202401,0.004864,0.048832,0.129216,0.891651
0.416449,0.017952,0.201953,0.004832,0.048352,0.126368,0.882114
0.416130,0.017504,0.203424,0.004864,0.047840,0.134305,0.906531
0.429121,0.017536,0.202657,0.004832,0.047968,0.134145,0.905827
0.416097,0.017312,0.202145,0.004896,0.047744,0.142240,0.912386
0.417057,0.017344,0.203456,0.004832,0.048417,0.132608,0.895298
0.415745,0.017568,0.202337,0.004832,0.048320,0.161217,0.919907
0.415873,0.020864,0.202881,0.004832,0.049024,0.123744,0.890562
0.415585,0.017408,0.202784,0.004800,0.047617,0.150720,0.913794
0.416066,0.017280,0.201984,0.004768,0.048832,0.128769,0.886659
0.428865,0.017728,0.202433,0.004800,0.048896,0.127712,0.905347
0.415393,0.017504,0.202080,0.004800,0.049505,0.123840,0.881506
0.415617,0.017632,0.202305,0.004832,0.048864,0.130369,0.892259
0.416385,0.017472,0.202433,0.004896,0.048224,0.124032,0.880898
0.415746,0.017728,0.202176,0.004768,0.048448,0.134113,0.901987
0.415681,0.017664,0.203297,0.004800,0.048512,0.120160,0.888387
0.415713,0.017280,0.202177,0.004768,0.048288,0.133280,0.893346
0.415330,0.017376,0.215616,0.005152,0.047968,0.125505,0.899747
0.415553,0.017760,0.202305,0.004896,0.047776,0.145792,0.904963
0.415457,0.017280,0.201921,0.004896,0.047328,0.122944,0.879746
0.415682,0.017312,0.202176,0.004896,0.047168,0.129217,0.880547
0.427169,0.017440,0.202561,0.004800,0.046976,0.121408,0.885891
0.415777,0.017376,0.202176,0.004800,0.047137,0.128992,0.889378
0.415329,0.017281,0.201952,0.004864,0.046944,0.121441,0.871427
0.415585,0.017440,0.202337,0.004800,0.047008,0.134112,0.889538
0.415265,0.017440,0.202944,0.004832,0.048321,0.132064,0.893346
