Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.503649,0.017824,0.209249,0.005056,0.047040,0.000608,0.013440,0.000352,0.001536,0.008512,0.091297,0.907427
0.417441,0.017888,0.204257,0.005056,0.048192,0.000768,0.014112,0.000576,0.001472,0.002144,0.111584,0.831586
0.416001,0.034752,0.204289,0.004928,0.048448,0.000576,0.014144,0.000384,0.001440,0.001472,0.113824,0.849218
0.415841,0.017472,0.203489,0.004896,0.048928,0.000576,0.014048,0.000416,0.001536,0.001472,0.110017,0.826659
0.415425,0.017504,0.202817,0.004864,0.048352,0.000608,0.013792,0.000448,0.001504,0.001280,0.110272,0.824450
0.416578,0.017632,0.203488,0.004864,0.049024,0.000576,0.014048,0.000384,0.001664,0.001088,0.111873,0.829443
0.434081,0.017632,0.202753,0.004896,0.049280,0.000608,0.014144,0.000416,0.001568,0.001088,0.111904,0.846882
0.416225,0.017504,0.202240,0.004832,0.048737,0.000608,0.013600,0.000384,0.001536,0.001088,0.107488,0.821666
0.414977,0.017504,0.202465,0.005216,0.048352,0.000544,0.013408,0.000384,0.001472,0.001024,0.107968,0.820706
0.415873,0.017728,0.202240,0.004800,0.048193,0.000576,0.013440,0.000384,0.001472,0.001056,0.110080,0.823298
0.415777,0.017440,0.202465,0.004832,0.047552,0.000576,0.013408,0.000416,0.001440,0.000992,0.108257,0.820387
0.415745,0.017472,0.202785,0.004832,0.047456,0.000544,0.013344,0.000384,0.001440,0.001024,0.108096,0.820578
0.415841,0.017569,0.202656,0.004864,0.048512,0.000608,0.013632,0.000448,0.001472,0.001024,0.119073,0.834723
0.416097,0.017504,0.221537,0.005280,0.048160,0.000640,0.013568,0.000352,0.001440,0.000960,0.112864,0.847106
0.415361,0.017632,0.202496,0.004832,0.049024,0.000576,0.013537,0.000416,0.001440,0.001056,0.108032,0.822882
0.417857,0.017536,0.202945,0.005312,0.048768,0.000576,0.013600,0.000352,0.001472,0.001120,0.106528,0.824130
0.417761,0.017696,0.203104,0.004832,0.050337,0.000608,0.013824,0.000352,0.001472,0.001120,0.111712,0.830594
0.433121,0.017728,0.202785,0.004800,0.048256,0.000768,0.014240,0.000352,0.001376,0.001216,0.110241,0.842755
0.416545,0.017568,0.203297,0.005088,0.049280,0.000736,0.013760,0.000352,0.001504,0.001152,0.111616,0.828162
0.416385,0.017729,0.203232,0.004832,0.047840,0.000576,0.013984,0.000384,0.001408,0.001184,0.109313,0.824611
0.416705,0.017760,0.202657,0.005216,0.049248,0.000544,0.013856,0.000416,0.001472,0.001440,0.109632,0.827042
0.431202,0.017760,0.202336,0.004864,0.048960,0.000576,0.013440,0.000416,0.001409,0.001120,0.109568,0.839267
0.416385,0.017568,0.203553,0.005024,0.049600,0.000800,0.013984,0.000384,0.001440,0.001248,0.112480,0.830242
0.416769,0.017600,0.202912,0.004896,0.049729,0.000608,0.014752,0.000416,0.001504,0.001312,0.108096,0.826082
0.415393,0.017568,0.203009,0.004896,0.048736,0.000544,0.013920,0.000576,0.001472,0.001280,0.111904,0.827298
0.415809,0.017568,0.202561,0.005184,0.050976,0.000576,0.014048,0.000384,0.001504,0.000960,0.111040,0.828482
0.415970,0.017760,0.202656,0.005216,0.050848,0.000576,0.013728,0.000352,0.001536,0.001024,0.108001,0.825283
0.416481,0.017600,0.202401,0.005216,0.050272,0.000608,0.013952,0.000352,0.001472,0.001056,0.112000,0.829442
0.416354,0.017472,0.219744,0.005472,0.049408,0.000832,0.014529,0.000352,0.001568,0.001312,0.108672,0.844387
0.416161,0.017504,0.202465,0.004832,0.049472,0.000576,0.013632,0.000352,0.001472,0.001280,0.108896,0.823810
0.416801,0.017728,0.203456,0.004896,0.050465,0.000576,0.013984,0.000384,0.001568,0.001248,0.116576,0.837474
0.417473,0.017568,0.202657,0.005312,0.049472,0.000608,0.014144,0.000352,0.001440,0.001216,0.111873,0.829539
0.433985,0.017536,0.203297,0.004864,0.049440,0.000832,0.014400,0.000384,0.001632,0.001024,0.110112,0.845410
0.417570,0.017600,0.202720,0.004896,0.050240,0.000608,0.013952,0.000384,0.001568,0.001568,0.107745,0.826307
0.417825,0.017728,0.202753,0.004896,0.048896,0.000608,0.013824,0.000352,0.001504,0.001120,0.112288,0.829666
0.417953,0.017696,0.202336,0.004928,0.049088,0.000576,0.014273,0.000320,0.001472,0.001440,0.109920,0.827682
0.416321,0.017504,0.202849,0.004832,0.050560,0.000768,0.014720,0.000320,0.001504,0.001024,0.108768,0.826754
0.416065,0.017664,0.203329,0.005248,0.050912,0.000736,0.014304,0.000448,0.001472,0.001280,0.109344,0.828418
0.416769,0.017568,0.202817,0.005248,0.048704,0.000576,0.014368,0.000384,0.001504,0.001216,0.112065,0.828963
0.416705,0.017536,0.202849,0.004864,0.050688,0.000608,0.032096,0.000480,0.001600,0.001120,0.109024,0.845858
0.416066,0.017728,0.202976,0.005216,0.050816,0.000544,0.014016,0.000352,0.001408,0.001152,0.112705,0.830723
0.416065,0.017632,0.202465,0.005312,0.049568,0.000576,0.013760,0.000384,0.001472,0.001088,0.110784,0.826562
0.416449,0.017632,0.203136,0.005312,0.047905,0.000832,0.013632,0.000384,0.001408,0.001056,0.109856,0.825602
0.433697,0.022688,0.203457,0.004832,0.050304,0.000640,0.013824,0.000352,0.001408,0.001312,0.108512,0.849314
0.416193,0.017504,0.203905,0.004800,0.048544,0.000608,0.013664,0.000352,0.001376,0.001344,0.110272,0.826882
0.416993,0.017441,0.202848,0.005152,0.050528,0.000640,0.013920,0.000352,0.001728,0.001056,0.108865,0.827107
0.415937,0.017728,0.202113,0.004800,0.049376,0.000576,0.014528,0.000352,0.001472,0.001408,0.110784,0.826850
0.439938,0.017728,0.202368,0.005248,0.050304,0.000608,0.013920,0.000384,0.001472,0.001152,0.111681,0.852515
0.417505,0.017504,0.202209,0.004864,0.050016,0.000608,0.014272,0.000384,0.001472,0.001344,0.115200,0.833218
0.416673,0.017696,0.203296,0.004832,0.050113,0.000832,0.014656,0.000384,0.001568,0.001664,0.107104,0.826914
0.416353,0.018208,0.202465,0.004864,0.050144,0.000768,0.013856,0.000416,0.001760,0.001344,0.108000,0.826082
0.415521,0.018112,0.202625,0.004896,0.049984,0.000576,0.013600,0.000352,0.001632,0.001184,0.109216,0.826146
0.416257,0.017697,0.202624,0.004832,0.049184,0.000608,0.013824,0.000384,0.001664,0.001408,0.109857,0.826115
0.417153,0.017568,0.202881,0.004832,0.049888,0.000576,0.014016,0.000384,0.001376,0.001248,0.108352,0.826626
0.416418,0.017536,0.217376,0.005696,0.049089,0.000768,0.013792,0.000416,0.001696,0.001440,0.113344,0.847683
0.416737,0.017600,0.202209,0.005120,0.049920,0.000576,0.014592,0.000384,0.001664,0.001344,0.114144,0.831555
0.415873,0.017632,0.202529,0.005312,0.049632,0.000576,0.013664,0.000384,0.001536,0.001408,0.116096,0.832514
0.416354,0.017664,0.202976,0.004800,0.048736,0.000576,0.013760,0.000384,0.001568,0.001344,0.110273,0.826115
0.433441,0.017536,0.202785,0.004864,0.049248,0.000576,0.013600,0.000384,0.001504,0.001056,0.110624,0.843266
0.416290,0.017632,0.203136,0.005216,0.049344,0.000608,0.013952,0.000352,0.001568,0.001248,0.108673,0.825155
0.415713,0.017472,0.202433,0.005024,0.049600,0.000576,0.013888,0.000352,0.001440,0.001024,0.108768,0.824194
