Layer[0],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.507266,8.154230,0.000736,0.002336,0.002144,0.000576,8.674712
0.439649,0.798274,0.001376,0.003200,0.002048,0.000576,1.254787
0.416865,0.756994,0.001312,0.003136,0.001280,0.000640,1.185603
0.416033,0.763682,0.001088,0.003040,0.001632,0.000576,1.192131
0.416353,0.759042,0.000928,0.002656,0.001184,0.000544,1.186115
0.415969,0.761122,0.001056,0.003328,0.001248,0.000576,1.190403
0.417665,0.796547,0.000864,0.002208,0.001376,0.000352,1.224740
0.417153,0.783074,0.000800,0.002368,0.001120,0.000352,1.211363
0.415553,0.778370,0.000832,0.002048,0.001184,0.000416,1.204451
0.415681,0.800258,0.000736,0.002016,0.001216,0.000352,1.226435
0.416545,0.783586,0.001120,0.002688,0.001152,0.000384,1.212515
0.416289,0.778818,0.001120,0.002688,0.001280,0.000416,1.207267
0.433793,0.781059,0.000864,0.002944,0.001248,0.000384,1.226212
0.418626,0.771682,0.000704,0.002304,0.001120,0.000320,1.200964
0.416513,0.774626,0.000672,0.002368,0.001184,0.000384,1.201859
0.416321,0.777602,0.000832,0.003392,0.001216,0.000384,1.206083
0.416769,0.764898,0.000704,0.002496,0.001088,0.000320,1.192291
0.416641,0.809730,0.000832,0.002272,0.001120,0.000352,1.237187
0.416065,0.768898,0.000768,0.002048,0.000992,0.000320,1.195459
0.416322,0.777762,0.000896,0.002240,0.001248,0.000384,1.205188
0.416769,0.805218,0.000928,0.002688,0.001120,0.000352,1.234179
0.416065,0.777154,0.000704,0.002176,0.001184,0.000384,1.203651
0.415073,0.775554,0.000640,0.002272,0.001184,0.000384,1.200931
0.433633,0.774050,0.000768,0.002272,0.001088,0.000384,1.218563
0.417249,0.777730,0.000704,0.002272,0.001120,0.000384,1.204963
0.414881,0.770723,0.000704,0.002272,0.001216,0.000608,1.196164
0.416321,0.763778,0.000704,0.002432,0.001184,0.000416,1.190435
0.415713,0.779970,0.001024,0.002368,0.001152,0.000608,1.206755
0.416065,0.849282,0.000800,0.002240,0.001152,0.000576,1.276387
0.415649,0.797346,0.000800,0.002336,0.001184,0.000608,1.224323
0.417025,0.777283,0.000768,0.002208,0.001248,0.000352,1.205732
0.415041,0.787554,0.000800,0.002240,0.001216,0.000352,1.213603
0.415713,0.764706,0.000672,0.002304,0.001120,0.000416,1.191171
0.416033,0.764610,0.000672,0.002144,0.001088,0.000608,1.190819
0.432737,0.777890,0.000704,0.002112,0.001184,0.000416,1.221603
0.415969,0.761730,0.000800,0.002176,0.001088,0.000416,1.188387
0.415426,0.796994,0.000736,0.017632,0.001152,0.000448,1.238628
0.415937,0.760418,0.000800,0.002176,0.001152,0.000352,1.186403
0.416641,0.781026,0.000736,0.002240,0.001184,0.000448,1.207907
0.416353,0.802370,0.000832,0.002496,0.001248,0.000448,1.229411
0.416737,0.779875,0.000736,0.002496,0.001216,0.000416,1.207780
0.416449,0.800162,0.000928,0.002304,0.001280,0.000448,1.227587
0.416385,0.782498,0.000736,0.002368,0.001312,0.000384,1.210211
0.417089,0.803202,0.000768,0.002272,0.001152,0.000416,1.230563
0.415681,0.767426,0.000672,0.002401,0.001184,0.000416,1.193348
0.436513,0.806466,0.000832,0.002400,0.001152,0.000384,1.253315
0.417985,0.775394,0.000704,0.002272,0.001152,0.000384,1.203235
0.416513,0.798114,0.000768,0.002144,0.001280,0.000384,1.225315
0.415969,0.775714,0.000736,0.002464,0.001216,0.000352,1.202372
0.416353,0.775778,0.000800,0.002144,0.001248,0.000384,1.202275
0.416289,0.801154,0.000704,0.002432,0.001248,0.000352,1.229187
0.415873,0.771042,0.000704,0.002208,0.001280,0.000384,1.197507
0.416001,0.773730,0.000768,0.002304,0.001088,0.000384,1.200323
0.416225,0.779554,0.000800,0.002112,0.001184,0.000448,1.206307
0.416993,0.770466,0.001152,0.002272,0.001216,0.000384,1.198915
0.415937,0.770338,0.000736,0.002080,0.001088,0.000352,1.196739
0.437345,0.776962,0.000704,0.002273,0.001216,0.000416,1.224772
0.416225,0.765346,0.000704,0.002144,0.001120,0.000384,1.191683
0.416513,0.818658,0.000736,0.002240,0.001088,0.000352,1.245635
0.416097,0.762946,0.000768,0.002272,0.001312,0.000416,1.189955
0.417665,0.772738,0.000672,0.002464,0.001248,0.000416,1.202787
0.417313,0.804834,0.000704,0.002432,0.001248,0.000384,1.233059
0.416353,0.790882,0.000928,0.002592,0.001184,0.000640,1.218595
