Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[9],Layer[10],classifier
0.509505,0.017856,0.206273,0.004896,0.061664,0.182785,0.000928,0.992835
0.416705,0.017921,0.203520,0.004832,0.047648,0.206593,0.000768,0.904387
0.416897,0.017792,0.203681,0.004928,0.048768,0.242913,0.000800,0.942947
0.417441,0.017728,0.203297,0.005024,0.049696,0.202336,0.000640,0.902914
0.430210,0.017760,0.202880,0.004832,0.049665,0.204096,0.000832,0.918531
0.416641,0.017792,0.203041,0.004736,0.049792,0.197793,0.000640,0.896771
0.416161,0.017344,0.202657,0.005088,0.048384,0.189280,0.000640,0.887106
0.416641,0.018272,0.215968,0.004960,0.048929,0.189248,0.000576,0.900866
0.416161,0.017729,0.202720,0.004768,0.048320,0.192577,0.000800,0.890787
0.416385,0.017760,0.202913,0.005248,0.048160,0.208769,0.000672,0.905635
0.416449,0.017856,0.203136,0.005184,0.047841,0.191648,0.000736,0.890402
0.429922,0.017760,0.202592,0.005248,0.047712,0.237249,0.000736,0.947683
0.415617,0.017728,0.202561,0.004864,0.047712,0.186913,0.000672,0.881859
0.415425,0.017952,0.202625,0.004832,0.047968,0.190400,0.000704,0.886754
0.416386,0.017664,0.202560,0.004800,0.047936,0.207457,0.000736,0.906435
0.416353,0.017696,0.202753,0.005024,0.047872,0.205345,0.000640,0.902243
0.419905,0.017504,0.202849,0.005248,0.047872,0.208992,0.000544,0.909698
0.416321,0.017856,0.202944,0.004896,0.048416,0.208065,0.000640,0.905730
0.445505,0.017601,0.203168,0.004832,0.048608,0.211489,0.000640,0.939395
0.416001,0.018400,0.203041,0.005280,0.049664,0.191713,0.000704,0.890819
0.414593,0.017632,0.202080,0.004800,0.048033,0.184000,0.000672,0.878050
0.415009,0.017728,0.202721,0.004832,0.048320,0.187457,0.000736,0.883043
0.415649,0.017696,0.202337,0.004832,0.049472,0.207360,0.000704,0.904738
0.415233,0.017728,0.202368,0.004800,0.048481,0.227840,0.000736,0.923202
0.415617,0.018017,0.202336,0.004768,0.048256,0.206017,0.000672,0.903971
0.416225,0.030464,0.203457,0.004896,0.048448,0.195745,0.000608,0.906435
0.415681,0.017600,0.202561,0.004832,0.049856,0.190496,0.000576,0.887234
0.415362,0.017760,0.202912,0.005088,0.049376,0.212737,0.000576,0.910147
0.420417,0.017600,0.202657,0.005248,0.048128,0.198497,0.000480,0.898787
0.416033,0.017664,0.202209,0.005248,0.048896,0.193664,0.000544,0.890434
0.414786,0.017760,0.203040,0.005184,0.048448,0.195393,0.000704,0.891331
0.415617,0.017920,0.202529,0.005088,0.049248,0.201857,0.000672,0.898819
0.415297,0.017792,0.219617,0.005376,0.048864,0.213664,0.000672,0.928386
0.415873,0.017728,0.203040,0.005280,0.049120,0.193601,0.000544,0.891426
0.415393,0.021152,0.203009,0.005344,0.049344,0.197025,0.000640,0.900547
0.414785,0.017920,0.203681,0.005056,0.048960,0.190112,0.000608,0.887202
0.435745,0.017760,0.202528,0.005248,0.048801,0.200704,0.000544,0.917474
0.415201,0.017696,0.202625,0.005024,0.048832,0.209889,0.000672,0.906307
0.415169,0.017920,0.202529,0.004800,0.049760,0.197344,0.000640,0.895042
0.415841,0.017792,0.202336,0.005088,0.049793,0.245728,0.000736,0.944130
0.416162,0.017632,0.203136,0.005120,0.049344,0.201441,0.000736,0.900259
0.414977,0.017664,0.202817,0.005088,0.049248,0.193665,0.000768,0.890979
0.415489,0.018048,0.201729,0.005216,0.049344,0.206656,0.000800,0.904322
0.428002,0.017824,0.202240,0.004800,0.048896,0.191521,0.000736,0.900451
