Layer[0],Layer[1],Layer[2],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.511809,0.018176,0.205665,0.215808,0.000768,0.017024,0.000416,0.001568,0.009920,0.000576,0.990210
0.421185,0.017985,0.232448,0.252129,0.000896,0.014816,0.000384,0.001696,0.001504,0.000288,0.952195
0.416993,0.017696,0.203520,0.260961,0.000864,0.014752,0.000416,0.001504,0.001280,0.000352,0.926690
0.421281,0.017696,0.202912,0.257633,0.001088,0.015040,0.000608,0.001728,0.001056,0.000352,0.926498
0.421953,0.017568,0.202689,0.238112,0.000768,0.014688,0.000416,0.001600,0.001120,0.000384,0.906466
0.421729,0.017664,0.202721,0.240256,0.000768,0.014400,0.000352,0.001664,0.001152,0.000384,0.907970
0.418017,0.017408,0.204129,0.239424,0.000736,0.014400,0.000800,0.001632,0.001248,0.000352,0.905570
0.415745,0.017376,0.203233,0.258752,0.000768,0.014912,0.000384,0.001600,0.001056,0.000320,0.923138
0.416289,0.017376,0.216481,0.232928,0.000672,0.014368,0.000384,0.001760,0.000896,0.000320,0.909122
0.417761,0.017568,0.202561,0.245824,0.000736,0.014273,0.000416,0.001632,0.001248,0.000288,0.909923
0.416641,0.017600,0.202913,0.256801,0.000736,0.014304,0.000384,0.002016,0.001248,0.000320,0.920643
0.420129,0.017280,0.203105,0.241313,0.000672,0.014304,0.000448,0.001984,0.001248,0.000352,0.908291
0.416386,0.017696,0.202912,0.232737,0.000864,0.014144,0.000416,0.002016,0.001216,0.000352,0.897187
0.419970,0.017504,0.203008,0.231617,0.000832,0.013952,0.000384,0.001504,0.001088,0.000352,0.897539
0.416034,0.017728,0.202528,0.238465,0.000736,0.014016,0.000384,0.001504,0.001184,0.000384,0.900483
0.441410,0.017760,0.202432,0.255137,0.000768,0.014752,0.000384,0.001568,0.001184,0.000352,0.944419
0.422241,0.017440,0.202657,0.248672,0.000800,0.014176,0.000384,0.001504,0.001120,0.000384,0.916994
0.421025,0.017280,0.202497,0.239520,0.000768,0.014016,0.000384,0.001504,0.001024,0.000352,0.905378
0.421857,0.017472,0.202657,0.259296,0.001184,0.018944,0.000384,0.001504,0.001056,0.000352,0.933122
0.421057,0.017632,0.202753,0.234944,0.000704,0.013920,0.000384,0.001600,0.001280,0.000384,0.901634
0.420737,0.017504,0.202689,0.237312,0.000736,0.013920,0.000384,0.001536,0.001184,0.000352,0.903618
0.416705,0.017280,0.202593,0.241088,0.000832,0.013920,0.000384,0.001472,0.001216,0.000352,0.902722
0.434017,0.017632,0.202593,0.250497,0.000832,0.014144,0.000384,0.001568,0.001088,0.000384,0.932643
0.420929,0.017536,0.202401,0.238721,0.000896,0.013920,0.000448,0.001536,0.001056,0.000352,0.905251
0.421857,0.017504,0.202465,0.246913,0.001280,0.014688,0.000352,0.001440,0.000992,0.000352,0.915747
0.420129,0.017473,0.202688,0.254113,0.000864,0.015392,0.000384,0.002080,0.001088,0.000352,0.922051
0.421218,0.017504,0.202592,0.237793,0.000960,0.013920,0.000352,0.001696,0.001152,0.000320,0.905219
0.422274,0.017408,0.202688,0.237697,0.000736,0.014016,0.000416,0.001568,0.001120,0.000352,0.905571
