Layer[0],Layer[1],Layer[2],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.531906,0.017952,0.211520,0.235073,0.002560,0.011456,0.000672,1.020003
0.418817,0.017824,0.204929,0.282753,0.002752,0.001600,0.000576,0.936291
0.416993,0.018048,0.204097,0.251456,0.002400,0.001408,0.000576,0.901570
0.434529,0.017792,0.203393,0.262529,0.002688,0.001376,0.000608,0.930499
0.416385,0.017728,0.203200,0.256961,0.002400,0.001408,0.000576,0.905090
0.416769,0.017600,0.203393,0.262912,0.002624,0.001408,0.000608,0.912419
0.415681,0.017889,0.203072,0.288257,0.002368,0.001120,0.000320,0.935267
0.415969,0.017856,0.203425,0.264096,0.002304,0.001088,0.000384,0.911330
0.416961,0.017792,0.203105,0.252161,0.002464,0.001248,0.000416,0.900835
0.416225,0.017664,0.202656,0.276065,0.002496,0.001152,0.000352,0.923746
0.435681,0.017792,0.202817,0.276129,0.002528,0.001152,0.000352,0.943843
0.416866,0.017792,0.202592,0.253377,0.002368,0.001152,0.000384,0.900963
0.416193,0.017760,0.202817,0.262464,0.002240,0.001184,0.000384,0.908962
0.415585,0.017792,0.203137,0.261281,0.002272,0.001184,0.000384,0.907939
0.416609,0.017792,0.204000,0.258977,0.002368,0.001088,0.000384,0.907714
0.416161,0.017856,0.202881,0.263680,0.002432,0.001120,0.000352,0.910595
0.416898,0.017920,0.203296,0.267425,0.002368,0.001152,0.000416,0.916355
0.448769,0.018208,0.204737,0.270016,0.002816,0.001440,0.000384,0.953666
0.417218,0.017824,0.204448,0.262113,0.002624,0.001216,0.000384,0.912707
0.417025,0.017664,0.202785,0.272192,0.002592,0.001216,0.000640,0.921346
0.416642,0.017728,0.221600,0.254241,0.002336,0.001120,0.000608,0.921667
0.416513,0.018080,0.203265,0.260576,0.002464,0.001184,0.000384,0.909474
0.415937,0.017472,0.202625,0.246977,0.002368,0.001088,0.000352,0.893571
0.416321,0.017952,0.202464,0.260321,0.002368,0.001216,0.000384,0.907490
0.417089,0.017920,0.203553,0.248480,0.002368,0.001280,0.000416,0.897826
0.416289,0.017728,0.203329,0.251585,0.002400,0.001056,0.000352,0.899171
0.414977,0.017536,0.202784,0.247137,0.002496,0.001088,0.000352,0.893122
0.416353,0.017792,0.220705,0.256768,0.002368,0.001120,0.000384,0.921891
