Layer[0],Layer[1],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.527010,0.018016,8.102263,0.000832,0.015552,0.000416,0.001568,0.002240,0.000544,8.677337
0.417569,0.017952,0.748450,0.001088,0.015136,0.000384,0.001920,0.001440,0.000384,1.213379
0.415265,0.017856,0.732770,0.000896,0.014656,0.000352,0.001536,0.001088,0.000320,1.191811
0.435937,0.017696,0.744610,0.001024,0.014784,0.000416,0.001504,0.001152,0.000352,1.226915
0.415841,0.017472,0.740066,0.000800,0.015136,0.000384,0.001472,0.001280,0.000352,1.199779
0.415713,0.017984,0.741346,0.000768,0.014368,0.000416,0.001568,0.001312,0.000320,1.202691
0.416097,0.017600,0.760098,0.000800,0.014656,0.000384,0.001504,0.001184,0.000352,1.220099
0.416065,0.017632,0.737026,0.000736,0.014176,0.000352,0.001600,0.001088,0.000416,1.196323
0.415937,0.017760,0.762211,0.000704,0.014240,0.000384,0.001600,0.001024,0.000384,1.221764
0.416001,0.017792,0.737667,0.000896,0.014240,0.000416,0.001600,0.001120,0.000384,1.197700
0.415841,0.017441,0.732482,0.000704,0.013984,0.000608,0.001632,0.001088,0.000352,1.191300
0.415905,0.017345,0.744034,0.000832,0.013952,0.000608,0.001536,0.000960,0.000384,1.202788
0.415841,0.017408,0.725570,0.000736,0.013856,0.000384,0.001536,0.001088,0.000384,1.183364
0.415873,0.017344,0.727267,0.000736,0.013856,0.000352,0.001440,0.000992,0.000416,1.185316
0.432545,0.017473,0.727362,0.000640,0.014208,0.000352,0.001536,0.001056,0.000416,1.202116
0.415873,0.017697,0.723490,0.000704,0.014080,0.000416,0.001600,0.001184,0.000384,1.183108
0.416033,0.017505,0.728130,0.000768,0.013984,0.000352,0.001504,0.001056,0.000576,1.186564
0.416129,0.017408,0.744291,0.000736,0.013824,0.000416,0.001504,0.000992,0.000800,1.203716
0.415201,0.017440,0.718306,0.000736,0.013856,0.000352,0.001473,0.000960,0.000352,1.175556
0.415841,0.017664,0.749891,0.000800,0.014144,0.000384,0.001696,0.001120,0.000384,1.209508
0.415841,0.017568,0.721378,0.000736,0.013888,0.000352,0.001536,0.001088,0.000384,1.179491
0.415585,0.017472,0.712610,0.000704,0.013856,0.000608,0.001536,0.001024,0.000352,1.170499
0.415489,0.017824,0.764994,0.000960,0.014497,0.000384,0.001600,0.001632,0.000384,1.224644
0.415457,0.017472,0.729634,0.000800,0.013888,0.000352,0.001472,0.001088,0.000416,1.187939
0.415489,0.017600,0.730562,0.000800,0.013888,0.000416,0.001536,0.001056,0.000352,1.188292
0.416193,0.017472,0.753922,0.000864,0.014144,0.000384,0.001504,0.001088,0.000576,1.215428
