Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
9.214224,0.001473,0.003712,0.015968,0.000640,9.243377
1.767331,0.001216,0.003712,0.001952,0.000608,1.781827
1.753795,0.001216,0.003232,0.001472,0.000384,1.765827
1.737123,0.000832,0.003040,0.001280,0.000320,1.747747
1.788867,0.000832,0.002976,0.001184,0.000384,1.800611
1.774979,0.000800,0.002432,0.001152,0.000416,1.784867
1.764131,0.000832,0.003232,0.001024,0.000320,1.775107
1.754755,0.000640,0.002208,0.001120,0.000416,1.763971
1.742883,0.000768,0.003392,0.000992,0.000352,1.753955
1.756228,0.000704,0.002208,0.000928,0.000384,1.765188
1.747491,0.000736,0.002272,0.000960,0.000416,1.757379
1.776356,0.000704,0.002400,0.001408,0.000352,1.786628
1.747363,0.000864,0.003360,0.001184,0.000352,1.758339
1.755875,0.000704,0.002112,0.000928,0.000384,1.764771
1.769283,0.000704,0.003264,0.000992,0.000384,1.779971
1.705667,0.000672,0.002176,0.000992,0.000352,1.714467
1.730628,0.000800,0.003456,0.001088,0.000448,1.742596
1.703619,0.000672,0.002176,0.000992,0.000384,1.712643
1.789347,0.000800,0.002400,0.000960,0.000416,1.798947
1.759971,0.000704,0.002112,0.000960,0.000416,1.768579
1.802435,0.000800,0.003488,0.000992,0.000384,1.813987
1.714819,0.000672,0.002368,0.001088,0.000384,1.725379
1.799555,0.000800,0.003296,0.001152,0.000352,1.810819
1.757604,0.000736,0.002368,0.001056,0.000352,1.768612
1.781540,0.000800,0.003456,0.001120,0.000416,1.792292
1.756771,0.000736,0.002464,0.001088,0.000416,1.768003
1.748547,0.000832,0.003552,0.001088,0.000416,1.759843
1.727715,0.000704,0.002400,0.001056,0.000352,1.737923
1.754947,0.000736,0.002624,0.001056,0.000416,1.765091
1.722083,0.000704,0.002368,0.001056,0.000448,1.731459
1.765444,0.000864,0.003584,0.001312,0.000416,1.778340
1.761060,0.000672,0.002176,0.001216,0.000384,1.770596
1.756100,0.000800,0.003424,0.001056,0.000352,1.767140
1.755779,0.000672,0.002272,0.001088,0.000320,1.765603
1.765443,0.000736,0.002752,0.001120,0.000352,1.776131
1.711299,0.000640,0.002176,0.001088,0.000352,1.720291
1.783459,0.000736,0.003392,0.001120,0.000384,1.794339
1.730467,0.000640,0.002368,0.001120,0.000352,1.739779
1.786179,0.000768,0.003616,0.001152,0.000416,1.798147
1.759843,0.000672,0.002336,0.001184,0.000416,1.769379
1.790723,0.000800,0.002976,0.001184,0.000352,1.802307
1.724995,0.000736,0.002368,0.001184,0.000384,1.735683
1.768964,0.000736,0.002368,0.001088,0.000384,1.777668
1.760355,0.000736,0.002272,0.001088,0.000384,1.769571
1.743843,0.000768,0.002112,0.001056,0.000352,1.752483
1.724451,0.000640,0.002304,0.001088,0.000384,1.733379
1.748228,0.000832,0.003200,0.001280,0.000352,1.759780
1.737123,0.000768,0.002688,0.001024,0.000384,1.747523
1.773123,0.000832,0.003168,0.001184,0.000416,1.785027
1.763555,0.000737,0.002464,0.001120,0.000352,1.773732
1.774211,0.000896,0.003040,0.001312,0.000384,1.786755
1.732835,0.000800,0.002496,0.001024,0.000320,1.742275
1.782147,0.000800,0.003456,0.001088,0.000384,1.793155
1.731331,0.000640,0.002336,0.001120,0.000384,1.740963
1.766308,0.000800,0.003392,0.001120,0.000384,1.777316
1.729475,0.000704,0.002368,0.001056,0.000320,1.738915
1.789924,0.000736,0.002176,0.001120,0.000384,1.799524
1.716771,0.000768,0.003360,0.001088,0.000416,1.727715
1.795012,0.000832,0.003360,0.001120,0.000384,1.806212
1.726403,0.000704,0.002368,0.001088,0.000384,1.735459
1.810020,0.000800,0.002400,0.001088,0.000352,1.820132
1.736675,0.000736,0.002368,0.001184,0.000384,1.746563
1.790083,0.000800,0.003488,0.001056,0.000352,1.801251
1.732611,0.000768,0.002240,0.001056,0.000384,1.741987
1.793603,0.000832,0.002176,0.001088,0.000416,1.803267
1.729667,0.000704,0.002368,0.001088,0.000352,1.738979
1.733987,0.000768,0.002240,0.001024,0.000384,1.743139
1.728739,0.000704,0.002400,0.000992,0.000384,1.737763
1.765571,0.000832,0.003264,0.001056,0.000384,1.776419
1.725027,0.000704,0.002304,0.001024,0.000352,1.734115
1.770499,0.000736,0.002336,0.001088,0.000416,1.780451
1.761923,0.000800,0.003584,0.001248,0.000480,1.774339
1.784003,0.000864,0.003328,0.001440,0.000352,1.796291
1.735651,0.000896,0.002496,0.001120,0.000320,1.745539
1.815299,0.000864,0.003488,0.001056,0.000384,1.827171
1.762243,0.000800,0.002400,0.001088,0.000384,1.771587
1.789027,0.000832,0.003008,0.001152,0.000384,1.800547
1.768771,0.000672,0.002368,0.001088,0.000384,1.778339
1.754435,0.000704,0.002400,0.001152,0.000320,1.763939
1.762019,0.000672,0.002496,0.001216,0.000352,1.771843
1.798115,0.000832,0.003040,0.001088,0.000416,1.809635
1.721123,0.000736,0.002624,0.001120,0.000384,1.732387
1.738467,0.000672,0.002368,0.001120,0.000448,1.749635
1.729795,0.000672,0.002304,0.001152,0.000384,1.739363
1.794148,0.000736,0.002656,0.001184,0.000384,1.805796
1.761923,0.000640,0.002432,0.001120,0.000352,1.772611
1.785347,0.000832,0.002368,0.001184,0.000384,1.798083
1.755363,0.000704,0.003296,0.001056,0.000352,1.766467
1.776515,0.000768,0.003232,0.001120,0.000352,1.788835
1.736195,0.000736,0.002560,0.001056,0.000352,1.746371
1.800612,0.000800,0.002400,0.001088,0.000384,1.811524
1.758531,0.000736,0.002592,0.001120,0.000320,1.769059
1.796867,0.000864,0.002656,0.001024,0.000384,1.807587
1.734563,0.000768,0.002336,0.001120,0.000352,1.744515
1.773219,0.000800,0.002336,0.001120,0.000352,1.784707
1.750403,0.000768,0.002368,0.001152,0.000416,1.760099
1.785347,0.000864,0.002912,0.001088,0.000384,1.797315
1.772131,0.000800,0.003008,0.001088,0.000352,1.783331
1.735492,0.000832,0.002880,0.001056,0.000384,1.747332
1.750979,0.000736,0.002432,0.001056,0.000416,1.761187
1.775555,0.000864,0.002464,0.001088,0.000352,1.786403
1.745955,0.000704,0.003136,0.001088,0.000384,1.756899
1.828548,0.000864,0.002880,0.001056,0.000448,1.840964
1.765443,0.000704,0.002432,0.001120,0.000416,1.775587
1.761539,0.000864,0.002880,0.001088,0.000416,1.773411
1.746915,0.000832,0.002464,0.001056,0.000352,1.757219
1.755427,0.000864,0.002464,0.001120,0.000352,1.767651
1.759427,0.000640,0.002496,0.001056,0.000448,1.769251
1.772067,0.000864,0.003392,0.001088,0.000384,1.784035
1.759651,0.000992,0.002496,0.001056,0.000416,1.771395
1.822563,0.000864,0.002432,0.001248,0.000384,1.833923
1.724739,0.000704,0.002816,0.001088,0.000384,1.735715
1.800803,0.000704,0.002432,0.001120,0.000352,1.810563
1.775844,0.000832,0.002464,0.001152,0.000384,1.788356
1.749539,0.000736,0.002240,0.001024,0.000384,1.759075
1.749123,0.000768,0.002464,0.001120,0.000384,1.759459
1.779683,0.000800,0.002400,0.001152,0.000416,1.789571
1.772547,0.000704,0.002368,0.001120,0.000352,1.781892
1.767971,0.000960,0.004257,0.001856,0.000576,1.782116
1.758499,0.000896,0.002656,0.001184,0.000416,1.769475
1.778659,0.000896,0.002528,0.001312,0.000320,1.788899
1.764867,0.000960,0.003488,0.001120,0.000384,1.777155
1.770467,0.000768,0.002624,0.001152,0.000416,1.780835
1.814148,0.000992,0.002592,0.001120,0.000416,1.825156
1.787076,0.001120,0.002688,0.001152,0.000352,1.798596
1.756420,0.001216,0.003328,0.001152,0.000352,1.768676
1.765156,0.000736,0.002528,0.001216,0.000352,1.775428
1.768324,0.000832,0.002592,0.001120,0.000384,1.779428
1.737379,0.000736,0.002400,0.001280,0.000384,1.747811
1.755811,0.001120,0.002624,0.001248,0.000352,1.767555
1.719332,0.000832,0.002528,0.001120,0.000416,1.729764
