Layer[0],Layer[1],Layer[2],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.510658,0.018368,0.205120,0.247649,0.000832,0.002880,0.011488,0.000800,1.006595
0.417473,0.018176,0.202913,0.251489,0.000832,0.002688,0.001696,0.000832,0.903555
0.417346,0.017504,0.216992,0.246657,0.000960,0.002016,0.001440,0.000608,0.910947
0.415969,0.017312,0.203041,0.252736,0.000960,0.002144,0.001536,0.000416,0.901986
0.417057,0.017472,0.202593,0.269025,0.000864,0.002336,0.001536,0.000384,0.919043
0.416546,0.017536,0.203168,0.261825,0.000832,0.002208,0.001216,0.000352,0.911171
0.415777,0.017280,0.202657,0.252832,0.000896,0.002176,0.001504,0.000384,0.899938
0.416673,0.017696,0.202753,0.257281,0.000800,0.002080,0.001248,0.000384,0.906595
0.415585,0.017408,0.202881,0.255873,0.000736,0.002816,0.001184,0.000320,0.903267
0.436513,0.017568,0.203072,0.259585,0.000768,0.002208,0.001632,0.000384,0.928898
0.414337,0.017344,0.202241,0.255232,0.000800,0.002432,0.001152,0.000352,0.900259
0.415521,0.017376,0.202465,0.256641,0.000704,0.002080,0.000928,0.000416,0.903139
0.415425,0.017344,0.202432,0.261057,0.000736,0.015936,0.001344,0.000384,0.921186
0.415681,0.017312,0.202497,0.247904,0.000832,0.002048,0.001056,0.000384,0.894402
0.416033,0.017344,0.202113,0.263297,0.000800,0.002144,0.000960,0.000352,0.909891
0.416066,0.017664,0.203424,0.257857,0.000704,0.002240,0.000992,0.000352,0.906147
0.450337,0.017344,0.202497,0.271648,0.000736,0.002176,0.000928,0.000416,0.952322
0.415745,0.017472,0.202913,0.252865,0.000768,0.002016,0.000960,0.000576,0.899875
0.415234,0.017280,0.202272,0.252545,0.000704,0.002016,0.000960,0.000352,0.897475
0.414913,0.017344,0.202080,0.284993,0.000704,0.002080,0.000960,0.000352,0.929762
0.416065,0.017536,0.202401,0.258081,0.000736,0.002080,0.001056,0.000384,0.904739
0.416673,0.017472,0.202177,0.259969,0.000800,0.002176,0.000960,0.000384,0.906979
0.416257,0.017248,0.202752,0.250209,0.000832,0.002240,0.000928,0.000384,0.897090
0.432417,0.017344,0.202369,0.270720,0.000832,0.002816,0.000992,0.000384,0.936226
0.415649,0.017344,0.202817,0.271937,0.000800,0.002208,0.000960,0.000608,0.919587
0.415618,0.017408,0.202368,0.268481,0.000704,0.002240,0.001024,0.000544,0.915491
0.414305,0.017344,0.202145,0.300736,0.000896,0.002624,0.001024,0.000416,0.946626
0.415905,0.017344,0.202497,0.265377,0.000832,0.002304,0.001600,0.000384,0.913251
