Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.523873,0.017504,0.205825,0.004928,0.047872,0.000800,0.165952,0.002848,0.013728,0.000640,0.992386
0.417825,0.017440,0.203649,0.005248,0.047136,0.000608,0.191169,0.002496,0.001536,0.000384,0.894851
0.417825,0.017504,0.204289,0.004896,0.047872,0.000768,0.197856,0.002432,0.001248,0.000576,0.902914
0.416098,0.017248,0.203968,0.005248,0.049184,0.000832,0.189953,0.002400,0.000992,0.000352,0.893763
0.437473,0.017472,0.203617,0.004800,0.049568,0.000800,0.184065,0.002208,0.001056,0.000384,0.908611
0.416481,0.017376,0.203105,0.004832,0.048352,0.000800,0.199680,0.002208,0.000961,0.000384,0.900515
0.415617,0.017632,0.202656,0.004896,0.048289,0.000800,0.186752,0.002432,0.001056,0.000384,0.886882
0.416033,0.017377,0.202688,0.004800,0.048096,0.000768,0.246753,0.003360,0.000992,0.000384,0.949347
0.416001,0.017344,0.203137,0.004832,0.048448,0.000864,0.172737,0.002080,0.000896,0.000320,0.873347
0.416545,0.017216,0.202625,0.004768,0.048992,0.000736,0.200224,0.002944,0.001184,0.000352,0.905186
0.417409,0.017376,0.202560,0.004864,0.047905,0.000800,0.199968,0.003072,0.001312,0.000384,0.903522
0.434498,0.017472,0.203040,0.004896,0.047648,0.000864,0.195137,0.002496,0.001312,0.000384,0.915971
0.416577,0.017504,0.202465,0.004832,0.047264,0.000800,0.192609,0.002368,0.001344,0.000416,0.893571
0.416897,0.017312,0.202465,0.004992,0.047328,0.000768,0.231329,0.002400,0.001376,0.000384,0.932963
0.416257,0.017600,0.202817,0.004768,0.047360,0.000832,0.223904,0.002240,0.001216,0.000448,0.925058
0.415969,0.017472,0.202368,0.004736,0.047297,0.000800,0.195936,0.002304,0.001312,0.000384,0.896066
0.417186,0.017664,0.201856,0.004896,0.047424,0.000800,0.198657,0.002176,0.001312,0.000384,0.899683
0.415809,0.017280,0.202785,0.004832,0.047360,0.000800,0.188097,0.002112,0.001184,0.000384,0.888419
0.434017,0.017472,0.202721,0.004896,0.047168,0.000832,0.212576,0.002144,0.001312,0.000416,0.932226
0.416193,0.017536,0.202560,0.004865,0.048064,0.000832,0.211136,0.002464,0.001280,0.000384,0.913506
0.416482,0.017728,0.202496,0.004832,0.048032,0.000768,0.194689,0.002368,0.001088,0.000384,0.896931
0.416225,0.017408,0.202273,0.004768,0.047200,0.000832,0.215649,0.002080,0.001216,0.000384,0.916483
0.417409,0.017504,0.202465,0.004800,0.047392,0.000832,0.211745,0.002144,0.001440,0.000384,0.913507
0.416289,0.017312,0.202785,0.005248,0.048000,0.000800,0.207072,0.002112,0.001184,0.000384,0.909026
0.416353,0.017696,0.202976,0.004832,0.050369,0.000768,0.200160,0.002112,0.001184,0.000384,0.904322
0.431586,0.018048,0.203584,0.004800,0.049088,0.000576,0.189569,0.002112,0.001088,0.000416,0.908963
0.416097,0.017216,0.202913,0.004800,0.048512,0.000576,0.205441,0.002112,0.001312,0.000384,0.906915
