Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
9.160676,0.005952,0.049120,0.000640,0.013504,0.000352,0.001376,0.002048,0.000576,9.241316
1.706433,0.006016,0.049760,0.000608,0.013920,0.000352,0.001600,0.001728,0.000384,1.788289
1.712833,0.006016,0.050176,0.000832,0.014400,0.000352,0.001824,0.001600,0.000352,1.796385
1.705313,0.005888,0.049248,0.000800,0.014624,0.000384,0.001824,0.002016,0.000608,1.789121
1.673345,0.005600,0.048992,0.000800,0.014176,0.000384,0.001600,0.001888,0.000384,1.753921
1.703233,0.005600,0.049216,0.000768,0.013696,0.000352,0.001568,0.001536,0.000416,1.784769
1.704001,0.005632,0.049216,0.000608,0.013664,0.000320,0.001536,0.001312,0.000384,1.783457
1.731425,0.005472,0.048704,0.000608,0.013888,0.000352,0.001600,0.001120,0.000352,1.811425
1.669281,0.005408,0.048576,0.000640,0.013536,0.000352,0.001408,0.001472,0.000384,1.747553
1.729857,0.005600,0.049248,0.000640,0.013504,0.000384,0.001472,0.000992,0.000384,1.809537
1.672801,0.005280,0.050880,0.000832,0.013504,0.000352,0.001472,0.001184,0.000384,1.753441
1.711873,0.011552,0.048896,0.000800,0.013888,0.000352,0.001440,0.001376,0.000416,1.798337
1.703041,0.005504,0.048768,0.000896,0.013664,0.000384,0.001440,0.001440,0.000416,1.781857
1.700801,0.005824,0.049120,0.000800,0.013824,0.000384,0.001440,0.001504,0.000416,1.782945
1.702721,0.005504,0.048448,0.000704,0.014112,0.000416,0.001728,0.001536,0.000384,1.782593
1.699521,0.005472,0.048736,0.000608,0.014016,0.000416,0.001632,0.001440,0.000384,1.780705
1.688801,0.005632,0.048608,0.000608,0.013888,0.000352,0.001536,0.001472,0.000416,1.768065
1.691201,0.005536,0.048832,0.000832,0.014080,0.000384,0.001536,0.001216,0.000416,1.771969
1.666689,0.005408,0.048512,0.000832,0.013952,0.000384,0.001568,0.001248,0.000416,1.745441
1.746401,0.005600,0.048576,0.000800,0.013632,0.000384,0.001536,0.001120,0.000352,1.825249
1.734497,0.005632,0.049216,0.000800,0.014432,0.000416,0.001536,0.001408,0.000384,1.815329
1.699873,0.005888,0.049824,0.000864,0.014496,0.000352,0.001504,0.001760,0.000608,1.784001
1.689536,0.008000,0.049600,0.000800,0.034880,0.000928,0.001696,0.001472,0.000416,1.795328
1.713856,0.005760,0.049728,0.000832,0.014240,0.000384,0.001568,0.001248,0.000384,1.795200
1.722241,0.008064,0.049600,0.000800,0.014464,0.000384,0.001792,0.001312,0.000384,1.806017
1.681505,0.005344,0.048704,0.000800,0.013856,0.000352,0.001600,0.001440,0.000416,1.760513
1.707073,0.005408,0.048704,0.000832,0.013856,0.000352,0.001472,0.001152,0.000384,1.785921
1.702593,0.005344,0.048768,0.000832,0.013792,0.000352,0.001440,0.001664,0.000448,1.782113
1.715041,0.005632,0.049312,0.000864,0.013600,0.000384,0.001472,0.001216,0.000384,1.794625
1.724961,0.005696,0.048672,0.000832,0.013728,0.000320,0.001440,0.001216,0.000384,1.804097
1.693089,0.005600,0.048736,0.000864,0.013792,0.000352,0.001696,0.001280,0.000384,1.772545
1.667841,0.005536,0.049280,0.000864,0.014016,0.000352,0.001600,0.001472,0.000384,1.748641
1.685408,0.005568,0.049248,0.000832,0.013632,0.000352,0.001536,0.001600,0.000416,1.765408
1.704353,0.005600,0.049536,0.000832,0.013568,0.000320,0.001536,0.001280,0.000384,1.784705
1.703105,0.008224,0.049088,0.000832,0.013504,0.000384,0.001504,0.001152,0.000416,1.785313
1.717313,0.005664,0.049056,0.000832,0.013440,0.000384,0.001504,0.001536,0.000384,1.796961
1.743297,0.005408,0.048896,0.000800,0.013632,0.000416,0.001504,0.001184,0.000352,1.822657
1.672001,0.005344,0.048928,0.000832,0.013376,0.000352,0.001440,0.001408,0.000384,1.751297
1.734817,0.006368,0.048928,0.000832,0.013504,0.000384,0.001472,0.001664,0.000416,1.815905
1.733504,0.005824,0.049057,0.000832,0.013728,0.000384,0.001536,0.001888,0.000384,1.814337
1.754017,0.005504,0.049184,0.000832,0.013600,0.000384,0.001440,0.001152,0.000384,1.833665
1.686944,0.005568,0.048704,0.000832,0.013792,0.000352,0.001472,0.001248,0.000352,1.766304
1.703841,0.005760,0.048896,0.000864,0.014560,0.000320,0.001600,0.001184,0.000384,1.784897
1.684001,0.005728,0.048832,0.000832,0.013888,0.000384,0.001472,0.001536,0.000384,1.764033
1.706017,0.005408,0.049344,0.000832,0.014976,0.000416,0.001600,0.001408,0.000352,1.787745
1.716225,0.005600,0.049376,0.000800,0.013728,0.000384,0.001504,0.001280,0.000416,1.795521
1.720257,0.005472,0.049216,0.000864,0.013664,0.000320,0.001472,0.001216,0.000384,1.799937
1.677121,0.005760,0.048736,0.000864,0.013472,0.000352,0.001504,0.001312,0.000416,1.756513
1.743617,0.005792,0.049024,0.000864,0.014272,0.000448,0.001920,0.001440,0.000384,1.824929
1.715361,0.005504,0.049152,0.000832,0.013984,0.000352,0.001696,0.001152,0.000352,1.794913
1.727104,0.005952,0.049313,0.000832,0.013888,0.000384,0.001728,0.001408,0.000384,1.808737
1.707936,0.005696,0.049344,0.000864,0.014400,0.000384,0.001824,0.001184,0.000576,1.789152
1.712225,0.005760,0.049312,0.000832,0.013696,0.000352,0.001728,0.001408,0.000384,1.793537
1.667873,0.005664,0.049024,0.000800,0.014272,0.000384,0.001664,0.001728,0.000384,1.748257
1.708161,0.005600,0.049056,0.000832,0.013856,0.000352,0.001728,0.001344,0.000576,1.788289
1.711297,0.005408,0.048736,0.000832,0.014144,0.000352,0.001568,0.001120,0.000608,1.790721
1.692033,0.005920,0.049216,0.000800,0.013728,0.000352,0.001568,0.001152,0.000576,1.772289
1.662593,0.005504,0.048704,0.000864,0.014368,0.000416,0.001568,0.001280,0.000608,1.742401
1.725185,0.005504,0.049440,0.000864,0.013760,0.000352,0.001536,0.001056,0.000608,1.805281
1.703041,0.005536,0.048576,0.000864,0.014048,0.000352,0.001536,0.001088,0.000384,1.782241
1.704289,0.005440,0.048800,0.001024,0.013824,0.000384,0.001408,0.001312,0.000384,1.783841
1.657441,0.005408,0.048960,0.000832,0.013760,0.000352,0.001728,0.001376,0.000352,1.736289
1.708545,0.005504,0.049248,0.001024,0.013984,0.000352,0.001408,0.001280,0.000416,1.789953
1.685761,0.005536,0.048480,0.000832,0.013536,0.000352,0.001504,0.001312,0.000384,1.763937
1.703105,0.005600,0.050016,0.001056,0.013440,0.000320,0.001408,0.001440,0.000384,1.783265
1.703072,0.005632,0.048928,0.000832,0.013728,0.000320,0.001440,0.001536,0.000384,1.782528
1.702721,0.005568,0.048896,0.000832,0.013408,0.000384,0.001440,0.001216,0.000384,1.781377
1.709153,0.005568,0.048896,0.000864,0.013888,0.000352,0.001600,0.001504,0.000384,1.788705
1.668257,0.005440,0.049024,0.000864,0.014048,0.000384,0.001632,0.001344,0.000416,1.747809
1.673857,0.005408,0.048384,0.000800,0.013440,0.000416,0.001440,0.001248,0.000384,1.751809
1.672257,0.005408,0.048544,0.000896,0.013696,0.000416,0.001536,0.001664,0.000384,1.751393
1.688609,0.008256,0.048896,0.000800,0.013792,0.000544,0.001728,0.001216,0.000384,1.770785
1.707425,0.005888,0.049312,0.000832,0.014400,0.000352,0.001632,0.001376,0.000672,1.789953
1.694081,0.005472,0.051168,0.000832,0.013856,0.000352,0.001504,0.001536,0.000576,1.776129
1.675201,0.005536,0.049408,0.000800,0.013760,0.000352,0.001728,0.001024,0.000320,1.754273
1.682401,0.005472,0.049472,0.000896,0.014496,0.000352,0.001568,0.001696,0.000384,1.763329
1.704257,0.005504,0.048704,0.000864,0.013952,0.000384,0.001536,0.001376,0.000352,1.783489
1.688769,0.005472,0.067008,0.000864,0.014784,0.000576,0.001792,0.001728,0.000384,1.788001
1.692001,0.005312,0.048864,0.000832,0.013376,0.000416,0.001440,0.001472,0.000416,1.770625
1.669345,0.005344,0.068576,0.000832,0.013760,0.000416,0.001440,0.001632,0.000384,1.768577
1.659425,0.005376,0.049664,0.000928,0.013632,0.000352,0.001472,0.001248,0.000384,1.739169
1.675969,0.005440,0.066944,0.000928,0.013536,0.000384,0.001504,0.001440,0.000352,1.773313
1.682465,0.005472,0.049568,0.000864,0.014080,0.000384,0.001792,0.001344,0.000384,1.763649
1.703201,0.012544,0.048544,0.000864,0.013984,0.000384,0.001664,0.001152,0.000416,1.789345
1.675425,0.005504,0.049440,0.000832,0.014752,0.000352,0.001536,0.001920,0.000384,1.756737
1.712481,0.005888,0.048800,0.000864,0.013728,0.000352,0.001568,0.001120,0.000384,1.792193
1.659713,0.005440,0.048960,0.000832,0.013728,0.000352,0.001600,0.001472,0.000448,1.739169
1.741441,0.008992,0.048480,0.000896,0.013568,0.000352,0.001568,0.001056,0.000384,1.823169
1.666689,0.005504,0.048512,0.000864,0.013408,0.000416,0.001504,0.001312,0.000384,1.745345
1.746817,0.005792,0.048672,0.000800,0.013472,0.000384,0.001568,0.001152,0.000384,1.825857
1.686913,0.005344,0.049088,0.001024,0.013376,0.000352,0.001472,0.001440,0.000384,1.766209
1.708481,0.006848,0.049216,0.000832,0.013728,0.000384,0.001504,0.001472,0.000384,1.791073
1.683617,0.005440,0.048960,0.000832,0.013824,0.000384,0.001472,0.001600,0.000352,1.763233
1.689889,0.005472,0.048288,0.000864,0.013824,0.000384,0.001440,0.001440,0.000448,1.768897
1.664320,0.005472,0.049056,0.000832,0.014016,0.000352,0.001536,0.001408,0.000384,1.743584
1.700353,0.005376,0.048704,0.000832,0.013408,0.000352,0.001440,0.001056,0.000384,1.778497
1.680065,0.005344,0.048192,0.000832,0.014016,0.000384,0.001440,0.001152,0.000384,1.758081
1.750113,0.005440,0.048704,0.000864,0.013472,0.000384,0.001440,0.001056,0.000384,1.828865
1.672705,0.005600,0.049088,0.000832,0.013536,0.000416,0.001536,0.001600,0.000384,1.752097
1.749377,0.005344,0.048256,0.000864,0.013376,0.000320,0.001408,0.001120,0.000352,1.827233
1.698529,0.005376,0.049024,0.000832,0.013472,0.000384,0.001472,0.001120,0.000416,1.776801
