Layer[0],Layer[1],Layer[2],Layer[3],Layer[8],Layer[9],Layer[10],classifier
0.511490,0.018208,0.206240,0.004864,0.217473,0.002464,0.000640,0.970243
0.418273,0.017568,0.223873,0.005184,0.245440,0.001824,0.000384,0.920354
0.421922,0.017600,0.202784,0.004832,0.251393,0.001472,0.000384,0.906883
0.420865,0.017472,0.203777,0.004832,0.255361,0.001248,0.000384,0.910467
0.423521,0.018304,0.209121,0.004992,0.376225,0.003072,0.001056,1.053987
0.420130,0.018048,0.204160,0.005056,0.272193,0.002592,0.000640,0.934339
0.417281,0.017792,0.202528,0.005056,0.258497,0.001632,0.000448,0.911395
0.416385,0.017504,0.202753,0.004896,0.250113,0.001344,0.000416,0.900131
0.433281,0.017312,0.202465,0.004864,0.262656,0.001280,0.000448,0.928674
0.415586,0.017632,0.202144,0.004992,0.255297,0.001344,0.000480,0.904451
0.420417,0.017440,0.203137,0.005024,0.248385,0.001344,0.000416,0.902691
0.421089,0.017664,0.221185,0.005120,0.255137,0.001376,0.000352,0.928035
0.416737,0.017632,0.201952,0.004865,0.249024,0.001664,0.000512,0.899074
0.416514,0.017664,0.201984,0.004864,0.277537,0.001280,0.000448,0.926595
0.416225,0.017696,0.202209,0.004864,0.240801,0.001344,0.000480,0.890179
0.415777,0.017600,0.202113,0.005056,0.258560,0.001408,0.000448,0.907266
0.416033,0.017664,0.202016,0.005024,0.247649,0.001408,0.000384,0.896450
0.416801,0.017473,0.202272,0.004800,0.240545,0.001280,0.000416,0.890051
0.416737,0.017472,0.220769,0.005376,0.255905,0.001280,0.000384,0.924451
0.417441,0.017472,0.202016,0.005056,0.249953,0.001280,0.000416,0.900130
0.416130,0.017536,0.203328,0.004928,0.251553,0.001184,0.000416,0.901251
0.416417,0.017632,0.201953,0.004896,0.236832,0.001216,0.000384,0.885730
0.418081,0.017536,0.203297,0.004928,0.248544,0.001440,0.000512,0.901314
0.416994,0.017504,0.202976,0.004992,0.249185,0.001280,0.000448,0.899651
0.416641,0.017568,0.202913,0.004896,0.239681,0.001248,0.000416,0.890051
0.416545,0.017568,0.220737,0.005696,0.261376,0.001408,0.000512,0.930306
0.415330,0.017632,0.202272,0.005024,0.238849,0.001344,0.000480,0.887075
0.416353,0.017600,0.203073,0.004896,0.243457,0.001408,0.000480,0.893571
0.415521,0.017472,0.202337,0.004928,0.258848,0.001344,0.000480,0.907106
0.416353,0.017536,0.202432,0.004928,0.259265,0.001312,0.000512,0.909730
0.419874,0.017504,0.202272,0.004864,0.264417,0.001376,0.000416,0.916963
0.416577,0.017792,0.202433,0.004960,0.259649,0.001312,0.000384,0.909731
0.418561,0.033760,0.205889,0.005024,0.271265,0.001312,0.000448,0.944611
0.417249,0.017728,0.202625,0.005024,0.252480,0.001344,0.000480,0.904130
0.415874,0.017632,0.202336,0.004896,0.241089,0.001312,0.000448,0.890339
0.420801,0.017472,0.202529,0.005024,0.252225,0.001312,0.000416,0.906307
0.416737,0.017504,0.202337,0.004896,0.255041,0.001440,0.000416,0.905539
0.420513,0.017696,0.202465,0.004800,0.246592,0.001440,0.000384,0.900514
0.415841,0.017440,0.202368,0.004864,0.242817,0.001280,0.000384,0.891394
0.439905,0.017696,0.202625,0.004928,0.254369,0.001280,0.000448,0.927907
0.415713,0.017504,0.205185,0.004832,0.257888,0.001472,0.000512,0.909698
0.416449,0.017536,0.202688,0.005280,0.252865,0.001248,0.000384,0.902722
0.416098,0.017824,0.202176,0.004800,0.280321,0.001408,0.000416,0.930883
0.420865,0.017536,0.202337,0.004832,0.253825,0.001312,0.000448,0.907459
0.416353,0.017440,0.202049,0.004864,0.278528,0.001376,0.000448,0.927202
0.416193,0.017536,0.202272,0.004864,0.253249,0.001280,0.000448,0.902402
0.432866,0.017632,0.202016,0.004864,0.254081,0.001248,0.000384,0.919555
0.422497,0.017600,0.201889,0.004896,0.251105,0.001376,0.000416,0.905859
0.420385,0.017472,0.202273,0.004896,0.240640,0.001312,0.000416,0.893154
0.420450,0.018112,0.201920,0.004896,0.271201,0.001344,0.000448,0.924675
0.420769,0.017472,0.202113,0.004832,0.249729,0.001248,0.000384,0.902563
0.416225,0.017600,0.201985,0.004768,0.244960,0.001216,0.000384,0.893410
0.416994,0.017792,0.202080,0.004832,0.245697,0.001440,0.000480,0.896323
0.429313,0.017568,0.202369,0.004896,0.252641,0.001312,0.000480,0.914723
0.416257,0.017440,0.202465,0.004896,0.251808,0.001344,0.000448,0.900962
0.420001,0.017472,0.202080,0.004896,0.251425,0.001344,0.000480,0.903874
0.416449,0.017536,0.220832,0.005248,0.241345,0.001440,0.000384,0.909986
0.420865,0.017472,0.201825,0.004832,0.249857,0.001376,0.000416,0.903011
0.415521,0.017664,0.201921,0.004832,0.255232,0.001408,0.000384,0.903426
0.415841,0.017664,0.202208,0.004832,0.254241,0.001312,0.000416,0.903106
0.438178,0.017472,0.202272,0.004864,0.261313,0.001312,0.000384,0.932707
0.415809,0.017504,0.202305,0.004800,0.256769,0.001248,0.000480,0.905283
0.416001,0.017696,0.202593,0.004864,0.258144,0.001408,0.000480,0.908290
0.416289,0.017568,0.221792,0.005216,0.256801,0.001280,0.000704,0.926658
0.420578,0.017504,0.202752,0.004896,0.254721,0.001376,0.000416,0.908771
0.416865,0.017600,0.202209,0.004992,0.254913,0.001312,0.000544,0.904835
0.420673,0.017632,0.202305,0.004960,0.254848,0.001280,0.000480,0.908706
0.416225,0.017568,0.202208,0.004896,0.256001,0.001344,0.000416,0.905026
0.420610,0.017536,0.202048,0.005024,0.245569,0.001280,0.000480,0.899395
0.415681,0.017600,0.202209,0.004800,0.243809,0.001280,0.000480,0.892163
0.438113,0.017600,0.202273,0.005120,0.250144,0.001344,0.000448,0.922210
0.416545,0.017728,0.202560,0.004864,0.252705,0.001344,0.000416,0.902658
0.417441,0.017664,0.203297,0.005152,0.260577,0.001376,0.000448,0.913443
0.416385,0.017888,0.202817,0.004864,0.246753,0.001344,0.000448,0.896931
0.415969,0.018016,0.202657,0.004800,0.257120,0.001344,0.000448,0.906914
0.416321,0.017632,0.202656,0.004896,0.254913,0.001344,0.000416,0.904706
0.416353,0.017600,0.202561,0.004864,0.250849,0.001344,0.000448,0.900515
0.432961,0.017728,0.202881,0.004928,0.259937,0.001408,0.000480,0.927075
0.416161,0.017664,0.202273,0.004896,0.253024,0.001312,0.000448,0.901986
0.415874,0.017664,0.202240,0.004832,0.251009,0.001248,0.000448,0.899715
