Layer[0],Layer[8],Layer[9],Layer[10],classifier
0.419873,0.772450,0.001376,0.000385,1.198596
0.420385,0.782883,0.001440,0.000384,1.209412
0.416322,0.772674,0.001376,0.000416,1.196036
0.416066,0.812642,0.001376,0.000416,1.235972
0.416161,0.789698,0.001248,0.000416,1.213315
0.416673,0.758850,0.001312,0.000384,1.182499
0.422017,0.794434,0.001184,0.000384,1.222851
0.434849,0.772194,0.001376,0.000416,1.213763
0.416801,0.766882,0.001344,0.000384,1.190627
0.417249,0.759074,0.001248,0.000416,1.183043
0.437249,0.768387,0.001312,0.000384,1.212452
0.416898,0.768546,0.001440,0.000448,1.192420
0.416258,0.817826,0.001536,0.000512,1.241060
0.416545,0.819714,0.001248,0.000384,1.243107
0.421601,0.776770,0.001344,0.000480,1.205891
0.416769,0.795362,0.001376,0.000384,1.219107
0.416161,0.784195,0.001504,0.000352,1.207844
0.421218,0.778882,0.001472,0.000416,1.207716
0.452993,0.798050,0.001728,0.000480,1.260387
0.417473,0.775106,0.001536,0.000352,1.199747
0.421185,0.776930,0.001600,0.000416,1.205763
0.421986,0.761122,0.001440,0.000384,1.190052
0.420545,0.763714,0.001600,0.000352,1.191556
0.416737,0.796002,0.001536,0.000384,1.220131
0.417569,0.776482,0.001440,0.000416,1.201251
0.417281,0.808194,0.001472,0.000416,1.232707
0.420993,0.797283,0.001536,0.000448,1.226116
0.416642,0.808610,0.001376,0.000416,1.232484
0.416673,0.804994,0.001472,0.000448,1.228931
0.432865,0.780130,0.001664,0.000512,1.222115
0.417281,0.782563,0.001504,0.000416,1.206948
0.421025,0.808738,0.001472,0.000416,1.237699
0.416353,0.776098,0.001504,0.000416,1.199619
0.416449,0.816450,0.001536,0.000384,1.240643
0.417057,0.806275,0.001536,0.000416,1.231044
0.416257,0.763810,0.001472,0.000352,1.187331
0.420705,0.777954,0.001408,0.000416,1.205827
0.417153,0.810818,0.001536,0.000384,1.235075
0.416257,0.769762,0.001376,0.000352,1.193315
