Layer[0],Layer[1],Layer[2],Layer[10],classifier
0.518113,0.017888,0.206113,0.217088,1.025218
0.425025,0.017600,0.204193,0.213248,0.930338
0.452098,0.017600,0.203744,0.202817,0.945635
0.422081,0.017728,0.203361,0.205697,0.918435
0.421121,0.017824,0.202273,0.210048,0.917762
0.416194,0.018336,0.202272,0.209985,0.915651
0.422753,0.017664,0.203169,0.194816,0.904098
0.416610,0.017856,0.202464,0.225313,0.931651
0.416609,0.017600,0.202049,0.203713,0.909891
0.436737,0.017760,0.204193,0.208512,0.943106
0.417186,0.017632,0.203008,0.195105,0.904771
0.420897,0.017632,0.202497,0.204320,0.914595
0.422145,0.017600,0.234689,0.204896,0.953826
0.417794,0.017824,0.202720,0.204225,0.912451
0.418785,0.017600,0.203009,0.203328,0.912290
0.417794,0.017632,0.203104,0.213985,0.923299
0.416577,0.017632,0.202785,0.217633,0.922819
0.421281,0.017536,0.202337,0.211552,0.921666
0.417922,0.017568,0.203040,0.196097,0.903267
0.417601,0.017632,0.219745,0.207072,0.933411
0.417569,0.017600,0.202624,0.196193,0.910530
0.416193,0.017856,0.202529,0.192353,0.896547
0.421857,0.017664,0.202689,0.212800,0.923554
0.416546,0.017504,0.202752,0.200481,0.905763
0.420865,0.017472,0.201953,0.193056,0.901987
0.420577,0.017504,0.202624,0.212193,0.920898
0.437601,0.017504,0.202689,0.202593,0.931171
0.420321,0.017696,0.202177,0.191520,0.898466
0.417346,0.017472,0.202048,0.212481,0.919715
0.417409,0.017792,0.202497,0.206688,0.950627
0.415841,0.018784,0.202785,0.209376,0.918178
0.420546,0.018816,0.202528,0.217793,0.936035
0.416225,0.018464,0.202081,0.212256,0.918723
0.438945,0.018688,0.202176,0.208161,0.942754
0.421409,0.018465,0.202464,0.196737,0.906915
0.420513,0.018464,0.202369,0.200768,0.919778
0.420546,0.018688,0.220704,0.210049,0.942499
0.415617,0.018496,0.202337,0.199521,0.905251
0.419809,0.018624,0.202433,0.202240,0.911586
0.420289,0.018625,0.202368,0.205281,0.922307
0.420289,0.017696,0.203297,0.194176,0.905699
0.417505,0.017728,0.201856,0.203073,0.909890
0.417313,0.017728,0.202433,0.204384,0.915299
0.417473,0.017664,0.219905,0.195168,0.923266
0.415233,0.017569,0.202880,0.193505,0.896451
0.421505,0.017856,0.202337,0.200288,0.911554
0.416066,0.017824,0.202272,0.200833,0.908675
0.416161,0.017632,0.203073,0.199360,0.904835
0.421057,0.017696,0.201824,0.193025,0.901218
0.420481,0.017888,0.202561,0.195680,0.904771
0.415681,0.017600,0.221249,0.205568,0.930850
0.416225,0.017569,0.202400,0.200961,0.906627
0.420129,0.017472,0.202721,0.202464,0.911362
0.415810,0.017504,0.202112,0.202017,0.906179
0.416225,0.018016,0.202977,0.193920,0.897699
0.416001,0.017728,0.202080,0.203137,0.908866
0.416577,0.017504,0.202753,0.204001,0.912419
0.434657,0.017664,0.202337,0.199328,0.926210
0.416418,0.017664,0.202368,0.206977,0.913571
0.420609,0.017504,0.202017,0.203808,0.913571
0.420897,0.017632,0.202080,0.200097,0.935362
0.416353,0.017600,0.202113,0.191521,0.896099
0.421185,0.017568,0.202049,0.187584,0.896578
0.420322,0.017696,0.201920,0.200673,0.914755
0.435297,0.017792,0.202369,0.200480,0.926659
0.420961,0.017536,0.202368,0.203265,0.913634
0.420353,0.017472,0.202081,0.194657,0.902467
0.415553,0.017536,0.202081,0.208992,0.916930
0.416482,0.017632,0.203488,0.194561,0.907555
0.417409,0.017664,0.202785,0.196000,0.903107
0.415873,0.017792,0.202240,0.199873,0.903714
0.450209,0.017600,0.202881,0.207201,0.950979
0.420513,0.017568,0.202625,0.190144,0.899042
0.420482,0.017760,0.202336,0.201377,0.911555
0.415649,0.017536,0.202593,0.216064,0.920483
0.416065,0.017696,0.202144,0.192097,0.900034
0.416321,0.017632,0.202209,0.200897,0.906563
0.416225,0.017760,0.202177,0.190752,0.896162
0.431586,0.017536,0.202208,0.203425,0.927683
0.421409,0.017600,0.203521,0.206400,0.919107
0.421761,0.017952,0.202912,0.191265,0.901826
0.420865,0.017664,0.233953,0.192641,0.937923
0.416609,0.017504,0.204609,0.199456,0.906818
0.421314,0.017504,0.202208,0.197697,0.907459
0.420417,0.017568,0.202785,0.186752,0.897442
0.416321,0.017696,0.202336,0.185985,0.890562
0.415873,0.017536,0.202113,0.200512,0.905731
0.416449,0.017824,0.202368,0.188673,0.896226
0.416417,0.017760,0.222625,0.205185,0.935779
0.420993,0.017664,0.202081,0.190208,0.900130
0.421345,0.017792,0.202528,0.202721,0.912162
0.420801,0.017504,0.202145,0.189792,0.896931
0.420545,0.017728,0.202241,0.198368,0.908194
0.421153,0.017376,0.202112,0.200897,0.913571
0.420897,0.017760,0.201953,0.198880,0.909954
0.439042,0.017664,0.202176,0.200481,0.931587
0.420353,0.017600,0.202017,0.189472,0.895427
0.420929,0.017760,0.202144,0.190689,0.898530
0.416737,0.017536,0.202113,0.204033,0.931715
0.420513,0.017728,0.202337,0.199904,0.909762
0.417058,0.017600,0.202240,0.197217,0.901763
0.416385,0.017664,0.202529,0.199968,0.915938
0.437953,0.017824,0.202272,0.189185,0.917250
0.421025,0.017600,0.202209,0.199681,0.909027
0.421889,0.017856,0.203905,0.201376,0.915906
0.422050,0.017824,0.202496,0.227809,0.945091
0.417505,0.017632,0.202177,0.199456,0.905315
0.416897,0.017728,0.202112,0.199489,0.908578
0.420705,0.017792,0.202401,0.206785,0.918755
0.431361,0.018048,0.202497,0.227456,0.950530
0.417570,0.017664,0.202048,0.197953,0.907363
0.420385,0.017696,0.202369,0.203744,0.919395
0.420513,0.017696,0.218976,0.207841,0.937986
0.420642,0.017536,0.201824,0.199777,0.909859
0.416225,0.017600,0.202113,0.200000,0.905442
0.417057,0.017824,0.201920,0.204097,0.909634
0.420225,0.017536,0.202497,0.203393,0.914339
0.420129,0.017568,0.202017,0.200416,0.908482
0.422434,0.017504,0.202208,0.207169,0.919779
0.421281,0.017632,0.220161,0.204544,0.936067
0.421281,0.017600,0.202176,0.193633,0.902018
0.420481,0.017664,0.202465,0.202401,0.911011
0.420577,0.017728,0.202401,0.200832,0.909314
0.462562,0.017376,0.202336,0.200737,0.950787
0.417185,0.017536,0.202017,0.199296,0.903395
0.420481,0.017632,0.202336,0.202049,0.911778
0.437057,0.017792,0.202465,0.203777,0.932419
0.420449,0.017792,0.202241,0.200352,0.908418
0.420354,0.017568,0.202016,0.204641,0.913411
0.416513,0.017536,0.202849,0.196096,0.928675
0.420449,0.017504,0.201888,0.197313,0.907298
0.415681,0.017376,0.201793,0.198529,0.905027
0.420193,0.017536,0.202465,0.197280,0.906306
0.438114,0.017856,0.202272,0.196225,0.924195
0.420449,0.017760,0.201889,0.188384,0.897186
0.415586,0.017568,0.201824,0.193185,0.894403
0.419841,0.017856,0.201985,0.216256,0.932547
0.419713,0.017536,0.201921,0.200864,0.913986
0.417505,0.017537,0.201920,0.196801,0.903811
0.420801,0.017504,0.201953,0.191936,0.900514
0.430882,0.017760,0.202304,0.201313,0.921347
0.420705,0.017504,0.202209,0.194560,0.901475
0.416513,0.017696,0.202720,0.200033,0.905666
0.415553,0.017600,0.202465,0.217601,0.934083
0.416065,0.017728,0.202177,0.204448,0.910338
0.420610,0.017728,0.202048,0.204833,0.913603
0.420481,0.017632,0.202497,0.198048,0.909603
0.439841,0.017696,0.202657,0.208736,0.955746
0.418018,0.017600,0.202656,0.195873,0.902403
0.421217,0.017536,0.202721,0.201312,0.913411
0.420897,0.017696,0.219360,0.201409,0.931010
0.415457,0.017536,0.202433,0.200449,0.905475
0.419041,0.018016,0.204609,0.209504,0.924610
0.421346,0.017760,0.202624,0.196097,0.907779
0.421409,0.017728,0.203457,0.202208,0.920099
0.421089,0.017568,0.202496,0.194657,0.905186
0.418017,0.017632,0.202241,0.201569,0.909027
0.436193,0.021920,0.202305,0.207744,0.942338
0.416833,0.017984,0.202848,0.198625,0.907618
0.420897,0.017632,0.202113,0.193985,0.903011
0.416833,0.017632,0.202337,0.193152,0.900386
0.420833,0.017729,0.201920,0.198465,0.908675
0.417025,0.017504,0.202017,0.197472,0.901570
0.420066,0.017728,0.202560,0.206753,0.914179
0.434209,0.017696,0.202113,0.204160,0.928963
0.420737,0.017696,0.203136,0.200769,0.912130
0.415937,0.017696,0.201889,0.192129,0.894595
0.416609,0.017760,0.202081,0.200832,0.929698
0.416994,0.017696,0.202016,0.200897,0.906179
0.417217,0.017632,0.202657,0.195840,0.904067
0.417537,0.017664,0.202080,0.202049,0.906562
0.430017,0.017824,0.202209,0.199713,0.918115
0.420673,0.017632,0.201985,0.197504,0.908962
0.420354,0.017760,0.201856,0.199681,0.908899
0.421377,0.017536,0.202113,0.221184,0.942883
0.420705,0.017696,0.201856,0.201089,0.910082
0.421665,0.017760,0.201985,0.194401,0.902627
0.421601,0.017664,0.202593,0.202752,0.911426
0.440962,0.017792,0.202144,0.193185,0.924579
0.420513,0.017728,0.202401,0.198208,0.907331
0.416257,0.017568,0.202496,0.183393,0.886082
0.420385,0.017472,0.204929,0.210241,0.921219
0.416001,0.017472,0.201760,0.184097,0.886818
0.415905,0.017856,0.202369,0.184481,0.886243
0.421121,0.017600,0.201889,0.195584,0.905378
0.431266,0.017536,0.202112,0.197857,0.919491
0.421793,0.017568,0.203713,0.193312,0.904578
0.416577,0.017696,0.203680,0.203137,0.912994
0.416385,0.017664,0.221921,0.202145,0.928195
0.416993,0.017888,0.202145,0.195552,0.902978
0.416001,0.017665,0.202144,0.197601,0.901155
0.416961,0.017760,0.202273,0.232512,0.943427
0.420353,0.017696,0.201921,0.214720,0.924162
0.416642,0.017632,0.202176,0.208769,0.913283
0.415905,0.017888,0.202017,0.219520,0.921187
0.416865,0.036320,0.202432,0.200129,0.925378
0.420801,0.017408,0.202209,0.201025,0.909827
0.420225,0.017824,0.204353,0.201984,0.912930
0.419970,0.017760,0.202368,0.189249,0.896035
0.420193,0.017504,0.202145,0.196128,0.902050
0.415746,0.017760,0.202400,0.196641,0.902627
0.420193,0.017600,0.202113,0.205888,0.913507
0.439809,0.017952,0.202400,0.199969,0.928770
0.415361,0.017440,0.201921,0.197985,0.899555
0.420001,0.017632,0.201953,0.203136,0.909218
0.416385,0.017472,0.202273,0.197729,0.910755
0.415905,0.017472,0.202625,0.192224,0.895714
0.415906,0.017536,0.201952,0.194913,0.899971
0.419457,0.017760,0.202241,0.186688,0.892322
0.432226,0.017536,0.201920,0.201313,0.921763
0.419425,0.017248,0.202625,0.204992,0.913699
0.415905,0.017504,0.201952,0.183841,0.886434
0.420769,0.017824,0.201953,0.189537,0.896931
0.416673,0.017856,0.202529,0.195648,0.901570
0.420641,0.017889,0.202048,0.190369,0.899843
0.419713,0.017568,0.201825,0.191328,0.896898
0.432962,0.017984,0.201952,0.195969,0.921571
0.420705,0.017472,0.201825,0.205152,0.918339
0.416385,0.018048,0.203360,0.196385,0.903906
0.420225,0.017792,0.202113,0.196641,0.922563
0.420545,0.017664,0.202657,0.195552,0.903938
0.415618,0.017600,0.202016,0.196225,0.900067
0.419873,0.017536,0.201857,0.194304,0.910402
0.447330,0.017696,0.202592,0.202817,0.943331
0.416129,0.017728,0.202241,0.195072,0.897283
0.421409,0.017600,0.203040,0.193185,0.904066
0.416001,0.017536,0.202145,0.185761,0.909539
0.419873,0.017664,0.202657,0.191616,0.900002
0.420770,0.017728,0.202528,0.198977,0.913667
0.420257,0.017824,0.202081,0.187872,0.895714
0.433634,0.017664,0.202624,0.188929,0.911107
0.419713,0.017792,0.201953,0.195200,0.903779
0.419681,0.017824,0.201952,0.194849,0.900578
0.416641,0.017728,0.202753,0.181792,0.904483
0.420545,0.017664,0.202208,0.193889,0.900962
0.420545,0.017472,0.202433,0.190977,0.897795
0.420705,0.017760,0.202241,0.192480,0.900322
0.438721,0.018113,0.202272,0.206145,0.937059
0.420993,0.017792,0.202657,0.194880,0.903906
0.421090,0.017504,0.202336,0.205249,0.913667
0.420129,0.017728,0.202753,0.191296,0.922211
0.420417,0.017696,0.202016,0.196545,0.903682
0.415937,0.017632,0.202113,0.194497,0.899683
0.420897,0.017504,0.203297,0.198752,0.907202
0.437858,0.017600,0.202528,0.211073,0.944355
0.416033,0.017760,0.202529,0.204768,0.912643
0.415905,0.017536,0.202400,0.191360,0.894466
0.421633,0.017793,0.202048,0.227073,0.943107
0.416609,0.017632,0.202305,0.196128,0.902019
0.416193,0.017728,0.202336,0.206945,0.918722
0.420705,0.017568,0.202017,0.205313,0.914275
0.432481,0.017664,0.202113,0.200128,0.923138
0.416994,0.017760,0.202464,0.218145,0.928227
0.421281,0.017760,0.202561,0.217600,0.928035
0.420609,0.017568,0.218081,0.213824,0.943682
0.420034,0.017760,0.202368,0.214881,0.926051
0.420801,0.018176,0.202017,0.214112,0.924547
0.421185,0.017568,0.202337,0.196064,0.906274
0.420674,0.017568,0.202048,0.190177,0.902339
0.420705,0.017600,0.202145,0.197728,0.906723
0.420449,0.017568,0.202688,0.215521,0.926274
