IN[6656],IN[512],IN[1536],IN[7680],IN[3072],IN[2048],IN[6144],IN[3584],IN[9728],IN[10240],IN[8],IN[4608],IN[64],IN[4096],IN[1],IN[8192],IN[4],IN[16],IN[128],IN[2560],IN[8704],IN[7168],IN[256],IN[5632],IN[1024],IN[9216],IN[2],IN[5120],IN[32]
0.132544,0.080384,0.11472,0.14291199999999998,0.11491199999999999,0.085536,0.12825599999999998,0.11299200000000001,0.145216,0.185952,0.06905599999999999,0.103648,0.08163200000000001,0.169407,0.10992,0.128576,0.084415,0.07385599999999999,0.082207,0.128768,0.153152,0.15833599999999998,0.068352,0.10531199999999999,0.07324800000000001,0.189376,0.07168,0.152639,0.065696
0.114335,0.078304,0.082208,0.16828800000000002,0.12672,0.084864,0.16134300000000001,0.111615,0.187168,0.200511,0.064832,0.14649600000000002,0.083968,0.123456,0.070367,0.137184,0.0656,0.071104,0.07923200000000001,0.138848,0.15196800000000002,0.187712,0.072703,0.17152,0.077279,0.18623900000000002,0.065696,0.14732699999999999,0.0704
0.12825599999999998,0.078976,0.083584,0.19232,0.14656,0.096288,0.163551,0.12211199999999998,0.160576,0.21462399999999998,0.064608,0.119039,0.080224,0.15468800000000002,0.074528,0.143807,0.07084800000000001,0.09500800000000001,0.08576,0.088608,0.194975,0.129983,0.067328,0.133055,0.076447,0.18723099999999998,0.065568,0.17036700000000002,0.09936
0.11872,0.08345599999999999,0.08275199999999999,0.192031,0.16016,0.089824,0.16425499999999998,0.115264,0.173568,0.190592,0.066976,0.11206300000000001,0.108511,0.151776,0.07343999999999999,0.17849600000000002,0.071392,0.0752,0.07264,0.100256,0.15968,0.141344,0.07916799999999999,0.106304,0.07424,0.17619100000000001,0.065024,0.14886300000000002,0.072511
0.138688,0.068192,0.10912000000000001,0.16233499999999998,0.147328,0.080704,0.14588800000000002,0.115103,0.179647,0.140511,0.093632,0.163743,0.078176,0.13088,0.101663,0.144095,0.0728,0.075423,0.07638400000000001,0.10793599999999999,0.175136,0.12508699999999998,0.07772799999999999,0.10988699999999998,0.075552,0.194176,0.070592,0.15545599999999998,0.073504
0.112224,0.072255,0.093568,0.185856,0.144768,0.104896,0.149088,0.14361600000000002,0.18723099999999998,0.19628800000000002,0.069248,0.150976,0.071072,0.152831,0.07184,0.1288,0.070047,0.070368,0.075903,0.11545599999999999,0.188671,0.140896,0.085504,0.126304,0.07347200000000001,0.194528,0.065312,0.15232,0.0664
0.134688,0.068959,0.11468800000000001,0.143872,0.141311,0.130752,0.11862400000000001,0.12176,0.159967,0.20259100000000002,0.06489600000000001,0.10441600000000001,0.086143,0.109215,0.067264,0.172192,0.071424,0.06956799999999999,0.076864,0.11065599999999999,0.178112,0.137631,0.090784,0.13689500000000002,0.104288,0.162975,0.065152,0.127968,0.074432
0.168479,0.117599,0.11664000000000001,0.15923199999999998,0.155039,0.109472,0.162943,0.155103,0.158527,0.161375,0.06563200000000001,0.14355199999999999,0.071328,0.14848,0.10895999999999999,0.12316700000000001,0.070624,0.083424,0.07292699999999999,0.118208,0.178432,0.1192,0.068,0.173312,0.07792,0.18543900000000002,0.089408,0.130272,0.07974400000000001
0.11792,0.07254400000000001,0.076512,0.1432,0.140191,0.092,0.131327,0.128224,0.149087,0.21231999999999998,0.075616,0.117855,0.08163200000000001,0.15923199999999998,0.075679,0.17728,0.07296,0.065823,0.069248,0.11036800000000001,0.197472,0.17113599999999998,0.117824,0.120768,0.082912,0.184095,0.070752,0.125696,0.071552
0.177472,0.089632,0.099359,0.1424,0.157664,0.12364800000000001,0.108671,0.131296,0.140351,0.154175,0.069952,0.118431,0.08015900000000001,0.109984,0.075392,0.140416,0.066464,0.10272,0.072511,0.084896,0.195519,0.143775,0.067232,0.12041600000000001,0.078144,0.143904,0.066176,0.11344000000000001,0.070207
