Layer[0],IN[1],INFER[1-6],OUT[6],TEE[1-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.428411,0.111976,0.652810,0.115624,0.884410,0.000960,0.003168,0.001312,0.000384,1.323958
0.430300,0.101255,0.649706,0.076453,0.831798,0.000736,0.003200,0.001344,0.000352,1.273426
0.428603,0.120423,0.659786,0.076357,0.860311,0.000768,0.002625,0.001344,0.000416,1.298900
0.428699,0.109736,0.651114,0.090566,0.856280,0.000832,0.002560,0.001120,0.000416,1.294931
0.427963,0.106791,0.660395,0.091302,0.861688,0.000800,0.002816,0.001377,0.000384,1.300052
0.428956,0.108263,0.658763,0.086662,0.859224,0.001280,0.002912,0.001248,0.000384,1.301012
0.429148,0.108743,0.650058,0.098214,0.860440,0.000704,0.002816,0.001312,0.000384,1.299604
0.428284,0.106791,0.669548,0.090694,0.870521,0.001152,0.002880,0.001248,0.000416,1.310005
0.428156,0.107591,0.651978,0.080453,0.843830,0.000960,0.002881,0.001408,0.000384,1.282739
0.428251,0.112583,0.654954,0.084070,0.856152,0.000736,0.002912,0.001376,0.000416,1.295955
0.449053,0.111816,0.653578,0.090374,0.859576,0.000864,0.002848,0.001408,0.000384,1.319125
0.429147,0.107495,0.648394,0.095014,0.854871,0.000832,0.002912,0.001248,0.000448,1.295059
0.428571,0.108391,0.673068,0.076069,0.861688,0.001056,0.003040,0.001249,0.000352,1.301556
0.432796,0.109735,0.657515,0.131464,0.902906,0.000896,0.002497,0.001248,0.000448,1.346359
0.428956,0.142665,0.658059,0.085765,0.890617,0.000993,0.002432,0.001376,0.000416,1.330518
0.470366,0.112488,0.653898,0.105223,0.875865,0.001120,0.002336,0.001152,0.000512,1.356920
0.429116,0.109671,0.650314,0.084806,0.849271,0.000736,0.002368,0.001408,0.000352,1.288275
0.429627,0.141481,0.672843,0.084550,0.903098,0.000992,0.002336,0.001312,0.000448,1.343414
0.430108,0.144585,0.658283,0.090982,0.898106,0.000992,0.002752,0.001376,0.000480,1.339351
0.429659,0.147785,0.657003,0.120712,0.930140,0.000992,0.002496,0.001280,0.000416,1.371096
0.448381,0.110023,0.648266,0.077893,0.840279,0.001024,0.002464,0.001344,0.000448,1.299508
0.430748,0.112167,0.651338,0.103879,0.871448,0.000896,0.002272,0.001216,0.000416,1.312437
0.429820,0.111335,0.652554,0.089126,0.878905,0.000992,0.002432,0.001249,0.000416,1.319670
0.430012,0.110248,0.653002,0.098534,0.865752,0.000928,0.002401,0.001216,0.000448,1.305845
0.430428,0.114152,0.652394,0.121288,0.891738,0.000832,0.002304,0.001408,0.000448,1.332566
0.430396,0.135561,0.651210,0.105543,0.897178,0.000896,0.002560,0.001280,0.000448,1.338678
0.430332,0.109159,0.647818,0.119208,0.880729,0.000832,0.002368,0.001344,0.000512,1.322005
0.429980,0.113255,0.654474,0.106343,0.878521,0.000896,0.002432,0.001312,0.000512,1.319189
0.429276,0.108583,0.649802,0.081510,0.844535,0.000864,0.002464,0.001440,0.000512,1.284691
0.428508,0.115656,0.655146,0.081798,0.858200,0.001120,0.002368,0.001248,0.000544,1.298740
0.428731,0.113767,0.673260,0.086053,0.878200,0.001120,0.002496,0.001120,0.000448,1.318165
0.430716,0.110215,0.651498,0.080229,0.846071,0.000800,0.002464,0.001312,0.000512,1.287284
0.429244,0.112807,0.650922,0.080325,0.848983,0.001248,0.002496,0.001248,0.000512,1.290804
0.430396,0.109799,0.651658,0.082022,0.848215,0.001248,0.002400,0.001216,0.000448,1.291091
0.430108,0.112935,0.652234,0.085830,0.854903,0.000832,0.002208,0.001280,0.000416,1.295220
0.429308,0.109927,0.671276,0.082789,0.868664,0.000992,0.002497,0.001280,0.000448,1.308565
0.428540,0.115400,0.651466,0.085957,0.857144,0.000864,0.002336,0.001344,0.000416,1.296308
0.428348,0.111367,0.650314,0.085478,0.851927,0.001056,0.002592,0.001152,0.000448,1.292883
