Layer[0],Layer[1],IN[2],INFER[2-10],OUT[10],TEE[2-10],classifier
0.428058,0.017570,0.101190,0.623847,0.074564,0.803313,1.252589
0.435899,0.017569,0.110855,0.648969,0.064548,0.829012,1.288464
0.431771,0.017537,0.104967,0.663913,0.066244,0.839604,1.292529
0.429339,0.017505,0.116743,0.631943,0.061796,0.814387,1.264879
0.428987,0.017697,0.103399,0.639495,0.068005,0.814419,1.265231
0.444635,0.017537,0.099558,0.628679,0.065764,0.799026,1.265454
0.428634,0.017793,0.134632,0.642696,0.060708,0.842004,1.292208
0.428282,0.017569,0.098886,0.652616,0.067780,0.822963,1.272431
0.428506,0.017537,0.106471,0.630247,0.061956,0.803090,1.253517
0.428602,0.017601,0.101575,0.632519,0.061604,0.799538,1.249581
