Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],IN[9],INFER[9-10],OUT[10],TEE[9-10],classifier
0.430745,0.017409,0.208268,0.004928,0.049091,0.000576,0.013857,0.000384,0.001504,0.134664,0.071300,0.054852,0.264112,0.997818
0.428856,0.017313,0.208780,0.004832,0.049475,0.000544,0.013729,0.000384,0.001472,0.103238,0.061507,0.059236,0.227277,0.959063
0.429080,0.017569,0.208716,0.004864,0.048803,0.000576,0.013569,0.000352,0.001472,0.106054,0.067556,0.055651,0.232877,0.964631
0.447930,0.017601,0.208428,0.004929,0.048706,0.000544,0.013377,0.000416,0.001536,0.109543,0.067140,0.054915,0.235694,0.986617
0.428728,0.017409,0.208684,0.004896,0.048963,0.000608,0.013665,0.000384,0.001472,0.107590,0.068548,0.055555,0.234829,0.966040
0.429049,0.017473,0.208556,0.005057,0.048034,0.000769,0.013632,0.000416,0.001472,0.104678,0.068388,0.055715,0.232173,0.963544
0.439225,0.017665,0.225741,0.005025,0.049826,0.000576,0.013440,0.000352,0.001472,0.103302,0.067204,0.055684,0.229550,0.990137
0.430137,0.017601,0.209484,0.004929,0.048322,0.000736,0.013793,0.000384,0.001440,0.109703,0.070212,0.057091,0.240654,0.975672
0.429849,0.017601,0.208844,0.004993,0.048483,0.000608,0.013728,0.000384,0.001473,0.104166,0.068196,0.056067,0.231821,0.964600
0.429145,0.017473,0.208300,0.004896,0.048675,0.000576,0.014049,0.000384,0.001440,0.104806,0.067492,0.056804,0.232750,0.964824
0.429625,0.017569,0.209005,0.004896,0.050371,0.000864,0.013473,0.000384,0.001408,0.104454,0.063172,0.054147,0.225325,0.960152
0.428985,0.017377,0.208332,0.005089,0.049731,0.000576,0.013408,0.000352,0.001409,0.102149,0.066915,0.055972,0.228205,0.959544
0.428505,0.017601,0.209004,0.004896,0.048963,0.000800,0.013761,0.000384,0.001472,0.105158,0.061988,0.070500,0.241070,0.973048
0.446426,0.017633,0.208972,0.004897,0.048162,0.000544,0.013697,0.000352,0.001440,0.114823,0.067812,0.054595,0.241550,0.990777
0.428888,0.017889,0.210028,0.004992,0.049763,0.000576,0.013377,0.000448,0.001536,0.106342,0.068164,0.055363,0.232973,0.966999
0.428824,0.017345,0.208748,0.005184,0.049091,0.000576,0.013409,0.000352,0.001472,0.103302,0.068004,0.055683,0.229965,0.961303
0.428952,0.017793,0.228205,0.005024,0.048931,0.000544,0.013345,0.000352,0.001536,0.103238,0.066180,0.054051,0.226893,0.978296
0.431033,0.017441,0.209132,0.005344,0.047779,0.000576,0.013569,0.000416,0.001536,0.106278,0.062596,0.054371,0.227021,0.961591
0.429977,0.017409,0.208908,0.004960,0.048931,0.000576,0.013729,0.000352,0.001600,0.108678,0.067844,0.055364,0.235662,0.968984
0.429784,0.017281,0.208940,0.004992,0.048259,0.000576,0.013729,0.000352,0.001440,0.133000,0.065475,0.053124,0.255823,0.988217
