Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],IN[8],INFER[8-8],OUT[8],TEE[8-8],Layer[9],Layer[10],classifier
0.446106,0.017409,0.208108,0.004928,0.048131,0.000544,0.013473,0.000352,0.101062,0.062116,0.107590,0.274352,0.001280,0.000416,1.022907
0.428121,0.017281,0.208908,0.004832,0.047715,0.000608,0.013473,0.000352,0.103206,0.062820,0.078724,0.247950,0.001312,0.000449,0.977913
0.429113,0.017345,0.208620,0.004896,0.047395,0.000576,0.013473,0.000352,0.104838,0.066532,0.079429,0.253967,0.001248,0.000416,0.985049
0.448634,0.017345,0.208972,0.004896,0.047363,0.000576,0.013441,0.000320,0.102182,0.066308,0.073732,0.245518,0.001216,0.000384,0.996185
0.428345,0.017313,0.208812,0.004801,0.047618,0.000608,0.013409,0.000352,0.105734,0.068900,0.079716,0.257615,0.001280,0.000448,0.987289
0.429081,0.017313,0.209004,0.004864,0.047843,0.000576,0.013441,0.000352,0.105798,0.068548,0.075269,0.252879,0.001248,0.000416,0.984665
0.428089,0.017537,0.227502,0.005120,0.047395,0.000608,0.013377,0.000352,0.101158,0.067107,0.076548,0.248302,0.001408,0.000416,0.998010
0.428345,0.017281,0.209133,0.004896,0.046947,0.000608,0.013408,0.000385,0.102181,0.068228,0.078916,0.253006,0.001312,0.000448,0.983833
0.429081,0.017409,0.208813,0.004832,0.047107,0.000576,0.013472,0.000352,0.105510,0.067876,0.079396,0.256430,0.001281,0.000416,0.988218
0.428985,0.017345,0.208237,0.004928,0.048163,0.000576,0.013505,0.000352,0.105382,0.069060,0.097381,0.275312,0.001344,0.000480,1.006523
0.429145,0.017601,0.208108,0.004865,0.047554,0.000576,0.013505,0.000384,0.101350,0.067524,0.080549,0.252879,0.001184,0.000416,0.983673
0.430457,0.017601,0.208844,0.004897,0.047330,0.000544,0.013505,0.000352,0.104518,0.069700,0.076613,0.253871,0.001280,0.000384,0.986393
0.428984,0.017665,0.208396,0.004896,0.047011,0.000544,0.013473,0.000384,0.101318,0.067524,0.076228,0.248302,0.001376,0.000416,0.979256
0.444953,0.017441,0.208620,0.004800,0.047299,0.000576,0.013537,0.000384,0.100037,0.062979,0.075781,0.242030,0.001344,0.000384,0.988698
0.428121,0.017409,0.209388,0.005024,0.047139,0.000608,0.013473,0.000352,0.104998,0.074661,0.081860,0.264687,0.001248,0.000416,0.995034
0.428953,0.017601,0.209452,0.004865,0.047555,0.000608,0.013504,0.000352,0.102534,0.067876,0.075781,0.249199,0.001344,0.000416,0.980985
0.446010,0.017601,0.209036,0.004832,0.047490,0.000512,0.013441,0.000352,0.101894,0.068452,0.080645,0.254319,0.001216,0.000416,1.002298
0.428408,0.017313,0.208332,0.004896,0.047651,0.000512,0.013441,0.000320,0.103558,0.074852,0.084901,0.266735,0.001280,0.000384,0.996250
0.429241,0.017569,0.208365,0.004896,0.047139,0.000608,0.013441,0.000384,0.104710,0.068356,0.084069,0.260399,0.001344,0.000512,0.991770
0.428505,0.017313,0.226605,0.005121,0.047170,0.000608,0.013473,0.000352,0.106726,0.067780,0.071045,0.248879,0.001344,0.000448,0.997594
0.428633,0.017569,0.208460,0.004897,0.047042,0.000608,0.013409,0.000352,0.101798,0.067492,0.075109,0.247759,0.001312,0.000480,0.977593
0.428633,0.017569,0.208460,0.004929,0.047683,0.000576,0.013408,0.000416,0.107719,0.068196,0.081028,0.260176,0.001376,0.000352,0.990394
0.428921,0.017377,0.208364,0.004961,0.047010,0.000576,0.013441,0.000352,0.103366,0.067620,0.096518,0.270960,0.001280,0.000448,1.000730
0.429081,0.017377,0.208589,0.004832,0.047043,0.000576,0.013440,0.000352,0.106822,0.068516,0.077828,0.256366,0.001441,0.000448,0.987194
0.428953,0.017441,0.208204,0.004833,0.047522,0.000545,0.013440,0.000384,0.106151,0.062083,0.076037,0.247631,0.001504,0.000512,0.978649
0.428601,0.017473,0.208780,0.005312,0.047651,0.000640,0.013601,0.000384,0.109798,0.067524,0.085413,0.266543,0.001505,0.000416,0.999834
0.429593,0.017633,0.208972,0.005248,0.048291,0.000576,0.013441,0.000384,0.110215,0.068228,0.080452,0.262159,0.001568,0.000480,0.996090
0.429721,0.017633,0.208396,0.004832,0.048579,0.000608,0.013473,0.000352,0.106598,0.075749,0.087269,0.272720,0.001504,0.000416,1.005466
0.429240,0.017569,0.208780,0.005120,0.048835,0.000608,0.013569,0.000384,0.105734,0.067972,0.079045,0.256143,0.001408,0.000416,0.990201
0.447514,0.017601,0.209132,0.005088,0.049027,0.000576,0.013729,0.000352,0.136584,0.069220,0.072452,0.281744,0.001440,0.000512,1.034364
0.428537,0.017377,0.209196,0.004864,0.049027,0.000640,0.013569,0.000352,0.101670,0.068772,0.075172,0.248847,0.001344,0.000416,0.981177
0.428984,0.017409,0.210284,0.004832,0.048803,0.000576,0.013441,0.000352,0.102502,0.067716,0.082917,0.256591,0.001216,0.000416,0.989721
0.428248,0.017441,0.226029,0.005024,0.047939,0.000608,0.013505,0.000320,0.104038,0.067076,0.078052,0.252462,0.001313,0.000544,1.001018
0.428249,0.017409,0.208620,0.004928,0.047683,0.000576,0.013473,0.000384,0.103142,0.067044,0.118055,0.291601,0.001312,0.000480,1.022139
0.429049,0.017441,0.209356,0.004832,0.047459,0.000608,0.013569,0.000352,0.112230,0.074244,0.078853,0.268944,0.001504,0.000448,1.001882
0.428760,0.017409,0.208620,0.004928,0.048707,0.000576,0.013505,0.000384,0.127751,0.065316,0.072580,0.268911,0.001345,0.000512,1.000730
0.428441,0.017601,0.208972,0.005056,0.048899,0.000576,0.013537,0.000352,0.100486,0.068676,0.074564,0.246958,0.001248,0.000480,0.979513
0.430809,0.017505,0.209068,0.004864,0.047267,0.000576,0.013473,0.000384,0.104934,0.068132,0.074980,0.251182,0.001281,0.000480,0.983801
